time_s,round,mean,p10,p50,p90
5.253279209136962891e+00,1.000000000000000000e+00,8.024948083317650083e-01,7.830434782608695077e-01,8.021739130434782927e-01,8.354192546583851797e-01
5.850953817367553711e+00,2.000000000000000000e+00,8.016042803814542594e-01,7.720217391304348142e-01,8.019565217391304568e-01,8.287267080745341907e-01
6.443745136260986328e+00,3.000000000000000000e+00,8.047735507246377429e-01,7.815652173913043566e-01,8.039328063241106825e-01,8.401863354037267806e-01
7.049771785736083984e+00,4.000000000000000000e+00,8.055795689817427663e-01,7.816304347826086296e-01,8.077922077922077282e-01,8.313260869565217703e-01
7.687837600708007812e+00,5.000000000000000000e+00,8.001599571925659404e-01,7.666014492753623344e-01,8.001646903820817114e-01,8.280434782608696587e-01
8.279777288436889648e+00,6.000000000000000000e+00,8.095923508858293705e-01,7.738260869565217748e-01,8.114377470355731425e-01,8.349534161490683726e-01
8.869279861450195312e+00,7.000000000000000000e+00,8.058394504046677564e-01,7.858695652173912638e-01,8.058152173913043503e-01,8.335886818495514827e-01
9.462395191192626953e+00,8.000000000000000000e+00,8.055329555709990208e-01,7.746086956521739397e-01,8.072902942468159759e-01,8.372826086956521863e-01
1.005727434158325195e+01,9.000000000000000000e+00,8.128201412114455238e-01,7.799832775919732786e-01,8.086956521739130377e-01,8.440579710144928693e-01
1.062106847763061523e+01,1.000000000000000000e+01,8.087369544706500823e-01,7.842826086956521392e-01,8.010869565217391131e-01,8.380538302277432683e-01
1.118516755104064941e+01,1.100000000000000000e+01,8.131661050302353422e-01,7.837892976588628491e-01,8.158596837944663838e-01,8.407971014492754414e-01
1.177029561996459961e+01,1.200000000000000000e+01,8.117384306514742187e-01,7.689966555183946895e-01,8.143610013175230922e-01,8.340372670807453259e-01
1.234423208236694336e+01,1.300000000000000000e+01,8.116530208921514111e-01,7.811086956521738900e-01,8.088493631971892528e-01,8.494202898550724523e-01
1.292833328247070312e+01,1.400000000000000000e+01,8.120650152987110015e-01,7.782040133779264401e-01,8.112318840579710866e-01,8.413768115942029668e-01
1.351191091537475586e+01,1.500000000000000000e+01,8.078302995313866308e-01,7.810671936758893930e-01,8.035573122529644507e-01,8.402173913043478048e-01
1.408609342575073242e+01,1.600000000000000000e+01,8.114220875742613748e-01,7.831976284584980519e-01,8.116908212560386415e-01,8.375362318840580134e-01
1.465217232704162598e+01,1.700000000000000000e+01,8.048647282669023628e-01,7.729776021080368986e-01,8.054347826086956097e-01,8.379710144927536852e-01
1.526568794250488281e+01,1.800000000000000000e+01,8.132258140410314473e-01,7.860790513833991744e-01,8.081521739130435034e-01,8.494202898550724523e-01
1.586420774459838867e+01,1.900000000000000000e+01,8.106711760461760008e-01,7.769468599033816369e-01,8.074851778656126911e-01,8.470393374741201908e-01
1.650614166259765625e+01,2.000000000000000000e+01,8.099893657067569475e-01,7.832125603864734664e-01,8.099604743083004266e-01,8.289855072463768737e-01
1.707907199859619141e+01,2.100000000000000000e+01,8.110608178053830830e-01,7.811857707509881621e-01,8.101207729468599128e-01,8.456884057971014723e-01
1.767884683609008789e+01,2.200000000000000000e+01,8.148111158165505241e-01,7.803671497584541150e-01,8.087944664031621045e-01,8.563768115942029802e-01
1.826406240463256836e+01,2.300000000000000000e+01,8.105176846100757837e-01,7.777294685990338019e-01,8.099308300395255955e-01,8.536956521739130777e-01
1.887214255332946777e+01,2.400000000000000000e+01,8.104605684170902435e-01,7.764251207729468973e-01,8.100790513833991957e-01,8.427173913043478626e-01
1.948685264587402344e+01,2.500000000000000000e+01,8.086971030177551034e-01,7.545652173913044436e-01,8.099456521739130110e-01,8.514855072463768382e-01
2.007593035697937012e+01,2.600000000000000000e+01,8.113467516782734146e-01,7.775889328063241290e-01,8.116908212560386415e-01,8.432971014492753881e-01
2.066116356849670410e+01,2.700000000000000000e+01,8.171137461572245408e-01,7.857487922705314043e-01,8.142951251646903810e-01,8.482608695652174013e-01
2.124562096595764160e+01,2.800000000000000000e+01,8.112998541313757306e-01,7.790217391304347094e-01,8.112648221343873312e-01,8.397981366459628116e-01
2.185546755790710449e+01,2.900000000000000000e+01,8.126252587991718013e-01,7.770652173913042970e-01,8.195652173913043903e-01,8.387577639751553349e-01
2.247042465209960938e+01,3.000000000000000000e+01,8.126322150072150530e-01,7.798913043478261642e-01,8.105072463768115965e-01,8.387163561076604879e-01
2.306902480125427246e+01,3.100000000000000000e+01,8.116666901938641709e-01,7.717210144927535431e-01,8.145186335403726829e-01,8.373913043478261597e-01
2.367520689964294434e+01,3.200000000000000000e+01,8.140497992345819833e-01,7.745652173913043503e-01,8.160869565217391264e-01,8.391304347826087362e-01
2.430252790451049805e+01,3.300000000000000000e+01,8.124149962356483901e-01,7.819927536231884302e-01,8.109782608695652595e-01,8.414492753623188381e-01
2.495638155937194824e+01,3.400000000000000000e+01,8.131400181943660987e-01,7.673731884057970465e-01,8.159118357487922246e-01,8.426708074534161597e-01
2.553891062736511230e+01,3.500000000000000000e+01,8.176374694146433253e-01,7.805797101449275521e-01,8.255434782608694899e-01,8.445341614906832772e-01
