round,mean,p10,p50,p90
1.000000000000000000e+00,8.024948083317650083e-01,7.830434782608695077e-01,8.021739130434781817e-01,8.354192546583850687e-01
2.000000000000000000e+00,8.016042803814542594e-01,7.720217391304348142e-01,8.019565217391304568e-01,8.287267080745341907e-01
3.000000000000000000e+00,8.047735507246377429e-01,7.815652173913043566e-01,8.039328063241106825e-01,8.401863354037268916e-01
4.000000000000000000e+00,8.055795689817429883e-01,7.816304347826086296e-01,8.077922077922077282e-01,8.313260869565216593e-01
5.000000000000000000e+00,8.001599571925659404e-01,7.666014492753623344e-01,8.001646903820817114e-01,8.280434782608696587e-01
6.000000000000000000e+00,8.095923508858293705e-01,7.738260869565216638e-01,8.114377470355731425e-01,8.349534161490683726e-01
7.000000000000000000e+00,8.058394504046677564e-01,7.858695652173912638e-01,8.058152173913044614e-01,8.335886818495512607e-01
8.000000000000000000e+00,8.055329555709990208e-01,7.746086956521738287e-01,8.072902942468158649e-01,8.372826086956521863e-01
9.000000000000000000e+00,8.128201412114455238e-01,7.799832775919732786e-01,8.086956521739130377e-01,8.440579710144928693e-01
1.000000000000000000e+01,8.087369544706500823e-01,7.842826086956521392e-01,8.010869565217391131e-01,8.380538302277432683e-01
1.100000000000000000e+01,8.131661050302355642e-01,7.837892976588629601e-01,8.158596837944663838e-01,8.407971014492753303e-01
1.200000000000000000e+01,8.117384306514742187e-01,7.689966555183946895e-01,8.143610013175230922e-01,8.340372670807454369e-01
1.300000000000000000e+01,8.116530208921514111e-01,7.811086956521738900e-01,8.088493631971893638e-01,8.494202898550724523e-01
1.400000000000000000e+01,8.120650152987110015e-01,7.782040133779264401e-01,8.112318840579710866e-01,8.413768115942028558e-01
1.500000000000000000e+01,8.078302995313866308e-01,7.810671936758893930e-01,8.035573122529644507e-01,8.402173913043478048e-01
1.600000000000000000e+01,8.114220875742613748e-01,7.831976284584978298e-01,8.116908212560387526e-01,8.375362318840581244e-01
1.700000000000000000e+01,8.048647282669023628e-01,7.729776021080368986e-01,8.054347826086956097e-01,8.379710144927536852e-01
1.800000000000000000e+01,8.132258140410313363e-01,7.860790513833991744e-01,8.081521739130435034e-01,8.494202898550724523e-01
1.900000000000000000e+01,8.106711760461762228e-01,7.769468599033815259e-01,8.074851778656126911e-01,8.470393374741201908e-01
2.000000000000000000e+01,8.099893657067569475e-01,7.832125603864734664e-01,8.099604743083004266e-01,8.289855072463769847e-01
2.100000000000000000e+01,8.110608178053830830e-01,7.811857707509880511e-01,8.101207729468599128e-01,8.456884057971013613e-01
2.200000000000000000e+01,8.148111158165505241e-01,7.803671497584541150e-01,8.087944664031621045e-01,8.563768115942028691e-01
2.300000000000000000e+01,8.105176846100757837e-01,7.777294685990338019e-01,8.099308300395257065e-01,8.536956521739130777e-01
2.400000000000000000e+01,8.104605684170902435e-01,7.764251207729467863e-01,8.100790513833993067e-01,8.427173913043478626e-01
2.500000000000000000e+01,8.086971030177551034e-01,7.545652173913044436e-01,8.099456521739130110e-01,8.514855072463768382e-01
2.600000000000000000e+01,8.113467516782734146e-01,7.775889328063241290e-01,8.116908212560387526e-01,8.432971014492753881e-01
2.700000000000000000e+01,8.171137461572245408e-01,7.857487922705314043e-01,8.142951251646903810e-01,8.482608695652174013e-01
2.800000000000000000e+01,8.112998541313757306e-01,7.790217391304347094e-01,8.112648221343874422e-01,8.397981366459627006e-01
2.900000000000000000e+01,8.126252587991718013e-01,7.770652173913044081e-01,8.195652173913042793e-01,8.387577639751553349e-01
3.000000000000000000e+01,8.126322150072150530e-01,7.798913043478261642e-01,8.105072463768115965e-01,8.387163561076604879e-01
3.100000000000000000e+01,8.116666901938641709e-01,7.717210144927536541e-01,8.145186335403727940e-01,8.373913043478261597e-01
3.200000000000000000e+01,8.140497992345819833e-01,7.745652173913043503e-01,8.160869565217392374e-01,8.391304347826086252e-01
3.300000000000000000e+01,8.124149962356483901e-01,7.819927536231883192e-01,8.109782608695652595e-01,8.414492753623187271e-01
3.400000000000000000e+01,8.131400181943660987e-01,7.673731884057970465e-01,8.159118357487922246e-01,8.426708074534161597e-01
3.500000000000000000e+01,8.176374694146433253e-01,7.805797101449275521e-01,8.255434782608694899e-01,8.445341614906832772e-01
3.600000000000000000e+01,8.124500439174353605e-01,7.765579710144927539e-01,8.171497584541063119e-01,8.453260869565216717e-01
3.700000000000000000e+01,8.093233891712152683e-01,7.776086956521739424e-01,8.054940711462449388e-01,8.376708074534162662e-01
3.800000000000000000e+01,8.139132787502351141e-01,7.877536231884058049e-01,8.135869565217391797e-01,8.410683229813664674e-01
3.900000000000000000e+01,8.186205533596838668e-01,7.859472049689441020e-01,8.136645962732919068e-01,8.460248447204968825e-01
4.000000000000000000e+01,8.169848171152519489e-01,7.928260869565216806e-01,8.196859903381642498e-01,8.397142857142857464e-01
4.100000000000000000e+01,8.143297101449276099e-01,7.912111801242235343e-01,8.186956521739130466e-01,8.406459627329192497e-01
4.200000000000000000e+01,8.108888888888887703e-01,7.818633540372670332e-01,8.115217391304347938e-01,8.356211180124224480e-01
4.300000000000000000e+01,8.148861283643892284e-01,7.876956521739130190e-01,8.193478260869566654e-01,8.343105590062109833e-01
4.400000000000000000e+01,8.184717046238784155e-01,7.859006211180125101e-01,8.241304347826086119e-01,8.447826086956522484e-01
4.500000000000000000e+01,8.107784679089025115e-01,7.831521739130433701e-01,8.166666666666666519e-01,8.416770186335404969e-01
4.600000000000000000e+01,8.153822699040087496e-01,7.888260869565217881e-01,8.140821256038647258e-01,8.454037267080746210e-01
4.700000000000000000e+01,8.188448146056840349e-01,7.892080745341615300e-01,8.172705314009662825e-01,8.433540372670808027e-01
4.800000000000000000e+01,8.181102798168016221e-01,7.933229813664596231e-01,8.173913043478261420e-01,8.411180124223601728e-01
4.900000000000000000e+01,8.176843434343433747e-01,7.944927536231883858e-01,8.169565217391305811e-01,8.420496894409938982e-01
5.000000000000000000e+01,8.167300646213691007e-01,7.850028232636928616e-01,8.150362318840579379e-01,8.377018633540374015e-01
5.100000000000000000e+01,8.199239444130748122e-01,7.873178994918125229e-01,8.114130434782609314e-01,8.392546583850931663e-01
5.200000000000000000e+01,8.182898707572621166e-01,7.876058723884810098e-01,8.146739130434782483e-01,8.532919254658385411e-01
5.300000000000000000e+01,8.155446624631407238e-01,7.887803500846979343e-01,8.141633728590250696e-01,8.310559006211180044e-01
5.400000000000000000e+01,8.116202396637179906e-01,7.829644268774702542e-01,8.171739130434781950e-01,8.340869565217391424e-01
5.500000000000000000e+01,8.214446248196247691e-01,7.959723320158101911e-01,8.167572463768115743e-01,8.429399585921325544e-01
5.600000000000000000e+01,8.195051838258360366e-01,7.901411631846415595e-01,8.161835748792269918e-01,8.480434782608695654e-01
5.700000000000000000e+01,8.206847120271033580e-01,7.908695652173912682e-01,8.163586956521740046e-01,8.452546583850930606e-01
5.800000000000000000e+01,8.157711195809020932e-01,7.845256916996047325e-01,8.142391304347825765e-01,8.348861283643892461e-01
5.900000000000000000e+01,8.185373376623376052e-01,7.923094297007339248e-01,8.155193236714977090e-01,8.427826086956521356e-01
6.000000000000000000e+01,8.194600586611453519e-01,7.904940711462450365e-01,8.144927536231884035e-01,8.434963768115941729e-01
6.100000000000000000e+01,8.204600116067506388e-01,7.915563241106720049e-01,8.149758454106280636e-01,8.517681159420290582e-01
6.200000000000000000e+01,8.179902832674571522e-01,7.848842461885940924e-01,8.194099378881987139e-01,8.486956521739130732e-01
6.300000000000000000e+01,8.122315076228119324e-01,7.825296442687745824e-01,8.123706004140787140e-01,8.366811594202899771e-01
6.400000000000000000e+01,8.176986793399837472e-01,7.814558629776022780e-01,8.188405797101450112e-01,8.438405797101449224e-01
6.500000000000000000e+01,8.181629807390675690e-01,7.932636928289102940e-01,8.231521739130435167e-01,8.460869565217391530e-01
6.600000000000000000e+01,8.189848249576510142e-01,7.874308300395257421e-01,8.187499999999999778e-01,8.482608695652174013e-01
6.700000000000000000e+01,8.132659683311856957e-01,7.861968466316293647e-01,8.125301932367149371e-01,8.446376811594202838e-01
6.800000000000000000e+01,8.153436460882115266e-01,7.876679841897233914e-01,8.164031620553360291e-01,8.418478260869565188e-01
6.900000000000000000e+01,8.139560083636171450e-01,7.861801242236025056e-01,8.159420289855072728e-01,8.385248447204969313e-01
7.000000000000000000e+01,8.153227304096868355e-01,7.905928853754939922e-01,8.159420289855072728e-01,8.467391304347825498e-01
7.100000000000000000e+01,8.121691291799987278e-01,7.939130434782608603e-01,8.145272601794341094e-01,8.347826086956521285e-01
7.200000000000000000e+01,8.152192891649411299e-01,7.862252964426877933e-01,8.173913043478261420e-01,8.413768115942029668e-01
7.300000000000000000e+01,8.100388198757760838e-01,7.874025974025973262e-01,8.114295125164689981e-01,8.286645962732919202e-01
7.400000000000000000e+01,8.180355339105339629e-01,7.930830039525691433e-01,8.159486166007905439e-01,8.487888198757764791e-01
7.500000000000000000e+01,8.116674587489803860e-01,7.938735177865612336e-01,8.088932806324110603e-01,8.354130434782607306e-01
7.600000000000000000e+01,8.198581780538305441e-01,7.968379446640315722e-01,8.185714285714286165e-01,8.586956521739130821e-01
7.700000000000000000e+01,8.135619471108602729e-01,7.895915678524374481e-01,8.127329192546584036e-01,8.448913043478259999e-01
7.800000000000000000e+01,8.077406126482212789e-01,7.810276679841897662e-01,8.097308488612835475e-01,8.246956521739129409e-01
