time_s,round,mean,p10,p50,p90
5.253279209136962891e+00,1.000000000000000000e+00,1.965364617897011335e-01,1.635058544531713676e-01,1.992241826918904335e-01,2.161625096540437663e-01
5.850953817367553711e+00,2.000000000000000000e+00,1.966601061592769817e-01,1.634491994197524167e-01,1.993640291684714294e-01,2.170497306505606572e-01
6.443745136260986328e+00,3.000000000000000000e+00,1.970656172880784485e-01,1.640438835006945428e-01,1.983073840784965181e-01,2.221943870992833525e-01
7.049771785736083984e+00,4.000000000000000000e+00,1.972526881738716209e-01,1.648971083121091308e-01,1.987010700704111010e-01,2.207228470589358560e-01
7.687837600708007812e+00,5.000000000000000000e+00,1.977752676639761564e-01,1.676804024150022887e-01,1.988234801089122650e-01,2.193722278889558286e-01
8.279777288436889648e+00,6.000000000000000000e+00,1.981748101228562320e-01,1.705152812723303157e-01,1.989583723319707231e-01,2.193722278889558286e-01
8.869279861450195312e+00,7.000000000000000000e+00,1.981326201892786298e-01,1.705923531801074311e-01,1.989583723319707231e-01,2.191454070590092562e-01
9.462395191192626953e+00,8.000000000000000000e+00,1.962805573417182592e-01,1.704385995639683959e-01,1.950007161662981048e-01,2.192360281982860537e-01
1.005727434158325195e+01,9.000000000000000000e+00,1.946318077871620478e-01,1.606757351647650489e-01,1.950007161662981048e-01,2.201822880543858052e-01
1.062106847763061523e+01,1.000000000000000000e+01,1.960962576396968748e-01,1.690990833300548002e-01,1.945800467934618583e-01,2.202750022979802491e-01
1.118516755104064941e+01,1.100000000000000000e+01,1.945426061505539650e-01,1.693707584563035329e-01,1.933362752310918142e-01,2.189665634164145447e-01
1.177029561996459961e+01,1.200000000000000000e+01,1.946161820146478649e-01,1.694262634031113990e-01,1.935643565984387360e-01,2.190607975924193651e-01
1.234423208236694336e+01,1.300000000000000000e+01,1.947181339187085691e-01,1.697378044802166641e-01,1.941612123870317119e-01,2.190741856051325598e-01
1.292833328247070312e+01,1.400000000000000000e+01,1.947894775654227528e-01,1.697968851202407703e-01,1.948976082415027899e-01,2.190741856051325598e-01
1.351191091537475586e+01,1.500000000000000000e+01,1.953587762080268297e-01,1.701455995998669424e-01,1.955794257268205494e-01,2.191067037355722558e-01
1.408609342575073242e+01,1.600000000000000000e+01,1.961095684717799881e-01,1.705940006568925638e-01,1.955794257268205494e-01,2.241792673986193474e-01
1.465217232704162598e+01,1.700000000000000000e+01,1.952696024161067467e-01,1.705940006568925638e-01,1.962969772257913970e-01,2.220309050525606509e-01
1.526568794250488281e+01,1.800000000000000000e+01,1.954495114356857299e-01,1.710830898823563206e-01,1.965771675008813335e-01,2.205053272272044784e-01
1.586420774459838867e+01,1.900000000000000000e+01,1.948854190947919840e-01,1.711221766804946198e-01,1.966361674013633598e-01,2.205890570281737462e-01
1.650614166259765625e+01,2.000000000000000000e+01,1.950497540752005599e-01,1.716124193201868930e-01,1.965583991416444132e-01,2.197036454285238027e-01
1.707907199859619141e+01,2.100000000000000000e+01,1.948959911675005874e-01,1.719783036820702327e-01,1.966420780955498437e-01,2.189602396204187174e-01
1.767884683609008789e+01,2.200000000000000000e+01,1.936237292914995689e-01,1.632851454371090916e-01,1.963344268837142748e-01,2.190355191627463283e-01
1.826406240463256836e+01,2.300000000000000000e+01,1.938060651282185742e-01,1.643439482569064580e-01,1.958220773485718491e-01,2.199667932646043045e-01
1.887214255332946777e+01,2.400000000000000000e+01,1.944680147060485198e-01,1.653908801654860594e-01,1.944272134028895982e-01,2.269138605578042145e-01
1.948685264587402344e+01,2.500000000000000000e+01,1.932983759188596773e-01,1.665131636784376312e-01,1.934562775378413368e-01,2.270442660378933220e-01
2.007593035697937012e+01,2.600000000000000000e+01,1.928759714453248952e-01,1.676563412344960202e-01,1.928103579949366209e-01,2.259782348016217690e-01
2.066116356849670410e+01,2.700000000000000000e+01,1.933277866450877902e-01,1.707574798985380116e-01,1.925731448084628816e-01,2.250189558492630415e-01
2.124562096595764160e+01,2.800000000000000000e+01,1.936843436494192772e-01,1.707998719237829310e-01,1.919841167017925232e-01,2.270806847006033302e-01
2.185546755790710449e+01,2.900000000000000000e+01,1.930273470110373535e-01,1.706800152832252393e-01,1.911901754364076778e-01,2.271560765193203213e-01
2.247042465209960938e+01,3.000000000000000000e+01,1.931669236359552233e-01,1.706783271941924029e-01,1.911901754364076778e-01,2.277792786705784556e-01
2.306902480125427246e+01,3.100000000000000000e+01,1.932578164871174842e-01,1.705624400332770574e-01,1.904257856941462546e-01,2.225515515737471750e-01
2.367520689964294434e+01,3.200000000000000000e+01,1.932797518962259820e-01,1.704854691047369974e-01,1.896938541491419161e-01,2.231236628373221564e-01
2.430252790451049805e+01,3.300000000000000000e+01,1.934408365812474717e-01,1.704854691047369974e-01,1.896938541491419161e-01,2.231236628373221564e-01
2.495638155937194824e+01,3.400000000000000000e+01,1.930463225059153298e-01,1.704513645122836540e-01,1.885854261213854022e-01,2.236429502575819350e-01
2.553891062736511230e+01,3.500000000000000000e+01,1.927423338976773370e-01,1.704513645122836540e-01,1.861511262170020831e-01,2.237176511229986842e-01
2.613380050659179688e+01,3.600000000000000000e+01,1.921074273598039894e-01,1.693946819872585441e-01,1.857721316602088391e-01,2.242522566829172614e-01
2.671883916854858398e+01,3.700000000000000000e+01,1.918540419717529866e-01,1.711063246221878054e-01,1.883437917580133014e-01,2.148308548021263253e-01
2.729192519187927246e+01,3.800000000000000000e+01,1.918482781547721505e-01,1.715065101548015614e-01,1.878624943853372253e-01,2.147436053949577373e-01
2.788052558898925781e+01,3.900000000000000000e+01,1.919653062461295356e-01,1.740015228774521583e-01,1.890003909478133459e-01,2.149495871033703098e-01
2.847563505172729492e+01,4.000000000000000000e+01,1.926367223413348595e-01,1.740015228774521583e-01,1.896851564630682996e-01,2.159088861298519291e-01
