round,mean,p10,p50,p90
1.000000000000000000e+00,8.023138841834495105e-01,7.827173913043478093e-01,8.025362318840579823e-01,8.354192546583851797e-01
2.000000000000000000e+00,8.010012783110609380e-01,7.720217391304348142e-01,8.019565217391304568e-01,8.292857142857142927e-01
3.000000000000000000e+00,8.040881642512077709e-01,7.727608695652173898e-01,8.039328063241106825e-01,8.397515527950311087e-01
4.000000000000000000e+00,8.048720120459250671e-01,7.816304347826086296e-01,8.067984189723320654e-01,8.297608695652174404e-01
5.000000000000000000e+00,7.998261062608889027e-01,7.666014492753623344e-01,8.001646903820817114e-01,8.280434782608696587e-01
6.000000000000000000e+00,8.095240279044627618e-01,7.713695652173913064e-01,8.114377470355731425e-01,8.360714285714286875e-01
7.000000000000000000e+00,8.036474214191606791e-01,7.841304347826086873e-01,8.058152173913043503e-01,8.335886818495514827e-01
8.000000000000000000e+00,8.087354149473714449e-01,7.792040133779264410e-01,8.048221343873518396e-01,8.511594202898550288e-01
9.000000000000000000e+00,8.105259885042492840e-01,7.799832775919732786e-01,8.086956521739130377e-01,8.351449275362319291e-01
1.000000000000000000e+01,8.083564255792516917e-01,7.842826086956521392e-01,8.012681159420289578e-01,8.391718426501035832e-01
1.100000000000000000e+01,8.120934216749434720e-01,7.765652173913043521e-01,8.161231884057971175e-01,8.407971014492754414e-01
1.200000000000000000e+01,8.127019242834461199e-01,7.793128610519914901e-01,8.098731884057971397e-01,8.350434782608695539e-01
1.300000000000000000e+01,8.109074126356734524e-01,7.779802371541502115e-01,8.076635924462011173e-01,8.494202898550724523e-01
1.400000000000000000e+01,8.134784822665258597e-01,7.782040133779264401e-01,8.109903381642511455e-01,8.445072463768116267e-01
1.500000000000000000e+01,8.078949522699522268e-01,7.653260869565217117e-01,8.040458937198067257e-01,8.402173913043478048e-01
1.600000000000000000e+01,8.120655721090503931e-01,7.872474916387960375e-01,8.108695652173912860e-01,8.375362318840580134e-01
1.700000000000000000e+01,8.054694713499059855e-01,7.702028985507246572e-01,8.047870004391743937e-01,8.379710144927536852e-01
1.800000000000000000e+01,8.104135610766045605e-01,7.860000000000000320e-01,8.095652173913043814e-01,8.492753623188405987e-01
1.900000000000000000e+01,8.113034224229875857e-01,7.793913043478261082e-01,8.085968379446639709e-01,8.468944099378882262e-01
2.000000000000000000e+01,8.083069436602043911e-01,7.796908212560386131e-01,8.102898550724637605e-01,8.288405797101450201e-01
2.100000000000000000e+01,8.136338854382334507e-01,7.818972332015811100e-01,8.130193236714975402e-01,8.568115942028985410e-01
2.200000000000000000e+01,8.113050771692075225e-01,7.783750548967940386e-01,8.040760869565217739e-01,8.555072463768116364e-01
2.300000000000000000e+01,8.132692923019009257e-01,7.809903381642512299e-01,8.115118577075098871e-01,8.536594202898550865e-01
2.400000000000000000e+01,8.118279220779222038e-01,7.726086956521739380e-01,8.148723257418909460e-01,8.397826086956522440e-01
2.500000000000000000e+01,8.121643453165192650e-01,7.558695652173913482e-01,8.075592885375493246e-01,8.555072463768116364e-01
2.600000000000000000e+01,8.138744588744586395e-01,7.763241106719367401e-01,8.123188405797101552e-01,8.494927536231884346e-01
2.700000000000000000e+01,8.163726943346507614e-01,7.820772946859904096e-01,8.144927536231884035e-01,8.499999999999999778e-01
2.800000000000000000e+01,8.104035620176922583e-01,7.809420289855072417e-01,8.142292490118576698e-01,8.326708074534161508e-01
