round,mean,p10,p50,p90
1.000000000000000000e+00,3.636100000000000421e+01,1.910100000000000264e+01,3.586499999999999488e+01,5.580100000000000193e+01
2.000000000000000000e+00,3.950950000000000273e+01,2.639100000000000179e+01,3.678500000000000369e+01,5.640399999999999636e+01
3.000000000000000000e+00,3.669249999999998835e+01,1.896699999999999875e+01,3.543000000000000682e+01,5.630099999999999483e+01
4.000000000000000000e+00,3.688400000000000034e+01,1.903700000000000259e+01,3.635999999999999943e+01,5.526700000000000301e+01
5.000000000000000000e+00,3.694500000000000028e+01,1.919899999999999807e+01,3.620000000000000284e+01,5.643199999999999505e+01
6.000000000000000000e+00,3.696049999999998903e+01,1.900400000000000134e+01,3.607999999999999829e+01,5.605700000000000216e+01
7.000000000000000000e+00,3.807999999999999829e+01,2.051299999999999812e+01,3.667499999999999716e+01,5.719100000000000250e+01
8.000000000000000000e+00,3.799700000000000699e+01,2.050699999999999790e+01,3.726999999999999602e+01,5.598599999999999710e+01
9.000000000000000000e+00,3.848899999999999721e+01,1.948500000000000298e+01,3.871999999999999886e+01,5.614300000000000068e+01
1.000000000000000000e+01,3.822500000000000853e+01,1.960200000000000031e+01,3.805499999999999972e+01,5.646900000000000119e+01
1.100000000000000000e+01,3.911900000000000688e+01,2.226899999999999835e+01,3.798000000000000398e+01,5.549600000000000222e+01
1.200000000000000000e+01,4.014399999999999835e+01,2.325300000000000011e+01,4.036499999999999488e+01,5.601000000000000512e+01
1.300000000000000000e+01,4.005750000000000455e+01,2.595200000000000529e+01,3.917000000000000171e+01,5.668299999999999983e+01
1.400000000000000000e+01,4.077149999999998897e+01,2.833800000000000097e+01,4.025999999999999801e+01,5.637800000000000722e+01
1.500000000000000000e+01,4.086000000000000654e+01,2.640299999999999869e+01,3.962500000000000000e+01,5.625700000000000500e+01
1.600000000000000000e+01,4.061749999999999972e+01,2.337899999999999778e+01,3.980499999999999972e+01,5.661600000000000676e+01
1.700000000000000000e+01,4.169149999999999778e+01,2.670300000000000296e+01,3.937000000000000455e+01,5.773199999999999932e+01
1.800000000000000000e+01,4.154649999999999466e+01,2.515599999999999881e+01,3.904500000000000171e+01,5.719300000000000495e+01
1.900000000000000000e+01,4.159800000000000608e+01,2.632499999999999929e+01,4.087000000000000455e+01,5.697400000000000375e+01
2.000000000000000000e+01,4.234350000000000591e+01,2.641000000000000369e+01,4.025000000000000000e+01,5.761500000000000199e+01
2.100000000000000000e+01,4.179700000000000415e+01,2.583099999999999952e+01,3.986499999999999488e+01,5.759800000000000608e+01
2.200000000000000000e+01,4.253350000000000364e+01,2.715600000000000236e+01,4.083500000000000085e+01,5.634799999999999898e+01
2.300000000000000000e+01,4.279049999999999443e+01,2.784099999999999753e+01,4.142999999999999972e+01,5.868199999999999505e+01
2.400000000000000000e+01,4.260649999999999693e+01,2.644500000000000028e+01,4.104000000000000625e+01,5.686100000000000421e+01
2.500000000000000000e+01,4.354950000000000898e+01,2.809999999999999787e+01,4.356000000000000227e+01,5.756100000000000705e+01
2.600000000000000000e+01,4.325849999999999795e+01,2.890000000000000213e+01,4.237999999999999545e+01,5.702000000000001023e+01
2.700000000000000000e+01,4.400349999999998829e+01,2.911799999999999855e+01,4.235999999999999943e+01,5.709799999999999898e+01
2.800000000000000000e+01,4.365049999999999386e+01,2.945899999999999608e+01,4.163499999999999801e+01,5.757900000000000773e+01
2.900000000000000000e+01,4.310350000000000392e+01,2.946999999999999886e+01,4.138500000000000512e+01,5.806599999999999540e+01
3.000000000000000000e+01,4.375699999999999790e+01,2.875900000000000034e+01,4.162500000000000000e+01,5.978700000000000614e+01
3.100000000000000000e+01,4.410499999999999687e+01,2.881700000000000017e+01,4.516499999999999915e+01,5.916599999999999682e+01
3.200000000000000000e+01,4.310300000000000153e+01,2.824800000000000111e+01,4.145499999999999829e+01,6.001000000000000512e+01
3.300000000000000000e+01,4.376049999999999329e+01,2.872599999999999909e+01,4.215500000000000114e+01,5.851400000000000290e+01
3.400000000000000000e+01,4.380149999999999011e+01,3.011899999999999977e+01,4.151000000000000512e+01,5.844900000000000517e+01
3.500000000000000000e+01,4.453699999999999193e+01,2.969300000000000139e+01,4.323499999999999943e+01,5.834700000000000131e+01
3.600000000000000000e+01,4.436099999999999710e+01,3.015399999999999991e+01,4.242999999999999972e+01,5.857099999999999795e+01
3.700000000000000000e+01,4.410299999999999443e+01,2.917399999999999949e+01,4.087500000000000000e+01,5.857400000000000517e+01
3.800000000000000000e+01,4.321049999999998903e+01,2.969200000000000017e+01,4.123499999999999943e+01,5.758200000000000784e+01
3.900000000000000000e+01,4.458400000000000318e+01,2.888700000000000045e+01,4.263000000000000256e+01,5.873899999999999721e+01
4.000000000000000000e+01,4.496849999999999881e+01,2.936600000000000321e+01,4.304500000000000171e+01,6.019800000000000040e+01
4.100000000000000000e+01,4.464299999999999358e+01,2.842000000000000171e+01,4.214999999999999858e+01,5.964800000000000324e+01
4.200000000000000000e+01,4.505700000000000216e+01,3.100600000000000023e+01,4.270499999999999829e+01,5.991700000000000159e+01
4.300000000000000000e+01,4.511399999999999011e+01,2.884600000000000009e+01,4.442999999999999972e+01,5.821200000000000330e+01
4.400000000000000000e+01,4.451950000000000074e+01,3.066099999999999781e+01,4.187500000000000000e+01,5.958299999999999841e+01
