time_s,round,mean,p10,p50,p90
5.119225978851318359e+00,1.000000000000000000e+00,8.025165474621998030e-01,7.830434782608695077e-01,8.021739130434782927e-01,8.354192546583851797e-01
5.660220384597778320e+00,2.000000000000000000e+00,8.017455847292802584e-01,7.720217391304348142e-01,8.019565217391304568e-01,8.287267080745341907e-01
6.154342412948608398e+00,3.000000000000000000e+00,8.049990197001066772e-01,7.815652173913043566e-01,8.039328063241106825e-01,8.418633540372671975e-01
6.658317565917968750e+00,4.000000000000000000e+00,8.059297164188468088e-01,7.819565217391304390e-01,8.084133258046302117e-01,8.313260869565217703e-01
7.162011623382568359e+00,5.000000000000000000e+00,8.008055398707571992e-01,7.666014492753623344e-01,7.997101449275362262e-01,8.289130434782608914e-01
7.641938447952270508e+00,6.000000000000000000e+00,8.108106844845975880e-01,7.738260869565217748e-01,8.115612648221344205e-01,8.351708074534162085e-01
8.135740518569946289e+00,7.000000000000000000e+00,8.046687334404725167e-01,7.834615384615385425e-01,8.052717391304347050e-01,8.354106280193236422e-01
8.627226352691650391e+00,8.000000000000000000e+00,8.028968802936194971e-01,7.756739130434782137e-01,8.035869565217390598e-01,8.333229813664596586e-01
9.113556861877441406e+00,9.000000000000000000e+00,8.072603012929100430e-01,7.815802675585284964e-01,8.050724637681159201e-01,8.338509316770186253e-01
9.612741947174072266e+00,1.000000000000000000e+01,8.107443027986505069e-01,7.842101449275362679e-01,8.039855072463768515e-01,8.556521739130434900e-01
1.009881711006164551e+01,1.100000000000000000e+01,8.121684897228375055e-01,7.790167224080267738e-01,8.153985507246377384e-01,8.407971014492753303e-01
1.057903981208801270e+01,1.200000000000000000e+01,8.114023675599761898e-01,7.723913043478261020e-01,8.134057971014492239e-01,8.371739130434782128e-01
1.106935763359069824e+01,1.300000000000000000e+01,8.101603330244635526e-01,7.770072463768116222e-01,8.054841897233201431e-01,8.512318840579710111e-01
1.155538296699523926e+01,1.400000000000000000e+01,8.118573449497363814e-01,7.799264214046822685e-01,8.116425120772947643e-01,8.364492753623188337e-01
1.204534959793090820e+01,1.500000000000000000e+01,8.072263672318020777e-01,7.777224080267558515e-01,8.037988581466841698e-01,8.315942028985507939e-01
1.252778029441833496e+01,1.600000000000000000e+01,8.129014771460422173e-01,7.784515050167223338e-01,8.182608695652173747e-01,8.436956521739130688e-01
1.302541017532348633e+01,1.700000000000000000e+01,8.062116325703281294e-01,7.815652173913043566e-01,8.058498023715414682e-01,8.507246376811594679e-01
1.350573849678039551e+01,1.800000000000000000e+01,8.100448120719858647e-01,7.724013377926421953e-01,8.070048309178743384e-01,8.573913043478261775e-01
1.401166033744812012e+01,1.900000000000000000e+01,8.119571889463191861e-01,7.749565217391304328e-01,8.056763285024155508e-01,8.478260869565218405e-01
1.449505639076232910e+01,2.000000000000000000e+01,8.089898416800591630e-01,7.815283267457180383e-01,8.043478260869565410e-01,8.349130434782608967e-01
1.497166752815246582e+01,2.100000000000000000e+01,8.124586494423450267e-01,7.767984189723320387e-01,8.137598814229248800e-01,8.517391304347826653e-01
1.545132136344909668e+01,2.200000000000000000e+01,8.099179166244384609e-01,7.804637681159419804e-01,8.057312252964426991e-01,8.452898550724637916e-01
1.593118262290954590e+01,2.300000000000000000e+01,8.102044676338154838e-01,7.739130434782608425e-01,8.062801932367149593e-01,8.368115942028986343e-01
1.640700697898864746e+01,2.400000000000000000e+01,8.084601370851371982e-01,7.776811594202898137e-01,8.114624505928853537e-01,8.408695652173914237e-01
1.689097356796264648e+01,2.500000000000000000e+01,8.086455078737687652e-01,7.768502415458937715e-01,8.094202898550724168e-01,8.406521739130434767e-01
1.736973834037780762e+01,2.600000000000000000e+01,8.120210254721124121e-01,7.693992094861660247e-01,8.101581027667983381e-01,8.513043478260869934e-01
1.784199166297912598e+01,2.700000000000000000e+01,8.145642841458057282e-01,7.878985507246376585e-01,8.127964426877469784e-01,8.503623188405797784e-01
1.832370519638061523e+01,2.800000000000000000e+01,8.126916682351466026e-01,7.774505928853754355e-01,8.176086956521739779e-01,8.487681159420289445e-01
1.879902672767639160e+01,2.900000000000000000e+01,8.132801775519166165e-01,7.713768115942029047e-01,8.114130434782609314e-01,8.523913043478260620e-01
1.928998494148254395e+01,3.000000000000000000e+01,8.160208529393310206e-01,7.836758893280633131e-01,8.128321256038647524e-01,8.519565217391303902e-01
1.977567720413208008e+01,3.100000000000000000e+01,8.130330713972018231e-01,7.690579710144928027e-01,8.130676328502415284e-01,8.492391304347826075e-01
2.024568271636962891e+01,3.200000000000000000e+01,8.133803642010164481e-01,7.760144927536231085e-01,8.147826086956522218e-01,8.484782608695652373e-01
2.072026014328002930e+01,3.300000000000000000e+01,8.121033392935567141e-01,7.748550724637681686e-01,8.143774703557311589e-01,8.423913043478261642e-01
2.119956994056701660e+01,3.400000000000000000e+01,8.146367322291233615e-01,7.737944664031620734e-01,8.148369565217391530e-01,8.440217391304347672e-01
2.168725323677062988e+01,3.500000000000000000e+01,8.138172093606877988e-01,7.749802371541502088e-01,8.179841897233202097e-01,8.469254658385092505e-01
2.219784379005432129e+01,3.600000000000000000e+01,8.112137524311437975e-01,7.867588932806324209e-01,8.112055335968380021e-01,8.351086956521738269e-01
2.267166471481323242e+01,3.700000000000000000e+01,8.144003936884370853e-01,7.792028985507246652e-01,8.171497584541063119e-01,8.454658385093167805e-01
2.316313099861145020e+01,3.800000000000000000e+01,8.113736040529516691e-01,7.760144927536232196e-01,8.112083568605308326e-01,8.486956521739130732e-01
2.364517545700073242e+01,3.900000000000000000e+01,8.131365518539432902e-01,7.934782608695651884e-01,8.153381642512076422e-01,8.322204968944100223e-01
2.413960862159729004e+01,4.000000000000000000e+01,8.142789776648472477e-01,7.753260869565217206e-01,8.177173913043478404e-01,8.471635610766045099e-01
2.463663554191589355e+01,4.100000000000000000e+01,8.105252211556559505e-01,7.766666666666667274e-01,8.111857707509881887e-01,8.371739130434783238e-01
2.511290574073791504e+01,4.200000000000000000e+01,8.073722708450968844e-01,7.666666666666667185e-01,8.118577075098813989e-01,8.411739130434782163e-01
2.559610795974731445e+01,4.300000000000000000e+01,8.103921199573372869e-01,7.700543478260869490e-01,8.119565217391304657e-01,8.542934782608695432e-01
2.608987307548522949e+01,4.400000000000000000e+01,8.127916980362630550e-01,7.872282608695652106e-01,8.129951690821255461e-01,8.375983436853001729e-01
2.656353497505187988e+01,4.500000000000000000e+01,8.157241514524123938e-01,7.859627329192546696e-01,8.172049689440994413e-01,8.412422360248447140e-01
2.704300284385681152e+01,4.600000000000000000e+01,8.128703337725078359e-01,7.779140786749482173e-01,8.152613087395695901e-01,8.430279503105589933e-01
2.752182936668395996e+01,4.700000000000000000e+01,8.107768210050819713e-01,7.756521739130434190e-01,8.152777777777777679e-01,8.448136645962733837e-01
2.799798035621643066e+01,4.800000000000000000e+01,8.119331670744713847e-01,7.783850931677018803e-01,8.151086956521739202e-01,8.411180124223601728e-01
2.848720908164978027e+01,4.900000000000000000e+01,8.126479390175042061e-01,7.881677018633540532e-01,8.144409937888198447e-01,8.359999999999999654e-01
2.896483588218688965e+01,5.000000000000000000e+01,8.116330227743271397e-01,7.762163561076604879e-01,8.157608695652174280e-01,8.368944099378882173e-01
2.944464063644409180e+01,5.100000000000000000e+01,8.122096273291925517e-01,7.940124223602484932e-01,8.169565217391304701e-01,8.278695652173913011e-01
2.994970345497131348e+01,5.200000000000000000e+01,8.142945134575569899e-01,7.776086956521738314e-01,8.088888888888888795e-01,8.391925465838510068e-01
3.042549490928649902e+01,5.300000000000000000e+01,8.208516218081435278e-01,7.948913043478261775e-01,8.171497584541063119e-01,8.498136645962732771e-01
3.090698409080505371e+01,5.400000000000000000e+01,8.125322636300895685e-01,7.929192546583850865e-01,8.117391304347826297e-01,8.339378881987578040e-01
3.139349889755249023e+01,5.500000000000000000e+01,8.123825051759834270e-01,7.830072463768116275e-01,8.134782608695652062e-01,8.444347826086956443e-01
3.189756035804748535e+01,5.600000000000000000e+01,8.169021739130434279e-01,7.838509316770185809e-01,8.191304347826087184e-01,8.390062111801243061e-01
3.238506436347961426e+01,5.700000000000000000e+01,8.168667184265011594e-01,7.884782608695651840e-01,8.165217391304347982e-01,8.389192546583851273e-01
3.288290834426879883e+01,5.800000000000000000e+01,8.224001897860594434e-01,8.005652173913043734e-01,8.152864044168391944e-01,8.424844720496894590e-01
3.338178658485412598e+01,5.900000000000000000e+01,8.207009144237404907e-01,7.904968944099378669e-01,8.189311594202898226e-01,8.511801242236025633e-01
3.387038922309875488e+01,6.000000000000000000e+01,8.170992063492062973e-01,7.858757763975154909e-01,8.167391304347826342e-01,8.444720496894410067e-01
3.435390543937683105e+01,6.100000000000000000e+01,8.206049861973774284e-01,7.900414078674947715e-01,8.206521739130434590e-01,8.498136645962732771e-01
3.483128571510314941e+01,6.200000000000000000e+01,8.195489600978731470e-01,7.867934782608695388e-01,8.164855072463768071e-01,8.380124223602484212e-01
3.530960559844970703e+01,6.300000000000000000e+01,8.198249733358429214e-01,7.923105590062111681e-01,8.226811594202898537e-01,8.509937888198758627e-01
3.579818177223205566e+01,6.400000000000000000e+01,8.184273715415020245e-01,7.955335968379446676e-01,8.180434782608696498e-01,8.497018633540371901e-01
3.628705859184265137e+01,6.500000000000000000e+01,8.191563225421921723e-01,7.909090909090908950e-01,8.210326086956520886e-01,8.385217391304348178e-01
3.676960444450378418e+01,6.600000000000000000e+01,8.203003089905264167e-01,7.834105025409372480e-01,8.210144927536231485e-01,8.386231884057971930e-01
3.726707482337951660e+01,6.700000000000000000e+01,8.137660063366587426e-01,7.887803500846979343e-01,8.147644927536232817e-01,8.390062111801243061e-01
3.774405765533447266e+01,6.800000000000000000e+01,8.150583788192484747e-01,7.875550536420101722e-01,8.103864734299517369e-01,8.482608695652174013e-01
3.822559189796447754e+01,6.900000000000000000e+01,8.140423332705941650e-01,7.920609824957650646e-01,8.136956521739130421e-01,8.313664596273292462e-01
3.871408057212829590e+01,7.000000000000000000e+01,8.140442703431833849e-01,7.895849802371541770e-01,8.184057971014493393e-01,8.343913043478261571e-01
3.919103074073791504e+01,7.100000000000000000e+01,8.200166494133884765e-01,7.982891022021456617e-01,8.179736024844720399e-01,8.465217391304348249e-01
