round,mean,p10,p50,p90
1.000000000000000000e+00,1.965401382534114338e-01,1.635058544531713676e-01,1.992551620842045179e-01,2.161625096540437663e-01
2.000000000000000000e+00,1.965907807886853598e-01,1.634491994197524167e-01,1.993640291684714294e-01,2.170497306505606572e-01
3.000000000000000000e+00,1.970465608967067461e-01,1.634491994197524167e-01,1.983262897751220388e-01,2.221943870992833525e-01
4.000000000000000000e+00,1.970975913761694176e-01,1.648971083121091308e-01,1.983262897751220388e-01,2.207228470589358560e-01
5.000000000000000000e+00,1.972902267864500570e-01,1.648971083121091308e-01,1.987010700704111010e-01,2.208097932715383793e-01
6.000000000000000000e+00,1.974824521608246064e-01,1.676804024150022887e-01,1.988234801089122650e-01,2.193722278889558286e-01
7.000000000000000000e+00,1.980296185301191059e-01,1.705152812723303157e-01,1.988173735430479594e-01,2.190373408765433350e-01
8.000000000000000000e+00,1.981563184795639976e-01,1.705923531801074311e-01,1.989583723319707231e-01,2.191454070590092562e-01
9.000000000000000000e+00,1.977308680788666950e-01,1.707901991197257052e-01,1.960720126161489274e-01,2.191454070590092562e-01
1.000000000000000000e+01,1.946014020041642589e-01,1.606757351647650489e-01,1.950007161662981048e-01,2.192360281982860537e-01
1.100000000000000000e+01,1.959393500141916600e-01,1.690473012844813661e-01,1.950007161662981048e-01,2.201822880543858052e-01
1.200000000000000000e+01,1.947924641826695447e-01,1.690473012844813661e-01,1.934635646913698825e-01,2.202750022979802491e-01
1.300000000000000000e+01,1.947650156263661392e-01,1.693707584563035329e-01,1.934635646913698825e-01,2.202750022979802491e-01
1.400000000000000000e+01,1.948261742471141256e-01,1.693707584563035329e-01,1.935643565984387360e-01,2.203692364739850973e-01
1.500000000000000000e+01,1.946293368940442137e-01,1.697378044802166641e-01,1.942696418356922305e-01,2.190607975924193651e-01
1.600000000000000000e+01,1.947142861316661366e-01,1.697378044802166641e-01,1.945692854176468978e-01,2.191565942007345502e-01
1.700000000000000000e+01,1.954624359972015890e-01,1.701455995998669424e-01,1.948976082415027899e-01,2.240815392071155709e-01
1.800000000000000000e+01,1.956345674596261242e-01,1.701455995998669424e-01,1.949095001810760841e-01,2.241792673986193474e-01
1.900000000000000000e+01,1.961199319916851203e-01,1.705314510059992295e-01,1.955794257268205494e-01,2.226198960368832303e-01
2.000000000000000000e+01,1.956090764113465608e-01,1.705940006568925638e-01,1.962616096666796595e-01,2.205053272272044784e-01
2.100000000000000000e+01,1.955414808997553433e-01,1.710170375430624112e-01,1.962969772257913970e-01,2.205053272272044784e-01
2.200000000000000000e+01,1.957110727592752675e-01,1.711221766804946198e-01,1.966664805402509875e-01,2.196181424867718612e-01
2.300000000000000000e+01,1.957845569472738134e-01,1.715820859906570517e-01,1.966664805402509875e-01,2.186805954619917003e-01
2.400000000000000000e+01,1.957368658280757567e-01,1.716124193201868930e-01,1.966361674013633598e-01,2.187660984037436418e-01
2.500000000000000000e+01,1.945638966343241072e-01,1.632123737739028246e-01,1.966361674013633598e-01,2.180477680743683755e-01
2.600000000000000000e+01,1.947382811485742216e-01,1.642263869382176722e-01,1.963344268837142748e-01,2.262794938813498247e-01
2.700000000000000000e+01,1.945697644491166112e-01,1.653460905100035405e-01,1.963344268837142748e-01,2.262794938813498247e-01
2.800000000000000000e+01,1.931964234351369325e-01,1.653460905100035405e-01,1.921463516000451177e-01,2.267915585821889957e-01
2.900000000000000000e+01,1.933988984903518560e-01,1.664811114984278695e-01,1.933850694599829612e-01,2.259065068970746715e-01
3.000000000000000000e+01,1.910712699931567393e-01,1.506721050028052844e-01,1.934562775378413368e-01,2.259065068970746715e-01
3.100000000000000000e+01,1.924482521207331320e-01,1.688664064722615876e-01,1.934562775378413368e-01,2.249453130928210087e-01
3.200000000000000000e+01,1.924718135642753403e-01,1.681258151548542246e-01,1.928103579949366209e-01,2.239458845042897051e-01
3.300000000000000000e+01,1.926343709266638560e-01,1.681258151548542246e-01,1.928103579949366209e-01,2.240195272607317101e-01
3.400000000000000000e+01,1.936517334711221616e-01,1.708357900966969156e-01,1.919841167017925232e-01,2.230492040910753149e-01
3.500000000000000000e+01,1.929196886427513580e-01,1.707159334561392239e-01,1.914077917120536043e-01,2.220356228791361963e-01
3.600000000000000000e+01,1.929829876421772505e-01,1.706800152832252393e-01,1.911901754364076778e-01,2.212080680213858730e-01
3.700000000000000000e+01,1.931037084560164319e-01,1.705641281223098937e-01,1.906229920710487968e-01,2.224823068902740397e-01
3.800000000000000000e+01,1.931674610869179853e-01,1.705624400332770574e-01,1.904257856941462546e-01,2.224823068902740397e-01
3.900000000000000000e+01,1.932750632415025094e-01,1.704522148221727096e-01,1.898714640294717482e-01,2.229832786287394286e-01
4.000000000000000000e+01,1.938172288937235477e-01,1.704522148221727096e-01,1.896938541491419161e-01,2.230525233122125639e-01
4.100000000000000000e+01,1.939468766889580753e-01,1.705601738687962110e-01,1.891517660053965988e-01,2.235718107324723702e-01
4.200000000000000000e+01,1.941593144487280265e-01,1.708317099626519842e-01,1.892393677024409304e-01,2.235718107324723702e-01
