time_s,round,mean,p10,p50,p90
5.119225978851318359e+00,1.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
5.660220384597778320e+00,2.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
6.154342412948608398e+00,3.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
6.658317565917968750e+00,4.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
7.162011623382568359e+00,5.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
7.641938447952270508e+00,6.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
8.135740518569946289e+00,7.000000000000000000e+00,7.849999999999999645e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
8.627226352691650391e+00,8.000000000000000000e+00,7.849999999999999645e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
9.113556861877441406e+00,9.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
9.612741947174072266e+00,1.000000000000000000e+01,7.650000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.009881711006164551e+01,1.100000000000000000e+01,7.700000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.057903981208801270e+01,1.200000000000000000e+01,7.599999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.106935763359069824e+01,1.300000000000000000e+01,7.599999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.155538296699523926e+01,1.400000000000000000e+01,7.599999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.204534959793090820e+01,1.500000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.252778029441833496e+01,1.600000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.302541017532348633e+01,1.700000000000000000e+01,7.599999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.350573849678039551e+01,1.800000000000000000e+01,7.599999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.401166033744812012e+01,1.900000000000000000e+01,7.650000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.449505639076232910e+01,2.000000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.497166752815246582e+01,2.100000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.545132136344909668e+01,2.200000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.593118262290954590e+01,2.300000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.640700697898864746e+01,2.400000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.689097356796264648e+01,2.500000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.736973834037780762e+01,2.600000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.784199166297912598e+01,2.700000000000000000e+01,7.349999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.832370519638061523e+01,2.800000000000000000e+01,7.299999999999999822e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.879902672767639160e+01,2.900000000000000000e+01,7.299999999999999822e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.928998494148254395e+01,3.000000000000000000e+01,7.250000000000000000e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.977567720413208008e+01,3.100000000000000000e+01,7.250000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.024568271636962891e+01,3.200000000000000000e+01,7.250000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.072026014328002930e+01,3.300000000000000000e+01,7.250000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.119956994056701660e+01,3.400000000000000000e+01,7.299999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.168725323677062988e+01,3.500000000000000000e+01,7.250000000000000000e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.219784379005432129e+01,3.600000000000000000e+01,7.250000000000000000e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.267166471481323242e+01,3.700000000000000000e+01,7.250000000000000000e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.316313099861145020e+01,3.800000000000000000e+01,7.250000000000000000e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.364517545700073242e+01,3.900000000000000000e+01,7.250000000000000000e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.413960862159729004e+01,4.000000000000000000e+01,7.299999999999999822e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.463663554191589355e+01,4.100000000000000000e+01,7.299999999999999822e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.511290574073791504e+01,4.200000000000000000e+01,7.299999999999999822e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.559610795974731445e+01,4.300000000000000000e+01,7.299999999999999822e+00,3.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.608987307548522949e+01,4.400000000000000000e+01,7.150000000000000355e+00,3.800000000000000266e+00,7.500000000000000000e+00,1.010000000000000142e+01
2.656353497505187988e+01,4.500000000000000000e+01,7.200000000000000178e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.704300284385681152e+01,4.600000000000000000e+01,7.200000000000000178e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.752182936668395996e+01,4.700000000000000000e+01,7.200000000000000178e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.799798035621643066e+01,4.800000000000000000e+01,7.200000000000000178e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.848720908164978027e+01,4.900000000000000000e+01,7.200000000000000178e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.896483588218688965e+01,5.000000000000000000e+01,7.250000000000000000e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.020000000000000284e+01
2.944464063644409180e+01,5.100000000000000000e+01,7.250000000000000000e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.020000000000000284e+01
2.994970345497131348e+01,5.200000000000000000e+01,7.200000000000000178e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.020000000000000284e+01
3.042549490928649902e+01,5.300000000000000000e+01,7.200000000000000178e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.020000000000000284e+01
3.090698409080505371e+01,5.400000000000000000e+01,7.200000000000000178e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.020000000000000284e+01
3.139349889755249023e+01,5.500000000000000000e+01,7.200000000000000178e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.020000000000000284e+01
3.189756035804748535e+01,5.600000000000000000e+01,7.200000000000000178e+00,3.800000000000000266e+00,7.000000000000000000e+00,1.020000000000000284e+01
3.238506436347961426e+01,5.700000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.020000000000000284e+01
3.288290834426879883e+01,5.800000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.020000000000000284e+01
3.338178658485412598e+01,5.900000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.020000000000000284e+01
3.387038922309875488e+01,6.000000000000000000e+01,7.099999999999999645e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.020000000000000284e+01
3.435390543937683105e+01,6.100000000000000000e+01,7.099999999999999645e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.020000000000000284e+01
3.483128571510314941e+01,6.200000000000000000e+01,7.049999999999999822e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.010000000000000142e+01
