time_s,round,mean,p10,p50,p90
1.471294522285461426e+01,1.000000000000000000e+00,4.898087968375351015e-03,4.511000883269775281e-03,4.909376749467318085e-03,5.328704682992592249e-03
1.524088215827941895e+01,2.000000000000000000e+00,4.892357591767734597e-03,4.519208500167073810e-03,4.909376749467318085e-03,5.328704682992592249e-03
1.564246630668640137e+01,3.000000000000000000e+00,4.900465012281161013e-03,4.519208500167073810e-03,4.929933412529291167e-03,5.394566770254433964e-03
1.608418583869934082e+01,4.000000000000000000e+00,4.902721593357769678e-03,4.528086516389886323e-03,4.942126529678521341e-03,5.394566770254433964e-03
1.659337973594665527e+01,5.000000000000000000e+00,4.901968663339083786e-03,4.528086516389886323e-03,4.943852899126652788e-03,5.370002296588028898e-03
1.710946440696716309e+01,6.000000000000000000e+00,4.907087201418468790e-03,4.527033707306744176e-03,4.946075948605558117e-03,5.424592333572855751e-03
1.763546919822692871e+01,7.000000000000000000e+00,4.908022364941394544e-03,4.527033707306744176e-03,4.946075948605558117e-03,5.435884264921999470e-03
1.811796832084655762e+01,8.000000000000000000e+00,4.908887866285876166e-03,4.506950540791269423e-03,4.943981610237123056e-03,5.435884264921999470e-03
1.859437108039855957e+01,9.000000000000000000e+00,4.904622253808601715e-03,4.507484743791432061e-03,4.917460932868902151e-03,5.447611120920790514e-03
1.906761717796325684e+01,1.000000000000000000e+01,4.906979925742321891e-03,4.487868609322353750e-03,4.907120223381493916e-03,5.447611120920790514e-03
1.955737495422363281e+01,1.100000000000000000e+01,4.921915750588653528e-03,4.521132596982890828e-03,4.889940824071266692e-03,5.458370306602851330e-03
2.001479411125183105e+01,1.200000000000000000e+01,4.932306767379419574e-03,4.515996351355545772e-03,4.889940824071266692e-03,5.470535442599095723e-03
2.048303699493408203e+01,1.300000000000000000e+01,4.924637582194742007e-03,4.491459572866525647e-03,4.898247273497437909e-03,5.470602378820982152e-03
2.094555592536926270e+01,1.400000000000000000e+01,4.924669761746448479e-03,4.474738727327288480e-03,4.888242489871612133e-03,5.470602378820982152e-03
2.141623091697692871e+01,1.500000000000000000e+01,4.906534757137511263e-03,4.476677490120954325e-03,4.876219080141048524e-03,5.483156166052141969e-03
2.188663792610168457e+01,1.600000000000000000e+01,4.905510158672224744e-03,4.469339824658675672e-03,4.866401945029875768e-03,5.483156166052141969e-03
2.235989284515380859e+01,1.700000000000000000e+01,4.917401686575306220e-03,4.512383188700105040e-03,4.862775007102443370e-03,5.418452611595890069e-03
2.283934950828552246e+01,1.800000000000000000e+01,4.877171780462487630e-03,4.486461331244392774e-03,4.853169590606794433e-03,5.403074923714047857e-03
2.330329918861389160e+01,1.900000000000000000e+01,4.857710781442614936e-03,4.488666287053322615e-03,4.828030598830088463e-03,5.403074923714047857e-03
2.376144623756408691e+01,2.000000000000000000e+01,4.861398822033931658e-03,4.488666287053322615e-03,4.828030598830088463e-03,5.387918850305994239e-03
2.422822833061218262e+01,2.100000000000000000e+01,4.859296727335868545e-03,4.486928193355061399e-03,4.818791904418846458e-03,5.389228512800410022e-03
2.469117236137390137e+01,2.200000000000000000e+01,4.853623241110491433e-03,4.478020962850616168e-03,4.772477525280089186e-03,5.397883303138073692e-03
2.516817259788513184e+01,2.300000000000000000e+01,4.853431255623819052e-03,4.476396942025389659e-03,4.763442722884333666e-03,5.397883303138073692e-03
2.568227791786193848e+01,2.400000000000000000e+01,4.864740161152347753e-03,4.476396942025389659e-03,4.784773639699532038e-03,5.406793395803382273e-03
2.618405795097351074e+01,2.500000000000000000e+01,4.880830091524468624e-03,4.518987033474156090e-03,4.784773639699532038e-03,5.408137185472368727e-03
2.666607093811035156e+01,2.600000000000000000e+01,4.852308104658389215e-03,4.518987033474156090e-03,4.776202251613085627e-03,5.248685953983959866e-03
2.716914343833923340e+01,2.700000000000000000e+01,4.851466783655650379e-03,4.521388442273986848e-03,4.768307135373207710e-03,5.247180913368771835e-03
2.765208935737609863e+01,2.800000000000000000e+01,4.831831901566848060e-03,4.521388442273986848e-03,4.732613548800784428e-03,5.252024658203961922e-03
2.815709114074707031e+01,2.900000000000000000e+01,4.833495992963303747e-03,4.526629167529284611e-03,4.745991550269320312e-03,5.250570501417819134e-03
2.862549853324890137e+01,3.000000000000000000e+01,4.831711944636635225e-03,4.526629167529284611e-03,4.750015106377842959e-03,5.254328339625492610e-03
2.910440874099731445e+01,3.100000000000000000e+01,4.846285993752063800e-03,4.531190042408189851e-03,4.747667283014633116e-03,5.270316656733519713e-03
2.958740115165710449e+01,3.200000000000000000e+01,4.846429024691374134e-03,4.567716444080960683e-03,4.747667283014633116e-03,5.275902971171289937e-03
3.006169724464416504e+01,3.300000000000000000e+01,4.857414188981849269e-03,4.595545286320307232e-03,4.787832458441399971e-03,5.274080571915544871e-03
3.053939032554626465e+01,3.400000000000000000e+01,4.857530767982039602e-03,4.583853549072850267e-03,4.787874712907020866e-03,5.278236920540261591e-03
3.100605702400207520e+01,3.500000000000000000e+01,4.860290190878135963e-03,4.583853549072850267e-03,4.787874712907020866e-03,5.278236920540261591e-03
3.150235199928283691e+01,3.600000000000000000e+01,4.860949076897587949e-03,4.573474620988061436e-03,4.787874712907020866e-03,5.276510051845879033e-03
3.197291207313537598e+01,3.700000000000000000e+01,4.870925364024331419e-03,4.573474620988061436e-03,4.795442121876212702e-03,5.281217578297929885e-03
3.244280958175659180e+01,3.800000000000000000e+01,4.871751189639359457e-03,4.563361043770755403e-03,4.810778482839193904e-03,5.281217578297929885e-03
3.292074847221374512e+01,3.900000000000000000e+01,4.874136366398859437e-03,4.564278179050940479e-03,4.810778482839193904e-03,5.286424362567707265e-03
3.343161749839782715e+01,4.000000000000000000e+01,4.793563413821881961e-03,4.543201946556765444e-03,4.802785569470939542e-03,5.284818114929340505e-03
3.390927815437316895e+01,4.100000000000000000e+01,4.798270250120200905e-03,4.569187564136613020e-03,4.799301309513731226e-03,5.210012348303256872e-03
3.438651061058044434e+01,4.200000000000000000e+01,4.791680603898618163e-03,4.569187564136613020e-03,4.783293525366679941e-03,5.208451068687931437e-03
3.487076115608215332e+01,4.300000000000000000e+01,4.806501080461757398e-03,4.621365841114518855e-03,4.794729592056250558e-03,5.200950902232133813e-03
3.534491586685180664e+01,4.400000000000000000e+01,4.819386888885266763e-03,4.621365841114518855e-03,4.794729592056250558e-03,5.237801943336242716e-03
3.581827020645141602e+01,4.500000000000000000e+01,4.802687724675687442e-03,4.614306196518239492e-03,4.800590195769649168e-03,5.195901987407928156e-03
3.630858993530273438e+01,4.600000000000000000e+01,4.803345686781763935e-03,4.614306196518239492e-03,4.799470313174545449e-03,5.185269161329453431e-03
3.681119179725646973e+01,4.700000000000000000e+01,4.814212635902627435e-03,4.607417681197022337e-03,4.819554781795291898e-03,5.185269161329453431e-03
3.730001854896545410e+01,4.800000000000000000e+01,4.821958934265077948e-03,4.609365991600935727e-03,4.855600490531391394e-03,5.174990821319009303e-03
3.780085635185241699e+01,4.900000000000000000e+01,4.822746164882990225e-03,4.609365991600935727e-03,4.852910781781414121e-03,5.173637103682787210e-03
3.830276083946228027e+01,5.000000000000000000e+01,4.825016821207213889e-03,4.622195625446551270e-03,4.843345821740849613e-03,5.173637103682787210e-03
3.877328896522521973e+01,5.100000000000000000e+01,4.825428246702003973e-03,4.622195625446551270e-03,4.849089500066006836e-03,5.163801273201359954e-03
3.926958179473876953e+01,5.200000000000000000e+01,4.825297863381079397e-03,4.625598175176538068e-03,4.864772698703804729e-03,5.162535406192931935e-03
3.975951290130615234e+01,5.300000000000000000e+01,4.832718508967256098e-03,4.598578177657007028e-03,4.864772698703804729e-03,5.161315406734518982e-03
4.023049378395080566e+01,5.400000000000000000e+01,4.834268470078192589e-03,4.600233502211444753e-03,4.871257342478747115e-03,5.153167514824003904e-03
4.070845818519592285e+01,5.500000000000000000e+01,4.809379119086020470e-03,4.542057048498145122e-03,4.880746738870437099e-03,5.151997175492741173e-03
4.119431996345520020e+01,5.600000000000000000e+01,4.825952089189881715e-03,4.542057048498145122e-03,4.887504870740588120e-03,5.143075745878537310e-03
4.168926835060119629e+01,5.700000000000000000e+01,4.824806729754929288e-03,4.510127606195199999e-03,4.894202384928917141e-03,5.143075745878537310e-03
4.217829203605651855e+01,5.800000000000000000e+01,4.814911263222957163e-03,4.508575523265200176e-03,4.866595948818023751e-03,5.141990029475226008e-03
4.266587996482849121e+01,5.900000000000000000e+01,4.813623485212789599e-03,4.477739710021085007e-03,4.862726925787807034e-03,5.133494552820034272e-03
4.315091109275817871e+01,6.000000000000000000e+01,4.801808468541777716e-03,4.476193439180342973e-03,4.851089271505858863e-03,5.133494552820034272e-03
4.365057873725891113e+01,6.100000000000000000e+01,4.799836854887931312e-03,4.444288973365249744e-03,4.847566225352048855e-03,5.125430829811782052e-03
4.416715908050537109e+01,6.200000000000000000e+01,4.809171371961444390e-03,4.444288973365249744e-03,4.847566225352048855e-03,5.125313184101363759e-03
4.466760182380676270e+01,6.300000000000000000e+01,4.842102026561602782e-03,4.581579932180578942e-03,4.849245108314772373e-03,5.125313184101363759e-03
4.515265703201293945e+01,6.400000000000000000e+01,4.866934122647251573e-03,4.590793926489231819e-03,4.892969906599703780e-03,5.119488396228808608e-03
4.562699103355407715e+01,6.500000000000000000e+01,4.866896753456233064e-03,4.587526666976625596e-03,4.892516408914708917e-03,5.119488396228808608e-03
4.610075497627258301e+01,6.600000000000000000e+01,4.866287298368169104e-03,4.590314648869463221e-03,4.890009998431124952e-03,5.121116719468104227e-03
4.660265040397644043e+01,6.700000000000000000e+01,4.860186408542853040e-03,4.582299767942998869e-03,4.893006107234037713e-03,5.114705895851608813e-03
4.709154629707336426e+01,6.800000000000000000e+01,4.861363330246238831e-03,4.579144575651032320e-03,4.890858958367980125e-03,5.116507369986056722e-03
4.759947228431701660e+01,6.900000000000000000e+01,4.870579266708061766e-03,4.579144575651032320e-03,4.932614604474704761e-03,5.110465047639630755e-03
4.815817260742187500e+01,7.000000000000000000e+01,4.855856215894975916e-03,4.576567018069962328e-03,4.929692450741953585e-03,5.086643221668496126e-03
4.865297007560729980e+01,7.100000000000000000e+01,4.871189398854757976e-03,4.581448666027668898e-03,4.930205629856252228e-03,5.080729159979805419e-03
4.916741394996643066e+01,7.200000000000000000e+01,4.885233021669417239e-03,4.581760711146677829e-03,4.934762502705292847e-03,5.111246532516049330e-03
4.969667601585388184e+01,7.300000000000000000e+01,4.886181801755236712e-03,4.558115009566558219e-03,4.936927787708749599e-03,5.107346072588481688e-03
5.020199275016784668e+01,7.400000000000000000e+01,4.877585741965713949e-03,4.562999293655192919e-03,4.926952372097637492e-03,5.103473558071195890e-03
5.069188714027404785e+01,7.500000000000000000e+01,4.905993878185847812e-03,4.591456008488511813e-03,4.928618272708800915e-03,5.116936374293346197e-03
5.118500971794128418e+01,7.600000000000000000e+01,4.921050082190696687e-03,4.592047557889223676e-03,4.933738904305857639e-03,5.177612623724402695e-03
5.169121909141540527e+01,7.700000000000000000e+01,4.941515312513366370e-03,4.597979900412718646e-03,4.936514035561879316e-03,5.242504336674138482e-03
5.216766166687011719e+01,7.800000000000000000e+01,4.950256524774007336e-03,4.641843592441886879e-03,4.941283535810497840e-03,5.255861747681877909e-03
5.264834761619567871e+01,7.900000000000000000e+01,4.957072668158027037e-03,4.641843592441886879e-03,4.941283535810497840e-03,5.288577474745254428e-03
5.312507653236389160e+01,8.000000000000000000e+01,4.957703633787490308e-03,4.685348152330325207e-03,4.955071382598817339e-03,5.284206989894667597e-03
5.361539959907531738e+01,8.100000000000000000e+01,4.965308477362403820e-03,4.729293294879027311e-03,4.973156600995926047e-03,5.244162603341993682e-03
5.409795117378234863e+01,8.200000000000000000e+01,4.968295156732632258e-03,4.745558601018677082e-03,4.990676583910208693e-03,5.215662364529409512e-03
5.457999873161315918e+01,8.300000000000000000e+01,4.965001342548908646e-03,4.740217610638337332e-03,4.990676583910208693e-03,5.203721688811264665e-03
5.507213211059570312e+01,8.400000000000000000e+01,4.965213625704718511e-03,4.739791319796965961e-03,5.008925062364744454e-03,5.191391342134910741e-03
5.555167102813720703e+01,8.500000000000000000e+01,4.946314995695547979e-03,4.693731870131434385e-03,4.960690457789211291e-03,5.185473158479378397e-03
5.602744984626770020e+01,8.600000000000000000e+01,4.948962158867800318e-03,4.693731870131434385e-03,4.979384673127326341e-03,5.155604099125759947e-03
5.651073694229125977e+01,8.700000000000000000e+01,4.949231060880601892e-03,4.710475780817676567e-03,5.003891697351865384e-03,5.154861694370131871e-03
5.698950362205505371e+01,8.800000000000000000e+01,4.957900398203576343e-03,4.710076860891955486e-03,5.015962531577376413e-03,5.176566717811375944e-03
5.745747065544128418e+01,8.900000000000000000e+01,4.958195588003506439e-03,4.727201463530085294e-03,5.040493056712593012e-03,5.170371177493008133e-03
5.794931817054748535e+01,9.000000000000000000e+01,4.947074208736246259e-03,4.725294822126606051e-03,4.985118579883715019e-03,5.160915375726525707e-03
5.843110227584838867e+01,9.100000000000000000e+01,4.925534974091337614e-03,4.696051198301431397e-03,4.897124584312315641e-03,5.309610597760156675e-03
5.890638351440429688e+01,9.200000000000000000e+01,4.925891973141696516e-03,4.696051198301431397e-03,4.910639868949125825e-03,5.309610597760156675e-03
5.939565396308898926e+01,9.300000000000000000e+01,4.922550044363399602e-03,4.697394423474486082e-03,4.910639868949125825e-03,5.275573688282323911e-03
5.987000966072082520e+01,9.400000000000000000e+01,4.909791328623821886e-03,4.572235283900223657e-03,4.907677815688390142e-03,5.242717996326334839e-03
6.034684586524963379e+01,9.500000000000000000e+01,4.897090260215283992e-03,4.572235283900223657e-03,4.892198604547243375e-03,5.213643727892974637e-03
6.082079625129699707e+01,9.600000000000000000e+01,4.895362285147288918e-03,4.570883046645067560e-03,4.889025180638590859e-03,5.211648485540550622e-03
6.129075002670288086e+01,9.700000000000000000e+01,4.887742805131977189e-03,4.567842405189973497e-03,4.889885538153960695e-03,5.210242125492904608e-03
6.177002310752868652e+01,9.800000000000000000e+01,4.884712653796609988e-03,4.567842405189973497e-03,4.890063159470328484e-03,5.210242125492904608e-03
6.224342656135559082e+01,9.900000000000000000e+01,4.922929234874620988e-03,4.677981041549809059e-03,4.887469877638168925e-03,5.208615295173859953e-03
6.271042847633361816e+01,1.000000000000000000e+02,4.922045767189834123e-03,4.677981041549809059e-03,4.884267826711792201e-03,5.208751664271725479e-03
6.318953299522399902e+01,1.010000000000000000e+02,4.917435408981660552e-03,4.693395598057746934e-03,4.883428777586893733e-03,5.205677823220594691e-03
6.369421315193176270e+01,1.020000000000000000e+02,4.919411432826833672e-03,4.708154450964641483e-03,4.881307813322195710e-03,5.205677823220594691e-03
6.417694115638732910e+01,1.030000000000000000e+02,4.914608070512401471e-03,4.690448486478356570e-03,4.873632301508556974e-03,5.205846681616151626e-03
6.465815281867980957e+01,1.040000000000000000e+02,4.916972157442980884e-03,4.690448486478356570e-03,4.857544694448706971e-03,5.201207578869737960e-03
6.516224670410156250e+01,1.050000000000000000e+02,4.915387244649943761e-03,4.663531520741998407e-03,4.843861127998533300e-03,5.201207578869737960e-03
6.562840676307678223e+01,1.060000000000000000e+02,4.922348318652712724e-03,4.663531520741998407e-03,4.874425692705254207e-03,5.201399314988541106e-03
6.612303161621093750e+01,1.070000000000000000e+02,4.919472546004431159e-03,4.637505932495710956e-03,4.874144666374623409e-03,5.197120439175663235e-03
6.661957597732543945e+01,1.080000000000000000e+02,4.918037394235187133e-03,4.612153041570110981e-03,4.877183277156119448e-03,5.197120439175663235e-03
6.710504460334777832e+01,1.090000000000000000e+02,4.918244930867416570e-03,4.608876129786440741e-03,4.877203719431272462e-03,5.197341556502972464e-03
6.758091354370117188e+01,1.100000000000000000e+02,4.908094167828622525e-03,4.584211290522411178e-03,4.877959815181648166e-03,5.130887101564575101e-03
6.807043480873107910e+01,1.110000000000000000e+02,4.890228578036730396e-03,4.556323618586283902e-03,4.869743353503186087e-03,5.130887101564575101e-03
6.856651854515075684e+01,1.120000000000000000e+02,4.887543583890147439e-03,4.555872110088448647e-03,4.854586978232105707e-03,5.131418102252762251e-03
6.904157710075378418e+01,1.130000000000000000e+02,4.887524709842811128e-03,4.555872110088448647e-03,4.858564498853976468e-03,5.131664187858161509e-03
6.950722789764404297e+01,1.140000000000000000e+02,4.879103355154601127e-03,4.536090327005831702e-03,4.850318204547655020e-03,5.132085347291995281e-03
6.998879337310791016e+01,1.150000000000000000e+02,4.878634778519365042e-03,4.536090327005831702e-03,4.859266564785550899e-03,5.132085347291995281e-03
7.048079013824462891e+01,1.160000000000000000e+02,4.875688213975768945e-03,4.528164402022194501e-03,4.859266564785550899e-03,5.133233838949429959e-03
7.094393277168273926e+01,1.170000000000000000e+02,4.873898113921157869e-03,4.525299398303029436e-03,4.867816492408378465e-03,5.133233838949429959e-03
7.143210625648498535e+01,1.180000000000000000e+02,4.878355198271563248e-03,4.522865402273854897e-03,4.867816492408378465e-03,5.224384696603667430e-03
7.192443251609802246e+01,1.190000000000000000e+02,4.877332940989389555e-03,4.520629099793592627e-03,4.864836507009275696e-03,5.224684855642803410e-03
7.239452981948852539e+01,1.200000000000000000e+02,4.874247660544698754e-03,4.518273703358352197e-03,4.859067950315975118e-03,5.224404584924050368e-03
7.286786532402038574e+01,1.210000000000000000e+02,4.934383541055498666e-03,4.516685339561982149e-03,4.875614811239986982e-03,5.508383168510540967e-03
7.334298038482666016e+01,1.220000000000000000e+02,4.929969328369412582e-03,4.516184220690108025e-03,4.875614811239986982e-03,5.511337740431086936e-03
7.381845521926879883e+01,1.230000000000000000e+02,4.928820903178482080e-03,4.516184220690108025e-03,4.881660353931414030e-03,5.511337740431086936e-03
7.430598640441894531e+01,1.240000000000000000e+02,4.936683527413389741e-03,4.622682896700247394e-03,4.881660353931414030e-03,5.512420286980285536e-03
7.478117704391479492e+01,1.250000000000000000e+02,4.934300319374832974e-03,4.638578687848982605e-03,4.888120127716272592e-03,5.515604629180093782e-03
7.524554443359375000e+01,1.260000000000000000e+02,4.937660100015434268e-03,4.638578687848982605e-03,4.888120127716272592e-03,5.515604629180093782e-03
7.571155190467834473e+01,1.270000000000000000e+02,4.933937782890951071e-03,4.647366910586371060e-03,4.926510864727742800e-03,5.320245231213071614e-03
7.618453669548034668e+01,1.280000000000000000e+02,4.931758958600140734e-03,4.647366910586371060e-03,4.931667965705797269e-03,5.320245231213071614e-03
7.666482853889465332e+01,1.290000000000000000e+02,4.937388910036383076e-03,4.620946257963801269e-03,4.931667965705797269e-03,5.320628707335313574e-03
7.715594506263732910e+01,1.300000000000000000e+02,4.944752927784733763e-03,4.595901342524816129e-03,4.965770921697396784e-03,5.323009358248747581e-03
7.763160157203674316e+01,1.310000000000000000e+02,4.940963016702766379e-03,4.570156472878587547e-03,4.976692841790610750e-03,5.323009358248747581e-03
