round,mean,p10,p50,p90
1.000000000000000000e+00,1.938852781025210414e-01,1.706600529961864732e-01,1.945626049680390934e-01,2.197222809795554843e-01
2.000000000000000000e+00,1.935414555060640251e-01,1.711525100100244334e-01,1.945626049680390934e-01,2.197222809795554843e-01
3.000000000000000000e+00,1.940279007368696240e-01,1.711525100100244334e-01,1.957960047517574298e-01,2.236740062152660080e-01
4.000000000000000000e+00,1.941632956014661404e-01,1.716851909833931877e-01,1.965275917807113026e-01,2.236740062152660080e-01
5.000000000000000000e+00,1.941181198003451291e-01,1.716851909833931877e-01,1.966311739475991305e-01,2.222001377952818324e-01
6.000000000000000000e+00,1.944252320851081461e-01,1.716220224384045756e-01,1.967645569163334884e-01,2.254755400143713395e-01
7.000000000000000000e+00,1.944813418964836393e-01,1.716220224384045756e-01,1.967645569163334884e-01,2.261530558953199488e-01
8.000000000000000000e+00,1.945332719771526164e-01,1.704170324474761911e-01,1.966388966142273986e-01,2.261530558953199488e-01
9.000000000000000000e+00,1.942773352285161181e-01,1.704490846274859250e-01,1.950476559721341097e-01,2.268566672552474739e-01
1.000000000000000000e+01,1.944187955445393079e-01,1.692721165593411847e-01,1.944272134028895982e-01,2.268566672552474739e-01
1.100000000000000000e+01,1.953149450353191818e-01,1.712679558189733886e-01,1.933964494442759752e-01,2.275022183961711297e-01
1.200000000000000000e+01,1.959384060427651064e-01,1.709597810813327512e-01,1.933964494442759752e-01,2.282321265559457968e-01
1.300000000000000000e+01,1.954782549316845253e-01,1.694875743719914396e-01,1.938948364098462829e-01,2.282361427292589062e-01
1.400000000000000000e+01,1.954801857047869240e-01,1.684843236396373067e-01,1.932945493922967328e-01,2.282361427292589062e-01
1.500000000000000000e+01,1.943920854282507049e-01,1.686006494072572748e-01,1.925731448084628816e-01,2.289893699631284918e-01
1.600000000000000000e+01,1.943306095203334860e-01,1.681603894795205278e-01,1.919841167017925232e-01,2.289893699631284918e-01
1.700000000000000000e+01,1.950441011945183711e-01,1.707429913220063211e-01,1.917665004261465966e-01,2.251071566957533743e-01
1.800000000000000000e+01,1.926303068277492314e-01,1.691876798746635713e-01,1.911901754364076778e-01,2.241844954228428555e-01
1.900000000000000000e+01,1.914626468865568976e-01,1.693199772231993305e-01,1.896818359298052259e-01,2.241844954228428555e-01
2.000000000000000000e+01,1.916839293220359841e-01,1.693199772231993305e-01,1.896818359298052259e-01,2.232751310183596904e-01
2.100000000000000000e+01,1.915578036401520134e-01,1.692156916013036472e-01,1.891275142651307473e-01,2.233537107680245992e-01
2.200000000000000000e+01,1.912173944666294978e-01,1.686812577710369854e-01,1.863486515168053248e-01,2.238729981882843778e-01
2.300000000000000000e+01,1.912058753374291376e-01,1.685838165215234052e-01,1.858065633730600075e-01,2.238729981882843778e-01
2.400000000000000000e+01,1.918844096691408319e-01,1.685838165215234052e-01,1.870864183819719306e-01,2.244076037482029551e-01
2.500000000000000000e+01,1.928498054914681292e-01,1.711392220084493321e-01,1.870864183819719306e-01,2.244882311283421528e-01
2.600000000000000000e+01,1.911384862795033612e-01,1.711392220084493321e-01,1.865721350967851078e-01,2.149211572390375968e-01
2.700000000000000000e+01,1.910880070193390345e-01,1.712833065364392227e-01,1.860984281223924675e-01,2.148308548021263253e-01
2.800000000000000000e+01,1.899099140940109787e-01,1.712833065364392227e-01,1.839568129280471365e-01,2.151214794922376716e-01
2.900000000000000000e+01,1.900097595777982540e-01,1.715977500517570919e-01,1.847594930161592375e-01,2.150342300850690835e-01
3.000000000000000000e+01,1.899027166781980802e-01,1.715977500517570919e-01,1.850009063826706102e-01,2.152597003775295614e-01
3.100000000000000000e+01,1.907771596251238155e-01,1.718714025444914029e-01,1.848600369808779953e-01,2.162189994040111529e-01
3.200000000000000000e+01,1.907857414814823627e-01,1.740629866448576146e-01,1.848600369808779953e-01,2.165541782702773976e-01
3.300000000000000000e+01,1.914448513389109818e-01,1.757327171792184561e-01,1.872699475064839580e-01,2.164448343149326937e-01
3.400000000000000000e+01,1.914518460789223497e-01,1.750312129443709896e-01,1.872724827744212672e-01,2.166942152324156934e-01
3.500000000000000000e+01,1.916174114526881245e-01,1.750312129443709896e-01,1.872724827744212672e-01,2.166942152324156934e-01
3.600000000000000000e+01,1.916569446138552679e-01,1.744084772592836563e-01,1.872724827744212672e-01,2.165906031107527885e-01
3.700000000000000000e+01,1.922555218414599421e-01,1.744084772592836563e-01,1.877265273125727774e-01,2.168730546978758777e-01
3.800000000000000000e+01,1.923050713783615862e-01,1.738016626262453013e-01,1.886467089703516287e-01,2.168730546978758777e-01
3.900000000000000000e+01,1.924481819839314878e-01,1.738566907430564301e-01,1.886467089703516287e-01,2.171854617540624754e-01
4.000000000000000000e+01,1.876138048293129468e-01,1.725921167934059419e-01,1.881671341682563114e-01,2.170890868957604802e-01
4.100000000000000000e+01,1.878962150072119863e-01,1.741512538481967687e-01,1.879580785708238333e-01,2.126007408981955005e-01
4.200000000000000000e+01,1.875008362339170565e-01,1.741512538481967687e-01,1.869976115220007840e-01,2.125070641212759848e-01
4.300000000000000000e+01,1.883900648277054279e-01,1.772819504668711743e-01,1.876837755233750071e-01,2.120570541339280302e-01
4.400000000000000000e+01,1.891632133331160592e-01,1.772819504668711743e-01,1.876837755233750071e-01,2.142681166001745297e-01
4.500000000000000000e+01,1.881612634805412410e-01,1.768583717910943154e-01,1.880354117461789376e-01,2.117541192444756804e-01
4.600000000000000000e+01,1.882007412069058305e-01,1.768583717910943154e-01,1.879682187904727630e-01,2.111161496797671622e-01
4.700000000000000000e+01,1.888527581541577238e-01,1.764450608718213520e-01,1.891732869077175083e-01,2.111161496797671622e-01
4.800000000000000000e+01,1.893175360559046783e-01,1.765619594960561589e-01,1.913360294318834365e-01,2.104994492791405492e-01
4.900000000000000000e+01,1.893647698929793732e-01,1.765619594960561589e-01,1.911746469068848486e-01,2.104182262209672305e-01
5.000000000000000000e+01,1.895010092724328243e-01,1.773317375267930984e-01,1.906007493044509782e-01,2.104182262209672305e-01
5.100000000000000000e+01,1.895256948021201981e-01,1.773317375267930984e-01,1.909453700039603907e-01,2.098280763920816194e-01
5.200000000000000000e+01,1.895178718028646681e-01,1.775358905105922092e-01,1.918863619222282713e-01,2.097521243715759487e-01
5.300000000000000000e+01,1.899631105380353846e-01,1.759146906594204474e-01,1.918863619222282713e-01,2.096789244040711542e-01
5.400000000000000000e+01,1.900561082046915429e-01,1.760140101326866657e-01,1.922754405487248075e-01,2.091900508894402044e-01
5.500000000000000000e+01,1.885627471451612747e-01,1.725234229098887018e-01,1.928448043322261718e-01,2.091198305295644266e-01
