time_s,round,mean,p10,p50,p90
1.471294522285461426e+01,1.000000000000000000e+00,3.629850000000000421e+01,2.116799999999999926e+01,3.594499999999999318e+01,5.556900000000000261e+01
1.524088215827941895e+01,2.000000000000000000e+00,3.973100000000000875e+01,2.603900000000000148e+01,3.774500000000000455e+01,5.748399999999999466e+01
1.564246630668640137e+01,3.000000000000000000e+00,3.740499999999998693e+01,2.001399999999999935e+01,3.710500000000000398e+01,5.515000000000000568e+01
1.608418583869934082e+01,4.000000000000000000e+00,3.731099999999999284e+01,2.159800000000000253e+01,3.760999999999999943e+01,5.551100000000000279e+01
1.659337973594665527e+01,5.000000000000000000e+00,3.756150000000000944e+01,1.958200000000000074e+01,3.690999999999999659e+01,5.624899999999999523e+01
1.710946440696716309e+01,6.000000000000000000e+00,3.804500000000000171e+01,2.296300000000000097e+01,3.725000000000000000e+01,5.572400000000001086e+01
1.763546919822692871e+01,7.000000000000000000e+00,3.892350000000000421e+01,2.351800000000000423e+01,3.836499999999999488e+01,5.558500000000000085e+01
1.811796832084655762e+01,8.000000000000000000e+00,3.956650000000000489e+01,2.452299999999999969e+01,3.837500000000000000e+01,5.699200000000000443e+01
1.859437108039855957e+01,9.000000000000000000e+00,4.019199999999999307e+01,2.506200000000000117e+01,3.901500000000000057e+01,5.675300000000000722e+01
1.906761717796325684e+01,1.000000000000000000e+01,4.150799999999999557e+01,2.729200000000000159e+01,4.126500000000000057e+01,5.669300000000000495e+01
1.955737495422363281e+01,1.100000000000000000e+01,4.186800000000000921e+01,2.617000000000000171e+01,4.024000000000000199e+01,5.642499999999999716e+01
2.001479411125183105e+01,1.200000000000000000e+01,4.200750000000000739e+01,2.718800000000000239e+01,3.952499999999999858e+01,5.746399999999999864e+01
2.048303699493408203e+01,1.300000000000000000e+01,4.324349999999999739e+01,2.858100000000000307e+01,4.046999999999999886e+01,5.714399999999999835e+01
2.094555592536926270e+01,1.400000000000000000e+01,4.334649999999999892e+01,2.751500000000000057e+01,4.139999999999999858e+01,5.783699999999999619e+01
2.141623091697692871e+01,1.500000000000000000e+01,4.412349999999999284e+01,2.892099999999999937e+01,4.182500000000000284e+01,5.848499999999999943e+01
2.188663792610168457e+01,1.600000000000000000e+01,4.575600000000000023e+01,3.282399999999999807e+01,4.439499999999999602e+01,5.838700000000000045e+01
2.235989284515380859e+01,1.700000000000000000e+01,4.545149999999999579e+01,3.205199999999999960e+01,4.439000000000000057e+01,6.106700000000000017e+01
2.283934950828552246e+01,1.800000000000000000e+01,4.628850000000001330e+01,3.306499999999999773e+01,4.534999999999999432e+01,5.957400000000000517e+01
2.330329918861389160e+01,1.900000000000000000e+01,4.632199999999999562e+01,2.993100000000000094e+01,4.517999999999999972e+01,5.967299999999999471e+01
2.376144623756408691e+01,2.000000000000000000e+01,4.703650000000000375e+01,3.525800000000000267e+01,4.665999999999999659e+01,6.108500000000000085e+01
2.422822833061218262e+01,2.100000000000000000e+01,4.741899999999999693e+01,3.265400000000000347e+01,4.707500000000000284e+01,6.225200000000000955e+01
2.469117236137390137e+01,2.200000000000000000e+01,4.877400000000000801e+01,3.799899999999999523e+01,4.964999999999999858e+01,6.181600000000000250e+01
2.516817259788513184e+01,2.300000000000000000e+01,4.817900000000000205e+01,3.523100000000000165e+01,4.870499999999999829e+01,6.194400000000000972e+01
2.568227791786193848e+01,2.400000000000000000e+01,4.874150000000000915e+01,3.748000000000000398e+01,4.881499999999999773e+01,6.233400000000000318e+01
2.618405795097351074e+01,2.500000000000000000e+01,4.995700000000000074e+01,3.690200000000000102e+01,5.051000000000000512e+01,6.240500000000000824e+01
2.666607093811035156e+01,2.600000000000000000e+01,4.935100000000000620e+01,3.420199999999999818e+01,5.050499999999999545e+01,6.300699999999999790e+01
2.716914343833923340e+01,2.700000000000000000e+01,5.029249999999999687e+01,3.445300000000000296e+01,5.159999999999999432e+01,6.293599999999999994e+01
2.765208935737609863e+01,2.800000000000000000e+01,5.075849999999999795e+01,3.928799999999999670e+01,5.195499999999999829e+01,6.335099999999999909e+01
2.815709114074707031e+01,2.900000000000000000e+01,5.136550000000001148e+01,3.936299999999999955e+01,5.284999999999999432e+01,6.242800000000001148e+01
2.862549853324890137e+01,3.000000000000000000e+01,5.166749999999999687e+01,4.053500000000000369e+01,5.412500000000000000e+01,6.262800000000000722e+01
2.910440874099731445e+01,3.100000000000000000e+01,5.203049999999999642e+01,4.205700000000000216e+01,5.456499999999999773e+01,6.372000000000000597e+01
2.958740115165710449e+01,3.200000000000000000e+01,5.171200000000000330e+01,3.986100000000000421e+01,5.349499999999999744e+01,6.486100000000000421e+01
3.006169724464416504e+01,3.300000000000000000e+01,5.205849999999999511e+01,3.825600000000000023e+01,5.577500000000000568e+01,6.468999999999999773e+01
3.053939032554626465e+01,3.400000000000000000e+01,5.140700000000000358e+01,3.992300000000000182e+01,5.129999999999999716e+01,6.302400000000000091e+01
3.100605702400207520e+01,3.500000000000000000e+01,5.227450000000000330e+01,4.191400000000000148e+01,5.391499999999999915e+01,6.557900000000000773e+01
3.150235199928283691e+01,3.600000000000000000e+01,5.298150000000000404e+01,4.272400000000000375e+01,5.443500000000000227e+01,6.512000000000000455e+01
3.197291207313537598e+01,3.700000000000000000e+01,5.280100000000000193e+01,4.224599999999999511e+01,5.344499999999999318e+01,6.553400000000000603e+01
3.244280958175659180e+01,3.800000000000000000e+01,5.335000000000000142e+01,4.302600000000000335e+01,5.514000000000000057e+01,6.489499999999999602e+01
3.292074847221374512e+01,3.900000000000000000e+01,5.392100000000000648e+01,4.406400000000000006e+01,5.358999999999999631e+01,6.847700000000000387e+01
3.343161749839782715e+01,4.000000000000000000e+01,5.362400000000000233e+01,4.350400000000000489e+01,5.541499999999999915e+01,6.661700000000000443e+01
3.390927815437316895e+01,4.100000000000000000e+01,5.326299999999999102e+01,4.342499999999999716e+01,5.311499999999999488e+01,6.607700000000001239e+01
3.438651061058044434e+01,4.200000000000000000e+01,5.542899999999999494e+01,4.181199999999999761e+01,5.681999999999999318e+01,6.932500000000001705e+01
3.487076115608215332e+01,4.300000000000000000e+01,5.450849999999999085e+01,3.905199999999999960e+01,5.419499999999999318e+01,6.686599999999999966e+01
3.534491586685180664e+01,4.400000000000000000e+01,5.441949999999999221e+01,3.916499999999999915e+01,5.754500000000000171e+01,6.689200000000001012e+01
3.581827020645141602e+01,4.500000000000000000e+01,5.457350000000000279e+01,4.271200000000000330e+01,5.493000000000000682e+01,6.634900000000000375e+01
3.630858993530273438e+01,4.600000000000000000e+01,5.526000000000000512e+01,4.232999999999999829e+01,5.564999999999999858e+01,6.873700000000000898e+01
3.681119179725646973e+01,4.700000000000000000e+01,5.434299999999999642e+01,3.979899999999999949e+01,5.495000000000000284e+01,6.829000000000000625e+01
3.730001854896545410e+01,4.800000000000000000e+01,5.549750000000000227e+01,4.299999999999999289e+01,5.383500000000000085e+01,6.727900000000001057e+01
3.780085635185241699e+01,4.900000000000000000e+01,5.516250000000000853e+01,4.202699999999999392e+01,5.633499999999999375e+01,6.641299999999999670e+01
3.830276083946228027e+01,5.000000000000000000e+01,5.503349999999998943e+01,4.329800000000000182e+01,5.548499999999999943e+01,6.636800000000000921e+01
3.877328896522521973e+01,5.100000000000000000e+01,5.512049999999999272e+01,4.334899999999999665e+01,5.617499999999999716e+01,6.938400000000000034e+01
3.926958179473876953e+01,5.200000000000000000e+01,5.387400000000000233e+01,4.518400000000000460e+01,5.270499999999999829e+01,6.505899999999999750e+01
3.975951290130615234e+01,5.300000000000000000e+01,5.563700000000000045e+01,4.275400000000000489e+01,5.718500000000000227e+01,6.886400000000000432e+01
4.023049378395080566e+01,5.400000000000000000e+01,5.505100000000000193e+01,4.266199999999999903e+01,5.684999999999999432e+01,6.780500000000000682e+01
4.070845818519592285e+01,5.500000000000000000e+01,5.563850000000000051e+01,4.280499999999999972e+01,5.513500000000000512e+01,6.715900000000002024e+01
4.119431996345520020e+01,5.600000000000000000e+01,5.413699999999998624e+01,3.805699999999999505e+01,5.556000000000000227e+01,6.730300000000001148e+01
4.168926835060119629e+01,5.700000000000000000e+01,5.519950000000000045e+01,3.947099999999999653e+01,5.565500000000000114e+01,6.725199999999999534e+01
4.217829203605651855e+01,5.800000000000000000e+01,5.541349999999999909e+01,4.159099999999999397e+01,5.473499999999999943e+01,6.738100000000000023e+01
4.266587996482849121e+01,5.900000000000000000e+01,5.598799999999999955e+01,4.258299999999999841e+01,5.478499999999999659e+01,6.990200000000001523e+01
4.315091109275817871e+01,6.000000000000000000e+01,5.587350000000001415e+01,4.199399999999999977e+01,5.810999999999999943e+01,6.645199999999999818e+01
4.365057873725891113e+01,6.100000000000000000e+01,5.575900000000000034e+01,3.904299999999999926e+01,5.634000000000000341e+01,6.844400000000000261e+01
4.416715908050537109e+01,6.200000000000000000e+01,5.641100000000000136e+01,4.564199999999999591e+01,5.777500000000000568e+01,6.869899999999999807e+01
4.466760182380676270e+01,6.300000000000000000e+01,5.743900000000000716e+01,4.184199999999999875e+01,5.865999999999999659e+01,7.173799999999999955e+01
4.515265703201293945e+01,6.400000000000000000e+01,5.697450000000001324e+01,4.333000000000000540e+01,5.701500000000000057e+01,7.131000000000000227e+01
4.562699103355407715e+01,6.500000000000000000e+01,5.554849999999999000e+01,4.210699999999999932e+01,5.597500000000000142e+01,6.897199999999999420e+01
4.610075497627258301e+01,6.600000000000000000e+01,5.585549999999999216e+01,3.961400000000000432e+01,5.615999999999999659e+01,6.866599999999999682e+01
4.660265040397644043e+01,6.700000000000000000e+01,5.639000000000000057e+01,4.397399999999999665e+01,5.678499999999999659e+01,6.906100000000000705e+01
4.709154629707336426e+01,6.800000000000000000e+01,5.695250000000000057e+01,4.575199999999999534e+01,5.757000000000000028e+01,6.841799999999999216e+01
4.759947228431701660e+01,6.900000000000000000e+01,5.616699999999999449e+01,4.352799999999999869e+01,5.542000000000000171e+01,7.045900000000000318e+01
