time_s,round,mean,p10,p50,p90
5.252765893936157227e+00,1.000000000000000000e+00,4.941278675380218234e-03,4.391764240886189725e-03,4.987586034736741711e-03,5.269375160900728258e-03
5.768470048904418945e+00,2.000000000000000000e+00,4.942111260923453750e-03,4.390819990329207327e-03,4.989400486141191277e-03,5.269375160900728258e-03
6.291247606277465820e+00,3.000000000000000000e+00,4.950652478636755928e-03,4.401399216827204912e-03,4.972104829585367175e-03,5.368483909427119831e-03
6.821965932846069336e+00,4.000000000000000000e+00,4.951317665525685127e-03,4.414951805201818708e-03,4.972104829585367175e-03,5.345380784315597114e-03
7.307091712951660156e+00,5.000000000000000000e+00,4.955781307141538146e-03,4.460110945365768076e-03,4.978351167840185110e-03,5.345380784315597114e-03
7.772667169570922852e+00,6.000000000000000000e+00,4.958315097036232813e-03,4.461340040250038816e-03,4.980391335148537206e-03,5.322870464815930916e-03
8.252390861511230469e+00,7.000000000000000000e+00,4.966969547708058492e-03,4.508588021205506106e-03,4.980289559050799300e-03,5.317289014609055502e-03
8.726609468460083008e+00,8.000000000000000000e+00,4.972871881621323924e-03,4.509872553001790900e-03,4.982639538866179621e-03,5.318768663701278591e-03
9.211670637130737305e+00,9.000000000000000000e+00,4.961507613881362827e-03,4.513169985328761326e-03,4.927798335938324628e-03,5.319090117650154652e-03
9.693732500076293945e+00,1.000000000000000000e+01,4.910000848549913796e-03,4.344595586079417343e-03,4.916678602771635404e-03,5.320600469971434147e-03
1.018086910247802734e+01,1.100000000000000000e+01,4.933557176419468317e-03,4.484121688074689006e-03,4.916678602771635404e-03,5.320600469971434147e-03
1.068146300315856934e+01,1.200000000000000000e+01,4.913342626601043851e-03,4.484984722167579228e-03,4.891059411522831121e-03,5.337916704966337751e-03
1.115521883964538574e+01,1.300000000000000000e+01,4.913550193529724400e-03,4.489512640938391093e-03,4.894860767645279817e-03,5.337916704966337751e-03
1.166027235984802246e+01,1.400000000000000000e+01,4.915075555362748497e-03,4.489512640938391093e-03,4.894860767645279817e-03,5.339487274566418612e-03
1.215074992179870605e+01,1.500000000000000000e+01,4.910506883860428669e-03,4.495630074670276498e-03,4.904494030594870949e-03,5.317679959873656756e-03
1.263053584098815918e+01,1.600000000000000000e+01,4.912017838230350007e-03,4.495630074670276498e-03,4.914960137358379347e-03,5.317903093418878228e-03
1.312138009071350098e+01,1.700000000000000000e+01,4.914252912489159783e-03,4.502426659997782465e-03,4.914960137358379347e-03,5.317903093418878228e-03
1.361630988121032715e+01,1.800000000000000000e+01,4.929714064354948425e-03,4.502426659997782465e-03,4.926323762113675800e-03,5.402987789976989794e-03
1.410650277137756348e+01,1.900000000000000000e+01,4.935853446952196202e-03,4.509900010948210067e-03,4.926323762113675800e-03,5.376998267281385413e-03
1.458782863616943359e+01,2.000000000000000000e+01,4.929016097891140112e-03,4.509900010948210067e-03,4.937693494444660505e-03,5.367181750876008454e-03
1.506887602806091309e+01,2.100000000000000000e+01,4.926462520895020201e-03,4.516950625717706426e-03,4.938282953763190389e-03,5.341755453786740937e-03
1.556357693672180176e+01,2.200000000000000000e+01,4.930220625782635695e-03,4.518702944674909787e-03,4.944441342337516782e-03,5.326969041446197144e-03
1.603380489349365234e+01,2.300000000000000000e+01,4.933057982809885798e-03,4.526405631068573104e-03,4.944441342337516782e-03,5.326969041446197144e-03
1.650914788246154785e+01,2.400000000000000000e+01,4.928984726166138475e-03,4.526873655336448136e-03,4.943936123356055742e-03,5.312768306729061252e-03
1.699938750267028809e+01,2.500000000000000000e+01,4.910205598888640020e-03,4.386872896231713836e-03,4.943936123356055742e-03,5.300796134572805136e-03
1.750088953971862793e+01,2.600000000000000000e+01,4.905524212736085340e-03,4.404985976690400581e-03,4.937512465496814509e-03,5.302050793611599172e-03
1.799329733848571777e+01,2.700000000000000000e+01,4.888551801665873969e-03,4.422434841833393186e-03,4.876831015637629954e-03,5.437991564689164010e-03
1.849156022071838379e+01,2.800000000000000000e+01,4.888671587018843939e-03,4.422434841833393186e-03,4.889751157666382894e-03,5.446525976369816398e-03
1.896714186668395996e+01,2.900000000000000000e+01,4.889018256646226156e-03,4.441351858307131598e-03,4.879582404881470728e-03,5.446525976369816398e-03
1.945727038383483887e+01,3.000000000000000000e+01,4.850882853341149416e-03,4.177868416713421962e-03,4.890937958964022489e-03,5.432970580027029518e-03
1.996727013587951660e+01,3.100000000000000000e+01,4.874872752084214930e-03,4.468763585914238730e-03,4.884485448776075371e-03,5.415755218213684496e-03
2.046622109413146973e+01,3.200000000000000000e+01,4.877067259466336992e-03,4.468763585914238730e-03,4.880172633248944063e-03,5.416982597487718029e-03
2.096479010581970215e+01,3.300000000000000000e+01,4.893819449420823246e-03,4.513929834944948975e-03,4.870355498137771307e-03,5.400325454345528305e-03
2.148239350318908691e+01,3.400000000000000000e+01,4.894890878540806775e-03,4.513929834944948975e-03,4.866401945029875768e-03,5.385409931829872668e-03
2.195477747917175293e+01,3.500000000000000000e+01,4.885146840568731740e-03,4.511932224268986810e-03,4.856796528534226831e-03,5.385409931829872668e-03
2.243567967414855957e+01,3.600000000000000000e+01,4.880772034657360550e-03,4.511333588053754312e-03,4.853169590606794433e-03,5.355608570209944783e-03
2.291792464256286621e+01,3.700000000000000000e+01,4.896301933221369578e-03,4.509402135371831828e-03,4.882930572192238639e-03,5.374705114837900928e-03
2.339440560340881348e+01,3.800000000000000000e+01,4.885871586936934782e-03,4.509374000554617137e-03,4.840429761569104913e-03,5.374705114837900928e-03
2.386788105964660645e+01,3.900000000000000000e+01,4.888939616239351346e-03,4.507536913702878470e-03,4.831191067157862909e-03,5.383054643812323729e-03
2.435467767715454102e+01,4.000000000000000000e+01,4.899182195193787538e-03,4.509336231146603667e-03,4.828230902485698348e-03,5.384208721870209144e-03
2.483008456230163574e+01,4.100000000000000000e+01,4.901785941098669996e-03,4.513861832710867363e-03,4.819196100089942827e-03,5.392863512207873682e-03
2.532542157173156738e+01,4.200000000000000000e+01,4.904972223871327357e-03,4.524639482238448397e-03,4.820656128374014963e-03,5.392863512207873682e-03
2.580173420906066895e+01,4.300000000000000000e+01,4.887707158052306301e-03,4.524639482238448397e-03,4.781483859849056973e-03,5.402959263625007821e-03
2.628267550468444824e+01,4.400000000000000000e+01,4.882496471305146878e-03,4.626718547487508604e-03,4.800448802556991912e-03,5.271074550215248955e-03
2.677366900444030762e+01,4.500000000000000000e+01,4.878002100917087393e-03,4.640173692348923892e-03,4.792746571196583594e-03,5.244316040220983396e-03
2.727677035331726074e+01,4.600000000000000000e+01,4.883001714870905188e-03,4.630565146569924281e-03,4.827587723490619348e-03,5.260304357329009632e-03
2.774830651283264160e+01,4.700000000000000000e+01,4.884979043211977630e-03,4.638630988466182527e-03,4.827587723490619348e-03,5.263325702908454654e-03
2.821753907203674316e+01,4.800000000000000000e+01,4.883092701356727371e-03,4.622554184180695941e-03,4.817819714963117450e-03,5.263325702908454654e-03
2.869463253021240234e+01,4.900000000000000000e+01,4.886951087250780874e-03,4.622915045618212343e-03,4.817819714963117450e-03,5.266718713148340822e-03
2.919721889495849609e+01,5.000000000000000000e+01,4.893521447136334537e-03,4.608077272472473757e-03,4.840938187282376598e-03,5.264991844453959131e-03
2.967057108879089355e+01,5.100000000000000000e+01,4.815028120233769832e-03,4.526363501394331697e-03,4.832501141253087683e-03,5.270578158891730224e-03
3.015516209602355957e+01,5.200000000000000000e+01,4.814718266766776153e-03,4.526363501394331697e-03,4.832501141253087683e-03,5.268892104402103128e-03
3.064723658561706543e+01,5.300000000000000000e+01,4.816279310147404853e-03,4.526363501394331697e-03,4.819099933106522904e-03,5.273175213994051383e-03
3.112893939018249512e+01,5.400000000000000000e+01,4.818009474413154428e-03,4.530608007384804778e-03,4.819099933106522904e-03,5.273175213994051383e-03
3.160847115516662598e+01,5.500000000000000000e+01,4.819852881012064855e-03,4.530608007384804778e-03,4.813503302470506333e-03,5.277962547297361702e-03
3.209155917167663574e+01,5.600000000000000000e+01,4.802345847363775032e-03,4.536688847120753411e-03,4.767346993106701472e-03,5.276401267682036267e-03
3.258748507499694824e+01,5.700000000000000000e+01,4.811092471000295509e-03,4.535915701605688216e-03,4.817857333103402542e-03,5.276401267682036267e-03
3.307000994682312012e+01,5.800000000000000000e+01,4.792845072831295253e-03,4.543044219711402272e-03,4.818474295376451270e-03,5.281733713382423707e-03
3.356367039680480957e+01,5.900000000000000000e+01,4.796108445961231800e-03,4.543044219711402272e-03,4.810806129661809004e-03,5.270081618082185504e-03
3.404949784278869629e+01,6.000000000000000000e+01,4.786011679285295285e-03,4.542344169363657889e-03,4.810806129661809004e-03,5.097687368176219598e-03
3.453577470779418945e+01,6.100000000000000000e+01,4.786808365837528709e-03,4.536171052554546952e-03,4.798197106326716234e-03,5.097687368176219598e-03
3.501310110092163086e+01,6.200000000000000000e+01,4.782975056021077608e-03,4.535541589241879820e-03,4.804373118634483984e-03,5.096107105383046801e-03
3.548690700531005859e+01,6.300000000000000000e+01,4.794909567404258971e-03,4.559406823700849071e-03,4.804148387771120174e-03,5.096107105383046801e-03
3.596597361564636230e+01,6.400000000000000000e+01,4.801703345109870416e-03,4.559406823700849071e-03,4.801656010432820039e-03,5.205629483009266943e-03
3.643856525421142578e+01,6.500000000000000000e+01,4.803172126943157025e-03,4.569358378259647489e-03,4.801535215907340622e-03,5.204317082017714639e-03
3.692903614044189453e+01,6.600000000000000000e+01,4.810512223266484588e-03,4.569358378259647489e-03,4.804642121898475282e-03,5.204317082017714639e-03
3.740378665924072266e+01,6.700000000000000000e+01,4.812679487806353733e-03,4.580868023959874108e-03,4.814278999250444502e-03,5.198665110510745403e-03
3.788191509246826172e+01,6.800000000000000000e+01,4.826637549843827528e-03,4.602278408355258907e-03,4.806645841120817109e-03,5.189789558290922381e-03
3.836975240707397461e+01,6.900000000000000000e+01,4.826992503396386643e-03,4.599165020032100655e-03,4.816594773240978622e-03,5.187904175414159887e-03
3.884272289276123047e+01,7.000000000000000000e+01,4.801148125714440468e-03,4.574585725475608343e-03,4.791668151384102965e-03,5.178196400349760649e-03
3.934620928764343262e+01,7.100000000000000000e+01,4.789207634401875836e-03,4.573734638363650441e-03,4.793268601179654503e-03,5.168040936950236627e-03
3.981655550003051758e+01,7.200000000000000000e+01,4.777642365338469893e-03,4.556259281495215162e-03,4.739508711054986508e-03,5.167020354161503543e-03
4.028874325752258301e+01,7.300000000000000000e+01,4.784584097522629441e-03,4.539793518779425968e-03,4.746216115431418914e-03,5.157248906531696625e-03
4.078361153602600098e+01,7.400000000000000000e+01,4.796430434932115461e-03,4.539793518779425968e-03,4.822113963667823758e-03,5.147823597975068922e-03
4.124925899505615234e+01,7.500000000000000000e+01,4.808462980635524499e-03,4.507029252424458142e-03,4.857479776409731262e-03,5.137857798945500917e-03
4.173011755943298340e+01,7.600000000000000000e+01,4.830239650745750749e-03,4.474656008090168759e-03,4.895020912391304796e-03,5.137857798945500917e-03
4.221080470085144043e+01,7.700000000000000000e+01,4.824462350067382915e-03,4.474656008090168759e-03,4.865955468677773607e-03,5.128314176044236616e-03
4.269394278526306152e+01,7.800000000000000000e+01,4.857626495454351462e-03,4.603862112565379992e-03,4.865955468677773607e-03,5.128314176044236616e-03
4.317856240272521973e+01,7.900000000000000000e+01,4.857954195339552091e-03,4.614047055727247063e-03,4.862086445647556890e-03,5.120374957978093139e-03
4.367233681678771973e+01,8.000000000000000000e+01,4.856212688544325230e-03,4.610726204888539181e-03,4.872264080164050160e-03,5.119469636654702671e-03
4.415005517005920410e+01,8.100000000000000000e+01,4.858331997786712216e-03,4.621328565681690793e-03,4.868741034010240151e-03,5.130343690429579710e-03
4.463264775276184082e+01,8.200000000000000000e+01,4.861997318887571577e-03,4.618730042922191553e-03,4.868741034010240151e-03,5.130343690429579710e-03
4.511302161216735840e+01,8.300000000000000000e+01,4.863287483317006200e-03,4.619546341056969541e-03,4.876016212961856860e-03,5.140742636066496576e-03
4.559508633613586426e+01,8.400000000000000000e+01,4.895840219747002106e-03,4.618264757085914322e-03,4.903142683494355822e-03,5.152385468403448618e-03
4.607631874084472656e+01,8.500000000000000000e+01,4.894410988379479036e-03,4.621496639862435717e-03,4.903142683494355822e-03,5.163139917629542414e-03
4.657964873313903809e+01,8.600000000000000000e+01,4.897288655876805633e-03,4.626380923951069549e-03,4.916899443444554263e-03,5.163139917629542414e-03
4.706036114692687988e+01,8.700000000000000000e+01,4.900667712199925814e-03,4.599122950304355799e-03,4.930255474019852591e-03,5.164828046672979497e-03
4.753450655937194824e+01,8.800000000000000000e+01,4.909055548300495994e-03,4.595301596397439667e-03,4.933807707567140419e-03,5.194212805317110875e-03
4.801497054100036621e+01,8.900000000000000000e+01,4.896722786581101522e-03,4.595301596397439667e-03,4.930660980855091496e-03,5.142954508689465479e-03
4.849400186538696289e+01,9.000000000000000000e+01,4.923302446217301884e-03,4.634986575326296813e-03,4.930660980855091496e-03,5.156311919697204905e-03
4.899722981452941895e+01,9.100000000000000000e+01,4.934370089037571142e-03,4.628587377946544699e-03,4.946395456812111707e-03,5.182453258776745751e-03
4.947489762306213379e+01,9.200000000000000000e+01,4.946412437184691951e-03,4.628587377946544699e-03,4.951302172834034718e-03,5.251449190570804844e-03
4.994793915748596191e+01,9.300000000000000000e+01,4.944168325169675561e-03,4.627969071586986345e-03,4.956681082112226848e-03,5.247078705720218013e-03
5.043360209465026855e+01,9.400000000000000000e+01,4.951316111320401558e-03,4.627969071586986345e-03,4.951856698188070866e-03,5.279885686273176962e-03
5.091030454635620117e+01,9.500000000000000000e+01,4.953504963042817434e-03,4.622291367900641969e-03,4.958201062379367918e-03,5.270132810023303929e-03
5.138567185401916504e+01,9.600000000000000000e+01,4.950841526686703895e-03,4.621713192240158204e-03,4.956824922696535796e-03,5.228063343634316122e-03
