time_s,round,mean,p10,p50,p90
5.252765893936157227e+00,1.000000000000000000e+00,1.964767205228130920e-01,1.635058544531713676e-01,1.992551620842045179e-01,2.161625096540437663e-01
5.768470048904418945e+00,2.000000000000000000e+00,1.965266756554072125e-01,1.634491994197524167e-01,1.993640291684714294e-01,2.161625096540437663e-01
6.291247606277465820e+00,3.000000000000000000e+00,1.970391487182053258e-01,1.640839530096322996e-01,1.983262897751220388e-01,2.221090345656271670e-01
6.821965932846069336e+00,4.000000000000000000e+00,1.970790599315410951e-01,1.648971083121091308e-01,1.983262897751220388e-01,2.207228470589358560e-01
7.307091712951660156e+00,5.000000000000000000e+00,1.973468784284923006e-01,1.676066567219460512e-01,1.987010700704111010e-01,2.207228470589358560e-01
7.772667169570922852e+00,6.000000000000000000e+00,1.974989058221739702e-01,1.676804024150022887e-01,1.988234801089122650e-01,2.193722278889558286e-01
8.252390861511230469e+00,7.000000000000000000e+00,1.980181728624834381e-01,1.705152812723303157e-01,1.988173735430479594e-01,2.190373408765433350e-01
8.726609468460083008e+00,8.000000000000000000e+00,1.983723128972793570e-01,1.705923531801074311e-01,1.989583723319707231e-01,2.191261198220767203e-01
9.211670637130737305e+00,9.000000000000000000e+00,1.976904568328817502e-01,1.707901991197257052e-01,1.956679001562994791e-01,2.191454070590092562e-01
9.693732500076293945e+00,1.000000000000000000e+01,1.946000509129948708e-01,1.606757351647650489e-01,1.950007161662981048e-01,2.192360281982860537e-01
1.018086910247802734e+01,1.100000000000000000e+01,1.960134305851681247e-01,1.690473012844813661e-01,1.950007161662981048e-01,2.192360281982860537e-01
1.068146300315856934e+01,1.200000000000000000e+01,1.948005575960626568e-01,1.690990833300548002e-01,1.934635646913698825e-01,2.202750022979802491e-01
1.115521883964538574e+01,1.300000000000000000e+01,1.948130116117834654e-01,1.693707584563035329e-01,1.936916460587168043e-01,2.202750022979802491e-01
1.166027235984802246e+01,1.400000000000000000e+01,1.949045333217649667e-01,1.693707584563035329e-01,1.936916460587168043e-01,2.203692364739850973e-01
1.215074992179870605e+01,1.500000000000000000e+01,1.946304130316257042e-01,1.697378044802166641e-01,1.942696418356922305e-01,2.190607975924193651e-01
1.263053584098815918e+01,1.600000000000000000e+01,1.947210702938209637e-01,1.697378044802166641e-01,1.948976082415027899e-01,2.190741856051325598e-01
1.312138009071350098e+01,1.700000000000000000e+01,1.948551747493496022e-01,1.701455995998669424e-01,1.948976082415027899e-01,2.190741856051325598e-01
