time_s,round,mean,p10,p50,p90
5.148701667785644531e+00,1.000000000000000000e+00,8.025527793462577941e-01,7.830434782608695077e-01,8.025362318840579823e-01,8.354192546583851797e-01
5.700798511505126953e+00,2.000000000000000000e+00,8.017999325553673007e-01,7.720217391304348142e-01,8.019565217391304568e-01,8.287267080745341907e-01
6.169388532638549805e+00,3.000000000000000000e+00,8.050424979609763776e-01,7.816521739130435353e-01,8.039328063241106825e-01,8.418633540372671975e-01
6.653167009353637695e+00,4.000000000000000000e+00,8.058434500282325441e-01,7.819565217391304390e-01,8.077922077922077282e-01,8.313260869565217703e-01
7.152222871780395508e+00,5.000000000000000000e+00,8.008272790011921050e-01,7.669927536231884169e-01,7.997101449275362262e-01,8.289130434782608914e-01
7.646306991577148438e+00,6.000000000000000000e+00,8.108106844845975880e-01,7.738260869565217748e-01,8.115612648221344205e-01,8.351708074534162085e-01
8.141323804855346680e+00,7.000000000000000000e+00,8.046687334404725167e-01,7.834615384615385425e-01,8.052717391304347050e-01,8.354106280193236422e-01
8.620524883270263672e+00,8.000000000000000000e+00,8.029186194240542918e-01,7.756739130434782137e-01,8.035869565217390598e-01,8.333229813664596586e-01
9.114438772201538086e+00,9.000000000000000000e+00,8.072603012929100430e-01,7.815802675585284964e-01,8.050724637681159201e-01,8.338509316770186253e-01
9.609644889831542969e+00,1.000000000000000000e+01,8.098333297137644271e-01,7.842101449275362679e-01,8.039855072463768515e-01,8.362732919254659558e-01
1.008022975921630859e+01,1.100000000000000000e+01,8.118814217183780713e-01,7.784147157190635102e-01,8.153985507246377384e-01,8.402898550724637872e-01
1.057500028610229492e+01,1.200000000000000000e+01,8.115659286365808356e-01,7.723913043478261020e-01,8.148550724637680931e-01,8.378260869565217206e-01
1.105484104156494141e+01,1.300000000000000000e+01,8.105262750534490968e-01,7.770072463768116222e-01,8.049407114624506088e-01,8.515942028985507006e-01
1.154373121261596680e+01,1.400000000000000000e+01,8.123244068733199708e-01,7.799264214046822685e-01,8.116425120772947643e-01,8.391304347826087362e-01
1.202428460121154785e+01,1.500000000000000000e+01,8.077248301215693704e-01,7.777224080267558515e-01,8.037988581466841698e-01,8.424637681159420355e-01
1.252771377563476562e+01,1.600000000000000000e+01,8.123497390290868037e-01,7.783177257525083492e-01,8.178260869565217028e-01,8.363768115942028514e-01
1.301643705368041992e+01,1.700000000000000000e+01,8.061829764438460666e-01,7.837173913043478102e-01,8.058498023715414682e-01,8.481159420289855477e-01
