round,mean,p10,p50,p90
1.000000000000000000e+00,4.941278675380218234e-03,4.391764240886189725e-03,4.987586034736741711e-03,5.269375160900728258e-03
2.000000000000000000e+00,4.942628219132778021e-03,4.390819990329207327e-03,4.989400486141191277e-03,5.284162177509345130e-03
3.000000000000000000e+00,4.950064743831311329e-03,4.390819990329207327e-03,4.972104829585367175e-03,5.368483909427119831e-03
4.000000000000000000e+00,4.951286156031309456e-03,4.414951805201818708e-03,4.971789734641608727e-03,5.345380784315597114e-03
5.000000000000000000e+00,4.954112561335813000e-03,4.414951805201818708e-03,4.978351167840185110e-03,5.345380784315597114e-03
6.000000000000000000e+00,4.958040869347076461e-03,4.461340040250038816e-03,4.980391335148537206e-03,5.322870464815930916e-03
7.000000000000000000e+00,4.967160308835319275e-03,4.508588021205506106e-03,4.980289559050799300e-03,5.317289014609055502e-03
8.000000000000000000e+00,4.969854117578216372e-03,4.509872553001790900e-03,4.982639538866179621e-03,5.319090117650154652e-03
9.000000000000000000e+00,4.962181134647778574e-03,4.513169985328761326e-03,4.934533543602482100e-03,5.319090117650154652e-03
1.000000000000000000e+01,4.924433186371317446e-03,4.423358827714007208e-03,4.916678602771635404e-03,5.320600469971434147e-03
1.100000000000000000e+01,4.932216825333440163e-03,4.484121688074689006e-03,4.916678602771635404e-03,5.336371467573096904e-03
1.200000000000000000e+01,4.917106585152096997e-03,4.484121688074689006e-03,4.891059411522831121e-03,5.337916704966337751e-03
1.300000000000000000e+01,4.913550193529724400e-03,4.489512640938391093e-03,4.894860767645279817e-03,5.337916704966337751e-03
1.400000000000000000e+01,4.910577848738861481e-03,4.489512640938391093e-03,4.894860767645279817e-03,5.317679959873656756e-03
1.500000000000000000e+01,4.910210240034344753e-03,4.495630074670276498e-03,4.904494030594870949e-03,5.317679959873656756e-03
1.600000000000000000e+01,4.912017838230350007e-03,4.495630074670276498e-03,4.914960137358379347e-03,5.317903093418878228e-03
1.700000000000000000e+01,4.913329379697301512e-03,4.502426659997782465e-03,4.914960137358379347e-03,5.317903093418878228e-03
1.800000000000000000e+01,4.929714064354948425e-03,4.502426659997782465e-03,4.926323762113675800e-03,5.402987789976989794e-03
1.900000000000000000e+01,4.934250766504747962e-03,4.508857516766654437e-03,4.926323762113675800e-03,5.376998267281385413e-03
2.000000000000000000e+01,4.928230512249624252e-03,4.509900010948210067e-03,4.937693494444660505e-03,5.367181750876008454e-03
2.100000000000000000e+01,4.924671964285321120e-03,4.516950625717706426e-03,4.938282953763190389e-03,5.341755453786740937e-03
2.200000000000000000e+01,4.930220625782635695e-03,4.518702944674909787e-03,4.944441342337516782e-03,5.326969041446197144e-03
2.300000000000000000e+01,4.925248020935331719e-03,4.526368099844284981e-03,4.942952791681355477e-03,5.326969041446197144e-03
2.400000000000000000e+01,4.928947763801263052e-03,4.526873655336448136e-03,4.943936123356055742e-03,5.312768306729061252e-03
2.500000000000000000e+01,4.907217639517514642e-03,4.386872896231713836e-03,4.937512465496814509e-03,5.300796134572805136e-03
2.600000000000000000e+01,4.905471482997228808e-03,4.404985976690400581e-03,4.937512465496814509e-03,5.302050793611599172e-03
2.700000000000000000e+01,4.887355806135309025e-03,4.422434841833393186e-03,4.869105860000751476e-03,5.437991564689164010e-03
2.800000000000000000e+01,4.887247852927585276e-03,4.441351858307131598e-03,4.869105860000751476e-03,5.446525976369816398e-03
2.900000000000000000e+01,4.889097807748269547e-03,4.441351858307131598e-03,4.879582404881470728e-03,5.446525976369816398e-03
3.000000000000000000e+01,4.850086021448970185e-03,4.177868416713421962e-03,4.890937958964022489e-03,5.431775114951245369e-03
3.100000000000000000e+01,4.845538699834777731e-03,4.182676243714883967e-03,4.884485448776075371e-03,5.415755218213684496e-03
3.200000000000000000e+01,4.874422364707190446e-03,4.450164938218862352e-03,4.880172633248944063e-03,5.415755218213684496e-03
3.300000000000000000e+01,4.893828382404356685e-03,4.513929834944948975e-03,4.870355498137771307e-03,5.400325454345528305e-03
3.400000000000000000e+01,4.893849576269389441e-03,4.511932224268986810e-03,4.866401945029875768e-03,5.384153401517923106e-03
3.500000000000000000e+01,4.885485408917211031e-03,4.511333588053754312e-03,4.856796528534226831e-03,5.385409931829872668e-03
3.600000000000000000e+01,4.891105369455495469e-03,4.509402135371831828e-03,4.853169590606794433e-03,5.452601275322005274e-03
3.700000000000000000e+01,4.885739961350789827e-03,4.509402135371831828e-03,4.843716534517480271e-03,5.374705114837900928e-03
3.800000000000000000e+01,4.885432847372304585e-03,4.507536913702878470e-03,4.840429761569104913e-03,5.374705114837900928e-03
3.900000000000000000e+01,4.896485140329360011e-03,4.507536913702878470e-03,4.831191067157862909e-03,5.383054643812323729e-03
4.000000000000000000e+01,4.897844059481729594e-03,4.509336231146603667e-03,4.828230902485698348e-03,5.384208721870209144e-03
4.100000000000000000e+01,4.900295005787855263e-03,4.509336231146603667e-03,4.819196100089942827e-03,5.392863512207873682e-03
4.200000000000000000e+01,4.902490978095970335e-03,4.515031516534905205e-03,4.820656128374014963e-03,5.392863512207873682e-03
4.300000000000000000e+01,4.901760356913636464e-03,4.622138249271954234e-03,4.781483859849056973e-03,5.402959263625007821e-03
4.400000000000000000e+01,4.905053587302843875e-03,4.626718547487508604e-03,4.792261625722271656e-03,5.402959263625007821e-03
4.500000000000000000e+01,4.884757818819237228e-03,4.640173692348923892e-03,4.829620460660717651e-03,5.244316040220983396e-03
4.600000000000000000e+01,4.881607656511495821e-03,4.607400107972703038e-03,4.827587723490619348e-03,5.260304357329009632e-03
4.700000000000000000e+01,4.884592283228525803e-03,4.622554184180695941e-03,4.827587723490619348e-03,5.265148102164199720e-03
4.800000000000000000e+01,4.884085775768510877e-03,4.622554184180695941e-03,4.817819714963117450e-03,5.263325702908454654e-03
