time_s,round,mean,p10,p50,p90
5.148701667785644531e+00,1.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
5.700798511505126953e+00,2.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
6.169388532638549805e+00,3.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
6.653167009353637695e+00,4.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
7.152222871780395508e+00,5.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
7.646306991577148438e+00,6.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
8.141323804855346680e+00,7.000000000000000000e+00,7.849999999999999645e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
8.620524883270263672e+00,8.000000000000000000e+00,7.849999999999999645e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
9.114438772201538086e+00,9.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
9.609644889831542969e+00,1.000000000000000000e+01,7.700000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.008022975921630859e+01,1.100000000000000000e+01,7.700000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.057500028610229492e+01,1.200000000000000000e+01,7.650000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.105484104156494141e+01,1.300000000000000000e+01,7.599999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.154373121261596680e+01,1.400000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.202428460121154785e+01,1.500000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.252771377563476562e+01,1.600000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.301643705368041992e+01,1.700000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.355081152915954590e+01,1.800000000000000000e+01,7.599999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.405266952514648438e+01,1.900000000000000000e+01,7.650000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.452290105819702148e+01,2.000000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.500331544876098633e+01,2.100000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.548848533630371094e+01,2.200000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.597755575180053711e+01,2.300000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
