round,mean,p10,p50,p90
1.000000000000000000e+00,8.022590422862162507e-01,7.791304347826086829e-01,8.019021739130434145e-01,8.353105590062112062e-01
2.000000000000000000e+00,8.019521064684107525e-01,7.708478260869564558e-01,8.019565217391304568e-01,8.286180124223603283e-01
3.000000000000000000e+00,8.043331059037581721e-01,7.813913043478261100e-01,8.038586956521739380e-01,8.401863354037267806e-01
4.000000000000000000e+00,8.044090438546959154e-01,7.814130434782609047e-01,8.068840579710144789e-01,8.297608695652174404e-01
5.000000000000000000e+00,7.996132086512520720e-01,7.647018633540372257e-01,7.998023715415020218e-01,8.285869565217390820e-01
6.000000000000000000e+00,8.098688425101467914e-01,7.706956521739130039e-01,8.114377470355731425e-01,8.362888198757765235e-01
7.000000000000000000e+00,8.080300834431269896e-01,7.853695652173913189e-01,8.081274703557312922e-01,8.406521739130434767e-01
8.000000000000000000e+00,8.050349240131847717e-01,7.745000000000000773e-01,8.085858585858585190e-01,8.378260869565218316e-01
9.000000000000000000e+00,8.073625842756276816e-01,7.760702341137123428e-01,8.072463768115942795e-01,8.313043478260869756e-01
1.000000000000000000e+01,8.115755072222464728e-01,7.834130434782607955e-01,8.083695652173913393e-01,8.572463768115942129e-01
1.100000000000000000e+01,8.127729263490131029e-01,7.840356744704570779e-01,8.135265700483091944e-01,8.523913043478260620e-01
1.200000000000000000e+01,8.114929840690709995e-01,7.680852842809363645e-01,8.147233201581027817e-01,8.579347826086957118e-01
1.300000000000000000e+01,8.127456679793635397e-01,7.800724637681160090e-01,8.071557971014492461e-01,8.516666666666666829e-01
1.400000000000000000e+01,8.118619810141549653e-01,7.792604979561501555e-01,8.114251207729468174e-01,8.508695652173913215e-01
1.500000000000000000e+01,8.083854683963380694e-01,7.817193675889327897e-01,8.077294685990337175e-01,8.379710144927536852e-01
1.600000000000000000e+01,8.136037181417616893e-01,7.815502854633289420e-01,8.156521739130435655e-01,8.561956521739130244e-01
1.700000000000000000e+01,8.084343277495451563e-01,7.769169960474308079e-01,8.050724637681159201e-01,8.363768115942028514e-01
1.800000000000000000e+01,8.097797226927664349e-01,7.723188405797102307e-01,8.082608695652173658e-01,8.456832298136646164e-01
1.900000000000000000e+01,8.084005897484158876e-01,7.801739130434782732e-01,8.048309178743962011e-01,8.421304347826087389e-01
2.000000000000000000e+01,8.119579176861785319e-01,7.798478260869564638e-01,8.167391304347826342e-01,8.467080745341614145e-01
2.100000000000000000e+01,8.115498070769809891e-01,7.753705533596838562e-01,8.136473429951690539e-01,8.569565217391305056e-01
2.200000000000000000e+01,8.107944428759645827e-01,7.844822134387352541e-01,8.098320158102767508e-01,8.410006901311248839e-01
2.300000000000000000e+01,8.094049501223412602e-01,7.899782608695652408e-01,8.046332894158980675e-01,8.388612836438923415e-01
2.400000000000000000e+01,8.113108413325804680e-01,7.881592320722755618e-01,8.111067193675889353e-01,8.322608695652173871e-01
2.500000000000000000e+01,8.102631124913732830e-01,7.784584980237154728e-01,8.138043478260870156e-01,8.342753623188405854e-01
2.600000000000000000e+01,8.092397342995167886e-01,7.668221343873518059e-01,8.115722441809398724e-01,8.281118012422360453e-01
2.700000000000000000e+01,8.125556888763411090e-01,7.864596273291926121e-01,8.171497584541063119e-01,8.327204968944099672e-01
2.800000000000000000e+01,8.118008187464708092e-01,7.849637681159420399e-01,8.071739130434782972e-01,8.329503105590061462e-01
2.900000000000000000e+01,8.087461807516156398e-01,7.782246376811593480e-01,8.063405797101448336e-01,8.334886128364389357e-01
3.000000000000000000e+01,8.089694381705248016e-01,7.749637681159420310e-01,8.120289855072464480e-01,8.340372670807453259e-01
3.100000000000000000e+01,8.103496612083567197e-01,7.826811594202899292e-01,8.147584541062802277e-01,8.349758454106279704e-01
3.200000000000000000e+01,8.095483248635421125e-01,7.760144927536232196e-01,8.125098814229249067e-01,8.389440993788820355e-01
3.300000000000000000e+01,8.078378819248385190e-01,7.767101449275363168e-01,8.096047430830040081e-01,8.354037267080745011e-01
3.400000000000000000e+01,8.161349520045171335e-01,7.754782608695652835e-01,8.171146245059288660e-01,8.478260869565217295e-01
3.500000000000000000e+01,8.155143045360435661e-01,7.775652173913043530e-01,8.231507622811971014e-01,8.435869565217390953e-01
3.600000000000000000e+01,8.164244463266202567e-01,7.797101449275363194e-01,8.216996047430830119e-01,8.391304347826087362e-01
3.700000000000000000e+01,8.117784365393061474e-01,7.846014492753623504e-01,8.152173913043478937e-01,8.472101449275363239e-01
3.800000000000000000e+01,8.126967501097934754e-01,7.736956521739131176e-01,8.092132505175984036e-01,8.520652173913043637e-01
3.900000000000000000e+01,8.180639155530460283e-01,7.863043478260869357e-01,8.180124223602485145e-01,8.491614906832298804e-01
4.000000000000000000e+01,8.167157287157287282e-01,7.777536231884057960e-01,8.216011042097999262e-01,8.376894409937888364e-01
4.100000000000000000e+01,8.192309743396700705e-01,7.897101449275362173e-01,8.234782608695652151e-01,8.441097308488613171e-01
4.200000000000000000e+01,8.139663090532656131e-01,7.736956521739130066e-01,8.206521739130434590e-01,8.454037267080746210e-01
4.300000000000000000e+01,8.212030553987075265e-01,7.897233201581027595e-01,8.223913043478261464e-01,8.519565217391305012e-01
4.400000000000000000e+01,8.176201455549282349e-01,7.759420289855072372e-01,8.190062111801241773e-01,8.423105590062112125e-01
4.500000000000000000e+01,8.144848484848484782e-01,7.785869565217391486e-01,8.255434782608696009e-01,8.379999999999999671e-01
4.600000000000000000e+01,8.187510665662840470e-01,7.848260869565217845e-01,8.244720496894409889e-01,8.487950310559007061e-01
4.700000000000000000e+01,8.185086423238597808e-01,7.781554677206851123e-01,8.220496894409938804e-01,8.450776397515528116e-01
4.800000000000000000e+01,8.198742784992785193e-01,7.802766798418971916e-01,8.254347826086956275e-01,8.483876811594202039e-01
4.900000000000000000e+01,8.190237154150198373e-01,7.816149068322981730e-01,8.243083003952569321e-01,8.370600414078674945e-01
5.000000000000000000e+01,8.159956788380700043e-01,7.897515527950310643e-01,8.190338164251207420e-01,8.364347826086956372e-01
5.100000000000000000e+01,8.183956647217517366e-01,7.873687182382834715e-01,8.242391304347825853e-01,8.397826086956522440e-01
5.200000000000000000e+01,8.157421027040593353e-01,7.742687747035572610e-01,8.208695652173914059e-01,8.361614906832297578e-01
5.300000000000000000e+01,8.143540529518789040e-01,7.926482213438734714e-01,8.130434782608695343e-01,8.414596273291925499e-01
5.400000000000000000e+01,8.181166635297071332e-01,7.941501976284585096e-01,8.201449275362318048e-01,8.400759144237405218e-01
5.500000000000000000e+01,8.115949400840702932e-01,7.838735177865612247e-01,8.195652173913043903e-01,8.343043478260869783e-01
5.600000000000000000e+01,8.155501835121400367e-01,7.696442687747035993e-01,8.213768115942028381e-01,8.420186335403726519e-01
5.700000000000000000e+01,8.198033518413951892e-01,7.950141163184640813e-01,8.182065217391303324e-01,8.427439613526569451e-01
5.800000000000000000e+01,8.128829129807391141e-01,7.824844720496895167e-01,8.179347826086956763e-01,8.365341614906832701e-01
5.900000000000000000e+01,8.157998149193801396e-01,7.921908526256352667e-01,8.179347826086956763e-01,8.379999999999999671e-01
6.000000000000000000e+01,8.160609275989709754e-01,7.856239412761152341e-01,8.213685770750988047e-01,8.354782608695652257e-01
6.100000000000000000e+01,8.183797627493281102e-01,7.941501976284585096e-01,8.204545454545455474e-01,8.430978260869566032e-01
6.200000000000000000e+01,8.125757069017938150e-01,7.928966685488424426e-01,8.156126482213439388e-01,8.347826086956521285e-01
6.300000000000000000e+01,8.149397148744974562e-01,7.973616600790514042e-01,8.152173913043477826e-01,8.355132850241546727e-01
6.400000000000000000e+01,8.140788317962230902e-01,7.844438170525126486e-01,8.135869565217390686e-01,8.391787439613527244e-01
6.500000000000000000e+01,8.177957682414204177e-01,7.915019762845849627e-01,8.182065217391304435e-01,8.435652173913044116e-01
6.600000000000000000e+01,8.187291549030680793e-01,7.913198757763975077e-01,8.178853754940711429e-01,8.393913043478261615e-01
6.700000000000000000e+01,8.154171372106155946e-01,7.947826086956520930e-01,8.141304347826086030e-01,8.413509316770185764e-01
6.800000000000000000e+01,8.121852060982496235e-01,7.811857707509881621e-01,8.147727272727272041e-01,8.300207039337473836e-01
6.900000000000000000e+01,8.157681237844280897e-01,7.812008281573499247e-01,8.133152173913043015e-01,8.419565217391304923e-01
7.000000000000000000e+01,8.120814903695338094e-01,7.891304347826086918e-01,8.131175889328063899e-01,8.281763285024155152e-01
7.100000000000000000e+01,8.087002635046113275e-01,7.638043478260869712e-01,8.072463768115942795e-01,8.469979296066252328e-01
7.200000000000000000e+01,8.149053971390929352e-01,7.829658385093167805e-01,8.122282608695652328e-01,8.392960662525880133e-01
7.300000000000000000e+01,8.109876168517471395e-01,7.754771315640881513e-01,8.171497584541063119e-01,8.358385093167702840e-01
7.400000000000000000e+01,8.172323310747225955e-01,7.868675889328062834e-01,8.167391304347826342e-01,8.710869565217391752e-01
7.500000000000000000e+01,8.135768162996424024e-01,7.828754940711462051e-01,8.086956521739130377e-01,8.285797101449275948e-01
7.600000000000000000e+01,8.161399319279754039e-01,7.938043478260868868e-01,8.125000000000000000e-01,8.393478260869565721e-01
7.700000000000000000e+01,8.158082533408619330e-01,7.867588932806324209e-01,8.164251207729469328e-01,8.305434782608697164e-01
7.800000000000000000e+01,8.125941087897610160e-01,7.862055335968379799e-01,8.117753623188406209e-01,8.406521739130435877e-01
7.900000000000000000e+01,8.076786733797600704e-01,7.844169960474308700e-01,8.108997584541062231e-01,8.241304347826087229e-01
8.000000000000000000e+01,8.133629540749106601e-01,7.836758893280633131e-01,8.166304347826087717e-01,8.302139406487232254e-01
8.100000000000000000e+01,8.125071365832235992e-01,7.809486166007905128e-01,8.108256477821695896e-01,8.492391304347826075e-01
8.200000000000000000e+01,8.147420791768616999e-01,7.856521739130435389e-01,8.142292490118576698e-01,8.320289855072463547e-01
8.300000000000000000e+01,8.178880262249826893e-01,7.909161490683229712e-01,8.095108695652173392e-01,8.556956521739130794e-01
8.400000000000000000e+01,8.124922281824454862e-01,7.853853754940711696e-01,8.152393500219586864e-01,8.425362318840580178e-01
8.500000000000000000e+01,8.104753199698851995e-01,7.795878035008469986e-01,8.137077294685990392e-01,8.344347826086956355e-01
8.600000000000000000e+01,8.195756399397705616e-01,7.950621118012421995e-01,8.227053140096618478e-01,8.373913043478260487e-01
8.700000000000000000e+01,8.110493679026287150e-01,7.957559288537549014e-01,8.128129117259552672e-01,8.391304347826087362e-01
8.800000000000000000e+01,8.136963501474371308e-01,7.913354037267080754e-01,8.104166666666665630e-01,8.439565217391304941e-01
8.900000000000000000e+01,8.110962654495263990e-01,7.845807453416149269e-01,8.126235177865612780e-01,8.334782608695652240e-01
9.000000000000000000e+01,8.130211666352969990e-01,7.814130434782609047e-01,8.102327624066754108e-01,8.381521739130435300e-01
9.100000000000000000e+01,8.133110217077608173e-01,7.883229813664596186e-01,8.059782608695652550e-01,8.457246376811594635e-01
9.200000000000000000e+01,8.133108153923369610e-01,7.904443382704252619e-01,8.115283267457180649e-01,8.416086956521738882e-01
9.300000000000000000e+01,8.120321604723781395e-01,7.882035355948399102e-01,8.068840579710144789e-01,8.471739130434783327e-01
9.400000000000000000e+01,8.098382233708321110e-01,7.786086956521739433e-01,8.079710144927536586e-01,8.340579710144927494e-01
9.500000000000000000e+01,8.067356146269188955e-01,7.786594202898551309e-01,8.059782608695651440e-01,8.306086956521739895e-01
9.600000000000000000e+01,8.109906259199737288e-01,7.874456521739130466e-01,8.067852437417655231e-01,8.362898550724637836e-01
9.700000000000000000e+01,8.091857930716626068e-01,7.868297101449275299e-01,8.043478260869565410e-01,8.373913043478261597e-01
9.800000000000000000e+01,8.042984593908506508e-01,7.882608695652174591e-01,7.984472049689440576e-01,8.297233201581027950e-01
9.900000000000000000e+01,8.084155065948543939e-01,7.843369565217391814e-01,8.093685300207039690e-01,8.354347826086956363e-01
1.000000000000000000e+02,8.043486103268711052e-01,7.730760869565217464e-01,8.005434782608695787e-01,8.333043478260869774e-01
1.010000000000000000e+02,8.070777199853287343e-01,7.747826086956521863e-01,8.052173913043478848e-01,8.363043478260869801e-01
1.020000000000000000e+02,8.067736158768766819e-01,7.685507246376811485e-01,8.136166007905137887e-01,8.416666666666666741e-01
1.030000000000000000e+02,8.071309915929478773e-01,7.828212560386473839e-01,8.077294685990338285e-01,8.310540184453227841e-01
1.040000000000000000e+02,8.117137210615471554e-01,7.807660455486542528e-01,8.124223602484472728e-01,8.442028985507246119e-01
1.050000000000000000e+02,8.114883461948678711e-01,7.900869565217392143e-01,8.135265700483091944e-01,8.400000000000000799e-01
1.060000000000000000e+02,8.119678853754941361e-01,7.889130434782608559e-01,8.152393500219586864e-01,8.307246376811594502e-01
1.070000000000000000e+02,8.091545736871825767e-01,7.926708074534161153e-01,8.076679841897232981e-01,8.319565217391304834e-01
1.080000000000000000e+02,8.115531165694209736e-01,7.854528985507246430e-01,8.058454106280192875e-01,8.435507246376812152e-01
1.090000000000000000e+02,8.090327969132318220e-01,7.858281573498965278e-01,8.043478260869565410e-01,8.365217391304348160e-01
1.100000000000000000e+02,8.120453918062613408e-01,7.929732103645147356e-01,8.044202898550724123e-01,8.426086956521738891e-01
1.110000000000000000e+02,8.089485930735931252e-01,7.894906832298136390e-01,8.005132850241545306e-01,8.373913043478260487e-01
1.120000000000000000e+02,8.050835842901060690e-01,7.808819875776397135e-01,8.036231884057971619e-01,8.311594202898550110e-01
1.130000000000000000e+02,8.071132912980740759e-01,7.839855072463768337e-01,8.084782608695652018e-01,8.310869565217391397e-01
1.140000000000000000e+02,8.036770970575318751e-01,7.825603864734299586e-01,8.054347826086956097e-01,8.220652173913043370e-01
1.150000000000000000e+02,8.062436633414893361e-01,7.873913043478261153e-01,8.056763285024154397e-01,8.218478260869565011e-01
