time_s,round,mean,p10,p50,p90
5.121440649032592773e+00,1.000000000000000000e+00,4.943123789964766132e-03,4.399228910165542579e-03,4.978738902991958898e-03,5.269375160900728258e-03
5.725250959396362305e+00,2.000000000000000000e+00,4.941993246242620472e-03,4.391764240886189725e-03,4.987069711531507549e-03,5.285584719736948281e-03
6.294331789016723633e+00,3.000000000000000000e+00,4.962293047310942923e-03,4.401399216827204912e-03,4.956799489763053478e-03,5.371355555198098833e-03
6.923414468765258789e+00,4.000000000000000000e+00,4.966169442369638629e-03,4.416231932572400876e-03,4.971789734641608727e-03,5.372835204290321923e-03
7.529628992080688477e+00,5.000000000000000000e+00,4.971919449366710500e-03,4.427792718738967487e-03,4.971789734641608727e-03,5.349819889272475551e-03
8.115788698196411133e+00,6.000000000000000000e+00,4.966222502450135488e-03,4.462624572046323609e-03,4.982639538866179621e-03,5.327405703622675216e-03
8.688104152679443359e+00,7.000000000000000000e+00,4.943944502697249742e-03,4.503866918714937058e-03,4.942515239903685215e-03,5.328976273222756077e-03
9.248087167739868164e+00,8.000000000000000000e+00,4.944359216493741938e-03,4.503733524250473109e-03,4.942636133903305362e-03,5.323716276964755856e-03
9.813976526260375977e+00,9.000000000000000000e+00,4.948930125074520875e-03,4.510833637691499982e-03,4.942097878019536747e-03,5.341083884705004510e-03
1.038800644874572754e+01,1.000000000000000000e+01,4.920360028237149089e-03,4.342468441218532565e-03,4.942097878019536747e-03,5.342712687896733828e-03
1.096528458595275879e+01,1.100000000000000000e+01,4.911240662385602841e-03,4.343453118552267553e-03,4.942221113724077144e-03,5.311088856798595881e-03
1.154258370399475098e+01,1.200000000000000000e+01,4.907684854339519100e-03,4.347194157709107463e-03,4.942221113724077144e-03,5.311110876888051717e-03
1.213340926170349121e+01,1.300000000000000000e+01,4.910457011435638910e-03,4.348295030030672678e-03,4.942923143397009653e-03,5.311449091566181058e-03
1.272633719444274902e+01,1.400000000000000000e+01,4.895407675465241956e-03,4.349511746455961628e-03,4.904163025254537622e-03,5.312703750604974226e-03
1.332217431068420410e+01,1.500000000000000000e+01,4.923818998122253196e-03,4.512157885397577450e-03,4.915747795669797235e-03,5.313046950903718701e-03
1.393103766441345215e+01,1.600000000000000000e+01,4.904105437249095187e-03,4.520421361220511997e-03,4.886811902224666090e-03,5.314242415979502851e-03
1.451006484031677246e+01,1.700000000000000000e+01,4.908679213865898942e-03,4.520421361220511997e-03,4.927896553106905081e-03,5.290780941634908204e-03
1.508616709709167480e+01,1.800000000000000000e+01,4.915617121562282539e-03,4.528833010647928189e-03,4.925571325734516732e-03,5.400844075776790355e-03
