time_s,round,mean,p10,p50,p90
5.121440649032592773e+00,1.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
5.725250959396362305e+00,2.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
6.294331789016723633e+00,3.000000000000000000e+00,7.849999999999999645e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.923414468765258789e+00,4.000000000000000000e+00,7.849999999999999645e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
7.529628992080688477e+00,5.000000000000000000e+00,7.900000000000000355e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
8.115788698196411133e+00,6.000000000000000000e+00,7.849999999999999645e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
8.688104152679443359e+00,7.000000000000000000e+00,7.750000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
9.248087167739868164e+00,8.000000000000000000e+00,7.750000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
9.813976526260375977e+00,9.000000000000000000e+00,7.750000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
1.038800644874572754e+01,1.000000000000000000e+01,7.700000000000000178e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
1.096528458595275879e+01,1.100000000000000000e+01,7.599999999999999645e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.154258370399475098e+01,1.200000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.213340926170349121e+01,1.300000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.272633719444274902e+01,1.400000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.332217431068420410e+01,1.500000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
1.393103766441345215e+01,1.600000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.451006484031677246e+01,1.700000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.508616709709167480e+01,1.800000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.568123650550842285e+01,1.900000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.626666378974914551e+01,2.000000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.684468865394592285e+01,2.100000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.743895268440246582e+01,2.200000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.803026366233825684e+01,2.300000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.860958266258239746e+01,2.400000000000000000e+01,7.349999999999999645e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
1.919113516807556152e+01,2.500000000000000000e+01,7.349999999999999645e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
