time_s,round,mean,p10,p50,p90
5.121440649032592773e+00,1.000000000000000000e+00,6.860249999999999204e+01,5.356099999999999994e+01,7.129000000000000625e+01,7.769800000000000750e+01
5.725250959396362305e+00,2.000000000000000000e+00,6.986249999999999716e+01,6.051200000000000045e+01,7.101500000000000057e+01,7.963800000000000523e+01
6.294331789016723633e+00,3.000000000000000000e+00,7.203999999999999204e+01,5.955999999999999517e+01,7.371500000000000341e+01,8.111500000000000909e+01
6.923414468765258789e+00,4.000000000000000000e+00,7.348050000000000637e+01,5.987700000000000244e+01,7.473499999999998522e+01,8.400900000000000034e+01
7.529628992080688477e+00,5.000000000000000000e+00,7.636750000000000682e+01,6.366899999999999693e+01,7.889000000000000057e+01,8.609600000000000364e+01
8.115788698196411133e+00,6.000000000000000000e+00,7.940600000000000591e+01,6.642999999999999261e+01,8.200999999999999091e+01,8.765500000000000114e+01
8.688104152679443359e+00,7.000000000000000000e+00,8.105199999999999250e+01,6.882699999999999818e+01,8.417500000000001137e+01,8.783899999999999864e+01
9.248087167739868164e+00,8.000000000000000000e+00,8.248950000000000671e+01,7.176200000000000045e+01,8.572999999999998977e+01,8.937999999999999545e+01
9.813976526260375977e+00,9.000000000000000000e+00,8.421250000000000568e+01,7.523199999999999932e+01,8.679999999999999716e+01,9.077499999999999147e+01
1.038800644874572754e+01,1.000000000000000000e+01,8.492600000000001614e+01,7.941899999999999693e+01,8.734499999999999886e+01,9.042099999999999227e+01
1.096528458595275879e+01,1.100000000000000000e+01,8.539500000000001023e+01,7.464499999999999602e+01,8.870499999999999829e+01,9.063300000000000978e+01
1.154258370399475098e+01,1.200000000000000000e+01,8.636799999999998079e+01,7.937800000000000011e+01,8.878999999999999204e+01,9.150400000000000489e+01
1.213340926170349121e+01,1.300000000000000000e+01,8.648249999999998749e+01,8.049500000000000455e+01,8.817000000000000171e+01,9.184900000000000375e+01
1.272633719444274902e+01,1.400000000000000000e+01,8.729899999999999238e+01,7.931800000000001205e+01,8.890000000000000568e+01,9.233599999999999852e+01
1.332217431068420410e+01,1.500000000000000000e+01,8.781050000000000466e+01,7.927599999999999625e+01,8.997999999999998977e+01,9.254000000000000625e+01
1.393103766441345215e+01,1.600000000000000000e+01,8.805800000000002115e+01,8.103900000000000148e+01,8.950499999999999545e+01,9.265700000000001069e+01
1.451006484031677246e+01,1.700000000000000000e+01,8.875550000000001205e+01,8.136499999999999488e+01,9.092000000000000171e+01,9.357500000000000284e+01
1.508616709709167480e+01,1.800000000000000000e+01,8.883199999999997942e+01,8.246100000000001273e+01,9.061499999999999488e+01,9.317000000000000171e+01
1.568123650550842285e+01,1.900000000000000000e+01,8.929999999999998295e+01,8.335800000000000409e+01,9.112999999999999545e+01,9.322899999999999920e+01
1.626666378974914551e+01,2.000000000000000000e+01,8.967400000000000659e+01,8.433700000000000330e+01,9.090500000000000114e+01,9.371500000000000341e+01
1.684468865394592285e+01,2.100000000000000000e+01,8.941550000000000864e+01,8.095199999999999818e+01,9.153999999999999204e+01,9.386100000000000421e+01
1.743895268440246582e+01,2.200000000000000000e+01,9.012550000000000239e+01,8.381399999999999295e+01,9.206000000000000227e+01,9.419299999999999784e+01
1.803026366233825684e+01,2.300000000000000000e+01,8.946550000000002001e+01,8.290900000000000603e+01,9.201999999999999602e+01,9.369100000000000250e+01
1.860958266258239746e+01,2.400000000000000000e+01,9.031799999999998363e+01,8.458700000000000330e+01,9.181499999999999773e+01,9.397300000000001319e+01
1.919113516807556152e+01,2.500000000000000000e+01,8.988800000000000523e+01,8.391100000000000136e+01,9.187000000000000455e+01,9.396400000000001285e+01
1.980250620841979980e+01,2.600000000000000000e+01,9.036749999999999261e+01,8.545100000000000762e+01,9.207499999999998863e+01,9.380500000000000682e+01
