time_s,round,mean,p10,p50,p90
5.068037509918212891e+00,1.000000000000000000e+00,1.964344304975424449e-01,1.639537346099325665e-01,1.987243341795175144e-01,2.161625096540437663e-01
5.549214839935302734e+00,2.000000000000000000e+00,1.965872004688358488e-01,1.641406080430512504e-01,1.992241826918904335e-01,2.171350831842168427e-01
6.016805410385131836e+00,3.000000000000000000e+00,1.974881469830269132e-01,1.641406080430512504e-01,1.988598222436176455e-01,2.221943870992833525e-01
6.510276317596435547e+00,4.000000000000000000e+00,1.977513021804593318e-01,1.647476642471382979e-01,1.974079693857832274e-01,2.222813333118858758e-01
6.998529434204101562e+00,5.000000000000000000e+00,1.979006553215646447e-01,1.649739159543440470e-01,1.983073840784965181e-01,2.208985722170717647e-01
7.492448806762695312e+00,6.000000000000000000e+00,1.982644160266195110e-01,1.656675631243380020e-01,1.983073840784965181e-01,2.209891933563485622e-01
7.985174894332885742e+00,7.000000000000000000e+00,1.968728860370206335e-01,1.674136984552114515e-01,1.989644788978350287e-01,2.196443422173604554e-01
8.495301008224487305e+00,8.000000000000000000e+00,1.970451885243626744e-01,1.702251842302849871e-01,1.989583723319707231e-01,2.197385763933653036e-01
8.979463338851928711e+00,9.000000000000000000e+00,1.966279043465222476e-01,1.702320151228962075e-01,1.965509143942211212e-01,2.194229766178853458e-01
9.457932472229003906e+00,1.000000000000000000e+01,1.968275269301552333e-01,1.704150265020354105e-01,1.965509143942211212e-01,2.195187732262005309e-01
9.948080301284790039e+00,1.100000000000000000e+01,1.969498992176112184e-01,1.706500182614900107e-01,1.965258726811722201e-01,2.196165014177042796e-01
1.042990016937255859e+01,1.200000000000000000e+01,1.948834504682265822e-01,1.605569422542563185e-01,1.965258726811722201e-01,2.199737702894814517e-01
1.092255592346191406e+01,1.300000000000000000e+01,1.949773702411346510e-01,1.606071871131361239e-01,1.965440281992595906e-01,2.200575000904506917e-01
1.140533542633056641e+01,1.400000000000000000e+01,1.950752574813046925e-01,1.606697367640294583e-01,1.965332668234446301e-01,2.200575000904506917e-01
1.192101955413818359e+01,1.500000000000000000e+01,1.944793665580551445e-01,1.608977018018403482e-01,1.965332668234446301e-01,2.187521555550349384e-01
1.241164875030517578e+01,1.600000000000000000e+01,1.945543731898265738e-01,1.608977018018403482e-01,1.965753886038206222e-01,2.187622250362984966e-01
1.290268635749816895e+01,1.700000000000000000e+01,1.940359711665523845e-01,1.610401249150258118e-01,1.942497815152722795e-01,2.188327102225711973e-01
1.338448834419250488e+01,1.800000000000000000e+01,1.933137332777772055e-01,1.611128965782321065e-01,1.932087141334799807e-01,2.188545449587701863e-01
1.386954116821289062e+01,1.900000000000000000e+01,1.945390632829124278e-01,1.708022447870608806e-01,1.932087141334799807e-01,2.188545449587701863e-01
1.435972261428833008e+01,2.000000000000000000e+01,1.945325476953326249e-01,1.712700713287132193e-01,1.956147932859322869e-01,2.165750959189235159e-01
1.484321069717407227e+01,2.100000000000000000e+01,1.952858511377614237e-01,1.712700713287132193e-01,1.955342795440709880e-01,2.241260363653243826e-01
1.534233093261718750e+01,2.200000000000000000e+01,1.946862405407857322e-01,1.717620328188854406e-01,1.956042327637499412e-01,2.221456357620522626e-01
1.584759712219238281e+01,2.300000000000000000e+01,1.956677407884623299e-01,1.740509847771947172e-01,1.956879117176553717e-01,2.219232198635449627e-01
1.634805536270141602e+01,2.400000000000000000e+01,1.956688218898575415e-01,1.740509847771947172e-01,1.964194987466092446e-01,2.219232198635449627e-01
1.686010265350341797e+01,2.500000000000000000e+01,1.956738076826825823e-01,1.742661471037319776e-01,1.964194987466092446e-01,2.204553406404398952e-01
1.735056018829345703e+01,2.600000000000000000e+01,1.962166874149540718e-01,1.742659595382838877e-01,1.968279393893708484e-01,2.205147412582086353e-01
1.782965159416198730e+01,2.700000000000000000e+01,1.957053905074598865e-01,1.745205812127259004e-01,1.967501711296518740e-01,2.174246965828386668e-01
1.832129931449890137e+01,2.800000000000000000e+01,1.948652008211291808e-01,1.745242761330108305e-01,1.950476559721341097e-01,2.183371681288890087e-01
