time_s,round,mean,p10,p50,p90
5.068037509918212891e+00,1.000000000000000000e+00,6.923549999999998761e+01,5.293000000000000682e+01,7.218999999999999773e+01,7.792300000000000182e+01
5.549214839935302734e+00,2.000000000000000000e+00,7.411700000000000443e+01,6.023700000000000188e+01,7.660999999999999943e+01,8.483299999999999841e+01
6.016805410385131836e+00,3.000000000000000000e+00,7.086750000000000682e+01,6.173999999999999488e+01,7.203499999999999659e+01,7.961499999999999488e+01
6.510276317596435547e+00,4.000000000000000000e+00,6.947549999999999670e+01,5.800700000000000500e+01,6.926500000000000057e+01,8.133200000000000784e+01
6.998529434204101562e+00,5.000000000000000000e+00,7.096199999999998909e+01,5.892199999999999704e+01,7.334499999999999886e+01,8.123499999999999943e+01
7.492448806762695312e+00,6.000000000000000000e+00,7.308250000000001023e+01,6.301400000000000290e+01,7.437000000000000455e+01,8.278500000000001080e+01
7.985174894332885742e+00,7.000000000000000000e+00,7.287450000000001182e+01,5.911899999999999977e+01,7.496000000000000796e+01,8.278000000000000114e+01
8.495301008224487305e+00,8.000000000000000000e+00,7.485399999999999920e+01,6.159799999999999898e+01,7.631999999999999318e+01,8.639200000000001012e+01
8.979463338851928711e+00,9.000000000000000000e+00,7.601949999999999363e+01,6.504500000000000171e+01,7.766499999999999204e+01,8.454900000000000659e+01
9.457932472229003906e+00,1.000000000000000000e+01,7.693750000000000000e+01,6.622399999999998954e+01,7.729999999999998295e+01,8.625999999999999091e+01
9.948080301284790039e+00,1.100000000000000000e+01,7.789450000000000784e+01,6.677700000000000102e+01,7.804500000000000171e+01,8.727400000000000091e+01
1.042990016937255859e+01,1.200000000000000000e+01,7.872450000000000614e+01,6.559499999999999886e+01,8.062000000000000455e+01,8.753199999999999648e+01
1.092255592346191406e+01,1.300000000000000000e+01,8.002400000000000091e+01,6.672899999999999920e+01,8.303000000000000114e+01,8.733100000000000307e+01
1.140533542633056641e+01,1.400000000000000000e+01,7.946799999999998931e+01,6.745900000000000318e+01,8.133500000000000796e+01,8.629800000000000182e+01
1.192101955413818359e+01,1.500000000000000000e+01,8.048300000000000409e+01,7.056999999999999318e+01,8.273499999999999943e+01,8.920199999999999818e+01
1.241164875030517578e+01,1.600000000000000000e+01,8.111999999999999034e+01,6.826200000000000045e+01,8.340999999999999659e+01,8.867900000000000205e+01
