round,mean,p10,p50,p90
1.000000000000000000e+00,8.023330353221655997e-01,7.791304347826086829e-01,8.021739130434782927e-01,8.353105590062112062e-01
2.000000000000000000e+00,8.020028311060919401e-01,7.719782608695652248e-01,8.019565217391304568e-01,8.286180124223603283e-01
3.000000000000000000e+00,8.063399758454107280e-01,7.843260869565217286e-01,8.054545454545454231e-01,8.401863354037267806e-01
4.000000000000000000e+00,8.050726911976913147e-01,7.822826086956521374e-01,8.065217391304347894e-01,8.313260869565217703e-01
5.000000000000000000e+00,7.995975865921518544e-01,7.655724637681159406e-01,7.998023715415020218e-01,8.285869565217390820e-01
6.000000000000000000e+00,8.094874587972414881e-01,7.702608695652173321e-01,8.114377470355731425e-01,8.365062111801242484e-01
7.000000000000000000e+00,8.072402283706632264e-01,7.852173913043478670e-01,8.057905138339920281e-01,8.410869565217391486e-01
8.000000000000000000e+00,8.048696376087679516e-01,7.750434782608696116e-01,8.046245059288537060e-01,8.416304347826086829e-01
9.000000000000000000e+00,8.075742898405942061e-01,7.776354515050167837e-01,8.092226613965745052e-01,8.339130434782608958e-01
1.000000000000000000e+01,8.091080960102698949e-01,7.828043478260869881e-01,8.073369565217392019e-01,8.496739130434782794e-01
1.100000000000000000e+01,8.108174947033640612e-01,7.815217391304347672e-01,8.161231884057971175e-01,8.454710144927536364e-01
1.200000000000000000e+01,8.098602701646180346e-01,7.670401337792642771e-01,8.130434782608695343e-01,8.506521739130434856e-01
1.300000000000000000e+01,8.107582266767050516e-01,7.764855072463768826e-01,8.073122529644268797e-01,8.535507246376812240e-01
1.400000000000000000e+01,8.097214084224952924e-01,7.813294314381270533e-01,8.078260869565216939e-01,8.502536231884058049e-01
1.500000000000000000e+01,8.073801301355650883e-01,7.757850241545893866e-01,8.087944664031621045e-01,8.365579710144928072e-01
1.600000000000000000e+01,8.127260197531936958e-01,7.853491436100131784e-01,8.152173913043478937e-01,8.532608695652174058e-01
1.700000000000000000e+01,8.131265467624162468e-01,7.831846897064288493e-01,8.095652173913043814e-01,8.441407867494824524e-01
1.800000000000000000e+01,8.125153318903317601e-01,7.833454106280193230e-01,8.092391304347825720e-01,8.507608695652174591e-01
1.900000000000000000e+01,8.080391806261371102e-01,7.787560386473429963e-01,8.105072463768115965e-01,8.362898550724637836e-01
2.000000000000000000e+01,8.140316048685614092e-01,7.798913043478260532e-01,8.109134826526130935e-01,8.523623188405796691e-01
2.100000000000000000e+01,8.133182131877786381e-01,7.735968379446640508e-01,8.119323671497584716e-01,8.455072463768116275e-01
