round,mean,p10,p50,p90
1.000000000000000000e+00,4.941815381043994544e-03,4.399228910165542579e-03,4.990964351749181509e-03,5.269375160900728258e-03
2.000000000000000000e+00,4.942071261816780199e-03,4.391764240886189725e-03,4.987586034736741711e-03,5.270797703128331409e-03
3.000000000000000000e+00,4.931661793981714087e-03,4.402343467384187310e-03,4.956799489763053478e-03,5.287033823280323265e-03
4.000000000000000000e+00,4.962521703007654814e-03,4.412461070785638970e-03,4.956799489763053478e-03,5.371355555198098833e-03
5.000000000000000000e+00,4.970717509869786513e-03,4.416231932572400876e-03,4.971789734641608727e-03,5.348309536951196055e-03
6.000000000000000000e+00,4.971406564484302446e-03,4.427792718738967487e-03,4.971789734641608727e-03,5.349819889272475551e-03
7.000000000000000000e+00,4.948770436987765323e-03,4.456894974253525384e-03,4.982741314963917527e-03,5.327405703622675216e-03
8.000000000000000000e+00,4.948121929341286855e-03,4.456505089549283281e-03,4.982639538866179621e-03,5.328976273222756077e-03
9.000000000000000000e+00,4.944476230774886780e-03,4.503866918714937058e-03,4.942515239903685215e-03,5.319310668283282716e-03
1.000000000000000000e+01,4.945247145325316722e-03,4.503733524250473109e-03,4.942515239903685215e-03,5.325312887103342621e-03
1.100000000000000000e+01,4.948641853524378929e-03,4.510833637691499982e-03,4.942097878019536747e-03,5.326941690295071939e-03
1.200000000000000000e+01,4.943297900241048516e-03,4.515454602497273769e-03,4.942097878019536747e-03,5.317125173889694981e-03
1.300000000000000000e+01,4.917210983013062427e-03,4.343453118552267553e-03,4.941918521755954419e-03,5.334291668174178866e-03
1.400000000000000000e+01,4.917336949417617890e-03,4.344495612733824050e-03,4.942221113724077144e-03,5.335716717203377313e-03
1.500000000000000000e+01,4.912647991562360886e-03,4.348295030030672678e-03,4.942221113724077144e-03,5.335716717203377313e-03
1.600000000000000000e+01,4.898138832857890958e-03,4.348295030030672678e-03,4.904163025254537622e-03,5.312703750604974226e-03
1.700000000000000000e+01,4.900439097485636240e-03,4.350668748583763797e-03,4.904163025254537622e-03,5.313046950903718701e-03
1.800000000000000000e+01,4.887861756871442545e-03,4.350668748583763797e-03,4.886811902224666090e-03,5.314242415979502851e-03
1.900000000000000000e+01,4.903407825575636751e-03,4.513370746451015637e-03,4.886811902224666090e-03,5.276251598648725241e-03
2.000000000000000000e+01,4.908974128089682067e-03,4.521167855478553863e-03,4.927896553106905081e-03,5.276251598648725241e-03
2.100000000000000000e+01,4.914833358564850083e-03,4.528833010647928189e-03,4.927896553106905081e-03,5.402100606088739917e-03
2.200000000000000000e+01,4.911275283105374749e-03,4.529367213648090827e-03,4.931177035042139459e-03,5.369093929367537918e-03
2.300000000000000000e+01,4.926247326952155371e-03,4.567516412953246015e-03,4.928131861960923302e-03,5.365386997725747273e-03
2.400000000000000000e+01,4.928615013540131595e-03,4.567516412953246015e-03,4.940324979110153475e-03,5.366348641096599370e-03
2.500000000000000000e+01,4.927853642138535321e-03,4.571102451728866617e-03,4.942126529678521341e-03,5.340922344007330985e-03
2.600000000000000000e+01,4.936401744203993552e-03,4.571102451728866617e-03,4.947132323156180553e-03,5.341912354303477058e-03
2.700000000000000000e+01,4.927891618381643850e-03,4.575343020212098433e-03,4.947132323156180553e-03,5.290411609713977295e-03
2.800000000000000000e+01,4.913556367012184012e-03,4.575404602216846632e-03,4.917460932868902151e-03,5.290411609713977295e-03
2.900000000000000000e+01,4.914124313114539254e-03,4.580253232013044469e-03,4.917460932868902151e-03,5.301007104447815789e-03
3.000000000000000000e+01,4.911550395476545379e-03,4.580383196882381429e-03,4.906123088488737252e-03,5.301007104447815789e-03
3.100000000000000000e+01,4.911605894082423859e-03,4.586023829749008053e-03,4.906123088488737252e-03,5.285922125254754675e-03
3.200000000000000000e+01,4.911151637270887854e-03,4.592008776742572893e-03,4.880340455302419403e-03,5.320848812808814596e-03
3.300000000000000000e+01,4.911800518417588392e-03,4.581918361987288163e-03,4.880340455302419403e-03,5.336370047839781618e-03
