time_s,round,mean,p10,p50,p90
5.303168535232543945e+00,1.000000000000000000e+00,1.965089228626397122e-01,1.639537346099325665e-01,1.994578611049508399e-01,2.161625096540437663e-01
5.806347131729125977e+00,2.000000000000000000e+00,1.965242757090068237e-01,1.635058544531713676e-01,1.992551620842045179e-01,2.162478621876999518e-01
6.308287382125854492e+00,3.000000000000000000e+00,1.958997076389028813e-01,1.641406080430512504e-01,1.974079693857832274e-01,2.172220293968193661e-01
6.756785631179809570e+00,4.000000000000000000e+00,1.977513021804593318e-01,1.647476642471382979e-01,1.974079693857832274e-01,2.222813333118858758e-01
7.231245517730712891e+00,5.000000000000000000e+00,1.982430505921872199e-01,1.649739159543440470e-01,1.983073840784965181e-01,2.208985722170717647e-01
7.734758615493774414e+00,6.000000000000000000e+00,1.982843938690581620e-01,1.656675631243380020e-01,1.983073840784965181e-01,2.209891933563485622e-01
8.244522094726562500e+00,7.000000000000000000e+00,1.969262262192658097e-01,1.674136984552114515e-01,1.989644788978350287e-01,2.196443422173604554e-01
8.756689071655273438e+00,8.000000000000000000e+00,1.968873157604771607e-01,1.673903053729569601e-01,1.989583723319707231e-01,2.197385763933653036e-01
9.279815912246704102e+00,9.000000000000000000e+00,1.966685738464931665e-01,1.702320151228962075e-01,1.965509143942211212e-01,2.191586400969969539e-01
9.804641962051391602e+00,1.000000000000000000e+01,1.967148287195190082e-01,1.702240114550283290e-01,1.965509143942211212e-01,2.195187732262005309e-01
1.034973025321960449e+01,1.100000000000000000e+01,1.969185112114627267e-01,1.706500182614900107e-01,1.965258726811722201e-01,2.196165014177042796e-01
1.085268926620483398e+01,1.200000000000000000e+01,1.965978740144629089e-01,1.709272761498364934e-01,1.965258726811722201e-01,2.190275104333817002e-01
1.135455584526062012e+01,1.300000000000000000e+01,1.950326589807837019e-01,1.606071871131361239e-01,1.965151113053572596e-01,2.200575000904506917e-01
1.183137726783752441e+01,1.400000000000000000e+01,1.950402169650569950e-01,1.606697367640294583e-01,1.965332668234446301e-01,2.201430030322026332e-01
1.230972385406494141e+01,1.500000000000000000e+01,1.947588794937417100e-01,1.608977018018403482e-01,1.965332668234446301e-01,2.201430030322026332e-01
1.279803800582885742e+01,1.600000000000000000e+01,1.938883299714735386e-01,1.608977018018403482e-01,1.942497815152722795e-01,2.187622250362984966e-01
1.327986288070678711e+01,1.700000000000000000e+01,1.940263458491381932e-01,1.610401249150258118e-01,1.942497815152722795e-01,2.187828170542230888e-01
1.377921748161315918e+01,1.800000000000000000e+01,1.932717054122865818e-01,1.610401249150258118e-01,1.932087141334799807e-01,2.188545449587701863e-01
1.427214074134826660e+01,1.900000000000000000e+01,1.942044695345382932e-01,1.708022447870608806e-01,1.932087141334799807e-01,2.165750959189235159e-01
1.476891565322875977e+01,2.000000000000000000e+01,1.945384476853808109e-01,1.712700713287132193e-01,1.956737931864143132e-01,2.165750959189235159e-01
1.526630616188049316e+01,2.100000000000000000e+01,1.948900015138909647e-01,1.717299806388756789e-01,1.956737931864143132e-01,2.241260363653243826e-01
1.575086951255798340e+01,2.200000000000000000e+01,1.946765169863224620e-01,1.717620328188854406e-01,1.958706221025283134e-01,2.221456357620522626e-01
1.623369240760803223e+01,2.300000000000000000e+01,1.955748396171292924e-01,1.740509847771947172e-01,1.956879117176553717e-01,2.219232198635449627e-01
1.672953987121582031e+01,2.400000000000000000e+01,1.957169008124079179e-01,1.740509847771947172e-01,1.964194987466092446e-01,2.219809184657960399e-01
1.720594644546508789e+01,2.500000000000000000e+01,1.956712185283121797e-01,1.742661471037319776e-01,1.965275917807113026e-01,2.204553406404398952e-01
1.768636488914489746e+01,2.600000000000000000e+01,1.961841046522396215e-01,1.742661471037319776e-01,1.968279393893708484e-01,2.205147412582086353e-01
1.816240096092224121e+01,2.700000000000000000e+01,1.956734971028986636e-01,1.745205812127259004e-01,1.968279393893708484e-01,2.174246965828386668e-01
1.865880179405212402e+01,2.800000000000000000e+01,1.948133820207310629e-01,1.745242761330108305e-01,1.950476559721341097e-01,2.174246965828386668e-01
1.914319443702697754e+01,2.900000000000000000e+01,1.948474587868722629e-01,1.748151939207826244e-01,1.950476559721341097e-01,2.180604262668689453e-01
1.964362883567810059e+01,3.000000000000000000e+01,1.946930237285926790e-01,1.748229918129428906e-01,1.943673853093242365e-01,2.180604262668689453e-01
2.012601828575134277e+01,3.100000000000000000e+01,1.946963536449453913e-01,1.751614297849405089e-01,1.943673853093242365e-01,2.171553275152852680e-01
2.061165118217468262e+01,3.200000000000000000e+01,1.946690982362532241e-01,1.755205266045543333e-01,1.928204273181451933e-01,2.192509287685288910e-01
2.109950661659240723e+01,3.300000000000000000e+01,1.947080311050552459e-01,1.749151017192372704e-01,1.928204273181451933e-01,2.201822028703868672e-01
2.158092641830444336e+01,3.400000000000000000e+01,1.947720670214693195e-01,1.749151017192372704e-01,1.921583221559144405e-01,2.200599008947716484e-01
2.206010746955871582e+01,3.500000000000000000e+01,1.947062825585021140e-01,1.749367534054882822e-01,1.919807122755845807e-01,2.200599008947716484e-01
2.255966019630432129e+01,3.600000000000000000e+01,1.937709116787812991e-01,1.737345458902379569e-01,1.905654340601894980e-01,2.208914800704331605e-01
2.305154871940612793e+01,3.700000000000000000e+01,1.937260204003266595e-01,1.737345458902379569e-01,1.904063609933757117e-01,2.208914800704331605e-01
2.353719353675842285e+01,3.800000000000000000e+01,1.955238408917780446e-01,1.769406330808322714e-01,1.897607101679339159e-01,2.207767109916775050e-01
2.402766680717468262e+01,3.900000000000000000e+01,1.970359242920500797e-01,1.769463678062930811e-01,1.905154618858589943e-01,2.248920716217539251e-01
2.450827240943908691e+01,4.000000000000000000e+01,1.942187219705664991e-01,1.726499116354241747e-01,1.886737984568133131e-01,2.238926430332226214e-01
2.500458908081054688e+01,4.100000000000000000e+01,1.931412607939880233e-01,1.729468484919732540e-01,1.889173607931135535e-01,2.229223198635662262e-01
2.550451970100402832e+01,4.200000000000000000e+01,1.944223093923255763e-01,1.734421015432736080e-01,1.889173607931135535e-01,2.229915645470393337e-01
2.598602771759033203e+01,4.300000000000000000e+01,1.931995406183557584e-01,1.699322902265767987e-01,1.887122197718456573e-01,2.219025915163832519e-01
2.647159910202026367e+01,4.400000000000000000e+01,1.926212764162583690e-01,1.699322902265767987e-01,1.872158997814045434e-01,2.219025915163832519e-01
2.695627546310424805e+01,4.500000000000000000e+01,1.902640386377990600e-01,1.683433105348011438e-01,1.857165575101537847e-01,2.207140717045808498e-01
2.744117593765258789e+01,4.600000000000000000e+01,1.901376846370965712e-01,1.683433105348011438e-01,1.852547145436443665e-01,2.207852112296904423e-01
2.791630983352661133e+01,4.700000000000000000e+01,1.903613049636223020e-01,1.680026104680000798e-01,1.856825674316426311e-01,2.199233213275042786e-01
2.840179133415222168e+01,4.800000000000000000e+01,1.902079029836167279e-01,1.675219396422379381e-01,1.852268935841088759e-01,2.199233213275042786e-01
2.890344405174255371e+01,4.900000000000000000e+01,1.897738434411103126e-01,1.676415845768220725e-01,1.847126102989220531e-01,2.191633813927191254e-01
