time_s,round,mean,p10,p50,p90
5.303168535232543945e+00,1.000000000000000000e+00,6.909349999999999170e+01,5.341199999999999903e+01,7.037500000000000000e+01,8.149099999999999966e+01
5.806347131729125977e+00,2.000000000000000000e+00,7.264150000000000773e+01,5.924399999999999977e+01,7.398000000000000398e+01,8.268299999999999272e+01
6.308287382125854492e+00,3.000000000000000000e+00,7.057349999999999568e+01,6.084800000000000608e+01,7.180000000000001137e+01,7.973899999999999011e+01
6.756785631179809570e+00,4.000000000000000000e+00,7.139250000000001251e+01,5.913600000000000279e+01,7.365000000000000568e+01,7.907100000000001216e+01
7.231245517730712891e+00,5.000000000000000000e+00,7.250600000000001444e+01,6.223300000000000409e+01,7.350499999999999545e+01,8.430200000000000671e+01
7.734758615493774414e+00,6.000000000000000000e+00,7.398250000000000171e+01,6.188600000000000279e+01,7.553999999999999204e+01,8.314099999999999113e+01
8.244522094726562500e+00,7.000000000000000000e+00,7.595100000000000762e+01,6.347099999999999653e+01,7.687500000000000000e+01,8.625200000000000955e+01
8.756689071655273438e+00,8.000000000000000000e+00,7.712500000000001421e+01,6.608400000000000318e+01,7.914500000000001023e+01,8.597799999999999443e+01
9.279815912246704102e+00,9.000000000000000000e+00,7.877650000000002706e+01,6.551900000000000546e+01,8.169499999999999318e+01,8.560699999999999932e+01
9.804641962051391602e+00,1.000000000000000000e+01,7.994800000000000750e+01,6.747200000000000841e+01,8.273499999999999943e+01,8.783300000000001262e+01
1.034973025321960449e+01,1.100000000000000000e+01,8.120200000000001239e+01,6.829300000000000637e+01,8.315000000000000568e+01,8.893999999999999773e+01
1.085268926620483398e+01,1.200000000000000000e+01,8.275600000000000023e+01,7.113300000000000978e+01,8.454000000000000625e+01,9.029600000000000648e+01
1.135455584526062012e+01,1.300000000000000000e+01,8.292299999999998761e+01,7.464000000000000057e+01,8.538499999999999091e+01,8.956600000000000250e+01
1.183137726783752441e+01,1.400000000000000000e+01,8.404000000000000625e+01,7.607099999999999795e+01,8.728999999999999204e+01,9.056799999999999784e+01
1.230972385406494141e+01,1.500000000000000000e+01,8.434450000000001069e+01,7.539799999999999613e+01,8.683499999999999375e+01,9.046800000000000352e+01
1.279803800582885742e+01,1.600000000000000000e+01,8.465349999999999397e+01,7.733700000000000330e+01,8.662500000000000000e+01,8.987199999999999989e+01
1.327986288070678711e+01,1.700000000000000000e+01,8.473449999999999704e+01,7.834799999999999898e+01,8.694499999999999318e+01,8.980599999999999739e+01
1.377921748161315918e+01,1.800000000000000000e+01,8.536899999999999977e+01,7.944799999999999329e+01,8.698499999999999943e+01,9.123500000000001364e+01
1.427214074134826660e+01,1.900000000000000000e+01,8.614749999999999375e+01,7.738700000000000045e+01,8.849500000000000455e+01,9.205199999999999250e+01
1.476891565322875977e+01,2.000000000000000000e+01,8.661400000000000432e+01,7.858400000000000318e+01,8.835499999999998977e+01,9.150900000000000034e+01
1.526630616188049316e+01,2.100000000000000000e+01,8.701399999999999579e+01,8.042000000000001592e+01,8.840500000000000114e+01,9.264300000000000068e+01
1.575086951255798340e+01,2.200000000000000000e+01,8.750050000000001660e+01,8.014900000000000091e+01,8.997499999999999432e+01,9.203699999999999193e+01
1.623369240760803223e+01,2.300000000000000000e+01,8.775949999999998852e+01,8.103799999999999670e+01,8.980000000000001137e+01,9.274699999999999989e+01
1.672953987121582031e+01,2.400000000000000000e+01,8.782750000000001478e+01,8.156400000000000716e+01,8.992000000000000171e+01,9.241799999999999216e+01
1.720594644546508789e+01,2.500000000000000000e+01,8.765049999999999386e+01,8.048799999999999955e+01,8.901500000000000057e+01,9.250499999999999545e+01
1.768636488914489746e+01,2.600000000000000000e+01,8.844250000000000966e+01,8.101699999999999591e+01,9.042000000000000171e+01,9.340000000000000568e+01
1.816240096092224121e+01,2.700000000000000000e+01,8.799099999999999966e+01,8.108600000000001273e+01,9.070499999999999829e+01,9.241300000000001091e+01
1.865880179405212402e+01,2.800000000000000000e+01,8.906399999999999295e+01,8.224200000000000443e+01,9.029999999999999716e+01,9.349099999999998545e+01
1.914319443702697754e+01,2.900000000000000000e+01,8.850050000000000239e+01,8.190800000000000125e+01,9.070499999999999829e+01,9.266199999999999193e+01
1.964362883567810059e+01,3.000000000000000000e+01,8.913150000000001683e+01,8.143399999999999750e+01,9.087999999999999545e+01,9.364200000000001012e+01
2.012601828575134277e+01,3.100000000000000000e+01,8.857799999999998875e+01,8.133299999999999841e+01,9.005500000000000682e+01,9.363799999999999102e+01
2.061165118217468262e+01,3.200000000000000000e+01,8.907150000000001455e+01,8.124800000000000466e+01,9.105500000000000682e+01,9.366100000000000136e+01
2.109950661659240723e+01,3.300000000000000000e+01,8.913050000000001205e+01,8.219499999999999318e+01,9.080500000000000682e+01,9.351800000000000068e+01
2.158092641830444336e+01,3.400000000000000000e+01,8.975549999999999784e+01,8.295799999999999841e+01,9.170499999999999829e+01,9.420600000000000307e+01
2.206010746955871582e+01,3.500000000000000000e+01,8.897700000000000387e+01,8.235099999999999909e+01,9.162500000000000000e+01,9.285100000000001330e+01
2.255966019630432129e+01,3.600000000000000000e+01,8.908750000000000568e+01,8.390999999999999659e+01,9.008500000000000796e+01,9.354800000000000182e+01
2.305154871940612793e+01,3.700000000000000000e+01,8.914349999999998886e+01,8.342799999999999727e+01,9.079500000000000171e+01,9.228499999999999659e+01
2.353719353675842285e+01,3.800000000000000000e+01,8.970599999999998886e+01,8.327600000000001046e+01,9.195000000000000284e+01,9.375399999999999068e+01
2.402766680717468262e+01,3.900000000000000000e+01,8.993750000000000000e+01,8.230000000000001137e+01,9.175000000000000000e+01,9.374700000000001410e+01
2.450827240943908691e+01,4.000000000000000000e+01,8.921150000000001512e+01,8.380899999999999750e+01,9.040999999999999659e+01,9.389000000000000057e+01
2.500458908081054688e+01,4.100000000000000000e+01,8.896800000000000352e+01,8.185800000000000409e+01,9.050999999999999091e+01,9.362199999999999989e+01
2.550451970100402832e+01,4.200000000000000000e+01,8.989000000000000057e+01,8.264699999999999136e+01,9.110499999999998977e+01,9.404399999999999693e+01
2.598602771759033203e+01,4.300000000000000000e+01,8.929449999999999932e+01,8.204399999999999693e+01,9.066499999999999204e+01,9.365099999999999625e+01
2.647159910202026367e+01,4.400000000000000000e+01,8.970800000000001262e+01,8.301699999999999591e+01,9.157999999999999829e+01,9.402800000000000580e+01
2.695627546310424805e+01,4.500000000000000000e+01,9.004449999999999932e+01,8.380200000000000671e+01,9.208500000000000796e+01,9.350000000000000000e+01
2.744117593765258789e+01,4.600000000000000000e+01,9.059399999999997988e+01,8.374500000000000455e+01,9.249500000000000455e+01,9.401600000000000534e+01
2.791630983352661133e+01,4.700000000000000000e+01,9.016899999999999693e+01,8.150199999999999534e+01,9.222999999999998977e+01,9.411599999999999966e+01
2.840179133415222168e+01,4.800000000000000000e+01,9.015749999999999886e+01,8.396399999999999864e+01,9.176500000000001478e+01,9.400099999999999056e+01
2.890344405174255371e+01,4.900000000000000000e+01,8.962650000000000716e+01,8.199599999999999511e+01,9.264000000000000057e+01,9.395199999999999818e+01
2.938298010826110840e+01,5.000000000000000000e+01,9.034350000000000591e+01,8.656799999999999784e+01,9.195000000000000284e+01,9.381199999999999761e+01
2.988585925102233887e+01,5.100000000000000000e+01,9.004649999999998045e+01,8.300600000000000023e+01,9.206499999999999773e+01,9.415900000000000603e+01
3.037108016014099121e+01,5.200000000000000000e+01,9.029299999999997794e+01,8.406199999999999761e+01,9.220499999999999829e+01,9.440499999999998693e+01
3.087637186050415039e+01,5.300000000000000000e+01,8.991450000000000387e+01,8.387299999999999045e+01,9.217000000000000171e+01,9.402100000000000080e+01
3.138222002983093262e+01,5.400000000000000000e+01,8.984600000000001785e+01,8.432900000000000773e+01,9.165999999999999659e+01,9.484499999999999886e+01
3.190439844131469727e+01,5.500000000000000000e+01,8.999099999999999966e+01,8.342000000000000171e+01,9.235999999999998522e+01,9.371100000000001273e+01
3.239913558959960938e+01,5.600000000000000000e+01,8.979999999999999716e+01,8.284899999999998954e+01,9.189499999999999602e+01,9.410799999999998988e+01
3.288758206367492676e+01,5.700000000000000000e+01,9.008799999999999386e+01,8.543600000000000705e+01,9.171500000000000341e+01,9.337099999999999511e+01
3.337699818611145020e+01,5.800000000000000000e+01,9.009649999999999181e+01,8.334199999999999875e+01,9.209499999999999886e+01,9.407599999999999341e+01
3.387371730804443359e+01,5.900000000000000000e+01,9.030600000000001160e+01,8.442700000000000671e+01,9.251500000000000057e+01,9.398399999999999466e+01
3.435101532936096191e+01,6.000000000000000000e+01,9.043400000000001171e+01,8.318799999999998818e+01,9.255500000000000682e+01,9.398300000000000409e+01
3.483181190490722656e+01,6.100000000000000000e+01,8.977750000000000341e+01,7.994100000000000250e+01,9.253499999999999659e+01,9.408399999999998897e+01
3.532138657569885254e+01,6.200000000000000000e+01,9.054750000000001364e+01,8.581299999999998818e+01,9.256999999999999318e+01,9.398400000000000887e+01
3.581231570243835449e+01,6.300000000000000000e+01,9.026050000000000750e+01,8.731000000000000227e+01,9.221000000000000796e+01,9.360699999999999932e+01
3.630022358894348145e+01,6.400000000000000000e+01,9.022150000000000603e+01,8.447500000000000853e+01,9.273499999999999943e+01,9.424699999999999989e+01
3.678649830818176270e+01,6.500000000000000000e+01,9.069500000000000739e+01,8.650199999999999534e+01,9.288999999999998636e+01,9.447700000000000387e+01
3.726897120475769043e+01,6.600000000000000000e+01,9.035849999999999227e+01,8.247499999999999432e+01,9.184499999999999886e+01,9.425300000000000011e+01
3.775040841102600098e+01,6.700000000000000000e+01,8.991850000000000875e+01,8.007200000000000273e+01,9.280499999999999261e+01,9.419899999999999807e+01
3.823288941383361816e+01,6.800000000000000000e+01,9.038350000000001216e+01,8.567000000000000171e+01,9.156999999999999318e+01,9.451800000000000068e+01
3.870865797996520996e+01,6.900000000000000000e+01,9.036149999999999238e+01,8.399099999999999966e+01,9.295000000000000284e+01,9.453300000000000125e+01
3.920225644111633301e+01,7.000000000000000000e+01,9.036599999999999966e+01,8.651999999999999602e+01,9.228000000000000114e+01,9.416499999999999204e+01
3.970340132713317871e+01,7.100000000000000000e+01,9.057899999999999352e+01,8.346299999999999386e+01,9.238499999999999091e+01,9.440699999999999648e+01
4.019593882560729980e+01,7.200000000000000000e+01,9.076550000000000296e+01,8.068600000000000705e+01,9.283500000000000796e+01,9.479099999999999682e+01
4.069196772575378418e+01,7.300000000000000000e+01,8.955949999999999989e+01,8.334299999999998931e+01,9.082500000000000284e+01,9.486700000000000443e+01
4.117329096794128418e+01,7.400000000000000000e+01,9.017950000000001864e+01,8.340000000000000568e+01,9.191999999999998749e+01,9.324299999999999500e+01
4.167212533950805664e+01,7.500000000000000000e+01,9.082900000000000773e+01,8.758100000000000307e+01,9.227000000000001023e+01,9.435600000000000875e+01
4.215480017662048340e+01,7.600000000000000000e+01,9.044750000000001933e+01,8.363200000000000500e+01,9.229499999999998749e+01,9.388200000000000500e+01
4.264274334907531738e+01,7.700000000000000000e+01,9.085250000000000625e+01,8.698499999999999943e+01,9.273999999999999488e+01,9.433499999999999375e+01
4.314279580116271973e+01,7.800000000000000000e+01,9.047750000000000625e+01,8.538700000000001467e+01,9.221999999999999886e+01,9.416500000000000625e+01
4.362060856819152832e+01,7.900000000000000000e+01,9.048449999999999704e+01,8.463699999999998624e+01,9.256999999999999318e+01,9.458299999999999841e+01
4.410706114768981934e+01,8.000000000000000000e+01,8.992999999999997840e+01,8.199499999999999034e+01,9.237999999999999545e+01,9.400100000000000477e+01
4.460307860374450684e+01,8.100000000000000000e+01,9.113299999999998136e+01,8.529600000000000648e+01,9.312999999999999545e+01,9.468200000000000216e+01
