round,mean,p10,p50,p90
1.000000000000000000e+00,4.898902820680909632e-03,4.518051498039271641e-03,4.897977327987073672e-03,5.330100179675412511e-03
2.000000000000000000e+00,4.888872001961472487e-03,4.519208500167073810e-03,4.909376749467318085e-03,5.345933964522125992e-03
3.000000000000000000e+00,4.901136317675468777e-03,4.528086516389886323e-03,4.918178658575065622e-03,5.395991819283633278e-03
4.000000000000000000e+00,4.902654633455313590e-03,4.528086516389886323e-03,4.929933412529291167e-03,5.397246478322426447e-03
5.000000000000000000e+00,4.908693070318827581e-03,4.533718222292546299e-03,4.932156462008195630e-03,5.446457042862905100e-03
6.000000000000000000e+00,4.909430621788920049e-03,4.533718222292546299e-03,4.944349579157427538e-03,5.450117365736022179e-03
7.000000000000000000e+00,4.916771900860626883e-03,4.537904979203355275e-03,4.944349579157427538e-03,5.450117365736022179e-03
8.000000000000000000e+00,4.927596904969424284e-03,4.575412661437925320e-03,4.938331471954139629e-03,5.461731447531025310e-03
9.000000000000000000e+00,4.934541545189545173e-03,4.575412661437925320e-03,4.935187238124425294e-03,5.462987977842974872e-03
1.000000000000000000e+01,4.919688823633986720e-03,4.580194776099097420e-03,4.903677102717465125e-03,5.375859192895786343e-03
1.100000000000000000e+01,4.918482671356168637e-03,4.560762256741616137e-03,4.897427936413952659e-03,5.385394380622035571e-03
1.200000000000000000e+01,4.915609143060610704e-03,4.560762256741616137e-03,4.893694256375974785e-03,5.385394380622035571e-03
1.300000000000000000e+01,4.918279712588269001e-03,4.540740672230890451e-03,4.887892649170126093e-03,5.394049170959699241e-03
1.400000000000000000e+01,4.935217665444533233e-03,4.540870637100228278e-03,4.890149119707148592e-03,5.470535442599095723e-03
1.500000000000000000e+01,4.931732779183517490e-03,4.540870637100228278e-03,4.874548144758544810e-03,5.471780457022707746e-03
1.600000000000000000e+01,4.921256089725918256e-03,4.521450671721246976e-03,4.857975702828028902e-03,5.453435160680427697e-03
1.700000000000000000e+01,4.909320951136241819e-03,4.518438743703129951e-03,4.852818433085106034e-03,5.453435160680427697e-03
1.800000000000000000e+01,4.904214398521221721e-03,4.518966219462667785e-03,4.849858268412941473e-03,5.436947428669582603e-03
1.900000000000000000e+01,4.912670150155719513e-03,4.499861196054552766e-03,4.839675106429668777e-03,5.436947428669582603e-03
2.000000000000000000e+01,4.911359560106904991e-03,4.524562438201726843e-03,4.817335075830457211e-03,5.419732066856237582e-03
2.100000000000000000e+01,4.911045953608063341e-03,4.527281180608357450e-03,4.812857394642809129e-03,5.404384586208462772e-03
2.200000000000000000e+01,4.899369039220852901e-03,4.479355176866879618e-03,4.815990826536260469e-03,5.404384586208462772e-03
2.300000000000000000e+01,4.857078699195598037e-03,4.479355176866879618e-03,4.791224018723068412e-03,5.388212533380856706e-03
2.400000000000000000e+01,4.847128436217749449e-03,4.475268483156308492e-03,4.776097407309286107e-03,5.389556323049843160e-03
2.500000000000000000e+01,4.854007815381746957e-03,4.467651385915958479e-03,4.777896860627653570e-03,5.371406772538906554e-03
2.600000000000000000e+01,4.861790671013035449e-03,4.466710174466669014e-03,4.777809141287310025e-03,5.371406772538906554e-03
2.700000000000000000e+01,4.820861893629992991e-03,4.449237849761056643e-03,4.761376123860711074e-03,5.352974179561092484e-03
2.800000000000000000e+01,4.829207453536966954e-03,4.458761623598446640e-03,4.753781559735148314e-03,5.352974179561092484e-03
2.900000000000000000e+01,4.827342200004941519e-03,4.450624083617003325e-03,4.745210171648701902e-03,5.338609347857990045e-03
3.000000000000000000e+01,4.828368592530960478e-03,4.450624083617003325e-03,4.737731712574354791e-03,5.338609347857990045e-03
3.100000000000000000e+01,4.825086363373943046e-03,4.448885989918741242e-03,4.729425789926641234e-03,5.317185653264005704e-03
3.200000000000000000e+01,4.825995139325296550e-03,4.443220820104738789e-03,4.725664274561695508e-03,5.303640287727316889e-03
3.300000000000000000e+01,4.827705037202015617e-03,4.443220820104738789e-03,4.722165499107363468e-03,5.303640287727316889e-03
3.400000000000000000e+01,4.829268189174919061e-03,4.436593478517056668e-03,4.722165499107363468e-03,5.291695884067412065e-03
3.500000000000000000e+01,4.831482538679344844e-03,4.436593478517056668e-03,4.725864874070289864e-03,5.291695884067412065e-03
3.600000000000000000e+01,4.809940837111850720e-03,4.436593478517056668e-03,4.726277737739238705e-03,5.141151297161315574e-03
