time_s,round,mean,p10,p50,p90
1.476984405517578125e+01,1.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.532552719116210938e+01,2.000000000000000000e+00,7.299999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.583325958251953125e+01,3.000000000000000000e+00,7.349999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.632169771194458008e+01,4.000000000000000000e+00,7.349999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.677412748336791992e+01,5.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.720770645141601562e+01,6.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.763424491882324219e+01,7.000000000000000000e+00,7.450000000000000178e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.813161277770996094e+01,8.000000000000000000e+00,7.450000000000000178e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.010000000000000142e+01
1.862143039703369141e+01,9.000000000000000000e+00,7.500000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.911402988433837891e+01,1.000000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.963490009307861328e+01,1.100000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.014553546905517578e+01,1.200000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.063377094268798828e+01,1.300000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.111420011520385742e+01,1.400000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.159141135215759277e+01,1.500000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.207232332229614258e+01,1.600000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.254987287521362305e+01,1.700000000000000000e+01,7.349999999999999645e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.306431221961975098e+01,1.800000000000000000e+01,7.299999999999999822e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.355146884918212891e+01,1.900000000000000000e+01,7.349999999999999645e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.402634477615356445e+01,2.000000000000000000e+01,7.299999999999999822e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.451234054565429688e+01,2.100000000000000000e+01,7.299999999999999822e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.501644229888916016e+01,2.200000000000000000e+01,7.299999999999999822e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.550686168670654297e+01,2.300000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.598708963394165039e+01,2.400000000000000000e+01,7.099999999999999645e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.647472023963928223e+01,2.500000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.698157548904418945e+01,2.600000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.020000000000000284e+01
2.747366881370544434e+01,2.700000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.020000000000000284e+01
2.797510623931884766e+01,2.800000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.110000000000000142e+01
2.847819828987121582e+01,2.900000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.110000000000000142e+01
2.896674990653991699e+01,3.000000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.110000000000000142e+01
2.944205021858215332e+01,3.100000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.991470575332641602e+01,3.200000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.039368104934692383e+01,3.300000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.087336730957031250e+01,3.400000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.136608219146728516e+01,3.500000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.186588835716247559e+01,3.600000000000000000e+01,7.099999999999999645e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.234907937049865723e+01,3.700000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.283166074752807617e+01,3.800000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.331543779373168945e+01,3.900000000000000000e+01,7.299999999999999822e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.380573201179504395e+01,4.000000000000000000e+01,7.299999999999999822e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.429355549812316895e+01,4.100000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.478604364395141602e+01,4.200000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.528395700454711914e+01,4.300000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.578573989868164062e+01,4.400000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.627446365356445312e+01,4.500000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.675609445571899414e+01,4.600000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.724829339981079102e+01,4.700000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.776027989387512207e+01,4.800000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.823994255065917969e+01,4.900000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.874450206756591797e+01,5.000000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.924181127548217773e+01,5.100000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.972229766845703125e+01,5.200000000000000000e+01,7.099999999999999645e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.022399592399597168e+01,5.300000000000000000e+01,7.099999999999999645e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.069875526428222656e+01,5.400000000000000000e+01,7.099999999999999645e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.118562889099121094e+01,5.500000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.167082333564758301e+01,5.600000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.217507791519165039e+01,5.700000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.265119695663452148e+01,5.800000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.312613105773925781e+01,5.900000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.361410045623779297e+01,6.000000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.410596060752868652e+01,6.100000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.459067869186401367e+01,6.200000000000000000e+01,7.299999999999999822e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.507675480842590332e+01,6.300000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.556897807121276855e+01,6.400000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.606449079513549805e+01,6.500000000000000000e+01,7.299999999999999822e+00,3.800000000000000266e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.655033779144287109e+01,6.600000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.704033756256103516e+01,6.700000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.755065202713012695e+01,6.800000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.805796289443969727e+01,6.900000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.854913520812988281e+01,7.000000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
