time_s,round,mean,p10,p50,p90
5.136004924774169922e+00,1.000000000000000000e+00,8.023291533345879856e-01,7.830434782608695077e-01,8.019021739130434145e-01,8.353105590062112062e-01
5.643561601638793945e+00,2.000000000000000000e+00,8.019303673379759578e-01,7.708478260869564558e-01,8.019565217391304568e-01,8.286180124223603283e-01
6.133355855941772461e+00,3.000000000000000000e+00,8.048363526570048165e-01,7.813913043478261100e-01,8.039328063241106825e-01,8.401863354037267806e-01
6.614435195922851562e+00,4.000000000000000000e+00,8.046379085889956428e-01,7.814130434782609047e-01,8.065217391304347894e-01,8.313260869565217703e-01
7.129299163818359375e+00,5.000000000000000000e+00,7.999236735486736638e-01,7.655724637681159406e-01,7.998023715415020218e-01,8.285869565217390820e-01
7.615567207336425781e+00,6.000000000000000000e+00,8.096233283624588717e-01,7.705869565217391415e-01,8.111660079051383754e-01,8.365062111801242484e-01
8.091890096664428711e+00,7.000000000000000000e+00,8.076424022837068728e-01,7.857608695652174013e-01,8.057905138339920281e-01,8.410869565217391486e-01
8.576710224151611328e+00,8.000000000000000000e+00,8.043805071739853485e-01,7.745000000000000773e-01,8.046245059288537060e-01,8.377173913043478581e-01
9.071235656738281250e+00,9.000000000000000000e+00,8.079354178430264710e-01,7.774347826086956958e-01,8.092226613965745052e-01,8.339130434782608958e-01
9.548566579818725586e+00,1.000000000000000000e+01,8.088907047059221700e-01,7.828043478260869881e-01,8.073369565217392019e-01,8.486956521739130732e-01
1.004929661750793457e+01,1.100000000000000000e+01,8.111948890481498475e-01,7.815217391304347672e-01,8.161231884057971175e-01,8.454710144927536364e-01
1.052877187728881836e+01,1.200000000000000000e+01,8.117130369630369824e-01,7.680183946488293723e-01,8.130434782608695343e-01,8.514130434782608559e-01
1.100609564781188965e+01,1.300000000000000000e+01,8.106709407742016538e-01,7.764855072463768826e-01,8.066534914361001007e-01,8.535507246376812240e-01
1.149632549285888672e+01,1.400000000000000000e+01,8.100458484751962285e-01,7.842642140468227829e-01,8.078260869565216939e-01,8.502536231884058049e-01
1.197808790206909180e+01,1.500000000000000000e+01,8.089806672795804010e-01,7.824823485693050973e-01,8.101778656126481515e-01,8.368478260869566254e-01
1.246148896217346191e+01,1.600000000000000000e+01,8.133607835401314157e-01,7.800131752305665689e-01,8.173913043478261420e-01,8.571739130434783416e-01
1.294194960594177246e+01,1.700000000000000000e+01,8.127801087801087565e-01,7.836677814938683984e-01,8.079841897233202008e-01,8.459420289855072994e-01
1.343002676963806152e+01,1.800000000000000000e+01,8.122212419223288071e-01,7.862801932367149416e-01,8.092391304347825720e-01,8.507608695652174591e-01
1.396933889389038086e+01,1.900000000000000000e+01,8.115023997741388495e-01,7.789975845410628263e-01,8.117753623188406209e-01,8.367971014492753268e-01
1.446187376976013184e+01,2.000000000000000000e+01,8.113999309868873411e-01,7.803689064558629873e-01,8.096179183135705504e-01,8.509855072463767822e-01
1.495519328117370605e+01,2.100000000000000000e+01,8.115126105778280863e-01,7.739130434782608425e-01,8.119323671497584716e-01,8.463768115942029713e-01
1.542498946189880371e+01,2.200000000000000000e+01,8.111301524562394283e-01,7.814565217391303831e-01,8.131987577639752107e-01,8.378260869565218316e-01
1.591139292716979980e+01,2.300000000000000000e+01,8.098166054959534677e-01,7.816630434782608772e-01,8.079270970575318511e-01,8.366770186335403814e-01
1.638835120201110840e+01,2.400000000000000000e+01,8.075950812472549867e-01,7.773201581027667784e-01,8.118478260869566032e-01,8.365838509316769755e-01
1.687095379829406738e+01,2.500000000000000000e+01,8.121996282702804715e-01,7.853586956521738660e-01,8.116425120772947643e-01,8.317391304347825365e-01
1.735257935523986816e+01,2.600000000000000000e+01,8.061551775519166796e-01,7.594515810276680767e-01,8.078260869565216939e-01,8.241118012422360417e-01
1.783688807487487793e+01,2.700000000000000000e+01,8.109410094736183572e-01,7.836645962732918802e-01,8.105621431708387448e-01,8.286956521739130554e-01
1.832250094413757324e+01,2.800000000000000000e+01,8.139004956396261870e-01,7.863478260869565251e-01,8.173693456302152383e-01,8.396894409937888382e-01
1.881046557426452637e+01,2.900000000000000000e+01,8.086355950812473825e-01,7.883963862224732111e-01,8.068478260869564878e-01,8.346376811594202749e-01
1.929424548149108887e+01,3.000000000000000000e+01,8.108682006399398068e-01,7.867984189723320476e-01,8.109903381642511455e-01,8.360248447204968736e-01
1.977524542808532715e+01,3.100000000000000000e+01,8.143009128552604059e-01,7.888509316770185853e-01,8.121376811594203105e-01,8.422360248447204878e-01
2.025970292091369629e+01,3.200000000000000000e+01,8.100561672626890308e-01,7.846508563899868838e-01,8.125845410628018683e-01,8.308695652173913038e-01
2.074323773384094238e+01,3.300000000000000000e+01,8.096004689754691119e-01,7.730434782608694988e-01,8.139751552795031486e-01,8.375181159420289623e-01
2.123274207115173340e+01,3.400000000000000000e+01,8.133583349018129738e-01,7.746086956521739397e-01,8.177865612648221871e-01,8.391304347826087362e-01
2.172519373893737793e+01,3.500000000000000000e+01,8.119683167074468466e-01,7.719254658385094059e-01,8.176811594202898492e-01,8.414409937888198687e-01
2.221130442619323730e+01,3.600000000000000000e+01,8.114929888951628589e-01,7.832608695652173436e-01,8.151449275362319113e-01,8.371739130434783238e-01
2.268636298179626465e+01,3.700000000000000000e+01,8.105358083945040093e-01,7.773043478260869277e-01,8.099802371541502399e-01,8.396666666666666723e-01
2.318242263793945312e+01,3.800000000000000000e+01,8.089075537988581477e-01,7.828853754940711118e-01,8.155314009661835950e-01,8.349999999999999645e-01
2.367068266868591309e+01,3.900000000000000000e+01,8.089805037957212841e-01,7.872826086956521419e-01,8.126086956521738625e-01,8.292546583850932684e-01
2.414981818199157715e+01,4.000000000000000000e+01,8.145081247255161472e-01,7.817753623188405943e-01,8.178260869565217028e-01,8.406884057971014679e-01
2.463390135765075684e+01,4.100000000000000000e+01,8.064265794591882752e-01,7.734782608695652817e-01,8.115217391304347938e-01,8.365217391304348160e-01
2.512615418434143066e+01,4.200000000000000000e+01,8.103502415458937458e-01,7.808695652173913704e-01,8.099912165129556918e-01,8.431573498964803903e-01
2.561536288261413574e+01,4.300000000000000000e+01,8.134585450781102178e-01,7.735072463768115636e-01,8.190683229813664479e-01,8.357608695652173347e-01
2.610138559341430664e+01,4.400000000000000000e+01,8.132558033753685134e-01,7.794565217391304923e-01,8.183300395256917215e-01,8.384627329192546608e-01
2.659293460845947266e+01,4.500000000000000000e+01,8.192064119455422233e-01,7.772463768115942528e-01,8.240338164251208575e-01,8.520031055900622041e-01
2.708026552200317383e+01,4.600000000000000000e+01,8.138314197879414902e-01,7.787318840579710022e-01,8.119806763285024598e-01,8.497204968944099823e-01
2.756357002258300781e+01,4.700000000000000000e+01,8.125291737248258039e-01,7.840000000000000302e-01,8.126086956521738625e-01,8.502173913043478137e-01
2.804664587974548340e+01,4.800000000000000000e+01,8.183605307735742906e-01,7.765942028985507450e-01,8.190993788819875832e-01,8.497826086956521419e-01
2.853863954544067383e+01,4.900000000000000000e+01,8.183013520296130716e-01,7.732608695652173347e-01,8.228260869565217073e-01,8.437888198757763636e-01
2.903395462036132812e+01,5.000000000000000000e+01,8.194981491938013729e-01,7.965217391304347805e-01,8.200000000000000622e-01,8.495807453416148736e-01
2.954075503349304199e+01,5.100000000000000000e+01,8.152118388857519937e-01,7.836231884057970332e-01,8.155279503105590244e-01,8.404927536231884266e-01
