round,mean,p10,p50,p90
1.000000000000000000e+00,8.023291533345882076e-01,7.830434782608695077e-01,8.019021739130434145e-01,8.353105590062110952e-01
2.000000000000000000e+00,8.019303673379759578e-01,7.708478260869564558e-01,8.019565217391304568e-01,8.286180124223603283e-01
3.000000000000000000e+00,8.048363526570050386e-01,7.813913043478261100e-01,8.039328063241106825e-01,8.401863354037268916e-01
4.000000000000000000e+00,8.046379085889956428e-01,7.814130434782609047e-01,8.065217391304347894e-01,8.313260869565216593e-01
5.000000000000000000e+00,7.999236735486736638e-01,7.655724637681159406e-01,7.998023715415019108e-01,8.285869565217390820e-01
6.000000000000000000e+00,8.096233283624589827e-01,7.705869565217391415e-01,8.111660079051383754e-01,8.365062111801242484e-01
7.000000000000000000e+00,8.076424022837068728e-01,7.857608695652172903e-01,8.057905138339920281e-01,8.410869565217391486e-01
8.000000000000000000e+00,8.043805071739853485e-01,7.744999999999999662e-01,8.046245059288538171e-01,8.377173913043477471e-01
9.000000000000000000e+00,8.079354178430264710e-01,7.774347826086956958e-01,8.092226613965742832e-01,8.339130434782608958e-01
1.000000000000000000e+01,8.088907047059221700e-01,7.828043478260869881e-01,8.073369565217390909e-01,8.486956521739130732e-01
1.100000000000000000e+01,8.111948890481498475e-01,7.815217391304347672e-01,8.161231884057971175e-01,8.454710144927536364e-01
1.200000000000000000e+01,8.117130369630368714e-01,7.680183946488294833e-01,8.130434782608695343e-01,8.514130434782608559e-01
1.300000000000000000e+01,8.106709407742016538e-01,7.764855072463767716e-01,8.066534914361001007e-01,8.535507246376812240e-01
1.400000000000000000e+01,8.100458484751962285e-01,7.842642140468226719e-01,8.078260869565218050e-01,8.502536231884058049e-01
1.500000000000000000e+01,8.089806672795804010e-01,7.824823485693052083e-01,8.101778656126481515e-01,8.368478260869566254e-01
1.600000000000000000e+01,8.133607835401315267e-01,7.800131752305664579e-01,8.173913043478260310e-01,8.571739130434783416e-01
1.700000000000000000e+01,8.127801087801087565e-01,7.836677814938685094e-01,8.079841897233200898e-01,8.459420289855072994e-01
1.800000000000000000e+01,8.122212419223288071e-01,7.862801932367150526e-01,8.092391304347825720e-01,8.507608695652173481e-01
1.900000000000000000e+01,8.115023997741388495e-01,7.789975845410629374e-01,8.117753623188406209e-01,8.367971014492752158e-01
2.000000000000000000e+01,8.113999309868875631e-01,7.803689064558630983e-01,8.096179183135705504e-01,8.509855072463768932e-01
2.100000000000000000e+01,8.115126105778280863e-01,7.739130434782609536e-01,8.119323671497584716e-01,8.463768115942029713e-01
2.200000000000000000e+01,8.111301524562394283e-01,7.814565217391303831e-01,8.131987577639749887e-01,8.378260869565217206e-01
2.300000000000000000e+01,8.098166054959534677e-01,7.816630434782608772e-01,8.079270970575318511e-01,8.366770186335403814e-01
2.400000000000000000e+01,8.075950812472549867e-01,7.773201581027667784e-01,8.118478260869564922e-01,8.365838509316769755e-01
