round,mean,p10,p50,p90
1.000000000000000000e+00,4.942421450391229314e-03,4.399228910165542579e-03,4.987586034736741711e-03,5.269375160900728258e-03
2.000000000000000000e+00,4.942841130418957653e-03,4.391764240886189725e-03,4.987069711531507549e-03,5.285584719736948281e-03
3.000000000000000000e+00,4.951341131364013146e-03,4.402343467384187310e-03,4.956799489763053478e-03,5.371355555198098833e-03
4.000000000000000000e+00,4.962521703007654814e-03,4.412461070785638970e-03,4.956799489763053478e-03,5.371355555198098833e-03
5.000000000000000000e+00,4.970043989103370766e-03,4.416231932572400876e-03,4.971789734641608727e-03,5.348309536951196055e-03
6.000000000000000000e+00,4.971919449366710500e-03,4.427792718738967487e-03,4.971789734641608727e-03,5.349819889272475551e-03
7.000000000000000000e+00,4.947760211368288155e-03,4.456894974253525384e-03,4.982741314963917527e-03,5.327405703622675216e-03
8.000000000000000000e+00,4.949635023938443214e-03,4.503866918714937058e-03,4.982639538866179621e-03,5.321212816538838791e-03
9.000000000000000000e+00,4.943532016049113909e-03,4.503866918714937058e-03,4.942515239903685215e-03,5.323716276964755856e-03
1.000000000000000000e+01,4.946896675819164625e-03,4.510833637691499982e-03,4.942515239903685215e-03,5.325312887103342621e-03
1.100000000000000000e+01,4.948868360136959681e-03,4.510833637691499982e-03,4.942097878019536747e-03,5.326941690295071939e-03
1.200000000000000000e+01,4.914860265547118211e-03,4.343453118552267553e-03,4.942097878019536747e-03,5.332896171491357737e-03
1.300000000000000000e+01,4.916165004940553293e-03,4.343453118552267553e-03,4.941918521755954419e-03,5.334291668174178866e-03
1.400000000000000000e+01,4.919274162464702671e-03,4.347194157709107463e-03,4.942221113724077144e-03,5.334291668174178866e-03
1.500000000000000000e+01,4.907439006473470616e-03,4.347194157709107463e-03,4.942221113724077144e-03,5.312535925917251031e-03
1.600000000000000000e+01,4.909307148520735548e-03,4.349511746455961628e-03,4.942923143397009653e-03,5.312703750604974226e-03
1.700000000000000000e+01,4.895125661291920699e-03,4.350668748583763797e-03,4.904163025254537622e-03,5.313878503709519585e-03
1.800000000000000000e+01,4.887861756871442545e-03,4.350668748583763797e-03,4.886811902224666090e-03,5.314242415979502851e-03
1.900000000000000000e+01,4.903657826217404023e-03,4.513370746451015637e-03,4.886811902224666090e-03,5.275024219374691709e-03
2.000000000000000000e+01,4.908875794922210566e-03,4.521167855478553863e-03,4.926913221432204816e-03,5.276251598648725241e-03
2.100000000000000000e+01,4.921856694249879434e-03,4.528833010647928189e-03,4.925571325734516732e-03,5.402100606088739917e-03
2.200000000000000000e+01,4.912082468826829695e-03,4.529367213648090827e-03,4.931177035042139459e-03,5.369093929367537918e-03
2.300000000000000000e+01,4.927795679807705359e-03,4.567516412953246015e-03,4.928131861960923302e-03,5.365386997725747273e-03
2.400000000000000000e+01,4.928322644003912435e-03,4.567516412953246015e-03,4.940324979110153475e-03,5.365386997725747273e-03
2.500000000000000000e+01,4.927896794711375886e-03,4.571102451728866617e-03,4.940324979110153475e-03,5.340922344007330985e-03
2.600000000000000000e+01,4.936721061125753582e-03,4.571102451728866617e-03,4.947132323156180553e-03,5.341912354303477058e-03
2.700000000000000000e+01,4.928345103708662960e-03,4.575343020212098433e-03,4.947132323156180553e-03,5.290411609713977295e-03
2.800000000000000000e+01,4.913860508358562640e-03,4.575404602216846632e-03,4.917460932868902151e-03,5.290411609713977295e-03
2.900000000000000000e+01,4.913821282910478538e-03,4.580253232013044469e-03,4.917460932868902151e-03,5.301007104447815789e-03
3.000000000000000000e+01,4.910738913769136307e-03,4.580383196882381429e-03,4.906123088488737252e-03,5.285922125254754675e-03
3.100000000000000000e+01,4.911145115744630467e-03,4.585827660658910176e-03,4.906123088488737252e-03,5.285922125254754675e-03
3.200000000000000000e+01,4.921793526636978645e-03,4.592008776742572893e-03,4.898247273497437909e-03,5.336370047839781618e-03
3.300000000000000000e+01,4.911205210310492196e-03,4.581918361987288163e-03,4.877053682354044045e-03,5.336370047839781618e-03
3.400000000000000000e+01,4.912841277253194618e-03,4.581918361987288163e-03,4.869305369265240768e-03,5.334331681579528375e-03
3.500000000000000000e+01,4.911780473334909601e-03,4.582279223424804565e-03,4.866345204593076207e-03,5.334331681579528375e-03
3.600000000000000000e+01,4.896181861313022091e-03,4.562242431503966446e-03,4.842757234336492536e-03,5.348191334507220070e-03
3.700000000000000000e+01,4.895906627486448434e-03,4.562242431503966446e-03,4.840106016556261839e-03,5.348191334507220070e-03
3.800000000000000000e+01,4.925137792798696054e-03,4.615677218013871166e-03,4.829345169465566225e-03,5.346278516527959608e-03
3.900000000000000000e+01,4.939665358243963342e-03,4.615772796771551272e-03,4.841924364764316896e-03,5.414867860362566204e-03
4.000000000000000000e+01,4.904891572471157049e-03,4.544165193923737495e-03,4.817335075830457211e-03,5.398210717220376480e-03
4.100000000000000000e+01,4.904262899194824013e-03,4.549114141532887776e-03,4.817335075830457211e-03,5.382038664392771281e-03
4.200000000000000000e+01,4.886124984571488944e-03,4.517976527184395900e-03,4.810818021482636542e-03,5.383192742450656695e-03
4.300000000000000000e+01,4.885535584099875116e-03,4.498871503776280881e-03,4.811870329530761395e-03,5.365043191939720089e-03
4.400000000000000000e+01,4.884604784348894717e-03,4.498871503776280881e-03,4.802835527135005875e-03,5.365043191939720089e-03
4.500000000000000000e+01,4.838191470838476213e-03,4.472388508913353183e-03,4.761942625169229663e-03,5.346420187161506944e-03
4.600000000000000000e+01,4.836079068753128263e-03,4.472388508913353183e-03,4.754245242394073388e-03,5.346420187161506944e-03
