time_s,round,mean,p10,p50,p90
5.472874879837036133e+00,1.000000000000000000e+00,8.023138841834495105e-01,7.827173913043478093e-01,8.025362318840578713e-01,8.354192546583850687e-01
6.009002685546875000e+00,2.000000000000000000e+00,8.006751913545391286e-01,7.708478260869564558e-01,8.019565217391304568e-01,8.291770186335404302e-01
6.531383752822875977e+00,3.000000000000000000e+00,8.038978056967188701e-01,7.725869565217391433e-01,8.038586956521739380e-01,8.390683229813665767e-01
7.059227228164672852e+00,4.000000000000000000e+00,8.045720873329568201e-01,7.816304347826086296e-01,8.068840579710145899e-01,8.297608695652174404e-01
7.690231084823608398e+00,5.000000000000000000e+00,8.002162969880363130e-01,7.646449275362319220e-01,7.998023715415019108e-01,8.285869565217390820e-01
8.255093812942504883e+00,6.000000000000000000e+00,8.110546735872823376e-01,7.703695652173914166e-01,8.114377470355731425e-01,8.559782608695651884e-01
8.855481863021850586e+00,7.000000000000000000e+00,8.061110013175231126e-01,7.837391304347827159e-01,8.081274703557311812e-01,8.389130434782609003e-01
9.387006044387817383e+00,8.000000000000000000e+00,8.064974843996580711e-01,7.792909698996656198e-01,8.085858585858586300e-01,8.378260869565217206e-01
9.962042570114135742e+00,9.000000000000000000e+00,8.070725433986302155e-01,7.768862876254181149e-01,8.072463768115940574e-01,8.373913043478260487e-01
1.051594281196594238e+01,1.000000000000000000e+01,8.119881115261549098e-01,7.857608695652174013e-01,8.066304347826086518e-01,8.588405797101450467e-01
1.113199353218078613e+01,1.100000000000000000e+01,8.122766171027040460e-01,7.769082125603865574e-01,8.135265700483091944e-01,8.552898550724638005e-01
1.166713809967041016e+01,1.200000000000000000e+01,8.116284693567301645e-01,7.738461538461538503e-01,8.125494071146245334e-01,8.598913043478261242e-01
1.225552201271057129e+01,1.300000000000000000e+01,8.127615880496315004e-01,7.815019762845850648e-01,8.071557971014492461e-01,8.541304347826087495e-01
1.284175229072570801e+01,1.400000000000000000e+01,8.124721618960748515e-01,7.804682274247491947e-01,8.092512077294685691e-01,8.512318840579710111e-01
1.341624474525451660e+01,1.500000000000000000e+01,8.065359954055606462e-01,7.659057971014492372e-01,8.065217391304349004e-01,8.349999999999999645e-01
1.398920416831970215e+01,1.600000000000000000e+01,8.142303861597339765e-01,7.884178743961351987e-01,8.176086956521739779e-01,8.564855072463768426e-01
1.456732821464538574e+01,1.700000000000000000e+01,8.097743584917497239e-01,7.803162055335969294e-01,8.064119455423803817e-01,8.415942028985508028e-01
1.513998460769653320e+01,1.800000000000000000e+01,8.088701377125289138e-01,7.718369565217391148e-01,8.060869565217392285e-01,8.452484472049689446e-01
1.572622561454772949e+01,1.900000000000000000e+01,8.100001725327812263e-01,7.828932806324111482e-01,8.064613526570049151e-01,8.498260869565218423e-01
1.634469389915466309e+01,2.000000000000000000e+01,8.120050505050503409e-01,7.814130434782609047e-01,8.186956521739130466e-01,8.409937888198757427e-01
1.699913501739501953e+01,2.100000000000000000e+01,8.117483060417844953e-01,7.747924901185770930e-01,8.116600790513834873e-01,8.548757763975154411e-01
1.758835816383361816e+01,2.200000000000000000e+01,8.105283894849110160e-01,7.798656126482214068e-01,8.110954263128175024e-01,8.326211180124223343e-01
1.821791410446166992e+01,2.300000000000000000e+01,8.079990275425057433e-01,7.759254658385092984e-01,8.076604554865424168e-01,8.342111801242236835e-01
1.885816144943237305e+01,2.400000000000000000e+01,8.120756634669679119e-01,7.859175607001693820e-01,8.096343873517786172e-01,8.378881987577639912e-01
1.940003180503845215e+01,2.500000000000000000e+01,8.092724763159544477e-01,7.766640316205534189e-01,8.078260869565216939e-01,8.324016563146998671e-01
1.997391819953918457e+01,2.600000000000000000e+01,8.108467595206724221e-01,7.581264822134387016e-01,8.133540372670806651e-01,8.299420289855072852e-01
2.060249853134155273e+01,2.700000000000000000e+01,8.149966277683666771e-01,7.863184641445510881e-01,8.188405797101450112e-01,8.343975155279503841e-01
2.120600867271423340e+01,2.800000000000000000e+01,8.111975108225107922e-01,7.854658385093168382e-01,8.069762845849803856e-01,8.392981366459628667e-01
2.177528882026672363e+01,2.900000000000000000e+01,8.099371118012420601e-01,7.786166007905137576e-01,8.079051383399209474e-01,8.342028985507246031e-01
2.229808545112609863e+01,3.000000000000000000e+01,8.113940335027290951e-01,7.878590250329380318e-01,8.117753623188406209e-01,8.399068322981367851e-01
2.290621829032897949e+01,3.100000000000000000e+01,8.113063084258737012e-01,7.896179183135704216e-01,8.158454106280192963e-01,8.316977225672878005e-01
2.346123623847961426e+01,3.200000000000000000e+01,8.124419035071209771e-01,7.773188405797101241e-01,8.210869565217391308e-01,8.370772946859903474e-01
2.400574803352355957e+01,3.300000000000000000e+01,8.084832643202208846e-01,7.709057971014492416e-01,8.100000000000000533e-01,8.387370600414078003e-01
2.462145256996154785e+01,3.400000000000000000e+01,8.147955329694461790e-01,7.757246376811594013e-01,8.192028985507247008e-01,8.347826086956521285e-01
2.523302221298217773e+01,3.500000000000000000e+01,8.147377501725326931e-01,7.730862977602107611e-01,8.230848861283643902e-01,8.446428571428572507e-01
2.583992362022399902e+01,3.600000000000000000e+01,8.128283298826778358e-01,7.737318840579709978e-01,8.157444005270091392e-01,8.391925465838510068e-01
2.639715409278869629e+01,3.700000000000000000e+01,8.135982025221155656e-01,7.845652173913043592e-01,8.150362318840578268e-01,8.474275362318841598e-01
2.692298650741577148e+01,3.800000000000000000e+01,8.139340767927724096e-01,7.832608695652173436e-01,8.059523809523809756e-01,8.501086956521739513e-01
2.745894479751586914e+01,3.900000000000000000e+01,8.177063492063492145e-01,7.942391304347825587e-01,8.155072463768116009e-01,8.486956521739130732e-01
2.803245043754577637e+01,4.000000000000000000e+01,8.173665537361189948e-01,7.761231884057973041e-01,8.275362318840580045e-01,8.385921325051759467e-01
2.864973902702331543e+01,4.100000000000000000e+01,8.161349363197191176e-01,7.865217391304348826e-01,8.189440993788820178e-01,8.402484472049690511e-01
2.925162696838378906e+01,4.200000000000000000e+01,8.134962670180062583e-01,7.800072463768117359e-01,8.184541062801931055e-01,8.411697722567288427e-01
2.984802508354187012e+01,4.300000000000000000e+01,8.195025409373235536e-01,7.875757575757574847e-01,8.257608695652174369e-01,8.468012422360248204e-01
3.050714755058288574e+01,4.400000000000000000e+01,8.173424775707385237e-01,7.762681159420291577e-01,8.180434782608696498e-01,8.432236024844720346e-01
3.113281273841857910e+01,4.500000000000000000e+01,8.178898927159797827e-01,7.795289855072463636e-01,8.268115942028985144e-01,8.375155279503105898e-01
3.174165797233581543e+01,4.600000000000000000e+01,8.179695087521172692e-01,7.860507246376812196e-01,8.305072463768115032e-01,8.432453416149067182e-01
3.233092117309570312e+01,4.700000000000000000e+01,8.161009944162117558e-01,7.694875776397517297e-01,8.193788819875775786e-01,8.454658385093167805e-01
3.292698836326599121e+01,4.800000000000000000e+01,8.194148942844595718e-01,7.734782608695651707e-01,8.260869565217390242e-01,8.507453416149068914e-01
3.347871279716491699e+01,4.900000000000000000e+01,8.194589842524626633e-01,7.813250517598344658e-01,8.248814229249011865e-01,8.469565217391303857e-01
3.403125047683715820e+01,5.000000000000000000e+01,8.188184406173535379e-01,7.878674948240164122e-01,8.236166007905137976e-01,8.379813664596272860e-01
3.455160999298095703e+01,5.100000000000000000e+01,8.204901656314700364e-01,7.836449275362318279e-01,8.266304347826087806e-01,8.466666666666667895e-01
3.516948676109313965e+01,5.200000000000000000e+01,8.222958074534162387e-01,7.856521739130435389e-01,8.284239130434782883e-01,8.471739130434783327e-01
3.582542204856872559e+01,5.300000000000000000e+01,8.153274672187714733e-01,7.928260869565215696e-01,8.170048309178743473e-01,8.393043478260869827e-01
