time_s,round,mean,p10,p50,p90
5.472874879837036133e+00,1.000000000000000000e+00,4.942129859305156511e-03,4.391764240886189725e-03,4.987069711531507549e-03,5.284162177509345130e-03
6.009002685546875000e+00,2.000000000000000000e+00,4.964159792785606366e-03,4.402343467384187310e-03,4.992778803153630207e-03,5.369906451654722981e-03
6.531383752822875977e+00,3.000000000000000000e+00,4.961482765086205025e-03,4.412461070785638970e-03,4.956799489763053478e-03,5.371355555198098833e-03
7.059227228164672852e+00,4.000000000000000000e+00,4.964677009451595562e-03,4.416231932572400876e-03,4.971789734641608727e-03,5.348309536951196055e-03
7.690231084823608398e+00,5.000000000000000000e+00,4.960843604298276720e-03,4.427792718738967487e-03,4.971789734641608727e-03,5.325860466229434369e-03
8.255093812942504883e+00,6.000000000000000000e+00,4.947927719778804669e-03,4.456505089549283281e-03,4.982639538866179621e-03,5.327405703622675216e-03
8.855481863021850586e+00,7.000000000000000000e+00,4.944623065850315205e-03,4.503866918714937058e-03,4.942515239903685215e-03,5.323716276964755856e-03
9.387006044387817383e+00,8.000000000000000000e+00,4.945363017125530523e-03,4.503733524250473109e-03,4.942515239903685215e-03,5.325312887103342621e-03
9.962042570114135742e+00,9.000000000000000000e+00,4.949653931758739647e-03,4.510833637691499982e-03,4.942097878019536747e-03,5.342712687896733828e-03
1.051594281196594238e+01,1.000000000000000000e+01,4.916341848794083050e-03,4.343453118552267553e-03,4.942097878019536747e-03,5.332896171491357737e-03
1.113199353218078613e+01,1.100000000000000000e+01,4.916662320824338045e-03,4.346151663527550967e-03,4.942221113724077144e-03,5.334291668174178866e-03
1.166713809967041016e+01,1.200000000000000000e+01,4.916852910217575992e-03,4.347194157709107463e-03,4.942221113724077144e-03,5.312535925917251031e-03
1.225552201271057129e+01,1.300000000000000000e+01,4.910018759756390981e-03,4.349511746455961628e-03,4.942419312716965149e-03,5.312703750604974226e-03
1.284175229072570801e+01,1.400000000000000000e+01,4.900796367306129754e-03,4.350668748583763797e-03,4.904163025254537622e-03,5.313046950903718701e-03
