round,mean,p10,p50,p90
1.000000000000000000e+00,1.965277915583093782e-01,1.635058544531713676e-01,1.992241826918904335e-01,2.170497306505606572e-01
2.000000000000000000e+00,1.978495875671364146e-01,1.641406080430512504e-01,1.995667281892177791e-01,2.221943870992833525e-01
3.000000000000000000e+00,1.976889659051723203e-01,1.647476642471382979e-01,1.974079693857832274e-01,2.222813333118858758e-01
4.000000000000000000e+00,1.978806205670957663e-01,1.649739159543440470e-01,1.983073840784965181e-01,2.208985722170717647e-01
5.000000000000000000e+00,1.976506162578965387e-01,1.656675631243380020e-01,1.983073840784965181e-01,2.195516279737660115e-01
6.000000000000000000e+00,1.968756631867281948e-01,1.673903053729569601e-01,1.989583723319707231e-01,2.196443422173604554e-01
7.000000000000000000e+00,1.966773839510188027e-01,1.702320151228962075e-01,1.965509143942211212e-01,2.194229766178853458e-01
8.000000000000000000e+00,1.967217810275317946e-01,1.702240114550283290e-01,1.965509143942211212e-01,2.195187732262005309e-01
9.000000000000000000e+00,1.969792359055243802e-01,1.706500182614900107e-01,1.965258726811722201e-01,2.205627612738040311e-01
1.000000000000000000e+01,1.949805109276450121e-01,1.606071871131361239e-01,1.965258726811722201e-01,2.199737702894814517e-01
1.100000000000000000e+01,1.949997392494602078e-01,1.607690998116530767e-01,1.965332668234446301e-01,2.200575000904506917e-01
1.200000000000000000e+01,1.950111746130545609e-01,1.608316494625464388e-01,1.965332668234446301e-01,2.187521555550349384e-01
1.300000000000000000e+01,1.946011255853835054e-01,1.609707047873576991e-01,1.965451587630179242e-01,2.187622250362984966e-01
1.400000000000000000e+01,1.940477820383677554e-01,1.610401249150258118e-01,1.942497815152722795e-01,2.187828170542230888e-01
1.500000000000000000e+01,1.945380309686731146e-01,1.707294731238545860e-01,1.932087141334799807e-01,2.188545449587701863e-01
1.600000000000000000e+01,1.942575997779500130e-01,1.712252816732307281e-01,1.932087141334799807e-01,2.165750959189235159e-01
1.700000000000000000e+01,1.945445456609341539e-01,1.717299806388756789e-01,1.956737931864143132e-01,2.166504877376404792e-01
1.800000000000000000e+01,1.946627087742124895e-01,1.717620328188854406e-01,1.955342795440709880e-01,2.221456357620522626e-01
1.900000000000000000e+01,1.947419105664944250e-01,1.720551455175624855e-01,1.956879117176553717e-01,2.226466075005176515e-01
2.000000000000000000e+01,1.957494141526824050e-01,1.740509847771947172e-01,1.964194987466092446e-01,2.219809184657960399e-01
2.100000000000000000e+01,1.962855752295636358e-01,1.742661471037319776e-01,1.968279393893708484e-01,2.220403190835647800e-01
2.200000000000000000e+01,1.957206167524080109e-01,1.745205812127259004e-01,1.968279393893708484e-01,2.175325759763277744e-01
2.300000000000000000e+01,1.948718585386936542e-01,1.745242761330108305e-01,1.950476559721341097e-01,2.174246965828386668e-01
2.400000000000000000e+01,1.949293942093919263e-01,1.748229918129428906e-01,1.950476559721341097e-01,2.183371681288890087e-01
2.500000000000000000e+01,1.948201165534986234e-01,1.751496596395346605e-01,1.943673853093242365e-01,2.180604262668689453e-01
2.600000000000000000e+01,1.947349633370494271e-01,1.751614297849405089e-01,1.943673853093242365e-01,2.171553275152852680e-01
2.700000000000000000e+01,1.942218724478754766e-01,1.755368976796431446e-01,1.926232209412426510e-01,2.172588024154917252e-01
