time_s,round,mean,p10,p50,p90
4.055198693275451660e+01,1.000000000000000000e+00,3.011949999999999505e+01,1.000000000000000000e+01,2.857999999999999829e+01,4.709400000000001540e+01
4.846131873130798340e+01,2.000000000000000000e+00,3.363899999999999579e+01,1.527400000000000091e+01,3.373000000000000398e+01,4.827900000000001057e+01
5.962260413169860840e+01,3.000000000000000000e+00,3.518700000000000472e+01,1.842399999999999949e+01,3.550999999999999801e+01,4.872300000000001319e+01
7.120167660713195801e+01,4.000000000000000000e+00,3.544250000000000256e+01,1.893900000000000006e+01,3.628499999999999659e+01,4.632600000000001472e+01
8.218434405326843262e+01,5.000000000000000000e+00,3.634849999999999426e+01,1.981899999999999906e+01,3.672999999999999687e+01,4.837100000000001643e+01
9.216229009628295898e+01,6.000000000000000000e+00,3.640049999999999386e+01,1.963200000000000145e+01,3.539999999999999858e+01,4.882600000000001472e+01
1.022536199092864990e+02,7.000000000000000000e+00,3.657100000000000506e+01,1.808600000000000207e+01,3.632500000000000284e+01,4.863800000000001234e+01
1.121241023540496826e+02,8.000000000000000000e+00,3.777150000000000318e+01,1.990099999999999980e+01,3.807000000000000028e+01,4.952900000000001768e+01
1.220858616828918457e+02,9.000000000000000000e+00,3.832899999999999352e+01,2.487299999999999756e+01,3.703499999999999659e+01,4.872000000000001307e+01
1.318926370143890381e+02,1.000000000000000000e+01,3.810950000000000415e+01,2.522100000000000364e+01,3.692000000000000171e+01,4.833300000000001262e+01
1.416368856430053711e+02,1.100000000000000000e+01,3.725799999999999557e+01,2.079700000000000060e+01,3.707999999999999829e+01,4.938200000000001921e+01
1.521206288337707520e+02,1.200000000000000000e+01,3.796849999999999881e+01,2.017800000000000438e+01,3.846499999999999631e+01,4.808000000000001961e+01
1.617567470073699951e+02,1.300000000000000000e+01,3.876400000000000290e+01,2.277799999999999869e+01,3.846499999999999631e+01,4.931900000000000972e+01
1.719052913188934326e+02,1.400000000000000000e+01,3.965400000000000347e+01,2.185999999999999943e+01,3.831000000000000227e+01,5.036200000000001609e+01
1.825411002635955811e+02,1.500000000000000000e+01,3.846249999999999858e+01,1.995500000000000185e+01,3.858500000000000085e+01,5.329300000000001347e+01
1.924252750873565674e+02,1.600000000000000000e+01,3.918200000000000216e+01,1.998499999999999943e+01,3.890500000000000114e+01,5.057500000000000995e+01
2.021420857906341553e+02,1.700000000000000000e+01,3.952199999999999847e+01,2.221499999999999986e+01,4.000500000000000256e+01,5.161900000000000688e+01
2.120532701015472412e+02,1.800000000000000000e+01,3.993599999999999994e+01,2.266600000000000037e+01,3.897500000000000142e+01,5.240200000000000102e+01
2.218585667610168457e+02,1.900000000000000000e+01,3.989650000000001029e+01,2.425999999999999801e+01,3.930500000000000682e+01,5.144500000000001450e+01
2.316747255325317383e+02,2.000000000000000000e+01,4.037049999999999983e+01,2.478999999999999915e+01,4.109499999999999886e+01,5.275300000000001432e+01
2.415775604248046875e+02,2.100000000000000000e+01,3.992400000000000659e+01,2.448000000000000043e+01,3.981499999999999773e+01,5.283500000000001506e+01
2.515799467563629150e+02,2.200000000000000000e+01,4.132800000000000296e+01,2.638700000000000045e+01,4.077500000000000568e+01,5.240600000000001302e+01
2.615243279933929443e+02,2.300000000000000000e+01,4.120649999999999125e+01,2.693299999999999983e+01,4.056000000000000227e+01,5.256700000000001438e+01
2.717714226245880127e+02,2.400000000000000000e+01,4.078400000000000603e+01,2.742899999999999849e+01,4.192000000000000171e+01,5.252600000000000335e+01
2.814611186981201172e+02,2.500000000000000000e+01,4.133900000000001285e+01,2.956600000000000250e+01,4.073999999999999488e+01,5.216900000000001114e+01
2.914439184665679932e+02,2.600000000000000000e+01,4.035700000000000642e+01,2.574500000000000099e+01,4.224000000000000199e+01,5.164000000000001478e+01
3.015678589344024658e+02,2.700000000000000000e+01,4.038400000000000034e+01,2.737400000000000233e+01,3.984499999999999886e+01,5.276200000000001467e+01
3.114316189289093018e+02,2.800000000000000000e+01,4.091199999999999903e+01,2.828600000000000136e+01,3.856000000000000227e+01,5.260500000000001108e+01
3.216673729419708252e+02,2.900000000000000000e+01,4.058749999999999858e+01,2.519500000000000028e+01,3.959999999999999432e+01,5.133000000000001251e+01
3.322612464427947998e+02,3.000000000000000000e+01,4.181999999999998607e+01,2.885100000000000264e+01,4.134499999999999886e+01,5.056800000000001916e+01
3.421388852596282959e+02,3.100000000000000000e+01,4.186250000000001137e+01,2.897199999999999775e+01,4.132999999999999829e+01,5.159000000000001762e+01
3.525262820720672607e+02,3.200000000000000000e+01,4.109500000000000597e+01,2.827100000000000080e+01,4.195499999999999829e+01,5.077100000000002211e+01
3.624753649234771729e+02,3.300000000000000000e+01,3.960750000000000171e+01,2.008999999999999986e+01,3.903999999999999915e+01,5.115700000000001069e+01
3.728422133922576904e+02,3.400000000000000000e+01,4.070349999999999824e+01,1.998199999999999932e+01,4.084000000000000341e+01,5.141400000000001569e+01
3.830380370616912842e+02,3.500000000000000000e+01,4.059100000000000108e+01,2.794699999999999918e+01,3.918500000000000227e+01,5.042600000000002325e+01
3.929822194576263428e+02,3.600000000000000000e+01,4.083200000000000784e+01,2.796499999999999986e+01,4.033499999999999375e+01,5.137200000000001410e+01
4.030133063793182373e+02,3.700000000000000000e+01,4.035700000000000642e+01,2.812700000000000244e+01,3.947499999999999432e+01,5.082100000000001216e+01
4.126560754776000977e+02,3.800000000000000000e+01,4.100499999999999545e+01,2.809100000000000108e+01,4.189499999999999602e+01,5.068600000000000705e+01
4.225252373218536377e+02,3.900000000000000000e+01,4.071499999999999631e+01,2.801000000000000156e+01,3.939000000000000057e+01,5.191300000000001802e+01
4.324622292518615723e+02,4.000000000000000000e+01,4.029399999999999693e+01,2.725400000000000489e+01,3.890500000000000114e+01,5.104200000000000870e+01
4.424053585529327393e+02,4.100000000000000000e+01,4.049549999999999272e+01,2.511199999999999832e+01,3.974500000000000455e+01,5.388900000000001000e+01
4.528105046749114990e+02,4.200000000000000000e+01,3.952499999999999147e+01,2.638099999999999667e+01,3.880500000000000682e+01,5.159000000000001762e+01
