time_s,round,mean,p10,p50,p90
1.567107963562011719e+01,1.000000000000000000e+00,5.483450000000000557e+01,4.136899999999999977e+01,5.644500000000000739e+01,6.745000000000000284e+01
2.489341163635253906e+01,2.000000000000000000e+00,5.980700000000000216e+01,5.113000000000000256e+01,6.000000000000000000e+01,6.921700000000001296e+01
3.460733461380004883e+01,3.000000000000000000e+00,5.954199999999999449e+01,5.087299999999999756e+01,5.999499999999999744e+01,6.823799999999999955e+01
4.397496891021728516e+01,4.000000000000000000e+00,5.616699999999999449e+01,4.245199999999999818e+01,5.740500000000000114e+01,6.795600000000000307e+01
5.250537776947021484e+01,5.000000000000000000e+00,5.529000000000000625e+01,3.947699999999999676e+01,5.803499999999999659e+01,6.565999999999999659e+01
6.157746100425720215e+01,6.000000000000000000e+00,5.636499999999999488e+01,3.998499999999999943e+01,5.939999999999999858e+01,6.632099999999999795e+01
7.131050491333007812e+01,7.000000000000000000e+00,5.770550000000001489e+01,4.255000000000000426e+01,6.073999999999999488e+01,6.658899999999999864e+01
8.121760392189025879e+01,8.000000000000000000e+00,5.868150000000001398e+01,4.465800000000000125e+01,6.197499999999999432e+01,6.843500000000001648e+01
9.133015537261962891e+01,9.000000000000000000e+00,5.852649999999998442e+01,4.159600000000000364e+01,6.092000000000000171e+01,6.881200000000001182e+01
1.011297626495361328e+02,1.000000000000000000e+01,6.088649999999999807e+01,4.826599999999999824e+01,6.376999999999999602e+01,6.847599999999999909e+01
1.114896068572998047e+02,1.100000000000000000e+01,6.074249999999999261e+01,4.676899999999999835e+01,6.243999999999999773e+01,6.863100000000000023e+01
1.213580384254455566e+02,1.200000000000000000e+01,6.279700000000001125e+01,5.232799999999999585e+01,6.405000000000001137e+01,7.009199999999999875e+01
1.309679265022277832e+02,1.300000000000000000e+01,6.317650000000001143e+01,5.100499999999999545e+01,6.593500000000000227e+01,6.995700000000000784e+01
1.412238359451293945e+02,1.400000000000000000e+01,6.382950000000001012e+01,5.066299999999999670e+01,6.593000000000000682e+01,7.129800000000000182e+01
1.511771481037139893e+02,1.500000000000000000e+01,6.369899999999999807e+01,5.134500000000000597e+01,6.584999999999999432e+01,7.100800000000000978e+01
1.610779130458831787e+02,1.600000000000000000e+01,6.501000000000000512e+01,5.398600000000000421e+01,6.678999999999999204e+01,7.370100000000000762e+01
1.710102140903472900e+02,1.700000000000000000e+01,6.519750000000000512e+01,5.450900000000000034e+01,6.582999999999999829e+01,7.391899999999999693e+01
1.811752333641052246e+02,1.800000000000000000e+01,6.681400000000000716e+01,5.657700000000000529e+01,6.817000000000000171e+01,7.458700000000000330e+01
1.918342578411102295e+02,1.900000000000000000e+01,6.842300000000003024e+01,5.863700000000000756e+01,6.909499999999999886e+01,7.717099999999999227e+01
2.022395427227020264e+02,2.000000000000000000e+01,6.853700000000000614e+01,6.005200000000000671e+01,6.935999999999999943e+01,7.633700000000000330e+01
2.122544944286346436e+02,2.100000000000000000e+01,6.856600000000000250e+01,5.881899999999999551e+01,7.091500000000000625e+01,7.563899999999999579e+01
2.222686762809753418e+02,2.200000000000000000e+01,6.821800000000000352e+01,5.726300000000000523e+01,6.906999999999999318e+01,7.599599999999999511e+01
2.321577634811401367e+02,2.300000000000000000e+01,6.968850000000000477e+01,5.975999999999999801e+01,7.143500000000000227e+01,7.734499999999999886e+01
2.419837017059326172e+02,2.400000000000000000e+01,7.100449999999997885e+01,6.027400000000000091e+01,7.190000000000000568e+01,7.774800000000000466e+01
