time_s,round,mean,p10,p50,p90
1.880959081649780273e+01,1.000000000000000000e+00,5.381199999999999051e+01,3.958399999999999608e+01,5.662500000000000000e+01,6.424899999999999523e+01
2.892709970474243164e+01,2.000000000000000000e+00,5.934499999999999176e+01,4.758899999999999864e+01,6.160999999999999943e+01,6.978700000000000614e+01
3.842097520828247070e+01,3.000000000000000000e+00,5.806750000000000966e+01,4.476700000000000301e+01,6.096500000000000341e+01,6.698300000000000409e+01
4.832359433174133301e+01,4.000000000000000000e+00,5.237199999999999989e+01,3.958200000000000074e+01,5.521500000000000341e+01,6.057900000000000063e+01
5.766723966598510742e+01,5.000000000000000000e+00,5.188649999999999807e+01,3.797400000000000375e+01,5.495000000000000284e+01,6.163599999999999568e+01
6.674872183799743652e+01,6.000000000000000000e+00,5.326049999999999329e+01,3.860999999999999943e+01,5.525000000000000711e+01,6.454600000000000648e+01
7.559957575798034668e+01,7.000000000000000000e+00,5.480649999999999267e+01,4.112299999999999756e+01,5.640500000000000114e+01,6.481399999999999295e+01
8.483283853530883789e+01,8.000000000000000000e+00,5.487649999999998585e+01,4.176000000000000512e+01,5.685000000000000142e+01,6.540500000000000114e+01
9.381430196762084961e+01,9.000000000000000000e+00,5.709150000000001768e+01,4.341300000000000381e+01,5.882500000000000284e+01,6.599800000000000466e+01
1.020949764251708984e+02,1.000000000000000000e+01,5.788750000000000284e+01,4.632699999999999818e+01,6.050499999999999545e+01,6.719400000000000261e+01
1.106850793361663818e+02,1.100000000000000000e+01,5.807250000000000512e+01,4.435900000000000176e+01,6.064499999999999602e+01,6.718999999999999773e+01
1.193785319328308105e+02,1.200000000000000000e+01,5.959349999999999170e+01,4.656800000000000495e+01,6.300000000000000000e+01,6.878900000000000148e+01
1.282126700878143311e+02,1.300000000000000000e+01,5.960349999999998261e+01,4.723199999999999932e+01,6.137000000000000455e+01,6.841500000000000625e+01
1.368888227939605713e+02,1.400000000000000000e+01,6.110950000000000415e+01,4.995200000000000529e+01,6.282499999999999574e+01,7.062900000000000489e+01
1.455513343811035156e+02,1.500000000000000000e+01,6.211450000000000671e+01,4.885700000000000642e+01,6.329999999999999716e+01,7.082300000000000750e+01
1.544511117935180664e+02,1.600000000000000000e+01,6.179700000000000415e+01,5.178399999999999892e+01,6.346000000000000085e+01,7.045000000000000284e+01
1.640174229145050049e+02,1.700000000000000000e+01,6.207049999999999557e+01,5.531000000000000227e+01,6.321500000000000341e+01,6.925800000000000978e+01
1.733911209106445312e+02,1.800000000000000000e+01,6.264550000000001262e+01,5.514699999999999847e+01,6.313999999999999346e+01,7.014099999999999113e+01
1.829630429744720459e+02,1.900000000000000000e+01,6.361999999999999034e+01,5.296999999999999886e+01,6.398499999999999943e+01,7.060699999999999932e+01
1.925346348285675049e+02,2.000000000000000000e+01,6.411249999999999716e+01,5.542299999999999471e+01,6.706000000000000227e+01,7.231000000000000227e+01
2.018162744045257568e+02,2.100000000000000000e+01,6.382699999999998397e+01,5.583500000000000796e+01,6.634999999999999432e+01,7.036700000000000443e+01
