round,mean,p10,p50,p90
1.000000000000000000e+00,6.436449999999999250e+01,5.537699999999999534e+01,6.435999999999999943e+01,7.258799999999999386e+01
2.000000000000000000e+00,6.997199999999999420e+01,6.196799999999998931e+01,6.940999999999999659e+01,7.779699999999999704e+01
3.000000000000000000e+00,7.004150000000001342e+01,6.275600000000000733e+01,6.983500000000000796e+01,7.876399999999999579e+01
4.000000000000000000e+00,6.537099999999999511e+01,5.432699999999999818e+01,6.601999999999999602e+01,7.551299999999999102e+01
5.000000000000000000e+00,6.423700000000000898e+01,5.393100000000000449e+01,6.443500000000000227e+01,7.486399999999999011e+01
6.000000000000000000e+00,6.444649999999998613e+01,5.469999999999999574e+01,6.446500000000000341e+01,7.448400000000000887e+01
7.000000000000000000e+00,6.651949999999999363e+01,5.853600000000000136e+01,6.500499999999999545e+01,7.579299999999999216e+01
8.000000000000000000e+00,6.739900000000001512e+01,5.819600000000000506e+01,6.789500000000001023e+01,7.720900000000000318e+01
9.000000000000000000e+00,6.818649999999999523e+01,5.739399999999999835e+01,6.694499999999999318e+01,7.690899999999999181e+01
1.000000000000000000e+01,6.937399999999999523e+01,6.085300000000000153e+01,6.922499999999999432e+01,7.728800000000001091e+01
1.100000000000000000e+01,6.974450000000000216e+01,5.958200000000000074e+01,6.984000000000000341e+01,7.720699999999999363e+01
1.200000000000000000e+01,7.040449999999999875e+01,6.354299999999999216e+01,6.842000000000000171e+01,7.917499999999999716e+01
1.300000000000000000e+01,7.223550000000000182e+01,6.729399999999999693e+01,7.100499999999999545e+01,7.973000000000000398e+01
1.400000000000000000e+01,7.259449999999999648e+01,6.650900000000000034e+01,7.255000000000001137e+01,7.894400000000000261e+01
1.500000000000000000e+01,7.206150000000000944e+01,6.468000000000000682e+01,7.240000000000000568e+01,7.967700000000000671e+01
1.600000000000000000e+01,7.323300000000000409e+01,6.750100000000000477e+01,7.357999999999999829e+01,8.014200000000001012e+01
1.700000000000000000e+01,7.396049999999999613e+01,6.800700000000000500e+01,7.521000000000000796e+01,7.961899999999999977e+01
1.800000000000000000e+01,7.451200000000001467e+01,6.787600000000000477e+01,7.525000000000000000e+01,8.127900000000001057e+01
1.900000000000000000e+01,7.408299999999999841e+01,6.838899999999999579e+01,7.446500000000000341e+01,7.987999999999999545e+01
2.000000000000000000e+01,7.547299999999999898e+01,6.886399999999999011e+01,7.606000000000000227e+01,8.192900000000000205e+01
2.100000000000000000e+01,7.692250000000001364e+01,7.203300000000000125e+01,7.678499999999999659e+01,8.222299999999999898e+01
2.200000000000000000e+01,7.767849999999999966e+01,7.203900000000000148e+01,7.875499999999999545e+01,8.200499999999999545e+01
2.300000000000000000e+01,7.725649999999998840e+01,7.108499999999999375e+01,7.727500000000000568e+01,8.144700000000000273e+01
2.400000000000000000e+01,7.774649999999996908e+01,7.247000000000001307e+01,7.885499999999998977e+01,8.200799999999999557e+01
2.500000000000000000e+01,7.934450000000001069e+01,7.387699999999999534e+01,7.987500000000000000e+01,8.405799999999999272e+01
2.600000000000000000e+01,7.908200000000000784e+01,7.288599999999999568e+01,7.931499999999999773e+01,8.353600000000000136e+01
2.700000000000000000e+01,7.942900000000000205e+01,7.488900000000001000e+01,8.020499999999999829e+01,8.263400000000000034e+01
2.800000000000000000e+01,7.891299999999999670e+01,7.342900000000000205e+01,7.962999999999999545e+01,8.189700000000000557e+01
2.900000000000000000e+01,7.975899999999998613e+01,7.412999999999999545e+01,8.014499999999999602e+01,8.340699999999999648e+01
3.000000000000000000e+01,7.969100000000000250e+01,7.350900000000000034e+01,8.112000000000000455e+01,8.305899999999999750e+01
3.100000000000000000e+01,8.054149999999998499e+01,7.515600000000000591e+01,8.117499999999999716e+01,8.366600000000001103e+01
3.200000000000000000e+01,8.069599999999999795e+01,7.572400000000000375e+01,8.178000000000000114e+01,8.466700000000000159e+01
3.300000000000000000e+01,8.138199999999999079e+01,7.801000000000000512e+01,8.218999999999999773e+01,8.476700000000001012e+01
3.400000000000000000e+01,8.105450000000000443e+01,7.618899999999999295e+01,8.196999999999999886e+01,8.375100000000000477e+01
3.500000000000000000e+01,8.083650000000000091e+01,7.668399999999999750e+01,8.157500000000000284e+01,8.439799999999999613e+01
3.600000000000000000e+01,8.135649999999999693e+01,7.742300000000000182e+01,8.210999999999999943e+01,8.448699999999999477e+01
