round,mean,p10,p50,p90
1.000000000000000000e+00,6.509250000000000114e+01,5.427899999999999636e+01,6.578499999999999659e+01,7.457399999999999807e+01
2.000000000000000000e+00,6.961499999999999488e+01,6.207300000000000750e+01,6.993500000000000227e+01,7.717400000000000659e+01
3.000000000000000000e+00,7.272550000000001091e+01,6.652500000000000568e+01,7.215999999999999659e+01,7.879699999999999704e+01
4.000000000000000000e+00,7.313250000000000739e+01,6.484999999999999432e+01,7.348499999999999943e+01,8.066199999999999193e+01
5.000000000000000000e+00,7.499749999999998806e+01,6.811700000000000443e+01,7.344999999999998863e+01,8.184900000000000375e+01
6.000000000000000000e+00,7.462550000000001660e+01,6.679200000000000159e+01,7.304999999999999716e+01,8.263200000000000500e+01
7.000000000000000000e+00,7.684050000000000580e+01,7.290300000000000580e+01,7.665999999999999659e+01,8.250199999999999534e+01
8.000000000000000000e+00,7.714600000000000080e+01,7.120199999999999818e+01,7.590999999999999659e+01,8.391200000000000614e+01
9.000000000000000000e+00,7.816649999999999920e+01,7.274099999999999966e+01,7.853000000000000114e+01,8.389500000000001023e+01
1.000000000000000000e+01,7.758199999999999363e+01,7.239099999999999113e+01,7.819500000000000739e+01,8.359399999999999409e+01
1.100000000000000000e+01,7.849599999999999511e+01,7.306700000000000728e+01,7.931499999999999773e+01,8.346800000000000352e+01
1.200000000000000000e+01,7.774350000000001160e+01,7.157099999999999795e+01,7.821500000000000341e+01,8.299900000000000944e+01
1.300000000000000000e+01,7.888949999999996976e+01,7.328000000000000114e+01,7.907500000000000284e+01,8.362699999999999534e+01
1.400000000000000000e+01,7.821900000000000830e+01,7.353200000000001069e+01,7.732999999999999829e+01,8.346099999999999852e+01
1.500000000000000000e+01,7.916849999999999454e+01,7.519799999999999329e+01,7.743999999999999773e+01,8.418999999999999773e+01
1.600000000000000000e+01,7.957649999999998158e+01,7.317600000000000193e+01,7.982000000000000739e+01,8.379699999999999704e+01
1.700000000000000000e+01,7.973699999999999477e+01,7.485800000000000409e+01,7.968999999999999773e+01,8.460299999999999443e+01
1.800000000000000000e+01,7.935750000000001592e+01,7.409499999999999886e+01,8.025499999999999545e+01,8.467600000000000193e+01
1.900000000000000000e+01,7.929099999999998261e+01,7.177499999999999147e+01,7.967499999999999716e+01,8.453499999999999659e+01
2.000000000000000000e+01,7.921750000000001535e+01,7.159699999999999420e+01,8.066499999999999204e+01,8.421399999999999864e+01
2.100000000000000000e+01,7.895599999999998886e+01,7.209199999999999875e+01,7.894499999999999318e+01,8.376200000000000045e+01
2.200000000000000000e+01,8.015550000000001774e+01,7.680200000000000671e+01,7.995500000000001251e+01,8.436100000000000421e+01
2.300000000000000000e+01,8.035750000000000171e+01,7.544200000000000728e+01,8.114500000000001023e+01,8.521399999999999864e+01
2.400000000000000000e+01,7.959799999999998477e+01,7.228700000000000614e+01,8.026499999999998636e+01,8.515099999999999625e+01
2.500000000000000000e+01,8.010050000000001091e+01,7.480599999999999739e+01,8.096500000000000341e+01,8.485800000000001830e+01
2.600000000000000000e+01,8.086349999999998772e+01,7.723600000000000421e+01,8.182500000000000284e+01,8.417299999999998761e+01
2.700000000000000000e+01,8.123650000000002080e+01,7.803300000000000125e+01,8.141499999999999204e+01,8.476099999999999568e+01
2.800000000000000000e+01,8.132150000000001455e+01,7.600000000000000000e+01,8.259999999999999432e+01,8.521899999999999409e+01
2.900000000000000000e+01,8.118500000000001648e+01,7.644400000000000261e+01,8.263500000000000512e+01,8.498900000000000432e+01
3.000000000000000000e+01,8.132149999999998613e+01,7.757300000000000750e+01,8.181000000000000227e+01,8.430899999999999750e+01
3.100000000000000000e+01,8.137000000000001876e+01,7.679500000000000171e+01,8.240500000000000114e+01,8.449899999999999523e+01
3.200000000000000000e+01,8.169500000000000739e+01,7.699399999999999977e+01,8.262000000000000455e+01,8.450100000000000477e+01
3.300000000000000000e+01,8.158000000000001251e+01,7.770499999999999829e+01,8.216499999999999204e+01,8.485500000000000398e+01
3.400000000000000000e+01,8.085800000000001830e+01,7.708700000000000330e+01,8.063499999999999091e+01,8.450600000000000023e+01
3.500000000000000000e+01,8.133899999999998442e+01,7.628399999999999181e+01,8.179500000000000171e+01,8.498499999999999943e+01
3.600000000000000000e+01,8.140149999999998442e+01,7.599799999999999045e+01,8.219499999999999318e+01,8.423300000000000409e+01
3.700000000000000000e+01,8.199099999999998545e+01,7.826700000000001012e+01,8.232499999999998863e+01,8.491299999999999670e+01
3.800000000000000000e+01,8.135799999999997567e+01,7.826200000000000045e+01,8.237500000000000000e+01,8.444700000000000273e+01
3.900000000000000000e+01,8.176700000000001012e+01,8.029800000000000182e+01,8.155000000000001137e+01,8.478700000000000614e+01
4.000000000000000000e+01,8.190449999999999875e+01,7.920499999999999829e+01,8.179500000000000171e+01,8.466200000000000614e+01
4.100000000000000000e+01,8.182250000000000512e+01,7.927500000000000568e+01,8.207500000000000284e+01,8.447799999999999443e+01
4.200000000000000000e+01,8.211600000000001387e+01,7.970399999999999352e+01,8.193500000000000227e+01,8.461800000000000921e+01
4.300000000000000000e+01,8.166400000000000148e+01,7.811800000000000921e+01,8.245500000000001251e+01,8.411100000000000421e+01
4.400000000000000000e+01,8.147399999999998954e+01,7.823799999999999955e+01,8.241999999999998749e+01,8.492300000000000182e+01
4.500000000000000000e+01,8.227199999999999136e+01,8.004699999999999704e+01,8.273499999999999943e+01,8.518900000000000716e+01
4.600000000000000000e+01,8.192499999999999716e+01,7.986999999999999034e+01,8.245499999999999829e+01,8.479600000000000648e+01
4.700000000000000000e+01,8.221849999999999170e+01,7.867000000000000171e+01,8.228000000000000114e+01,8.585400000000001342e+01
4.800000000000000000e+01,8.237100000000000932e+01,7.995499999999999829e+01,8.240000000000000568e+01,8.556300000000000239e+01
4.900000000000000000e+01,8.268500000000000227e+01,8.044999999999998863e+01,8.289500000000001023e+01,8.567699999999999250e+01
