round,mean,p10,p50,p90
1.000000000000000000e+00,6.572150000000000603e+01,5.403699999999999903e+01,6.675499999999999545e+01,7.461399999999999011e+01
2.000000000000000000e+00,7.045000000000000284e+01,6.446700000000001296e+01,7.025000000000000000e+01,7.958400000000000318e+01
3.000000000000000000e+00,6.874249999999999261e+01,6.221300000000000097e+01,6.859999999999999432e+01,7.568800000000000239e+01
4.000000000000000000e+00,6.404650000000000887e+01,5.437600000000000477e+01,6.533500000000000796e+01,7.279800000000000182e+01
5.000000000000000000e+00,6.183099999999999596e+01,5.124700000000000699e+01,6.490999999999999659e+01,7.283599999999999852e+01
6.000000000000000000e+00,6.250399999999999778e+01,5.128699999999999903e+01,6.273499999999999943e+01,7.396399999999999864e+01
7.000000000000000000e+00,6.360049999999998960e+01,5.297699999999999676e+01,6.421000000000000796e+01,7.264700000000000557e+01
8.000000000000000000e+00,6.440200000000001523e+01,5.733299999999999841e+01,6.433499999999999375e+01,7.442900000000000205e+01
9.000000000000000000e+00,6.498699999999999477e+01,5.704100000000000392e+01,6.497499999999999432e+01,7.379500000000000171e+01
1.000000000000000000e+01,6.596299999999999386e+01,5.662900000000000489e+01,6.507500000000000284e+01,7.603300000000000125e+01
1.100000000000000000e+01,6.711700000000000443e+01,5.943800000000000239e+01,6.737500000000000000e+01,7.612399999999999523e+01
1.200000000000000000e+01,6.765250000000000341e+01,6.109799999999999898e+01,6.777500000000000568e+01,7.556900000000000261e+01
1.300000000000000000e+01,6.867999999999999261e+01,6.221500000000000341e+01,6.784499999999999886e+01,7.627200000000000557e+01
1.400000000000000000e+01,6.897100000000001785e+01,6.106800000000000495e+01,6.931499999999999773e+01,7.560699999999999932e+01
1.500000000000000000e+01,6.949449999999998795e+01,6.433499999999999375e+01,6.940999999999999659e+01,7.450700000000000500e+01
1.600000000000000000e+01,6.936400000000001853e+01,6.521299999999999386e+01,6.871000000000000796e+01,7.421100000000001273e+01
1.700000000000000000e+01,7.017749999999998067e+01,6.094100000000000250e+01,7.096500000000000341e+01,7.648100000000000875e+01
1.800000000000000000e+01,7.066200000000000614e+01,6.539400000000000546e+01,7.126499999999998636e+01,7.579300000000000637e+01
1.900000000000000000e+01,7.126449999999998397e+01,6.386899999999999977e+01,7.242499999999999716e+01,7.670699999999999363e+01
2.000000000000000000e+01,7.150500000000000966e+01,6.656199999999999761e+01,7.170499999999998408e+01,7.697400000000000375e+01
2.100000000000000000e+01,7.234649999999999181e+01,6.584099999999999397e+01,7.305500000000000682e+01,7.867799999999999727e+01
2.200000000000000000e+01,7.277599999999999625e+01,6.699600000000000932e+01,7.334999999999999432e+01,7.804800000000000182e+01
2.300000000000000000e+01,7.366900000000001114e+01,6.752700000000000102e+01,7.401500000000000057e+01,7.929399999999999693e+01
2.400000000000000000e+01,7.242600000000001614e+01,6.714900000000000091e+01,7.354500000000000171e+01,7.872200000000000841e+01
2.500000000000000000e+01,7.367300000000000182e+01,6.889300000000000068e+01,7.387500000000000000e+01,7.722799999999999443e+01
2.600000000000000000e+01,7.327450000000000330e+01,6.718399999999999750e+01,7.289000000000000057e+01,7.927200000000000557e+01
2.700000000000000000e+01,7.364599999999998658e+01,6.671800000000000352e+01,7.449000000000000909e+01,7.902400000000000091e+01
2.800000000000000000e+01,7.409499999999998465e+01,6.884199999999999875e+01,7.415999999999999659e+01,7.911700000000000443e+01
2.900000000000000000e+01,7.524099999999998545e+01,7.070900000000000318e+01,7.577000000000001023e+01,7.831600000000000250e+01
3.000000000000000000e+01,7.422350000000001558e+01,6.781900000000000261e+01,7.385999999999999943e+01,7.904699999999999704e+01
3.100000000000000000e+01,7.409949999999999193e+01,6.792600000000000193e+01,7.417499999999999716e+01,7.981700000000000728e+01
3.200000000000000000e+01,7.381750000000000966e+01,6.951100000000000989e+01,7.407499999999998863e+01,7.841599999999999682e+01
3.300000000000000000e+01,7.506050000000000466e+01,7.033199999999999363e+01,7.541999999999998749e+01,7.894400000000000261e+01
3.400000000000000000e+01,7.513599999999999568e+01,7.008100000000000307e+01,7.449499999999999034e+01,7.962000000000000455e+01
3.500000000000000000e+01,7.602249999999999375e+01,7.121600000000000819e+01,7.573999999999999488e+01,8.006000000000000227e+01
3.600000000000000000e+01,7.577749999999998920e+01,7.069700000000000273e+01,7.569499999999999318e+01,8.070999999999999375e+01
3.700000000000000000e+01,7.479999999999998295e+01,6.978300000000000125e+01,7.548999999999999488e+01,8.085900000000000887e+01
3.800000000000000000e+01,7.544800000000000750e+01,7.065699999999999648e+01,7.587000000000000455e+01,8.048000000000000398e+01
3.900000000000000000e+01,7.559899999999998954e+01,6.998700000000000898e+01,7.649500000000000455e+01,8.137399999999999523e+01
4.000000000000000000e+01,7.518550000000001887e+01,7.119900000000001228e+01,7.458500000000000796e+01,8.057500000000000284e+01
4.100000000000000000e+01,7.701300000000000523e+01,7.070800000000001262e+01,7.776999999999999602e+01,8.140400000000001057e+01
4.200000000000000000e+01,7.648950000000000671e+01,7.063400000000000034e+01,7.634499999999999886e+01,8.108599999999999852e+01
4.300000000000000000e+01,7.704649999999999466e+01,7.240999999999999659e+01,7.754999999999999716e+01,8.190099999999999625e+01
4.400000000000000000e+01,7.685450000000000159e+01,7.004900000000000659e+01,7.751500000000000057e+01,8.257400000000001228e+01
4.500000000000000000e+01,7.670150000000002422e+01,7.085900000000000887e+01,7.715500000000000114e+01,8.149500000000000455e+01
4.600000000000000000e+01,7.777300000000001035e+01,7.193900000000000716e+01,7.863999999999998636e+01,8.104599999999999227e+01
4.700000000000000000e+01,7.703999999999999204e+01,7.255700000000000216e+01,7.717000000000000171e+01,8.275200000000000955e+01
4.800000000000000000e+01,7.763399999999998613e+01,7.194899999999999807e+01,7.781000000000000227e+01,8.260199999999998965e+01
4.900000000000000000e+01,7.846450000000000102e+01,7.215500000000000114e+01,7.866499999999999204e+01,8.237500000000001421e+01
5.000000000000000000e+01,7.837399999999999523e+01,7.260999999999999943e+01,7.889000000000000057e+01,8.225499999999999545e+01
5.100000000000000000e+01,7.789649999999997476e+01,7.293699999999999761e+01,7.850499999999999545e+01,8.170400000000000773e+01
5.200000000000000000e+01,7.834999999999999432e+01,7.287000000000000455e+01,7.862999999999999545e+01,8.337500000000000000e+01
5.300000000000000000e+01,7.824049999999998306e+01,7.151000000000000512e+01,7.862500000000000000e+01,8.288100000000000023e+01
5.400000000000000000e+01,7.943349999999999511e+01,7.278199999999999648e+01,8.009499999999999886e+01,8.328600000000000136e+01
5.500000000000000000e+01,7.917300000000001603e+01,7.432999999999999829e+01,7.968000000000000682e+01,8.252100000000000080e+01
5.600000000000000000e+01,7.881800000000001205e+01,7.305600000000001160e+01,7.984000000000000341e+01,8.391099999999998715e+01
5.700000000000000000e+01,7.934549999999998704e+01,7.232000000000000739e+01,7.939499999999999602e+01,8.405200000000000671e+01
5.800000000000000000e+01,7.984649999999999181e+01,7.578599999999998715e+01,8.040500000000000114e+01,8.412500000000000000e+01
5.900000000000000000e+01,7.909299999999998931e+01,7.186799999999999500e+01,8.001500000000001478e+01,8.408199999999999363e+01
6.000000000000000000e+01,8.021999999999999886e+01,7.299900000000000944e+01,8.078000000000000114e+01,8.438100000000000023e+01
6.100000000000000000e+01,7.979899999999997817e+01,7.368999999999999773e+01,8.142000000000001592e+01,8.440099999999999625e+01
6.200000000000000000e+01,8.023300000000000409e+01,7.547400000000000375e+01,8.064000000000000057e+01,8.439700000000000557e+01
6.300000000000000000e+01,8.024399999999998556e+01,7.463400000000000034e+01,8.126500000000000057e+01,8.309899999999998954e+01
6.400000000000000000e+01,8.061249999999998295e+01,7.525899999999998613e+01,8.191999999999998749e+01,8.425000000000000000e+01
6.500000000000000000e+01,8.019650000000002876e+01,7.552000000000001023e+01,7.998499999999999943e+01,8.373799999999999955e+01
6.600000000000000000e+01,8.073449999999999704e+01,7.475699999999999079e+01,8.140999999999999659e+01,8.495600000000001728e+01
6.700000000000000000e+01,8.037100000000000932e+01,7.608499999999999375e+01,8.115000000000000568e+01,8.464000000000000057e+01
6.800000000000000000e+01,8.103200000000001069e+01,7.529800000000000182e+01,8.128499999999999659e+01,8.504699999999999704e+01
6.900000000000000000e+01,8.082800000000001717e+01,7.586999999999999034e+01,8.121000000000000796e+01,8.451099999999999568e+01
7.000000000000000000e+01,8.117700000000002092e+01,7.856600000000000250e+01,8.107999999999999829e+01,8.461400000000000432e+01
7.100000000000000000e+01,8.119650000000000034e+01,7.839499999999999602e+01,8.230500000000000682e+01,8.405099999999998772e+01
7.200000000000000000e+01,8.126800000000000068e+01,7.781100000000000705e+01,8.187999999999999545e+01,8.454800000000000182e+01
7.300000000000000000e+01,8.136099999999999000e+01,7.687800000000000011e+01,8.228999999999999204e+01,8.555700000000000216e+01
7.400000000000000000e+01,8.188850000000000762e+01,7.833299999999999841e+01,8.296000000000000796e+01,8.556700000000000728e+01
7.500000000000000000e+01,8.163800000000000523e+01,7.941899999999999693e+01,8.199500000000000455e+01,8.455899999999999750e+01
7.600000000000000000e+01,8.158050000000000068e+01,7.862100000000000932e+01,8.126999999999999602e+01,8.496900000000000830e+01
7.700000000000000000e+01,8.200599999999998602e+01,7.946300000000000807e+01,8.236500000000000909e+01,8.494499999999999318e+01
7.800000000000000000e+01,8.186399999999999011e+01,7.966899999999999693e+01,8.213500000000000512e+01,8.536299999999999955e+01
7.900000000000000000e+01,8.175100000000000477e+01,7.881900000000000261e+01,8.180500000000000682e+01,8.541700000000000159e+01
8.000000000000000000e+01,8.195199999999999818e+01,7.950200000000000955e+01,8.203000000000000114e+01,8.533299999999999841e+01
8.100000000000000000e+01,8.182449999999998624e+01,7.820800000000001262e+01,8.243500000000000227e+01,8.432600000000000762e+01
8.200000000000000000e+01,8.245649999999999125e+01,7.901299999999999102e+01,8.324000000000000909e+01,8.556000000000000227e+01
8.300000000000000000e+01,8.226949999999999363e+01,7.909399999999999409e+01,8.250000000000000000e+01,8.544900000000001228e+01
8.400000000000000000e+01,8.247949999999998738e+01,7.932800000000000296e+01,8.311500000000000909e+01,8.513300000000000978e+01
8.500000000000000000e+01,8.198549999999998761e+01,7.868699999999999761e+01,8.228499999999999659e+01,8.513700000000000045e+01
8.600000000000000000e+01,8.215800000000000125e+01,7.945100000000000762e+01,8.231999999999999318e+01,8.501300000000000523e+01
8.700000000000000000e+01,8.272700000000000387e+01,8.076999999999999602e+01,8.348499999999999943e+01,8.581100000000000705e+01
8.800000000000000000e+01,8.283299999999999841e+01,7.927500000000000568e+01,8.247499999999999432e+01,8.603400000000000603e+01
8.900000000000000000e+01,8.267249999999999943e+01,7.996999999999999886e+01,8.267499999999999716e+01,8.527899999999999636e+01
9.000000000000000000e+01,8.244899999999998386e+01,8.100000000000001421e+01,8.253499999999999659e+01,8.455100000000000193e+01
9.100000000000000000e+01,8.227799999999999159e+01,7.931699999999999307e+01,8.317000000000000171e+01,8.582699999999999818e+01
9.200000000000000000e+01,8.279399999999999693e+01,7.975200000000000955e+01,8.299000000000000909e+01,8.586400000000000432e+01
9.300000000000000000e+01,8.274499999999999034e+01,8.020400000000000773e+01,8.297499999999999432e+01,8.561700000000000443e+01
9.400000000000000000e+01,8.260299999999999443e+01,8.037999999999999545e+01,8.284999999999999432e+01,8.561400000000000432e+01
9.500000000000000000e+01,8.274450000000000216e+01,8.033499999999999375e+01,8.287000000000000455e+01,8.549300000000000921e+01
9.600000000000000000e+01,8.217549999999999955e+01,7.845400000000000773e+01,8.253499999999999659e+01,8.581000000000000227e+01
9.700000000000000000e+01,8.194700000000000273e+01,7.815800000000000125e+01,8.331499999999999773e+01,8.537600000000000477e+01
9.800000000000000000e+01,8.255850000000000932e+01,8.003300000000000125e+01,8.278999999999999204e+01,8.507400000000001228e+01
9.900000000000000000e+01,8.288700000000001467e+01,8.059499999999999886e+01,8.298499999999999943e+01,8.584199999999999875e+01
1.000000000000000000e+02,8.280350000000001387e+01,8.037500000000000000e+01,8.299500000000000455e+01,8.604300000000000637e+01
1.010000000000000000e+02,8.226400000000001000e+01,7.884500000000001307e+01,8.299500000000000455e+01,8.505599999999999739e+01
1.020000000000000000e+02,8.245250000000000057e+01,7.945900000000000318e+01,8.271999999999999886e+01,8.510299999999999443e+01
1.030000000000000000e+02,8.273350000000000648e+01,8.046399999999999864e+01,8.328499999999999659e+01,8.515699999999999648e+01
1.040000000000000000e+02,8.284100000000002240e+01,8.078200000000001069e+01,8.317499999999999716e+01,8.520300000000000296e+01
1.050000000000000000e+02,8.302150000000000318e+01,8.138300000000000978e+01,8.315999999999999659e+01,8.572700000000000387e+01
1.060000000000000000e+02,8.236450000000002092e+01,7.995000000000000284e+01,8.249000000000000909e+01,8.596299999999999386e+01
1.070000000000000000e+02,8.288349999999999795e+01,8.030700000000000216e+01,8.319499999999999318e+01,8.606900000000000261e+01
1.080000000000000000e+02,8.304750000000001364e+01,8.094199999999999307e+01,8.300000000000000000e+01,8.617000000000000171e+01
1.090000000000000000e+02,8.227700000000000102e+01,7.989499999999999602e+01,8.200499999999999545e+01,8.487100000000000932e+01
1.100000000000000000e+02,8.265450000000001296e+01,8.021500000000001762e+01,8.348000000000000398e+01,8.502500000000000568e+01
1.110000000000000000e+02,8.296150000000000091e+01,8.057500000000000284e+01,8.346500000000000341e+01,8.503500000000001080e+01
1.120000000000000000e+02,8.283700000000000330e+01,7.939600000000000080e+01,8.389000000000000057e+01,8.556400000000000716e+01
1.130000000000000000e+02,8.291449999999998965e+01,8.055899999999999750e+01,8.304500000000000171e+01,8.560500000000000398e+01
1.140000000000000000e+02,8.324050000000001148e+01,8.066499999999999204e+01,8.376500000000000057e+01,8.609199999999999875e+01
1.150000000000000000e+02,8.272049999999998704e+01,7.968300000000000693e+01,8.314000000000000057e+01,8.583799999999999386e+01
1.160000000000000000e+02,8.214450000000000784e+01,7.754899999999999238e+01,8.255500000000000682e+01,8.456099999999999284e+01
1.170000000000000000e+02,8.357650000000002422e+01,8.194400000000001683e+01,8.378000000000000114e+01,8.645500000000001251e+01
1.180000000000000000e+02,8.289649999999998897e+01,7.903199999999999648e+01,8.356000000000000227e+01,8.562499999999998579e+01
1.190000000000000000e+02,8.296000000000000796e+01,8.062199999999999989e+01,8.351000000000000512e+01,8.600499999999999545e+01
1.200000000000000000e+02,8.301150000000001228e+01,7.941700000000000159e+01,8.375499999999999545e+01,8.533699999999998909e+01
1.210000000000000000e+02,8.302250000000000796e+01,7.958400000000000318e+01,8.373499999999999943e+01,8.558799999999999386e+01
1.220000000000000000e+02,8.308050000000000068e+01,8.162600000000000477e+01,8.337000000000000455e+01,8.500200000000000955e+01
1.230000000000000000e+02,8.317549999999999955e+01,8.029699999999999704e+01,8.343999999999999773e+01,8.620799999999999841e+01
1.240000000000000000e+02,8.255849999999998090e+01,7.866200000000000614e+01,8.269499999999999318e+01,8.566200000000000614e+01
1.250000000000000000e+02,8.284300000000000352e+01,8.033599999999999852e+01,8.337000000000000455e+01,8.491000000000001080e+01
1.260000000000000000e+02,8.292699999999999250e+01,8.111600000000001387e+01,8.327000000000001023e+01,8.520300000000000296e+01
1.270000000000000000e+02,8.316550000000000864e+01,8.071399999999999864e+01,8.346000000000000796e+01,8.557099999999999795e+01
