time_s,round,mean,p10,p50,p90
5.253279209136962891e+00,1.000000000000000000e+00,3.654099999999999682e+01,1.899099999999999966e+01,3.661500000000000199e+01,5.579400000000000404e+01
5.850953817367553711e+00,2.000000000000000000e+00,3.657999999999999829e+01,1.890599999999999881e+01,3.645000000000000284e+01,5.564099999999999824e+01
6.443745136260986328e+00,3.000000000000000000e+00,3.784499999999999886e+01,1.974300000000000210e+01,3.735500000000000398e+01,5.682800000000000296e+01
7.049771785736083984e+00,4.000000000000000000e+00,3.851849999999999596e+01,2.431800000000000139e+01,3.791499999999999915e+01,5.638299999999999557e+01
7.687837600708007812e+00,5.000000000000000000e+00,3.962749999999999062e+01,2.328800000000000026e+01,3.840500000000000114e+01,5.750899999999999324e+01
8.279777288436889648e+00,6.000000000000000000e+00,4.097949999999999449e+01,2.753200000000000003e+01,3.934000000000000341e+01,5.815500000000000114e+01
8.869279861450195312e+00,7.000000000000000000e+00,4.302400000000000801e+01,2.926200000000000045e+01,4.123499999999999943e+01,5.818099999999999739e+01
9.462395191192626953e+00,8.000000000000000000e+00,4.379849999999998289e+01,2.641700000000000159e+01,4.278000000000000114e+01,5.813700000000000045e+01
1.005727434158325195e+01,9.000000000000000000e+00,4.435099999999999199e+01,2.867099999999999937e+01,4.290000000000000568e+01,5.837199999999999989e+01
1.062106847763061523e+01,1.000000000000000000e+01,4.477850000000000819e+01,3.186899999999999622e+01,4.356000000000000227e+01,6.051800000000000068e+01
1.118516755104064941e+01,1.100000000000000000e+01,4.633900000000000574e+01,3.354200000000000159e+01,4.506499999999999773e+01,6.106900000000000261e+01
1.177029561996459961e+01,1.200000000000000000e+01,4.756500000000000483e+01,3.364999999999999858e+01,4.664000000000000057e+01,6.058099999999999596e+01
1.234423208236694336e+01,1.300000000000000000e+01,4.832050000000000267e+01,3.541899999999999693e+01,4.810999999999999943e+01,6.234299999999999642e+01
1.292833328247070312e+01,1.400000000000000000e+01,4.898149999999999693e+01,3.657499999999999574e+01,5.168999999999999773e+01,6.103099999999999881e+01
1.351191091537475586e+01,1.500000000000000000e+01,4.961350000000000193e+01,3.668099999999999739e+01,4.976500000000000057e+01,6.241100000000000136e+01
1.408609342575073242e+01,1.600000000000000000e+01,5.054449999999998511e+01,3.903200000000000358e+01,5.323499999999999943e+01,6.321000000000000085e+01
1.465217232704162598e+01,1.700000000000000000e+01,5.129600000000000648e+01,3.476399999999999579e+01,5.368999999999999773e+01,6.244500000000000739e+01
1.526568794250488281e+01,1.800000000000000000e+01,5.151150000000001228e+01,3.875000000000000711e+01,5.108500000000000085e+01,6.377900000000000347e+01
1.586420774459838867e+01,1.900000000000000000e+01,5.255699999999999505e+01,3.976599999999999824e+01,5.271000000000000085e+01,6.372800000000000864e+01
1.650614166259765625e+01,2.000000000000000000e+01,5.285399999999999920e+01,4.093699999999999761e+01,5.355499999999999261e+01,6.655600000000001160e+01
1.707907199859619141e+01,2.100000000000000000e+01,5.327550000000000097e+01,4.095000000000000284e+01,5.250000000000000000e+01,6.583199999999999363e+01
1.767884683609008789e+01,2.200000000000000000e+01,5.306099999999999994e+01,4.087500000000000000e+01,5.481499999999999773e+01,6.560399999999999920e+01
1.826406240463256836e+01,2.300000000000000000e+01,5.393099999999999739e+01,4.156300000000000239e+01,5.514499999999999602e+01,6.415200000000000102e+01
1.887214255332946777e+01,2.400000000000000000e+01,5.472999999999999687e+01,4.177100000000000080e+01,5.448499999999999943e+01,6.695399999999999352e+01
1.948685264587402344e+01,2.500000000000000000e+01,5.397950000000000870e+01,4.158700000000000330e+01,5.578999999999999915e+01,6.444199999999999307e+01
2.007593035697937012e+01,2.600000000000000000e+01,5.561749999999999261e+01,4.367099999999999937e+01,5.704999999999999716e+01,6.960999999999999943e+01
2.066116356849670410e+01,2.700000000000000000e+01,5.596150000000000091e+01,4.299699999999999989e+01,5.681499999999999773e+01,6.887699999999999534e+01
