round,mean,p10,p50,p90
1.000000000000000000e+00,8.059567334839072839e-01,7.784101888449714846e-01,8.080012077294685957e-01,8.280434782608696587e-01
2.000000000000000000e+00,8.087479139218268775e-01,7.802020202020202300e-01,8.061594202898550998e-01,8.359420289855072905e-01
3.000000000000000000e+00,8.028234989648032061e-01,7.636135265700483288e-01,8.056521739130435567e-01,8.328260869565217162e-01
4.000000000000000000e+00,8.132536388732040100e-01,7.786166007905137576e-01,8.108695652173913970e-01,8.398550724637682263e-01
5.000000000000000000e+00,8.057401656314698846e-01,7.720869565217391983e-01,8.036956521739130332e-01,8.384057971014493571e-01
6.000000000000000000e+00,8.113022617479140886e-01,7.733913043478261029e-01,8.141908212560386993e-01,8.445652173913044125e-01
7.000000000000000000e+00,8.080734597528076435e-01,7.772463768115941418e-01,8.074456521739130643e-01,8.437681159420290511e-01
8.000000000000000000e+00,8.136956051195181061e-01,7.760748792270532048e-01,8.158695652173912904e-01,8.518115942028986476e-01
9.000000000000000000e+00,8.065249074596900769e-01,7.755434782608695565e-01,8.075592885375493246e-01,8.313913043478261544e-01
1.000000000000000000e+01,8.087734487734488109e-01,7.747101449275362040e-01,8.069960474308299769e-01,8.383333333333333748e-01
1.100000000000000000e+01,8.137736762030238769e-01,7.788405797101449757e-01,8.123369565217390953e-01,8.534989648033126652e-01
1.200000000000000000e+01,8.080130732793776582e-01,7.610869565217390775e-01,8.154503105590062972e-01,8.365962732919255407e-01
1.300000000000000000e+01,8.119972551602986366e-01,7.729347826086956363e-01,8.079644268774703875e-01,8.423498964803312061e-01
1.400000000000000000e+01,8.083854460756633165e-01,7.756521739130435300e-01,8.088438735177865269e-01,8.392391304347825987e-01
1.500000000000000000e+01,8.079741122404164866e-01,7.771014492753622882e-01,8.051630434782608425e-01,8.454813664596273481e-01
1.600000000000000000e+01,8.104951455549282979e-01,7.705193236714975580e-01,8.153952569169959919e-01,8.409006211180123369e-01
1.700000000000000000e+01,8.109018131626827275e-01,7.749456521739130910e-01,8.139130434782608781e-01,8.444927536231884302e-01
1.800000000000000000e+01,8.123110922893530539e-01,7.807608695652173969e-01,8.111462450592885620e-01,8.418944099378882218e-01
