round,mean,p10,p50,p90
1.000000000000000000e+00,4.896992688910035106e-03,4.511000883269775281e-03,4.909376749467318085e-03,5.328704682992592249e-03
2.000000000000000000e+00,4.887397983082889322e-03,4.519208500167073810e-03,4.921131503421543631e-03,5.330100179675412511e-03
3.000000000000000000e+00,4.899474292953261492e-03,4.519208500167073810e-03,4.929933412529291167e-03,5.394566770254433964e-03
4.000000000000000000e+00,4.901979702011944988e-03,4.526873655336448136e-03,4.942126529678521341e-03,5.370002296588028898e-03
5.000000000000000000e+00,4.902479134222628189e-03,4.528086516389886323e-03,4.946075948605558117e-03,5.370002296588028898e-03
6.000000000000000000e+00,4.903755991443439592e-03,4.532971728034504433e-03,4.946075948605558117e-03,5.347359013551325306e-03
7.000000000000000000e+00,4.908057072424255353e-03,4.527033707306744176e-03,4.945390656433866494e-03,5.435884264921999470e-03
8.000000000000000000e+00,4.901887352910429783e-03,4.527033707306744176e-03,4.917460932868902151e-03,5.435884264921999470e-03
9.000000000000000000e+00,4.905642305914425724e-03,4.507484743791432061e-03,4.917460932868902151e-03,5.446457042862905100e-03
1.000000000000000000e+01,4.904566010871133815e-03,4.507484743791432061e-03,4.890937958964022489e-03,5.447611120920790514e-03
1.100000000000000000e+01,4.916380032560765424e-03,4.487868609322353750e-03,4.889940824071266692e-03,5.461724010173038026e-03
1.200000000000000000e+01,4.943392595329531777e-03,4.521132596982890828e-03,4.895954335703825086e-03,5.461724010173038026e-03
1.300000000000000000e+01,4.923397396413927221e-03,4.491459572866525647e-03,4.898247273497437909e-03,5.470602378820982152e-03
1.400000000000000000e+01,4.924136457561944895e-03,4.493337375022663990e-03,4.888242489871612133e-03,5.470602378820982152e-03
1.500000000000000000e+01,4.904571353853662448e-03,4.476677490120954325e-03,4.876219080141048524e-03,5.473658906609410978e-03
1.600000000000000000e+01,4.935281657734071764e-03,4.512383188700105040e-03,4.862775007102443370e-03,5.483156166052141969e-03
1.700000000000000000e+01,4.915762869819434097e-03,4.512383188700105040e-03,4.861675586686452222e-03,5.401795468453700344e-03
1.800000000000000000e+01,4.875775124928166497e-03,4.486461331244392774e-03,4.849882817658419075e-03,5.385623415626095145e-03
1.900000000000000000e+01,4.858093166782462800e-03,4.490503373905062150e-03,4.828030598830088463e-03,5.387918850305994239e-03
2.000000000000000000e+01,4.859718160580028291e-03,4.488666287053322615e-03,4.828030598830088463e-03,5.387918850305994239e-03
2.100000000000000000e+01,4.859798458530132509e-03,4.479759056548877384e-03,4.818791904418846458e-03,5.396573640643658777e-03
2.200000000000000000e+01,4.851470386192364634e-03,4.478020962850616168e-03,4.772477525280089186e-03,5.397883303138073692e-03
2.300000000000000000e+01,4.854480018450813353e-03,4.478020962850616168e-03,4.763442722884333666e-03,5.406793395803382273e-03
2.400000000000000000e+01,4.865019494766925287e-03,4.468137829099159616e-03,4.793596993691319127e-03,5.406793395803382273e-03
2.500000000000000000e+01,4.873610572947483302e-03,4.518987033474156090e-03,4.784773639699532038e-03,5.321978807633413917e-03
2.600000000000000000e+01,4.830109332082881991e-03,4.518987033474156090e-03,4.749490859534945264e-03,5.247180913368771835e-03
2.700000000000000000e+01,4.829045462882123815e-03,4.521388442273986848e-03,4.740919471448497985e-03,5.250570501417819134e-03
2.800000000000000000e+01,4.830248380412134612e-03,4.521388442273986848e-03,4.732613548800784428e-03,5.250570501417819134e-03
2.900000000000000000e+01,4.839766761151531246e-03,4.522500452546756623e-03,4.749160020157402323e-03,5.254328339625492610e-03
3.000000000000000000e+01,4.849488801924790350e-03,4.531190042408189851e-03,4.755364665789789391e-03,5.270316656733519713e-03
3.100000000000000000e+01,4.849579430650978983e-03,4.567150794066706342e-03,4.747667283014633116e-03,5.274080571915544871e-03
3.200000000000000000e+01,4.854788384115093537e-03,4.567716444080960683e-03,4.787874712907020866e-03,5.274080571915544871e-03
3.300000000000000000e+01,4.857252870591173208e-03,4.595545286320307232e-03,4.787874712907020866e-03,5.278236920540261591e-03
3.400000000000000000e+01,4.858783613614336624e-03,4.596220935179856984e-03,4.787874712907020866e-03,5.276510051845879033e-03
3.500000000000000000e+01,4.863451553415268878e-03,4.583853549072850267e-03,4.795442121876212702e-03,5.282903632787556113e-03
3.600000000000000000e+01,4.864198872310586744e-03,4.573474620988061436e-03,4.794448700645773803e-03,5.281217578297929885e-03
3.700000000000000000e+01,4.869235220132776994e-03,4.573474620988061436e-03,4.794448700645773803e-03,5.279568794935728462e-03
3.800000000000000000e+01,4.873510150732695591e-03,4.563361043770755403e-03,4.810778482839193904e-03,5.286424362567707265e-03
3.900000000000000000e+01,4.793162238150095247e-03,4.549412999043501646e-03,4.802785569470939542e-03,5.284818114929340505e-03
4.000000000000000000e+01,4.797771373678133729e-03,4.560662584213321866e-03,4.799301309513731226e-03,5.208451068687931437e-03
4.100000000000000000e+01,4.792342944221726631e-03,4.570100484341506689e-03,4.792215569752227011e-03,5.208451068687931437e-03
