time_s,round,mean,p10,p50,p90
1.513358354568481445e+01,1.000000000000000000e+00,4.896992688910035106e-03,4.511000883269775281e-03,4.909376749467318085e-03,5.328704682992592249e-03
1.552350783348083496e+01,2.000000000000000000e+00,4.887397983082889322e-03,4.519208500167073810e-03,4.921131503421543631e-03,5.330100179675412511e-03
1.598921275138854980e+01,3.000000000000000000e+00,4.899474292953261492e-03,4.519208500167073810e-03,4.929933412529291167e-03,5.394566770254433964e-03
1.638307023048400879e+01,4.000000000000000000e+00,4.901979702011944988e-03,4.526873655336448136e-03,4.942126529678521341e-03,5.370002296588028898e-03
1.683542847633361816e+01,5.000000000000000000e+00,4.902479134222628189e-03,4.528086516389886323e-03,4.946075948605558117e-03,5.370002296588028898e-03
1.725499081611633301e+01,6.000000000000000000e+00,4.903755991443439592e-03,4.532971728034504433e-03,4.946075948605558117e-03,5.347359013551325306e-03
1.770238375663757324e+01,7.000000000000000000e+00,4.908057072424255353e-03,4.527033707306744176e-03,4.945390656433866494e-03,5.435884264921999470e-03
1.822672677040100098e+01,8.000000000000000000e+00,4.901887352910429783e-03,4.527033707306744176e-03,4.917460932868902151e-03,5.435884264921999470e-03
1.875100779533386230e+01,9.000000000000000000e+00,4.905642305914425724e-03,4.507484743791432061e-03,4.917460932868902151e-03,5.446457042862905100e-03
1.927459168434143066e+01,1.000000000000000000e+01,4.904566010871133815e-03,4.507484743791432061e-03,4.890937958964022489e-03,5.447611120920790514e-03
1.974872612953186035e+01,1.100000000000000000e+01,4.916380032560765424e-03,4.487868609322353750e-03,4.889940824071266692e-03,5.461724010173038026e-03
2.023981451988220215e+01,1.200000000000000000e+01,4.943392595329531777e-03,4.521132596982890828e-03,4.895954335703825086e-03,5.461724010173038026e-03
2.071136093139648438e+01,1.300000000000000000e+01,4.923397396413927221e-03,4.491459572866525647e-03,4.898247273497437909e-03,5.470602378820982152e-03
2.121072030067443848e+01,1.400000000000000000e+01,4.924136457561944895e-03,4.493337375022663990e-03,4.888242489871612133e-03,5.470602378820982152e-03
2.168380856513977051e+01,1.500000000000000000e+01,4.904571353853662448e-03,4.476677490120954325e-03,4.876219080141048524e-03,5.473658906609410978e-03
2.216198635101318359e+01,1.600000000000000000e+01,4.935281657734071764e-03,4.512383188700105040e-03,4.862775007102443370e-03,5.483156166052141969e-03
2.265575909614562988e+01,1.700000000000000000e+01,4.915762869819434097e-03,4.512383188700105040e-03,4.861675586686452222e-03,5.401795468453700344e-03
2.313971543312072754e+01,1.800000000000000000e+01,4.875775124928166497e-03,4.486461331244392774e-03,4.849882817658419075e-03,5.385623415626095145e-03
2.364444899559020996e+01,1.900000000000000000e+01,4.858093166782462800e-03,4.490503373905062150e-03,4.828030598830088463e-03,5.387918850305994239e-03
2.413318800926208496e+01,2.000000000000000000e+01,4.859718160580028291e-03,4.488666287053322615e-03,4.828030598830088463e-03,5.387918850305994239e-03
2.464369392395019531e+01,2.100000000000000000e+01,4.859798458530132509e-03,4.479759056548877384e-03,4.818791904418846458e-03,5.396573640643658777e-03
2.512300086021423340e+01,2.200000000000000000e+01,4.851470386192364634e-03,4.478020962850616168e-03,4.772477525280089186e-03,5.397883303138073692e-03
2.559715676307678223e+01,2.300000000000000000e+01,4.854480018450813353e-03,4.478020962850616168e-03,4.763442722884333666e-03,5.406793395803382273e-03
2.609710931777954102e+01,2.400000000000000000e+01,4.865019494766925287e-03,4.468137829099159616e-03,4.793596993691319127e-03,5.406793395803382273e-03
2.657265448570251465e+01,2.500000000000000000e+01,4.873610572947483302e-03,4.518987033474156090e-03,4.784773639699532038e-03,5.321978807633413917e-03
2.705650162696838379e+01,2.600000000000000000e+01,4.830109332082881991e-03,4.518987033474156090e-03,4.749490859534945264e-03,5.247180913368771835e-03
2.753596663475036621e+01,2.700000000000000000e+01,4.829045462882123815e-03,4.521388442273986848e-03,4.740919471448497985e-03,5.250570501417819134e-03
2.806202054023742676e+01,2.800000000000000000e+01,4.830248380412134612e-03,4.521388442273986848e-03,4.732613548800784428e-03,5.250570501417819134e-03
2.855728793144226074e+01,2.900000000000000000e+01,4.839766761151531246e-03,4.522500452546756623e-03,4.749160020157402323e-03,5.254328339625492610e-03
2.904100036621093750e+01,3.000000000000000000e+01,4.849488801924790350e-03,4.531190042408189851e-03,4.755364665789789391e-03,5.270316656733519713e-03
2.952423405647277832e+01,3.100000000000000000e+01,4.849579430650978983e-03,4.567150794066706342e-03,4.747667283014633116e-03,5.274080571915544871e-03
3.002094674110412598e+01,3.200000000000000000e+01,4.854788384115093537e-03,4.567716444080960683e-03,4.787874712907020866e-03,5.274080571915544871e-03
3.050484728813171387e+01,3.300000000000000000e+01,4.857252870591173208e-03,4.595545286320307232e-03,4.787874712907020866e-03,5.278236920540261591e-03
3.099661779403686523e+01,3.400000000000000000e+01,4.858783613614336624e-03,4.596220935179856984e-03,4.787874712907020866e-03,5.276510051845879033e-03
3.149042439460754395e+01,3.500000000000000000e+01,4.863451553415268878e-03,4.583853549072850267e-03,4.795442121876212702e-03,5.282903632787556113e-03
3.198629117012023926e+01,3.600000000000000000e+01,4.864198872310586744e-03,4.573474620988061436e-03,4.794448700645773803e-03,5.281217578297929885e-03
3.247752594947814941e+01,3.700000000000000000e+01,4.869235220132776994e-03,4.573474620988061436e-03,4.794448700645773803e-03,5.279568794935728462e-03
3.295315527915954590e+01,3.800000000000000000e+01,4.873510150732695591e-03,4.563361043770755403e-03,4.810778482839193904e-03,5.286424362567707265e-03
3.346023964881896973e+01,3.900000000000000000e+01,4.793162238150095247e-03,4.549412999043501646e-03,4.802785569470939542e-03,5.284818114929340505e-03
3.394927096366882324e+01,4.000000000000000000e+01,4.797771373678133729e-03,4.560662584213321866e-03,4.799301309513731226e-03,5.208451068687931437e-03
3.444775724411010742e+01,4.100000000000000000e+01,4.792342944221726631e-03,4.570100484341506689e-03,4.792215569752227011e-03,5.208451068687931437e-03
3.492500424385070801e+01,4.200000000000000000e+01,4.791585497947766469e-03,4.569187564136613020e-03,4.788865624302373475e-03,5.197387011118167512e-03
3.539833974838256836e+01,4.300000000000000000e+01,4.806448422144204632e-03,4.579695043224573173e-03,4.800590195769649168e-03,5.199465878521894457e-03
3.586434817314147949e+01,4.400000000000000000e+01,4.822671331438177847e-03,4.621365841114518855e-03,4.800710643086226331e-03,5.234869338646123797e-03
3.634917140007019043e+01,4.500000000000000000e+01,4.802513548496306975e-03,4.614306196518239492e-03,4.793389048496231666e-03,5.185269161329453431e-03
3.684015417098999023e+01,4.600000000000000000e+01,4.803824558914675767e-03,4.614306196518239492e-03,4.806560621213592371e-03,5.183870915410179227e-03
3.731339049339294434e+01,4.700000000000000000e+01,4.822344832796830738e-03,4.609937021916687798e-03,4.859077912645890993e-03,5.173637103682787210e-03
3.779023718833923340e+01,4.800000000000000000e+01,4.826191976492424755e-03,4.609937021916687798e-03,4.862475347534843569e-03,5.173637103682787210e-03
3.828791475296020508e+01,4.900000000000000000e+01,4.825475619777979883e-03,4.609365991600935727e-03,4.863088416297907390e-03,5.172324702691235773e-03
3.878422451019287109e+01,5.000000000000000000e+01,4.827705561667652336e-03,4.622195625446551270e-03,4.858366616673375805e-03,5.162535406192931935e-03
3.926698803901672363e+01,5.100000000000000000e+01,4.825480453684307183e-03,4.622195625446551270e-03,4.864772698703804729e-03,5.162535406192931935e-03
3.975657725334167480e+01,5.200000000000000000e+01,4.836528208833162229e-03,4.625598175176538068e-03,4.875261236119504682e-03,5.161315406734518982e-03
4.027379870414733887e+01,5.300000000000000000e+01,4.835134364828477804e-03,4.598578177657007028e-03,4.881745879894447936e-03,5.151997175492741173e-03
4.078091979026794434e+01,5.400000000000000000e+01,4.839548182507185520e-03,4.600233502211444753e-03,4.881745879894447936e-03,5.151997175492741173e-03
4.127514576911926270e+01,5.500000000000000000e+01,4.809400443248748602e-03,4.542057048498145122e-03,4.884473961914910858e-03,5.143075745878537310e-03
4.177021622657775879e+01,5.600000000000000000e+01,4.825794032734084978e-03,4.541345601709424924e-03,4.898726073107463608e-03,5.141990029475226008e-03
4.225915551185607910e+01,5.700000000000000000e+01,4.816663033155891768e-03,4.510127606195199999e-03,4.894202384928917141e-03,5.140942772968933559e-03
4.272831344604492188e+01,5.800000000000000000e+01,4.801492461547305669e-03,4.477739710021085007e-03,4.859172028824534917e-03,5.133494552820034272e-03
4.323625636100769043e+01,5.900000000000000000e+01,4.802665400756416132e-03,4.476193439180342973e-03,4.859172028824534917e-03,5.132496872607998292e-03
4.373337078094482422e+01,6.000000000000000000e+01,4.799536980170621830e-03,4.444288973365249744e-03,4.855303005794318200e-03,5.125715380838519880e-03
4.421828889846801758e+01,6.100000000000000000e+01,4.816792549331024541e-03,4.444288973365249744e-03,4.851089271505858863e-03,5.125313184101363759e-03
4.472743892669677734e+01,6.200000000000000000e+01,4.842685358884536891e-03,4.590793926489231819e-03,4.852458466778855617e-03,5.124801747648289642e-03
4.521200847625732422e+01,6.300000000000000000e+01,4.844263184200593708e-03,4.590793926489231819e-03,4.843486813564850182e-03,5.119488396228808608e-03
4.568543791770935059e+01,6.400000000000000000e+01,4.869993641962851345e-03,4.590314648869463221e-03,4.892969906599703780e-03,5.119488396228808608e-03
4.615538525581359863e+01,6.500000000000000000e+01,4.860422962773038903e-03,4.590314648869463221e-03,4.892516408914708917e-03,5.121116719468104227e-03
4.663526105880737305e+01,6.600000000000000000e+01,4.859642116573550247e-03,4.582299767942998869e-03,4.892516408914708917e-03,5.114705895851608813e-03
4.712612509727478027e+01,6.700000000000000000e+01,4.862845127791110347e-03,4.582299767942998869e-03,4.893006107234037713e-03,5.116507369986056722e-03
4.760552239418029785e+01,6.800000000000000000e+01,4.871692684071075342e-03,4.579144575651032320e-03,4.928093840814279022e-03,5.116507369986056722e-03
4.809257793426513672e+01,6.900000000000000000e+01,4.872054358356447609e-03,4.581448666027668898e-03,4.930205629856252228e-03,5.080729159979805419e-03
4.861950063705444336e+01,7.000000000000000000e+01,4.871512165073357478e-03,4.576879827169383179e-03,4.930205629856252228e-03,5.075210225669553495e-03
4.913463902473449707e+01,7.100000000000000000e+01,4.885020275930832337e-03,4.581760711146677829e-03,4.936927787708749599e-03,5.111246532516049330e-03
4.963051915168762207e+01,7.200000000000000000e+01,4.884645995974629985e-03,4.558115009566558219e-03,4.933305778732036996e-03,5.107346072588481688e-03
5.011115097999572754e+01,7.300000000000000000e+01,4.885190017491718335e-03,4.562999293655192919e-03,4.935886285792787445e-03,5.103473558071195890e-03
5.061715602874755859e+01,7.400000000000000000e+01,4.904900111039162472e-03,4.587104029792700259e-03,4.928618272708800915e-03,5.170649796695351436e-03
5.110713410377502441e+01,7.500000000000000000e+01,4.928136835019351902e-03,4.592047557889223676e-03,4.936514035561879316e-03,5.246608555518461788e-03
5.158350968360900879e+01,7.600000000000000000e+01,4.941797986364699496e-03,4.597979900412718646e-03,4.939396371690647422e-03,5.233057381752926306e-03
5.206118226051330566e+01,7.700000000000000000e+01,4.947255867189828855e-03,4.641843592441886879e-03,4.942495546157976358e-03,5.237373954580016623e-03
5.255475163459777832e+01,7.800000000000000000e+01,4.957551408570388604e-03,4.685348152330325207e-03,4.944382710277826776e-03,5.288577474745254428e-03
5.303045678138732910e+01,7.900000000000000000e+01,4.964663169348085270e-03,4.685348152330325207e-03,4.956388372534462419e-03,5.284206989894667597e-03
5.351887011528015137e+01,8.000000000000000000e+01,4.967675176524404858e-03,4.729293294879027311e-03,4.973156600995926047e-03,5.248483906963483450e-03
5.400696349143981934e+01,8.100000000000000000e+01,4.964568387660467028e-03,4.745558601018677082e-03,4.973156600995926047e-03,5.208007376117503202e-03
5.450582480430603027e+01,8.200000000000000000e+01,4.969001084716908635e-03,4.739791319796965961e-03,4.990676583910208693e-03,5.203721688811264665e-03
5.498874759674072266e+01,8.300000000000000000e+01,4.963877936162542671e-03,4.739791319796965961e-03,4.997438866305107391e-03,5.184219862544399079e-03
5.548923802375793457e+01,8.400000000000000000e+01,4.944996110791973799e-03,4.693731870131434385e-03,4.961568253690512575e-03,5.173352300584080181e-03
5.595878291130065918e+01,8.500000000000000000e+01,4.949684251797987176e-03,4.693731870131434385e-03,4.967538579906146182e-03,5.173352300584080181e-03
