time_s,round,mean,p10,p50,p90
1.513358354568481445e+01,1.000000000000000000e+00,1.938195613346021251e-01,1.706600529961864732e-01,1.945626049680390934e-01,2.197222809795554843e-01
1.552350783348083496e+01,2.000000000000000000e+00,1.932438789849732497e-01,1.711525100100244334e-01,1.952678902052926158e-01,2.198060107805247243e-01
1.598921275138854980e+01,3.000000000000000000e+00,1.939684575771956077e-01,1.711525100100244334e-01,1.957960047517574298e-01,2.236740062152660080e-01
1.638307023048400879e+01,4.000000000000000000e+00,1.941187821207167041e-01,1.716124193201868930e-01,1.965275917807113026e-01,2.222001377952818324e-01
1.683542847633361816e+01,5.000000000000000000e+00,1.941487480533577448e-01,1.716851909833931877e-01,1.967645569163334884e-01,2.222001377952818324e-01
1.725499081611633301e+01,6.000000000000000000e+00,1.942253594866064081e-01,1.719783036820702327e-01,1.967645569163334884e-01,2.208415408130794400e-01
1.770238375663757324e+01,7.000000000000000000e+00,1.944834243454553468e-01,1.716220224384045756e-01,1.967234393860319841e-01,2.261530558953199488e-01
1.822672677040100098e+01,8.000000000000000000e+00,1.941132411746258057e-01,1.716220224384045756e-01,1.950476559721341097e-01,2.261530558953199488e-01
1.875100779533386230e+01,9.000000000000000000e+00,1.943385383548655865e-01,1.704490846274859250e-01,1.950476559721341097e-01,2.267874225717743386e-01
1.927459168434143066e+01,1.000000000000000000e+01,1.942739606522680407e-01,1.704490846274859250e-01,1.934562775378413368e-01,2.268566672552474739e-01
1.974872612953186035e+01,1.100000000000000000e+01,1.949828019536458679e-01,1.692721165593411847e-01,1.933964494442759752e-01,2.277034406103822239e-01
2.023981451988220215e+01,1.200000000000000000e+01,1.966035557197718942e-01,1.712679558189733886e-01,1.937572601422294927e-01,2.277034406103822239e-01
2.071136093139648438e+01,1.300000000000000000e+01,1.954038437848356069e-01,1.694875743719914396e-01,1.938948364098462829e-01,2.282361427292589062e-01
2.121072030067443848e+01,1.400000000000000000e+01,1.954481874537167263e-01,1.696002425013597714e-01,1.932945493922967328e-01,2.282361427292589062e-01
