time_s,round,mean,p10,p50,p90
5.121440649032592773e+00,1.000000000000000000e+00,1.965874273978859277e-01,1.639537346099325665e-01,1.987243341795175144e-01,2.161625096540437663e-01
5.725250959396362305e+00,2.000000000000000000e+00,1.965195947745572991e-01,1.635058544531713676e-01,1.992241826918904335e-01,2.171350831842168427e-01
6.294331789016723633e+00,3.000000000000000000e+00,1.977375828386565837e-01,1.640839530096322996e-01,1.974079693857832274e-01,2.222813333118858758e-01
6.923414468765258789e+00,4.000000000000000000e+00,1.979701665421782775e-01,1.649739159543440470e-01,1.983073840784965181e-01,2.223701122574192612e-01
7.529628992080688477e+00,5.000000000000000000e+00,1.983151669620026036e-01,1.656675631243380020e-01,1.983073840784965181e-01,2.209891933563485622e-01
8.115788698196411133e+00,6.000000000000000000e+00,1.979733501470080093e-01,1.677574743227793763e-01,1.989583723319707231e-01,2.196443422173604554e-01
8.688104152679443359e+00,7.000000000000000000e+00,1.966366701618348922e-01,1.702320151228962075e-01,1.965509143942211212e-01,2.197385763933653036e-01
9.248087167739868164e+00,8.000000000000000000e+00,1.966615529896244829e-01,1.702240114550283290e-01,1.965581680341983439e-01,2.194229766178853458e-01
9.813976526260375977e+00,9.000000000000000000e+00,1.969358075044712886e-01,1.706500182614900107e-01,1.965258726811722201e-01,2.204650330823002824e-01
1.038800644874572754e+01,1.000000000000000000e+01,1.952216016942290022e-01,1.605481064731120178e-01,1.965258726811722201e-01,2.205627612738040311e-01
1.096528458595275879e+01,1.100000000000000000e+01,1.946744397431361684e-01,1.606071871131361239e-01,1.965332668234446301e-01,2.186653314079157195e-01
1.154258370399475098e+01,1.200000000000000000e+01,1.944610912603710606e-01,1.608316494625464388e-01,1.965332668234446301e-01,2.186666526132829969e-01
1.213340926170349121e+01,1.300000000000000000e+01,1.946274206861383915e-01,1.608977018018403482e-01,1.965753886038206222e-01,2.186869454939708579e-01
1.272633719444274902e+01,1.400000000000000000e+01,1.937244605279145604e-01,1.609707047873576991e-01,1.942497815152722795e-01,2.187622250362984966e-01
1.332217431068420410e+01,1.500000000000000000e+01,1.954291398873352070e-01,1.707294731238545860e-01,1.949448677401878216e-01,2.187828170542230888e-01
1.393103766441345215e+01,1.600000000000000000e+01,1.942463262349456987e-01,1.712252816732307281e-01,1.932087141334799807e-01,2.188545449587701863e-01
1.451006484031677246e+01,1.700000000000000000e+01,1.945207528319538581e-01,1.712252816732307281e-01,1.956737931864143132e-01,2.174468564980944485e-01
1.508616709709167480e+01,1.800000000000000000e+01,1.949370272937369086e-01,1.717299806388756789e-01,1.955342795440709880e-01,2.240506445466073915e-01
1.568123650550842285e+01,1.900000000000000000e+01,1.950816756479879233e-01,1.717620328188854406e-01,1.956879117176553717e-01,2.241260363653243826e-01
1.626666378974914551e+01,2.000000000000000000e+01,1.957268712940241351e-01,1.740509847771947172e-01,1.964194987466092446e-01,2.218675563370487991e-01
1.684468865394592285e+01,2.100000000000000000e+01,1.957197886351826066e-01,1.742701380118335253e-01,1.965275917807113026e-01,2.203976420381888179e-01
1.743895268440246582e+01,2.200000000000000000e+01,1.957867317085098535e-01,1.745207687781739903e-01,1.967501711296518740e-01,2.204553406404398952e-01
1.803026366233825684e+01,2.300000000000000000e+01,1.953949066389896183e-01,1.745205812127259004e-01,1.951321987439387229e-01,2.197316950105596134e-01
1.860958266258239746e+01,2.400000000000000000e+01,1.948122288169799599e-01,1.748151939207826244e-01,1.949878278785687202e-01,2.181639011670753747e-01
1.919113516807556152e+01,2.500000000000000000e+01,1.948107836359476153e-01,1.748151939207826244e-01,1.943673853093242365e-01,2.182694597327201336e-01
1.980250620841979980e+01,2.600000000000000000e+01,1.941601430594324385e-01,1.748869604987426107e-01,1.928204273181451933e-01,2.173643609811364841e-01
2.041340851783752441e+01,2.700000000000000000e+01,1.947074281843169941e-01,1.748987306441484590e-01,1.928204273181451933e-01,2.211322299611896414e-01
2.099438214302062988e+01,2.800000000000000000e+01,1.952244401512915339e-01,1.736689983623479483e-01,1.927586091734639906e-01,2.270802384591240897e-01
2.158183979988098145e+01,2.900000000000000000e+01,1.950754503305489052e-01,1.736853694374367874e-01,1.919807122755845807e-01,2.269579364835088708e-01
2.222679352760314941e+01,3.000000000000000000e+01,1.947852234937739180e-01,1.725020311327593592e-01,1.905654340601894980e-01,2.270602692502993458e-01
2.280940842628479004e+01,3.100000000000000000e+01,1.949742333386625948e-01,1.725295558993095446e-01,1.904063609933757117e-01,2.259942380140277929e-01
2.338989758491516113e+01,3.200000000000000000e+01,1.960275752003421135e-01,1.718488360137760962e-01,1.898933300757053855e-01,2.249613163052270604e-01
2.396341681480407715e+01,3.300000000000000000e+01,1.950137643570589996e-01,1.721542870214734788e-01,1.891550958294893892e-01,2.250324558303366251e-01
2.455945324897766113e+01,3.400000000000000000e+01,1.952270740245517500e-01,1.723917705829095537e-01,1.892665414365201360e-01,2.240330272418053215e-01
2.514361476898193359e+01,3.500000000000000000e+01,1.924213974820196404e-01,1.699322902265767987e-01,1.886490812889581314e-01,2.231374049375656476e-01
2.575880455970764160e+01,3.600000000000000000e+01,1.922861388041085251e-01,1.687613106120127993e-01,1.876842007908317844e-01,2.231374049375656476e-01
2.637881112098693848e+01,3.700000000000000000e+01,1.926730610504194530e-01,1.687613106120127993e-01,1.866738116376592260e-01,2.220484319069095658e-01
2.696694302558898926e+01,3.800000000000000000e+01,1.903101816078772712e-01,1.675219396422379381e-01,1.861706020483053226e-01,2.209366794107279763e-01
2.756394839286804199e+01,3.900000000000000000e+01,1.895194912275988131e-01,1.675219396422379381e-01,1.856825674316426311e-01,2.209366794107279763e-01
2.814806461334228516e+01,4.000000000000000000e+01,1.894898283297596353e-01,1.675256974159067269e-01,1.847126102989220531e-01,2.201533692582067214e-01
2.874994301795959473e+01,4.100000000000000000e+01,1.896573303918066278e-01,1.675256974159067269e-01,1.847126102989220531e-01,2.193187284580048468e-01
2.936478734016418457e+01,4.200000000000000000e+01,1.896891903684098379e-01,1.671476702281245452e-01,1.837655473955984720e-01,2.193187284580048468e-01
2.996370553970336914e+01,4.300000000000000000e+01,1.897889060298395547e-01,1.670374450170201974e-01,1.837655473955984720e-01,2.185866339059427121e-01
3.054422497749328613e+01,4.400000000000000000e+01,1.899969570074213354e-01,1.666975348281800884e-01,1.833299299464418164e-01,2.178013892414255026e-01
3.113476014137268066e+01,4.500000000000000000e+01,1.901244136636953408e-01,1.665932492062843773e-01,1.830700819957404857e-01,2.178839534745589945e-01
3.172677540779113770e+01,4.600000000000000000e+01,1.902981279020388716e-01,1.662930499605369539e-01,1.835766642643542335e-01,2.171221666392700866e-01
3.232942891120910645e+01,4.700000000000000000e+01,1.900227927875056955e-01,1.661956087110233737e-01,1.842515538798598640e-01,2.253050770021672311e-01
3.292510485649108887e+01,4.800000000000000000e+01,1.908111739248027627e-01,1.727612055103674715e-01,1.844503404875296737e-01,2.253050770021672311e-01
3.351759552955627441e+01,4.900000000000000000e+01,1.905415318403362035e-01,1.760349962930851109e-01,1.849933164600566782e-01,2.093179820870597618e-01
3.409260344505310059e+01,5.000000000000000000e+01,1.907342410256910037e-01,1.760349962930851109e-01,1.857904839842934308e-01,2.092114494272937775e-01
3.471504783630371094e+01,5.100000000000000000e+01,1.911302139444465698e-01,1.771044362652625381e-01,1.860542542706290492e-01,2.132639844191824563e-01
3.530100083351135254e+01,5.200000000000000000e+01,1.913630555247896603e-01,1.770771829631461181e-01,1.866324669117472301e-01,2.131603722975195514e-01
3.587988662719726562e+01,5.300000000000000000e+01,1.909249513559194977e-01,1.777648576277324755e-01,1.847797252865572837e-01,2.130592090281419881e-01
3.649439787864685059e+01,5.400000000000000000e+01,1.905776397070038097e-01,1.749030766069565312e-01,1.850894475752917767e-01,2.127960427582295810e-01
3.710210871696472168e+01,5.500000000000000000e+01,1.895291728306436885e-01,1.751778944998898246e-01,1.839145173036925707e-01,2.126971157564974957e-01
