time_s,round,mean,p10,p50,p90
1.464851641654968262e+01,1.000000000000000000e+00,8.057665160926029690e-01,7.783212560386474355e-01,8.082729468599032518e-01,8.280434782608696587e-01
1.515190434455871582e+01,2.000000000000000000e+00,8.085725735617039778e-01,7.802020202020202300e-01,8.072463768115941685e-01,8.365942028985507983e-01
1.567541909217834473e+01,3.000000000000000000e+00,8.048780663780663591e-01,7.727887571365833486e-01,8.051086956521740223e-01,8.312608695652173862e-01
1.614135861396789551e+01,4.000000000000000000e+00,8.121345677269591334e-01,7.773122529644268530e-01,8.121894409937888692e-01,8.397101449275362617e-01
1.663395881652832031e+01,5.000000000000000000e+00,8.058758705063052696e-01,7.702608695652175541e-01,8.041304347826085941e-01,8.382608695652173925e-01
1.713083767890930176e+01,6.000000000000000000e+00,8.116089466089466686e-01,7.717391304347827052e-01,8.141908212560386993e-01,8.432298136645962616e-01
1.764718031883239746e+01,7.000000000000000000e+00,8.077416243177113486e-01,7.759420289855072372e-01,8.068115942028986076e-01,8.419565217391304923e-01
1.815481543540954590e+01,8.000000000000000000e+00,8.107951094798920844e-01,7.756884057971014101e-01,8.158695652173911794e-01,8.455900621118013216e-01
1.860214948654174805e+01,9.000000000000000000e+00,8.054014053579271470e-01,7.753019323671497265e-01,8.077018633540371528e-01,8.295900621118013074e-01
1.905385041236877441e+01,1.000000000000000000e+01,8.062480550850115169e-01,7.688260869565216593e-01,8.052173913043477738e-01,8.361180124223602794e-01
1.950520730018615723e+01,1.100000000000000000e+01,8.134738769684422000e-01,7.803369565217390669e-01,8.154589371980676127e-01,8.455279503105589400e-01
2.000735926628112793e+01,1.200000000000000000e+01,8.124838368153586288e-01,7.770217391304349297e-01,8.159937888198758316e-01,8.473333333333332718e-01
2.047434115409851074e+01,1.300000000000000000e+01,8.097837536859276986e-01,7.671376811594203815e-01,8.097430830039524796e-01,8.365424430641822395e-01
2.093531107902526855e+01,1.400000000000000000e+01,8.102927253905514160e-01,7.866534914361001940e-01,8.151432806324110381e-01,8.323671497584542722e-01
2.139398646354675293e+01,1.500000000000000000e+01,8.034919458560763061e-01,7.710144927536233261e-01,8.047282608695651707e-01,8.305279503105589267e-01
2.186065316200256348e+01,1.600000000000000000e+01,8.162803422422989508e-01,7.743115942028986343e-01,8.167391304347826342e-01,8.508804347826087744e-01
2.231593060493469238e+01,1.700000000000000000e+01,8.046860922893532830e-01,7.684989648033127008e-01,8.080039525691700142e-01,8.405279503105589356e-01
2.279290699958801270e+01,1.800000000000000000e+01,8.085150574063618700e-01,7.706625258799171263e-01,8.052766798418972138e-01,8.377950310559005853e-01
2.324901604652404785e+01,1.900000000000000000e+01,8.073047870004390614e-01,7.769565217391305456e-01,8.083201581027668059e-01,8.454658385093166695e-01
2.372056007385253906e+01,2.000000000000000000e+01,8.101902252337035426e-01,7.775000000000000799e-01,8.165217391304347982e-01,8.376086956521738847e-01
2.420946764945983887e+01,2.100000000000000000e+01,8.109472363385407112e-01,7.668115942028985721e-01,8.171497584541063119e-01,8.377950310559006963e-01
2.471380281448364258e+01,2.200000000000000000e+01,8.134025503482023023e-01,7.854855072463768906e-01,8.176987263943784612e-01,8.429399585921325544e-01
2.520813775062561035e+01,2.300000000000000000e+01,8.144452600539556775e-01,7.905590062111800265e-01,8.207608695652173214e-01,8.448136645962733837e-01
2.569859886169433594e+01,2.400000000000000000e+01,8.192060511951817503e-01,7.896086956521739531e-01,8.217149758454105335e-01,8.454658385093166695e-01
2.619419646263122559e+01,2.500000000000000000e+01,8.138742706568795615e-01,7.915217391304346650e-01,8.146739130434782483e-01,8.380745341614906918e-01
2.668146586418151855e+01,2.600000000000000000e+01,8.158108413325804165e-01,7.768115942028986920e-01,8.182015810276679346e-01,8.454658385093166695e-01
2.717636442184448242e+01,2.700000000000000000e+01,8.185143202208420288e-01,7.692753623188406387e-01,8.221256038647343223e-01,8.464130434782608514e-01
2.770689225196838379e+01,2.800000000000000000e+01,8.156921230942970613e-01,7.746014492753623415e-01,8.199534161490683593e-01,8.379813664596273970e-01
2.822219729423522949e+01,2.900000000000000000e+01,8.160496423865988280e-01,7.847101449275361018e-01,8.186956521739130466e-01,8.487142857142856434e-01
2.869557118415832520e+01,3.000000000000000000e+01,8.171528013049751404e-01,7.824855072463767769e-01,8.200828157349896452e-01,8.441614906832298759e-01
2.916664791107177734e+01,3.100000000000000000e+01,8.160804630152457273e-01,7.713043478260869223e-01,8.189723320158102116e-01,8.442857142857143060e-01
2.965490984916687012e+01,3.200000000000000000e+01,8.200836627140974944e-01,7.863768115942028070e-01,8.253881987577640356e-01,8.526086956521740090e-01
3.014397263526916504e+01,3.300000000000000000e+01,8.170023527197439739e-01,7.852964426877468984e-01,8.242236024844720177e-01,8.444565217391305501e-01
3.062661123275756836e+01,3.400000000000000000e+01,8.184732103645145918e-01,7.737681159420289889e-01,8.265700483091786843e-01,8.432919254658384212e-01
3.112726569175720215e+01,3.500000000000000000e+01,8.166729249011858149e-01,7.756192358366272854e-01,8.237060041407867628e-01,8.515838509316769889e-01
3.162053847312927246e+01,3.600000000000000000e+01,8.164738220716480921e-01,7.845059288537549191e-01,8.207729468599034295e-01,8.431521739130435344e-01
3.210266828536987305e+01,3.700000000000000000e+01,8.180462387853694173e-01,7.964031620553357893e-01,8.204968944099378936e-01,8.402536231884057960e-01
3.258129286766052246e+01,3.800000000000000000e+01,8.176612475688562753e-01,7.917292490118575943e-01,8.224154589371981405e-01,8.418944099378883328e-01
3.311509966850280762e+01,3.900000000000000000e+01,8.146219649915302785e-01,7.901976284584980581e-01,8.154644268774703386e-01,8.315869565217391957e-01
3.365742945671081543e+01,4.000000000000000000e+01,8.164702145680406975e-01,7.805815923207227724e-01,8.144927536231884035e-01,8.425362318840580178e-01
3.416626429557800293e+01,4.100000000000000000e+01,8.140235115126419618e-01,7.838452851496330309e-01,8.217391304347826386e-01,8.326397515527950155e-01
3.463621163368225098e+01,4.200000000000000000e+01,8.143861283643891724e-01,7.866149068322981774e-01,8.163975155279503682e-01,8.420217391304347654e-01
3.511611080169677734e+01,4.300000000000000000e+01,8.155652566033001483e-01,7.840937323546018911e-01,8.137681159420289134e-01,8.381118012422359431e-01
3.560403656959533691e+01,4.400000000000000000e+01,8.163068809210113352e-01,7.846273291925466298e-01,8.221739130434781995e-01,8.353416149068322305e-01
3.610305881500244141e+01,4.500000000000000000e+01,8.160593591191418472e-01,7.822981366459628161e-01,8.213354037267079910e-01,8.362608695652175017e-01
3.659004592895507812e+01,4.600000000000000000e+01,8.209593450028231931e-01,7.927329192546584968e-01,8.226708074534161419e-01,8.470434782608695645e-01
3.707252287864685059e+01,4.700000000000000000e+01,8.209510555869252713e-01,7.918407679277243982e-01,8.274327122153208869e-01,8.403416149068322349e-01
3.755375552177429199e+01,4.800000000000000000e+01,8.147903961980048626e-01,7.819762845849801414e-01,8.246739130434783682e-01,8.384347826086956390e-01
3.804202485084533691e+01,4.900000000000000000e+01,8.178892104272540431e-01,7.911631846414456382e-01,8.241847826086956541e-01,8.413285024154588676e-01
3.851602864265441895e+01,5.000000000000000000e+01,8.154627250768555768e-01,7.714426877470356159e-01,8.234299516908212269e-01,8.425217391304349324e-01
3.901328873634338379e+01,5.100000000000000000e+01,8.216374850994416779e-01,7.851270468661772917e-01,8.291666666666666075e-01,8.507686335403726874e-01
3.950661754608154297e+01,5.200000000000000000e+01,8.201152989522555448e-01,7.924788255223037536e-01,8.218873517786562388e-01,8.491908212560387303e-01
3.998789620399475098e+01,5.300000000000000000e+01,8.160913717924586086e-01,7.793788819875776541e-01,8.192546583850931485e-01,8.386413043478260221e-01
4.048237109184265137e+01,5.400000000000000000e+01,8.149016641570989705e-01,7.935573122529644419e-01,8.163043478260869623e-01,8.451397515527950821e-01
4.096200919151306152e+01,5.500000000000000000e+01,8.145754450863146312e-01,7.890372670807453970e-01,8.159782608695651529e-01,8.414347826086956417e-01
4.144646143913269043e+01,5.600000000000000000e+01,8.126119405956361286e-01,7.873178994918124118e-01,8.146997929606625277e-01,8.391304347826086252e-01
4.192981505393981934e+01,5.700000000000000000e+01,8.129683649683651092e-01,7.795652173913043548e-01,8.146739130434782483e-01,8.349937888198756264e-01
4.243590641021728516e+01,5.800000000000000000e+01,8.160832862789384468e-01,7.962577639751552416e-01,8.190217391304347450e-01,8.377101449275361489e-01
4.292827343940734863e+01,5.900000000000000000e+01,8.170399491812535553e-01,7.954249011857708052e-01,8.219367588932805502e-01,8.377763975155280152e-01
4.341449809074401855e+01,6.000000000000000000e+01,8.186872608068259671e-01,7.912422360248448916e-01,8.180971202710334289e-01,8.388276397515527227e-01
4.389304757118225098e+01,6.100000000000000000e+01,8.171177614655874555e-01,7.745454545454546480e-01,8.180335968379447431e-01,8.500241545893719719e-01
4.438331913948059082e+01,6.200000000000000000e+01,8.149037737624691413e-01,7.859213250517597116e-01,8.132411067193675569e-01,8.320652173913042349e-01
4.486952424049377441e+01,6.300000000000000000e+01,8.111442452475060572e-01,7.706719367588933389e-01,8.086956521739130377e-01,8.348516218081435403e-01
4.535230326652526855e+01,6.400000000000000000e+01,8.140995749419660532e-01,7.748814229249011420e-01,8.109472049689441242e-01,8.420108695652175346e-01
4.588123178482055664e+01,6.500000000000000000e+01,8.128360860154337786e-01,7.840838509316770955e-01,8.102766798418972183e-01,8.361413043478261864e-01
4.637488770484924316e+01,6.600000000000000000e+01,8.189706851119893383e-01,7.769202898550724434e-01,8.150966183574879231e-01,8.613768115942029846e-01
4.687453603744506836e+01,6.700000000000000000e+01,8.148012343936258395e-01,7.773913043478261065e-01,8.119565217391304657e-01,8.391666666666667274e-01
4.736836838722229004e+01,6.800000000000000000e+01,8.156411945542378916e-01,7.897981366459626562e-01,8.098814229249012842e-01,8.444927536231884302e-01
4.783858227729797363e+01,6.900000000000000000e+01,8.130392747349268756e-01,7.829037267080743989e-01,8.083850931677019069e-01,8.372463768115943061e-01
4.833452272415161133e+01,7.000000000000000000e+01,8.097317115251897457e-01,7.876086956521739513e-01,8.070652173913044347e-01,8.265612648221344338e-01
4.881588196754455566e+01,7.100000000000000000e+01,8.141640237781542222e-01,7.872826086956521419e-01,8.107660455486542794e-01,8.383926218708827038e-01
4.932476592063903809e+01,7.200000000000000000e+01,8.084993882928666054e-01,7.763043478260869268e-01,8.123188405797101552e-01,8.294071146245060033e-01
4.980858540534973145e+01,7.300000000000000000e+01,8.144862522742958300e-01,7.780632411067193166e-01,8.150691699604744045e-01,8.437888198757763636e-01
5.028877997398376465e+01,7.400000000000000000e+01,8.114050442311311340e-01,7.847035573122529417e-01,8.096014492753623726e-01,8.434057971014493615e-01
5.078649353981018066e+01,7.500000000000000000e+01,8.145424038521863475e-01,7.813043478260870423e-01,8.128458498023716228e-01,8.373291925465838892e-01
5.126966357231140137e+01,7.600000000000000000e+01,8.145729970512579632e-01,7.839229249011857581e-01,8.142270531400965794e-01,8.399999999999998579e-01
5.177717232704162598e+01,7.700000000000000000e+01,8.102382128740824863e-01,7.733596837944665126e-01,8.177536231884058315e-01,8.317391304347826475e-01
5.225556731224060059e+01,7.800000000000000000e+01,8.112040356986011114e-01,7.825296442687748044e-01,8.121212121212121327e-01,8.347246376811594537e-01
5.272917461395263672e+01,7.900000000000000000e+01,8.163021676391242210e-01,7.931916996047431168e-01,8.094202898550724168e-01,8.384782608695652284e-01
5.321356916427612305e+01,8.000000000000000000e+01,8.100900385846039331e-01,7.840485601355166034e-01,8.077569169960474582e-01,8.502173913043478137e-01
5.374789738655090332e+01,8.100000000000000000e+01,8.103755489679403956e-01,7.911363636363637486e-01,8.132411067193675569e-01,8.358695652173913082e-01
5.423441433906555176e+01,8.200000000000000000e+01,8.094617526193612633e-01,7.862648221343873089e-01,8.107487922705314265e-01,8.457246376811594635e-01
5.471553158760070801e+01,8.300000000000000000e+01,8.161636787125917669e-01,7.858902691511386873e-01,8.170838823012737118e-01,8.338405797101449135e-01
5.521263098716735840e+01,8.400000000000000000e+01,8.149197722567288471e-01,7.848503670242800156e-01,8.187088274044795888e-01,8.413768115942029668e-01
5.569271016120910645e+01,8.500000000000000000e+01,8.148655891210239144e-01,7.919762845849801502e-01,8.125603864734298742e-01,8.505072463768116320e-01
5.619383883476257324e+01,8.600000000000000000e+01,8.172808127862476457e-01,7.991134952004518288e-01,8.127360562143171041e-01,8.347826086956521285e-01
5.668492865562438965e+01,8.700000000000000000e+01,8.119097810402158277e-01,7.934782608695652995e-01,8.168478260869564966e-01,8.309999999999999609e-01
5.716586279869079590e+01,8.800000000000000000e+01,8.137257277746409168e-01,7.868788819875777163e-01,8.143829600351339959e-01,8.426086956521738891e-01
5.764723134040832520e+01,8.900000000000000000e+01,8.139614075537988658e-01,7.839130434782609624e-01,8.138735177865612513e-01,8.442028985507246119e-01
5.812678360939025879e+01,9.000000000000000000e+01,8.098080808080807547e-01,7.822360248447205455e-01,8.157004830917873317e-01,8.334782608695652240e-01
5.860908675193786621e+01,9.100000000000000000e+01,8.126722347700608973e-01,7.921118012422361243e-01,8.069499341238471901e-01,8.359130434782608976e-01
5.910504221916198730e+01,9.200000000000000000e+01,8.115143853730810708e-01,7.843188405797101304e-01,8.073671497584541390e-01,8.376521739130435851e-01
5.958573508262634277e+01,9.300000000000000000e+01,8.098462962158613498e-01,7.786050724637680887e-01,8.094642072902942243e-01,8.482608695652174013e-01
6.007689404487609863e+01,9.400000000000000000e+01,8.125259866944649634e-01,7.887034161490683593e-01,8.111111111111111160e-01,8.406521739130435877e-01
6.056242251396179199e+01,9.500000000000000000e+01,8.065683621933622538e-01,7.731304347826087886e-01,8.049214975845411235e-01,8.378260869565216096e-01
6.104712486267089844e+01,9.600000000000000000e+01,8.046998635422548674e-01,7.854347826086955919e-01,8.016692546583851220e-01,8.334347826086956346e-01
6.153137087821960449e+01,9.700000000000000000e+01,8.068611605785518393e-01,7.850543478260870733e-01,8.044137022397892522e-01,8.328985507246376985e-01
6.202960324287414551e+01,9.800000000000000000e+01,8.066818405024926975e-01,7.804180602006689504e-01,8.052018633540373171e-01,8.347826086956521285e-01
6.251954078674316406e+01,9.900000000000000000e+01,8.010693943737422495e-01,7.837862318840580489e-01,7.936594202898550332e-01,8.293675889328062656e-01
6.300674796104431152e+01,1.000000000000000000e+02,8.064650277258973432e-01,7.824611801242234987e-01,8.052042160737813425e-01,8.349130434782608967e-01
6.348805356025695801e+01,1.010000000000000000e+02,8.087265102047709320e-01,7.716231884057971335e-01,8.123369565217390953e-01,8.364426877470355626e-01
6.397403502464294434e+01,1.020000000000000000e+02,8.124765343352301494e-01,7.786956521739131221e-01,8.095652173913043814e-01,8.569565217391303946e-01
6.445446681976318359e+01,1.030000000000000000e+02,8.144582289690986965e-01,7.853985507246377118e-01,8.132298136645962350e-01,8.465217391304347139e-01
6.494561028480529785e+01,1.040000000000000000e+02,8.100089795470231113e-01,7.780676328502414973e-01,8.107763975155279912e-01,8.449275362318841021e-01
6.542701411247253418e+01,1.050000000000000000e+02,8.074780020703933303e-01,7.806884057971014146e-01,8.067632850241546194e-01,8.408695652173914237e-01
6.593627905845642090e+01,1.060000000000000000e+02,8.140372357111489432e-01,7.818322981366458979e-01,8.122134387351778173e-01,8.495652173913044169e-01
6.641886878013610840e+01,1.070000000000000000e+02,8.093911082878474383e-01,7.835817805383021861e-01,8.120772946859903252e-01,8.363043478260869801e-01
6.690696954727172852e+01,1.080000000000000000e+02,8.113628207541250248e-01,7.860869565217390997e-01,8.126811594202898448e-01,8.384782608695652284e-01
6.741301131248474121e+01,1.090000000000000000e+02,8.092139955455172062e-01,7.822318840579709498e-01,8.019625603864733998e-01,8.477536231884057472e-01
6.789924454689025879e+01,1.100000000000000000e+02,8.056239099065185538e-01,7.757349896480331131e-01,8.002415458937197634e-01,8.340052700922266915e-01
6.838636994361877441e+01,1.110000000000000000e+02,8.125780161867117712e-01,7.888819875776398316e-01,8.110671936758893086e-01,8.379347826086956941e-01
6.886458349227905273e+01,1.120000000000000000e+02,8.079775472112429302e-01,7.816304347826086296e-01,7.989130434782607537e-01,8.486956521739130732e-01
