time_s,round,mean,p10,p50,p90
1.464851641654968262e+01,1.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.515190434455871582e+01,2.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.567541909217834473e+01,3.000000000000000000e+00,7.299999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.614135861396789551e+01,4.000000000000000000e+00,7.349999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.663395881652832031e+01,5.000000000000000000e+00,7.349999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.713083767890930176e+01,6.000000000000000000e+00,7.349999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.764718031883239746e+01,7.000000000000000000e+00,7.450000000000000178e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.815481543540954590e+01,8.000000000000000000e+00,7.500000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.860214948654174805e+01,9.000000000000000000e+00,7.500000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.905385041236877441e+01,1.000000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.950520730018615723e+01,1.100000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.000735926628112793e+01,1.200000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.047434115409851074e+01,1.300000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.093531107902526855e+01,1.400000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.139398646354675293e+01,1.500000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.186065316200256348e+01,1.600000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.231593060493469238e+01,1.700000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.279290699958801270e+01,1.800000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.324901604652404785e+01,1.900000000000000000e+01,7.349999999999999645e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.372056007385253906e+01,2.000000000000000000e+01,7.349999999999999645e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.420946764945983887e+01,2.100000000000000000e+01,7.299999999999999822e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.471380281448364258e+01,2.200000000000000000e+01,7.200000000000000178e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.520813775062561035e+01,2.300000000000000000e+01,7.200000000000000178e+00,3.900000000000000355e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.569859886169433594e+01,2.400000000000000000e+01,7.099999999999999645e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.619419646263122559e+01,2.500000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.668146586418151855e+01,2.600000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.717636442184448242e+01,2.700000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.020000000000000284e+01
2.770689225196838379e+01,2.800000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.110000000000000142e+01
2.822219729423522949e+01,2.900000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.110000000000000142e+01
2.869557118415832520e+01,3.000000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.110000000000000142e+01
2.916664791107177734e+01,3.100000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.110000000000000142e+01
2.965490984916687012e+01,3.200000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.110000000000000142e+01
3.014397263526916504e+01,3.300000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.062661123275756836e+01,3.400000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.112726569175720215e+01,3.500000000000000000e+01,7.150000000000000355e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.162053847312927246e+01,3.600000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.210266828536987305e+01,3.700000000000000000e+01,7.250000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.258129286766052246e+01,3.800000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.311509966850280762e+01,3.900000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.365742945671081543e+01,4.000000000000000000e+01,7.299999999999999822e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.416626429557800293e+01,4.100000000000000000e+01,7.299999999999999822e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.463621163368225098e+01,4.200000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.511611080169677734e+01,4.300000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.560403656959533691e+01,4.400000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.610305881500244141e+01,4.500000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.659004592895507812e+01,4.600000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.707252287864685059e+01,4.700000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.755375552177429199e+01,4.800000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.804202485084533691e+01,4.900000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.851602864265441895e+01,5.000000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.901328873634338379e+01,5.100000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.950661754608154297e+01,5.200000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
3.998789620399475098e+01,5.300000000000000000e+01,7.099999999999999645e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.048237109184265137e+01,5.400000000000000000e+01,7.099999999999999645e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.096200919151306152e+01,5.500000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.144646143913269043e+01,5.600000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.192981505393981934e+01,5.700000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.243590641021728516e+01,5.800000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.292827343940734863e+01,5.900000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.341449809074401855e+01,6.000000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.389304757118225098e+01,6.100000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
4.438331913948059082e+01,6.200000000000000000e+01,7.299999999999999822e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.486952424049377441e+01,6.300000000000000000e+01,7.299999999999999822e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.535230326652526855e+01,6.400000000000000000e+01,7.299999999999999822e+00,3.800000000000000266e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.588123178482055664e+01,6.500000000000000000e+01,7.299999999999999822e+00,3.800000000000000266e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.637488770484924316e+01,6.600000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.687453603744506836e+01,6.700000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.736836838722229004e+01,6.800000000000000000e+01,7.299999999999999822e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.783858227729797363e+01,6.900000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.833452272415161133e+01,7.000000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.881588196754455566e+01,7.100000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.932476592063903809e+01,7.200000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
4.980858540534973145e+01,7.300000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.028877997398376465e+01,7.400000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.078649353981018066e+01,7.500000000000000000e+01,7.400000000000000355e+00,3.800000000000000266e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.126966357231140137e+01,7.600000000000000000e+01,7.400000000000000355e+00,3.800000000000000266e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.177717232704162598e+01,7.700000000000000000e+01,7.400000000000000355e+00,3.800000000000000266e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.225556731224060059e+01,7.800000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.100000000000000000e+01
5.272917461395263672e+01,7.900000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.100000000000000000e+01
5.321356916427612305e+01,8.000000000000000000e+01,7.400000000000000355e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.100000000000000000e+01
5.374789738655090332e+01,8.100000000000000000e+01,7.400000000000000355e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.100000000000000000e+01
5.423441433906555176e+01,8.200000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.471553158760070801e+01,8.300000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.521263098716735840e+01,8.400000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.569271016120910645e+01,8.500000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.619383883476257324e+01,8.600000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.668492865562438965e+01,8.700000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.716586279869079590e+01,8.800000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.764723134040832520e+01,8.900000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.812678360939025879e+01,9.000000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.860908675193786621e+01,9.100000000000000000e+01,7.299999999999999822e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.910504221916198730e+01,9.200000000000000000e+01,7.349999999999999645e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
5.958573508262634277e+01,9.300000000000000000e+01,7.400000000000000355e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.100000000000000000e+01
6.007689404487609863e+01,9.400000000000000000e+01,7.450000000000000178e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.100000000000000000e+01
6.056242251396179199e+01,9.500000000000000000e+01,7.450000000000000178e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.100000000000000000e+01
6.104712486267089844e+01,9.600000000000000000e+01,7.500000000000000000e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.153137087821960449e+01,9.700000000000000000e+01,7.549999999999999822e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.202960324287414551e+01,9.800000000000000000e+01,7.549999999999999822e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.251954078674316406e+01,9.900000000000000000e+01,7.549999999999999822e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.300674796104431152e+01,1.000000000000000000e+02,7.549999999999999822e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.348805356025695801e+01,1.010000000000000000e+02,7.400000000000000355e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.397403502464294434e+01,1.020000000000000000e+02,7.400000000000000355e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.445446681976318359e+01,1.030000000000000000e+02,7.349999999999999645e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.494561028480529785e+01,1.040000000000000000e+02,7.450000000000000178e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.542701411247253418e+01,1.050000000000000000e+02,7.450000000000000178e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.593627905845642090e+01,1.060000000000000000e+02,7.450000000000000178e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.641886878013610840e+01,1.070000000000000000e+02,7.450000000000000178e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.110000000000000142e+01
6.690696954727172852e+01,1.080000000000000000e+02,7.500000000000000000e+00,2.900000000000000355e+00,8.500000000000000000e+00,1.110000000000000142e+01
6.741301131248474121e+01,1.090000000000000000e+02,7.500000000000000000e+00,2.900000000000000355e+00,8.500000000000000000e+00,1.110000000000000142e+01
6.789924454689025879e+01,1.100000000000000000e+02,7.500000000000000000e+00,2.900000000000000355e+00,8.500000000000000000e+00,1.110000000000000142e+01
6.838636994361877441e+01,1.110000000000000000e+02,7.549999999999999822e+00,2.900000000000000355e+00,8.500000000000000000e+00,1.110000000000000142e+01
6.886458349227905273e+01,1.120000000000000000e+02,7.599999999999999645e+00,2.900000000000000355e+00,8.500000000000000000e+00,1.110000000000000142e+01
6.936951136589050293e+01,1.130000000000000000e+02,7.599999999999999645e+00,2.900000000000000355e+00,8.500000000000000000e+00,1.110000000000000142e+01
6.984140372276306152e+01,1.140000000000000000e+02,7.549999999999999822e+00,2.900000000000000355e+00,8.500000000000000000e+00,1.110000000000000142e+01
7.032879900932312012e+01,1.150000000000000000e+02,7.549999999999999822e+00,2.900000000000000355e+00,8.500000000000000000e+00,1.110000000000000142e+01
7.083755326271057129e+01,1.160000000000000000e+02,7.599999999999999645e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.110000000000000142e+01
7.132942605018615723e+01,1.170000000000000000e+02,7.650000000000000355e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.200000000000000000e+01
7.180513906478881836e+01,1.180000000000000000e+02,7.650000000000000355e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.200000000000000000e+01
7.228861165046691895e+01,1.190000000000000000e+02,7.650000000000000355e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.200000000000000000e+01
7.280124139785766602e+01,1.200000000000000000e+02,7.650000000000000355e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.200000000000000000e+01
7.329051136970520020e+01,1.210000000000000000e+02,7.650000000000000355e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.200000000000000000e+01
7.376357197761535645e+01,1.220000000000000000e+02,7.650000000000000355e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.200000000000000000e+01
7.423896527290344238e+01,1.230000000000000000e+02,7.599999999999999645e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.200000000000000000e+01
7.472597002983093262e+01,1.240000000000000000e+02,7.700000000000000178e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.200000000000000000e+01
7.521769309043884277e+01,1.250000000000000000e+02,7.700000000000000178e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.200000000000000000e+01
7.569684243202209473e+01,1.260000000000000000e+02,7.799999999999999822e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.210000000000000142e+01
7.618168425559997559e+01,1.270000000000000000e+02,7.799999999999999822e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.300000000000000000e+01
7.667135405540466309e+01,1.280000000000000000e+02,7.799999999999999822e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.300000000000000000e+01
7.716723704338073730e+01,1.290000000000000000e+02,7.799999999999999822e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.300000000000000000e+01
7.766555476188659668e+01,1.300000000000000000e+02,7.799999999999999822e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.300000000000000000e+01
7.814779114723205566e+01,1.310000000000000000e+02,7.799999999999999822e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.300000000000000000e+01
7.864765048027038574e+01,1.320000000000000000e+02,7.799999999999999822e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.300000000000000000e+01
7.914887499809265137e+01,1.330000000000000000e+02,7.799999999999999822e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.300000000000000000e+01
7.962498164176940918e+01,1.340000000000000000e+02,7.799999999999999822e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.300000000000000000e+01
8.010698509216308594e+01,1.350000000000000000e+02,7.849999999999999645e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.300000000000000000e+01
8.059450650215148926e+01,1.360000000000000000e+02,7.849999999999999645e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.300000000000000000e+01
8.107196831703186035e+01,1.370000000000000000e+02,7.849999999999999645e+00,2.900000000000000355e+00,9.000000000000000000e+00,1.300000000000000000e+01
8.157003784179687500e+01,1.380000000000000000e+02,7.750000000000000000e+00,2.900000000000000355e+00,8.000000000000000000e+00,1.300000000000000000e+01
8.204935145378112793e+01,1.390000000000000000e+02,7.750000000000000000e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.300000000000000000e+01
8.254643273353576660e+01,1.400000000000000000e+02,7.750000000000000000e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.300000000000000000e+01
8.303838181495666504e+01,1.410000000000000000e+02,7.750000000000000000e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.300000000000000000e+01
8.353901529312133789e+01,1.420000000000000000e+02,7.700000000000000178e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.210000000000000142e+01
8.401221585273742676e+01,1.430000000000000000e+02,7.700000000000000178e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.210000000000000142e+01
8.451381278038024902e+01,1.440000000000000000e+02,7.750000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,1.210000000000000142e+01
8.500718545913696289e+01,1.450000000000000000e+02,7.799999999999999822e+00,3.000000000000000000e+00,8.000000000000000000e+00,1.210000000000000142e+01
8.548114562034606934e+01,1.460000000000000000e+02,7.849999999999999645e+00,3.000000000000000000e+00,8.000000000000000000e+00,1.210000000000000142e+01
8.600040650367736816e+01,1.470000000000000000e+02,7.849999999999999645e+00,3.000000000000000000e+00,8.000000000000000000e+00,1.210000000000000142e+01
8.650745987892150879e+01,1.480000000000000000e+02,7.849999999999999645e+00,3.000000000000000000e+00,8.000000000000000000e+00,1.210000000000000142e+01
8.701110816001892090e+01,1.490000000000000000e+02,7.849999999999999645e+00,3.000000000000000000e+00,8.000000000000000000e+00,1.210000000000000142e+01
8.748830056190490723e+01,1.500000000000000000e+02,7.799999999999999822e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.210000000000000142e+01
8.796725535392761230e+01,1.510000000000000000e+02,7.700000000000000178e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.200000000000000000e+01
8.846460938453674316e+01,1.520000000000000000e+02,7.650000000000000355e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.200000000000000000e+01
8.894501519203186035e+01,1.530000000000000000e+02,7.750000000000000000e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.200000000000000000e+01
8.942158627510070801e+01,1.540000000000000000e+02,7.799999999999999822e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.200000000000000000e+01
8.989036250114440918e+01,1.550000000000000000e+02,7.799999999999999822e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.200000000000000000e+01
9.037347030639648438e+01,1.560000000000000000e+02,7.750000000000000000e+00,3.000000000000000000e+00,7.500000000000000000e+00,1.200000000000000000e+01
9.086793828010559082e+01,1.570000000000000000e+02,7.799999999999999822e+00,3.000000000000000000e+00,8.000000000000000000e+00,1.200000000000000000e+01
9.135358929634094238e+01,1.580000000000000000e+02,7.750000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,1.200000000000000000e+01
9.183553194999694824e+01,1.590000000000000000e+02,7.799999999999999822e+00,3.000000000000000000e+00,8.000000000000000000e+00,1.200000000000000000e+01
