time_s,round,mean,p10,p50,p90
1.464851641654968262e+01,1.000000000000000000e+00,6.922950000000000159e+01,5.278699999999999193e+01,7.121000000000000796e+01,7.866100000000001558e+01
1.515190434455871582e+01,2.000000000000000000e+00,7.430299999999999727e+01,6.110899999999999466e+01,7.602500000000000568e+01,8.408499999999999375e+01
1.567541909217834473e+01,3.000000000000000000e+00,7.650100000000000477e+01,6.265399999999999636e+01,7.785999999999999943e+01,8.617600000000000193e+01
1.614135861396789551e+01,4.000000000000000000e+00,7.721800000000000352e+01,6.346900000000000119e+01,7.805000000000001137e+01,8.675400000000000489e+01
1.663395881652832031e+01,5.000000000000000000e+00,7.887199999999998568e+01,6.602100000000000080e+01,8.049500000000000455e+01,8.776600000000000534e+01
1.713083767890930176e+01,6.000000000000000000e+00,8.026250000000001705e+01,6.666100000000000136e+01,8.263500000000000512e+01,8.688500000000000512e+01
1.764718031883239746e+01,7.000000000000000000e+00,8.000050000000000239e+01,6.858899999999999864e+01,8.165000000000000568e+01,8.667999999999999261e+01
1.815481543540954590e+01,8.000000000000000000e+00,8.140349999999999397e+01,7.080100000000000193e+01,8.336500000000000909e+01,8.749699999999999989e+01
1.860214948654174805e+01,9.000000000000000000e+00,8.044699999999998852e+01,6.660999999999999943e+01,8.194500000000000739e+01,8.807999999999999829e+01
1.905385041236877441e+01,1.000000000000000000e+01,8.101700000000002433e+01,7.159600000000000364e+01,8.256499999999999773e+01,8.678499999999999659e+01
1.950520730018615723e+01,1.100000000000000000e+01,8.180400000000000205e+01,7.317999999999999261e+01,8.348999999999999488e+01,8.728700000000000614e+01
2.000735926628112793e+01,1.200000000000000000e+01,8.158050000000000068e+01,7.563800000000000523e+01,8.318000000000000682e+01,8.648799999999999955e+01
2.047434115409851074e+01,1.300000000000000000e+01,8.197899999999999920e+01,7.363799999999999102e+01,8.389499999999999602e+01,8.833499999999999375e+01
2.093531107902526855e+01,1.400000000000000000e+01,8.247499999999999432e+01,7.711299999999999955e+01,8.390500000000000114e+01,8.748099999999999454e+01
2.139398646354675293e+01,1.500000000000000000e+01,8.151849999999998886e+01,7.450100000000000477e+01,8.340500000000000114e+01,8.727599999999999625e+01
2.186065316200256348e+01,1.600000000000000000e+01,8.181850000000000023e+01,7.555099999999998772e+01,8.266499999999999204e+01,8.788100000000000023e+01
2.231593060493469238e+01,1.700000000000000000e+01,8.267449999999999477e+01,7.695100000000000762e+01,8.347499999999999432e+01,8.804399999999999693e+01
2.279290699958801270e+01,1.800000000000000000e+01,8.227499999999999147e+01,7.760500000000000398e+01,8.381999999999999318e+01,8.732000000000000739e+01
2.324901604652404785e+01,1.900000000000000000e+01,8.228249999999999886e+01,7.654800000000001603e+01,8.347499999999999432e+01,8.724099999999999966e+01
2.372056007385253906e+01,2.000000000000000000e+01,8.218850000000000477e+01,7.262000000000000455e+01,8.353999999999999204e+01,8.812300000000000466e+01
2.420946764945983887e+01,2.100000000000000000e+01,8.267799999999998306e+01,7.569500000000000739e+01,8.368000000000000682e+01,8.867799999999999727e+01
2.471380281448364258e+01,2.200000000000000000e+01,8.289549999999999841e+01,7.792799999999999727e+01,8.410999999999999943e+01,8.883700000000000330e+01
2.520813775062561035e+01,2.300000000000000000e+01,8.240299999999999159e+01,7.568999999999999773e+01,8.392499999999999716e+01,8.816900000000001114e+01
2.569859886169433594e+01,2.400000000000000000e+01,8.296850000000000591e+01,7.357600000000000762e+01,8.384499999999999886e+01,8.862699999999999534e+01
2.619419646263122559e+01,2.500000000000000000e+01,8.320499999999999829e+01,7.778100000000000591e+01,8.478999999999999204e+01,8.847799999999999443e+01
2.668146586418151855e+01,2.600000000000000000e+01,8.339649999999997476e+01,7.623499999999999943e+01,8.418000000000000682e+01,8.895499999999999829e+01
2.717636442184448242e+01,2.700000000000000000e+01,8.357449999999997203e+01,7.683199999999999363e+01,8.484000000000000341e+01,8.918900000000000716e+01
2.770689225196838379e+01,2.800000000000000000e+01,8.382150000000000034e+01,7.971099999999999852e+01,8.432500000000000284e+01,9.077100000000001501e+01
2.822219729423522949e+01,2.900000000000000000e+01,8.414600000000000080e+01,8.028900000000000148e+01,8.539000000000000057e+01,8.914700000000000557e+01
2.869557118415832520e+01,3.000000000000000000e+01,8.344600000000001216e+01,7.654899999999999238e+01,8.568500000000000227e+01,8.949099999999999966e+01
2.916664791107177734e+01,3.100000000000000000e+01,8.390950000000000841e+01,8.049899999999999523e+01,8.447999999999998977e+01,8.903100000000000591e+01
2.965490984916687012e+01,3.200000000000000000e+01,8.438699999999998624e+01,7.860500000000000398e+01,8.575000000000000000e+01,9.180599999999999739e+01
3.014397263526916504e+01,3.300000000000000000e+01,8.421549999999999159e+01,7.962699999999999534e+01,8.534499999999999886e+01,9.085899999999999466e+01
3.062661123275756836e+01,3.400000000000000000e+01,8.444500000000000739e+01,7.972799999999999443e+01,8.564000000000000057e+01,8.990699999999999648e+01
3.112726569175720215e+01,3.500000000000000000e+01,8.517949999999999022e+01,7.901800000000000068e+01,8.651500000000000057e+01,9.108400000000000318e+01
3.162053847312927246e+01,3.600000000000000000e+01,8.485200000000000387e+01,7.768599999999999284e+01,8.612999999999999545e+01,9.048699999999999477e+01
3.210266828536987305e+01,3.700000000000000000e+01,8.542650000000000432e+01,8.031300000000000239e+01,8.714000000000000057e+01,9.036400000000000432e+01
3.258129286766052246e+01,3.800000000000000000e+01,8.526250000000000284e+01,7.838800000000000523e+01,8.757500000000000284e+01,9.207299999999999329e+01
3.311509966850280762e+01,3.900000000000000000e+01,8.471349999999999625e+01,7.907200000000000273e+01,8.665000000000000568e+01,9.064300000000001489e+01
