time_s,round,mean,p10,p50,p90
1.476984405517578125e+01,1.000000000000000000e+00,8.055702600539556002e-01,7.781763285024155818e-01,8.080012077294684847e-01,8.280434782608696587e-01
1.532552719116210938e+01,2.000000000000000000e+00,8.088644519731476024e-01,7.798462889767238115e-01,8.072463768115941685e-01,8.365942028985507983e-01
1.583325958251953125e+01,3.000000000000000000e+00,8.027815578141664909e-01,7.634685990338164752e-01,8.061956521739130910e-01,8.311884057971015149e-01
1.632169771194458008e+01,4.000000000000000000e+00,8.132076902566032217e-01,7.785296442687746898e-01,8.121894409937888692e-01,8.397101449275362617e-01
1.677412748336791992e+01,5.000000000000000000e+00,8.061347637869378246e-01,7.659999999999999032e-01,8.086956521739130377e-01,8.382608695652173925e-01
1.720770645141601562e+01,6.000000000000000000e+00,8.106508877595832718e-01,7.720000000000000195e-01,8.114734299516908056e-01,8.432298136645962616e-01
1.763424491882324219e+01,7.000000000000000000e+00,8.078380387728214540e-01,7.767028985507247185e-01,8.068115942028986076e-01,8.419565217391304923e-01
1.813161277770996094e+01,8.000000000000000000e+00,8.122704059225798190e-01,7.760144927536231085e-01,8.160869565217390154e-01,8.455900621118013216e-01
1.862143039703369141e+01,9.000000000000000000e+00,8.044562080431646445e-01,7.733454106280193141e-01,8.062055335968378866e-01,8.295900621118013074e-01
1.911402988433837891e+01,1.000000000000000000e+01,8.081740542066627730e-01,7.790760869565218627e-01,8.054347826086956097e-01,8.361180124223602794e-01
1.963490009307861328e+01,1.100000000000000000e+01,8.118908181190789275e-01,7.752608695652173365e-01,8.144707949055773888e-01,8.455279503105589400e-01
2.014553546905517578e+01,1.200000000000000000e+01,8.123745921952443272e-01,7.791014492753624010e-01,8.159937888198758316e-01,8.473333333333332718e-01
2.063377094268798828e+01,1.300000000000000000e+01,8.110340830666917800e-01,7.686739130434782075e-01,8.115217391304347938e-01,8.365424430641822395e-01
2.111420011520385742e+01,1.400000000000000000e+01,8.079928947863729283e-01,7.735507246376811530e-01,8.138586956521738358e-01,8.321739130434784304e-01
2.159141135215759277e+01,1.500000000000000000e+01,8.039836015433842187e-01,7.717391304347827052e-01,8.047282608695651707e-01,8.305279503105589267e-01
2.207232332229614258e+01,1.600000000000000000e+01,8.165254015308363034e-01,7.790072463768116240e-01,8.167391304347826342e-01,8.508804347826087744e-01
2.254987287521362305e+01,1.700000000000000000e+01,8.061731915427566841e-01,7.687888198757762970e-01,8.084782608695652018e-01,8.405279503105589356e-01
2.306431221961975098e+01,1.800000000000000000e+01,8.092948271535227445e-01,7.743167701863354901e-01,8.063833992094862069e-01,8.377329192546583148e-01
2.355146884918212891e+01,1.900000000000000000e+01,8.086980048936570631e-01,7.761956521739129533e-01,8.085770750988141575e-01,8.449689440993788381e-01
2.402634477615356445e+01,2.000000000000000000e+01,8.088384308927786259e-01,7.696014492753622260e-01,8.171739130434783061e-01,8.376086956521738847e-01
2.451234054565429688e+01,2.100000000000000000e+01,8.108773291925466253e-01,7.651086956521739868e-01,8.158761528326745616e-01,8.377950310559006963e-01
2.501644229888916016e+01,2.200000000000000000e+01,8.128903475751302343e-01,7.854492753623188994e-01,8.106719367588931524e-01,8.440579710144927583e-01
2.550686168670654297e+01,2.300000000000000000e+01,8.146800771692076504e-01,7.902691511387162082e-01,8.196739130434782528e-01,8.456832298136646164e-01
2.598708963394165039e+01,2.400000000000000000e+01,8.174730378317335289e-01,7.832971014492753348e-01,8.208764665286403250e-01,8.454658385093166695e-01
2.647472023963928223e+01,2.500000000000000000e+01,8.133219304849739206e-01,7.874782608695651831e-01,8.146739130434782483e-01,8.383333333333333748e-01
2.698157548904418945e+01,2.600000000000000000e+01,8.159968944099380561e-01,7.942246376811594732e-01,8.154347826086956186e-01,8.393167701863356589e-01
