round,mean,p10,p50,p90
1.000000000000000000e+00,1.939341692408544926e-01,1.710830898823563206e-01,1.938786396792244460e-01,2.198060107805247243e-01
2.000000000000000000e+00,1.933323201176883055e-01,1.711525100100244334e-01,1.945626049680390934e-01,2.207560378713274984e-01
3.000000000000000000e+00,1.940681790605281454e-01,1.716851909833931877e-01,1.950907195145039075e-01,2.237595091570179495e-01
4.000000000000000000e+00,1.941592780073187752e-01,1.716851909833931877e-01,1.957960047517574298e-01,2.238347886993455882e-01
5.000000000000000000e+00,1.945215842191296285e-01,1.720230933375527516e-01,1.959293877204917877e-01,2.267874225717743386e-01
6.000000000000000000e+00,1.945658373073352321e-01,1.720230933375527516e-01,1.966609747494456606e-01,2.270070419441612974e-01
7.000000000000000000e+00,1.950063140516375970e-01,1.722742987522012936e-01,1.966609747494456606e-01,2.270070419441612974e-01
8.000000000000000000e+00,1.956558142981655035e-01,1.745247596862755379e-01,1.962998883172483167e-01,2.277038868518614645e-01
9.000000000000000000e+00,1.960724927113727811e-01,1.745247596862755379e-01,1.961112342874655190e-01,2.277792786705784556e-01
1.000000000000000000e+01,1.951813294180392566e-01,1.748116865659457841e-01,1.942206261630479436e-01,2.225515515737471750e-01
1.100000000000000000e+01,1.951089602813702306e-01,1.736457354044969037e-01,1.938456761848371124e-01,2.231236628373221564e-01
1.200000000000000000e+01,1.949365485836367096e-01,1.736457354044969037e-01,1.936216553825584330e-01,2.231236628373221564e-01
1.300000000000000000e+01,1.950967827552961831e-01,1.724444403338534215e-01,1.932735589502075357e-01,2.236429502575819350e-01
1.400000000000000000e+01,1.961130599266719954e-01,1.724522382260136877e-01,1.934089471824288475e-01,2.282321265559457968e-01
1.500000000000000000e+01,1.959039667510110161e-01,1.724522382260136877e-01,1.924728886855126830e-01,2.283068274213625182e-01
1.600000000000000000e+01,1.952753653835549996e-01,1.712870403032747957e-01,1.914785421696817425e-01,2.272061096408256597e-01
1.700000000000000000e+01,1.945592570681744515e-01,1.711063246221878054e-01,1.911691059851063357e-01,2.272061096408256597e-01
1.800000000000000000e+01,1.942528639112733324e-01,1.711379731677600546e-01,1.909914961047765036e-01,2.262168457201749194e-01
1.900000000000000000e+01,1.947602090093431271e-01,1.699916717632730945e-01,1.903805063857800794e-01,2.262168457201749194e-01
2.000000000000000000e+01,1.946815736064142488e-01,1.714737462921036293e-01,1.890401045498273924e-01,2.251839240113741869e-01
2.100000000000000000e+01,1.946627572164837394e-01,1.716368708365014484e-01,1.887714436785685734e-01,2.242630751725077642e-01
2.200000000000000000e+01,1.939621423532511268e-01,1.687613106120127993e-01,1.889594495921756434e-01,2.242630751725077642e-01
2.300000000000000000e+01,1.914247219517359044e-01,1.687613106120127993e-01,1.874734411233840436e-01,2.232927520028513690e-01
2.400000000000000000e+01,1.908277061730649926e-01,1.685161089893785213e-01,1.865658444385571990e-01,2.233733793829905390e-01
2.500000000000000000e+01,1.912404689229048604e-01,1.680590831549574893e-01,1.866738116376592260e-01,2.222844063523344293e-01
2.600000000000000000e+01,1.917074402607821526e-01,1.680026104680000798e-01,1.866685484772386272e-01,2.222844063523344293e-01
2.700000000000000000e+01,1.892517136177995773e-01,1.669542709856633722e-01,1.856825674316426311e-01,2.211784507736655470e-01
2.800000000000000000e+01,1.897524472122180117e-01,1.675256974159067269e-01,1.852268935841088759e-01,2.211784507736655470e-01
2.900000000000000000e+01,1.896405320002964578e-01,1.670374450170201974e-01,1.847126102989220531e-01,2.203165608714793833e-01
3.000000000000000000e+01,1.897021155518576474e-01,1.670374450170201974e-01,1.842639027544612507e-01,2.203165608714793833e-01
3.100000000000000000e+01,1.895051818024366119e-01,1.669331593951245141e-01,1.837655473955984720e-01,2.190311391958403020e-01
3.200000000000000000e+01,1.895597083595177978e-01,1.665932492062843773e-01,1.835398564737017457e-01,2.182184172636389974e-01
3.300000000000000000e+01,1.896623022321208551e-01,1.665932492062843773e-01,1.833299299464418164e-01,2.182184172636389974e-01
3.400000000000000000e+01,1.897560913504951763e-01,1.661956087110233737e-01,1.833299299464418164e-01,2.175017530440447044e-01
3.500000000000000000e+01,1.898889523207605845e-01,1.661956087110233737e-01,1.835518924442173516e-01,2.175017530440447044e-01
3.600000000000000000e+01,1.885964502267109266e-01,1.661956087110233737e-01,1.835766642643542335e-01,2.084690778296789393e-01
3.700000000000000000e+01,1.903474972960615408e-01,1.761434250576945915e-01,1.841007955640855398e-01,2.092394555851485038e-01
3.800000000000000000e+01,1.909831599100107469e-01,1.761434250576945915e-01,1.842515538798598640e-01,2.101987546116301231e-01
3.900000000000000000e+01,1.913649252286034330e-01,1.760349962930851109e-01,1.847945298523868685e-01,2.134798610342931724e-01
4.000000000000000000e+01,1.914737279708942086e-01,1.760349962930851109e-01,1.849933164600566782e-01,2.133705170789484684e-01
4.100000000000000000e+01,1.907763498277633973e-01,1.771044362652625381e-01,1.857904839842934308e-01,2.132639844191824563e-01
4.200000000000000000e+01,1.908885582177453910e-01,1.771044362652625381e-01,1.863686966254116117e-01,2.130008181492700770e-01
4.300000000000000000e+01,1.910033804004849511e-01,1.777648576277324755e-01,1.866324669117472301e-01,2.128972060276071721e-01
4.400000000000000000e+01,1.911145810147922841e-01,1.768745912389881048e-01,1.872294028389568654e-01,2.128972060276071721e-01
