round,mean,p10,p50,p90
1.000000000000000000e+00,6.887700000000000955e+01,5.382900000000000063e+01,7.059999999999999432e+01,7.636000000000001364e+01
2.000000000000000000e+00,7.376400000000001000e+01,6.056400000000000006e+01,7.620499999999998408e+01,8.254600000000000648e+01
3.000000000000000000e+00,7.123750000000002558e+01,6.106900000000000972e+01,7.325499999999999545e+01,8.111299999999999955e+01
4.000000000000000000e+00,7.011499999999999488e+01,5.699399999999999977e+01,7.229500000000000171e+01,7.929200000000001580e+01
5.000000000000000000e+00,7.211850000000001160e+01,5.796600000000000108e+01,7.384999999999999432e+01,8.424000000000000909e+01
6.000000000000000000e+00,7.346449999999998681e+01,6.179000000000000625e+01,7.571500000000000341e+01,8.482899999999999352e+01
7.000000000000000000e+00,7.543650000000000944e+01,6.295600000000000307e+01,7.597499999999999432e+01,8.427800000000000580e+01
8.000000000000000000e+00,7.650749999999999318e+01,6.409900000000000375e+01,7.971500000000000341e+01,8.548100000000000875e+01
9.000000000000000000e+00,7.850999999999999091e+01,6.464399999999999125e+01,8.162000000000000455e+01,8.637500000000000000e+01
1.000000000000000000e+01,7.997300000000001319e+01,6.854099999999999682e+01,8.171500000000000341e+01,8.748300000000001830e+01
1.100000000000000000e+01,8.102849999999999397e+01,6.856899999999998840e+01,8.275000000000000000e+01,8.851999999999999602e+01
1.200000000000000000e+01,8.156550000000000011e+01,6.995799999999999841e+01,8.371999999999999886e+01,8.887700000000000955e+01
1.300000000000000000e+01,8.241700000000000159e+01,7.157999999999999829e+01,8.337000000000000455e+01,8.820500000000001251e+01
1.400000000000000000e+01,8.294849999999999568e+01,7.048199999999999932e+01,8.575499999999999545e+01,9.078400000000000603e+01
1.500000000000000000e+01,8.413899999999998158e+01,7.341399999999998727e+01,8.640000000000000568e+01,8.995199999999999818e+01
1.600000000000000000e+01,8.486099999999999000e+01,7.608500000000000796e+01,8.776500000000000057e+01,9.013600000000000989e+01
1.700000000000000000e+01,8.543550000000001887e+01,7.455899999999999750e+01,8.865500000000000114e+01,9.123300000000000409e+01
1.800000000000000000e+01,8.546649999999999636e+01,7.864000000000000057e+01,8.764499999999999602e+01,9.139399999999999125e+01
1.900000000000000000e+01,8.635050000000001091e+01,7.766799999999999216e+01,8.898499999999999943e+01,9.138700000000000045e+01
2.000000000000000000e+01,8.643800000000001660e+01,8.038000000000000966e+01,8.891999999999998749e+01,9.081000000000000227e+01
2.100000000000000000e+01,8.743299999999999272e+01,7.982500000000000284e+01,8.980500000000000682e+01,9.212300000000000466e+01
2.200000000000000000e+01,8.704250000000000398e+01,8.045099999999999341e+01,8.900499999999999545e+01,9.192499999999999716e+01
2.300000000000000000e+01,8.768550000000000466e+01,8.074099999999999966e+01,8.972999999999998977e+01,9.255299999999999727e+01
2.400000000000000000e+01,8.722850000000002524e+01,8.059799999999999898e+01,8.912999999999999545e+01,9.123799999999999955e+01
2.500000000000000000e+01,8.755400000000001626e+01,8.134900000000001796e+01,8.972499999999999432e+01,9.245000000000000284e+01
2.600000000000000000e+01,8.825150000000002137e+01,7.956000000000000227e+01,9.069499999999999318e+01,9.259399999999999409e+01
2.700000000000000000e+01,8.855100000000000193e+01,8.101100000000000989e+01,9.079499999999998749e+01,9.266499999999999204e+01
2.800000000000000000e+01,8.841599999999998261e+01,8.102800000000000580e+01,9.090999999999999659e+01,9.323499999999999943e+01
2.900000000000000000e+01,8.857849999999999113e+01,8.238499999999999091e+01,9.000999999999999091e+01,9.309000000000000341e+01
3.000000000000000000e+01,8.954899999999997817e+01,8.301699999999999591e+01,9.138500000000000512e+01,9.308599999999999852e+01
3.100000000000000000e+01,8.920049999999997681e+01,8.397999999999998977e+01,9.130500000000000682e+01,9.313299999999999557e+01
3.200000000000000000e+01,8.890250000000000341e+01,8.162500000000000000e+01,9.186500000000000909e+01,9.333000000000001251e+01
3.300000000000000000e+01,8.843900000000000716e+01,8.336200000000000898e+01,8.975000000000000000e+01,9.293500000000000227e+01
3.400000000000000000e+01,8.948800000000001376e+01,8.228100000000000591e+01,9.137500000000000000e+01,9.333399999999998897e+01
3.500000000000000000e+01,8.888899999999999579e+01,8.364600000000000080e+01,9.065500000000000114e+01,9.311200000000000898e+01
3.600000000000000000e+01,8.985999999999998522e+01,8.366799999999999216e+01,9.152500000000000568e+01,9.461999999999999034e+01
3.700000000000000000e+01,8.980700000000001637e+01,8.426899999999999125e+01,9.191500000000000625e+01,9.364600000000000080e+01
3.800000000000000000e+01,8.942100000000000648e+01,8.362199999999999989e+01,9.103000000000000114e+01,9.380499999999999261e+01
3.900000000000000000e+01,8.998100000000000875e+01,8.420300000000000296e+01,9.217499999999998295e+01,9.383100000000000307e+01
4.000000000000000000e+01,8.958699999999998909e+01,8.222400000000000375e+01,9.159000000000000341e+01,9.361700000000000443e+01
