round,mean,p10,p50,p90
1.000000000000000000e+00,8.025729421544639530e-01,7.832173913043477542e-01,8.019021739130434145e-01,8.353105590062112062e-01
2.000000000000000000e+00,8.012093528452224334e-01,7.720217391304348142e-01,8.019565217391304568e-01,8.286180124223603283e-01
3.000000000000000000e+00,8.045269386410691670e-01,7.730217391304348151e-01,8.047233201581027728e-01,8.401863354037267806e-01
4.000000000000000000e+00,8.044645915678524384e-01,7.816304347826086296e-01,8.055797101449275743e-01,8.297608695652174404e-01
5.000000000000000000e+00,8.002783538924843620e-01,7.669927536231884169e-01,7.990338164251207242e-01,8.316304347826086740e-01
6.000000000000000000e+00,8.098218405990145197e-01,7.737173913043478013e-01,8.120306324110670992e-01,8.353881987577640444e-01
7.000000000000000000e+00,8.055405922579836897e-01,7.840217391304348249e-01,8.061045234958278405e-01,8.361956521739130066e-01
8.000000000000000000e+00,8.062645102482057791e-01,7.793344481605350982e-01,8.081027667984189700e-01,8.337577639751553304e-01
9.000000000000000000e+00,8.086316672457976029e-01,7.819732441471571871e-01,8.074879227053139985e-01,8.360869565217391441e-01
1.000000000000000000e+01,8.086036065383890303e-01,7.849169960474308150e-01,8.030978260869565677e-01,8.496739130434782794e-01
1.100000000000000000e+01,8.103051163812032831e-01,7.785652173913043539e-01,8.151570048309177974e-01,8.460869565217391530e-01
1.200000000000000000e+01,8.121457383196514224e-01,7.868501064153238245e-01,8.154891304347826608e-01,8.567391304347826697e-01
1.300000000000000000e+01,8.069110249653729250e-01,7.762529644268775231e-01,8.061413043478260487e-01,8.479710144927535831e-01
1.400000000000000000e+01,8.112952138441267280e-01,7.775183946488294362e-01,8.123188405797101552e-01,8.501449275362318314e-01
1.500000000000000000e+01,8.068811315496098313e-01,7.572608695652174315e-01,8.118115942028985010e-01,8.334782608695652240e-01
1.600000000000000000e+01,8.126411239726456515e-01,7.896877470355730955e-01,8.158695652173912904e-01,8.400724637681160623e-01
1.700000000000000000e+01,8.112158934061106663e-01,7.676205533596838215e-01,8.090579710144927272e-01,8.539855072463767849e-01
1.800000000000000000e+01,8.112806951502603559e-01,7.816086956521739459e-01,8.084541062801932076e-01,8.458074534161491576e-01
1.900000000000000000e+01,8.131559147374364249e-01,7.817391304347826031e-01,8.085144927536231929e-01,8.512753623188406005e-01
2.000000000000000000e+01,8.125857644770686505e-01,7.796739130434782172e-01,8.110671936758893086e-01,8.491304347826087451e-01
2.100000000000000000e+01,8.121821789321789220e-01,7.695144927536232693e-01,8.122529644268774440e-01,8.565942028985508161e-01
2.200000000000000000e+01,8.106555461446767197e-01,7.773913043478261065e-01,8.092391304347825720e-01,8.387681159420290466e-01
2.300000000000000000e+01,8.087525958341176269e-01,7.781884057971013569e-01,8.088932806324110603e-01,8.437681159420290511e-01
2.400000000000000000e+01,8.108796270154966512e-01,7.691304347826087850e-01,8.133152173913043015e-01,8.375217391304348169e-01
2.500000000000000000e+01,8.082362836438921061e-01,7.704743083003952053e-01,8.047705314009661048e-01,8.442028985507246119e-01
2.600000000000000000e+01,8.096838885751929116e-01,7.765217391304347627e-01,8.128709454796411160e-01,8.317536231884058440e-01
2.700000000000000000e+01,8.131067193675889371e-01,7.792028985507246652e-01,8.194115063680280642e-01,8.365942028985506873e-01
2.800000000000000000e+01,8.116094014680971247e-01,7.805362318840579627e-01,8.054545454545454231e-01,8.409855072463768844e-01
2.900000000000000000e+01,8.121879979923457560e-01,7.761956521739130643e-01,8.123188405797101552e-01,8.467494824016563726e-01
3.000000000000000000e+01,8.124324612585482885e-01,7.743478260869565144e-01,8.089130434782608736e-01,8.426501035196687361e-01
3.100000000000000000e+01,8.133690005646527776e-01,7.707971014492753792e-01,8.212560386473430896e-01,8.335507246376810953e-01
3.200000000000000000e+01,8.183427755819060456e-01,7.782318840579710573e-01,8.221739130434781995e-01,8.464492753623188426e-01
3.300000000000000000e+01,8.208157349896479937e-01,7.835507246376811619e-01,8.191304347826087184e-01,8.658695652173913349e-01
3.400000000000000000e+01,8.189648189974276793e-01,7.812450592885376022e-01,8.187088274044795888e-01,8.696739130434782972e-01
3.500000000000000000e+01,8.198648911474999412e-01,7.763241106719367401e-01,8.233483907396951240e-01,8.547204968944099868e-01
3.600000000000000000e+01,8.168780036388731958e-01,7.738735177865613268e-01,8.184782608695653217e-01,8.584265010351967984e-01
3.700000000000000000e+01,8.164439111613024380e-01,7.827667984189723427e-01,8.207039337474120178e-01,8.452536231884058004e-01
3.800000000000000000e+01,8.162273040968693882e-01,7.728740824392997810e-01,8.183333333333333570e-01,8.516666666666666829e-01
3.900000000000000000e+01,8.221947738252085580e-01,7.858102766798419347e-01,8.207729468599034295e-01,8.662111801242236009e-01
4.000000000000000000e+01,8.211717642261122663e-01,7.802795031055900221e-01,8.307453416149068737e-01,8.440434782608695619e-01
4.100000000000000000e+01,8.160511873392308768e-01,7.749011857707509554e-01,8.141476880607315669e-01,8.536086956521738989e-01
4.200000000000000000e+01,8.190747380638685460e-01,7.789440993788819823e-01,8.290821256038647391e-01,8.429275362318841003e-01
4.300000000000000000e+01,8.219448287220026961e-01,7.796739130434782172e-01,8.268322981366459379e-01,8.591304347826087540e-01
4.400000000000000000e+01,8.191475233703494618e-01,7.769169960474308079e-01,8.193478260869565544e-01,8.473333333333332718e-01
4.500000000000000000e+01,8.160762830165004811e-01,7.712478825522304238e-01,8.249223602484472284e-01,8.370869565217391450e-01
4.600000000000000000e+01,8.148579506242550341e-01,7.780434782608695032e-01,8.220108695652172948e-01,8.397101449275362617e-01
4.700000000000000000e+01,8.164159530083443528e-01,7.834952004517221624e-01,8.125362318840579912e-01,8.415942028985508028e-01
