time_s,round,mean,p10,p50,p90
5.224977731704711914e+00,1.000000000000000000e+00,8.025729421544639530e-01,7.832173913043477542e-01,8.019021739130434145e-01,8.353105590062110952e-01
5.914949417114257812e+00,2.000000000000000000e+00,8.012093528452224334e-01,7.720217391304348142e-01,8.019565217391304568e-01,8.286180124223603283e-01
6.521342515945434570e+00,3.000000000000000000e+00,8.045269386410691670e-01,7.730217391304348151e-01,8.047233201581027728e-01,8.401863354037268916e-01
7.109721660614013672e+00,4.000000000000000000e+00,8.044645915678524384e-01,7.816304347826086296e-01,8.055797101449275743e-01,8.297608695652174404e-01
7.700785160064697266e+00,5.000000000000000000e+00,8.002783538924843620e-01,7.669927536231884169e-01,7.990338164251207242e-01,8.316304347826086740e-01
8.250090837478637695e+00,6.000000000000000000e+00,8.098218405990145197e-01,7.737173913043476903e-01,8.120306324110673213e-01,8.353881987577640444e-01
8.830294609069824219e+00,7.000000000000000000e+00,8.055405922579836897e-01,7.840217391304348249e-01,8.061045234958277295e-01,8.361956521739130066e-01
9.435752630233764648e+00,8.000000000000000000e+00,8.062645102482060011e-01,7.793344481605352092e-01,8.081027667984189700e-01,8.337577639751554415e-01
1.002685022354125977e+01,9.000000000000000000e+00,8.086316672457976029e-01,7.819732441471570761e-01,8.074879227053139985e-01,8.360869565217390331e-01
1.062186288833618164e+01,1.000000000000000000e+01,8.086036065383890303e-01,7.849169960474307040e-01,8.030978260869565677e-01,8.496739130434782794e-01
1.121708440780639648e+01,1.100000000000000000e+01,8.103051163812032831e-01,7.785652173913043539e-01,8.151570048309179084e-01,8.460869565217391530e-01
1.179880857467651367e+01,1.200000000000000000e+01,8.121457383196514224e-01,7.868501064153238245e-01,8.154891304347826608e-01,8.567391304347825587e-01
1.238589954376220703e+01,1.300000000000000000e+01,8.069110249653729250e-01,7.762529644268774121e-01,8.061413043478260487e-01,8.479710144927535831e-01
1.297600936889648438e+01,1.400000000000000000e+01,8.112952138441267280e-01,7.775183946488293252e-01,8.123188405797101552e-01,8.501449275362318314e-01
1.355622243881225586e+01,1.500000000000000000e+01,8.068811315496097203e-01,7.572608695652175426e-01,8.118115942028985010e-01,8.334782608695651129e-01
1.415909743309020996e+01,1.600000000000000000e+01,8.126411239726458735e-01,7.896877470355730955e-01,8.158695652173912904e-01,8.400724637681159512e-01
1.474290490150451660e+01,1.700000000000000000e+01,8.112158934061108884e-01,7.676205533596839325e-01,8.090579710144928383e-01,8.539855072463767849e-01
1.533731770515441895e+01,1.800000000000000000e+01,8.112806951502603559e-01,7.816086956521739459e-01,8.084541062801932076e-01,8.458074534161491576e-01
1.591308546066284180e+01,1.900000000000000000e+01,8.131559147374364249e-01,7.817391304347826031e-01,8.085144927536231929e-01,8.512753623188407115e-01
1.652402281761169434e+01,2.000000000000000000e+01,8.125857644770688726e-01,7.796739130434783283e-01,8.110671936758893086e-01,8.491304347826087451e-01
1.714015531539916992e+01,2.100000000000000000e+01,8.121821789321789220e-01,7.695144927536232693e-01,8.122529644268774440e-01,8.565942028985508161e-01
1.774073457717895508e+01,2.200000000000000000e+01,8.106555461446767197e-01,7.773913043478262175e-01,8.092391304347825720e-01,8.387681159420290466e-01
1.834851789474487305e+01,2.300000000000000000e+01,8.087525958341176269e-01,7.781884057971014679e-01,8.088932806324109492e-01,8.437681159420290511e-01
