time_s,round,mean,p10,p50,p90
5.224977731704711914e+00,1.000000000000000000e+00,4.940456509088996841e-03,4.399228910165542579e-03,4.987586034736741711e-03,5.267983237526219567e-03
5.914949417114257812e+00,2.000000000000000000e+00,4.959940814970236617e-03,4.391764240886189725e-03,4.990448028543946479e-03,5.368483909427119831e-03
6.521342515945434570e+00,3.000000000000000000e+00,4.954976806142062651e-03,4.401399216827204912e-03,4.956484394819294162e-03,5.368483909427119831e-03
7.109721660614013672e+00,4.000000000000000000e+00,4.962017592377040640e-03,4.401399216827204912e-03,4.971789734641608727e-03,5.345380784315597114e-03
7.700785160064697266e+00,5.000000000000000000e+00,4.959118804495571062e-03,4.411793245636676589e-03,4.978249391742446336e-03,5.321421361272555932e-03
8.250090837478637695e+00,6.000000000000000000e+00,4.953264640090955691e-03,4.416231932572400876e-03,4.942515239903685215e-03,5.317610468557931562e-03
8.830294609069824219e+00,7.000000000000000000e+00,4.954831377815887769e-03,4.427792718738967487e-03,4.942636133903305362e-03,5.333381466159593451e-03
9.435752630233764648e+00,8.000000000000000000e+00,4.954421426295732740e-03,4.462624572046323609e-03,4.942400469987659473e-03,5.314684508968680644e-03
1.002685022354125977e+01,9.000000000000000000e+00,4.940313391593809458e-03,4.456371695084819333e-03,4.942400469987659473e-03,5.313053800559054685e-03
1.062186288833618164e+01,1.000000000000000000e+01,4.942962068961364794e-03,4.503826570285435898e-03,4.942724944404121648e-03,5.314564152880335048e-03
1.121708440780639648e+01,1.100000000000000000e+01,4.940754132291261605e-03,4.503826570285435898e-03,4.942923143397009653e-03,5.313190676286969755e-03
1.179880857467651367e+01,1.200000000000000000e+01,4.944118699152081665e-03,4.533189556875590748e-03,4.943640683668662494e-03,5.314735913680210602e-03
1.238589954376220703e+01,1.300000000000000000e+01,4.922910298293742964e-03,4.533324747589512031e-03,4.915747795669797235e-03,5.313649079329140629e-03
1.297600936889648438e+01,1.400000000000000000e+01,4.883932284178093934e-03,4.346383702619104929e-03,4.897977327987073672e-03,5.314388096123420606e-03
1.355622243881225586e+01,1.500000000000000000e+01,4.918602437863075875e-03,4.523573286705525123e-03,4.909376749467318085e-03,5.399762376646673710e-03
1.415909743309020996e+01,1.600000000000000000e+01,4.915825677029006177e-03,4.528458498350143233e-03,4.926737212729166357e-03,5.373772853951069330e-03
1.474290490150451660e+01,1.700000000000000000e+01,4.917175401267230572e-03,4.529500992531699730e-03,4.940324979110153475e-03,5.349943167000388577e-03
1.533731770515441895e+01,1.800000000000000000e+01,4.910085131774115721e-03,4.533153546442346069e-03,4.942126529678521341e-03,5.352726181052952503e-03
1.591308546066284180e+01,1.900000000000000000e+01,4.905790595238023952e-03,4.538498113337944249e-03,4.944738580416114214e-03,5.354354984244680954e-03
1.652402281761169434e+01,2.000000000000000000e+01,4.909076179294366744e-03,4.543346743134142086e-03,4.942931714775844650e-03,5.453488459210255150e-03
1.714015531539916992e+01,2.100000000000000000e+01,4.913120793889480184e-03,4.549948209038472136e-03,4.932591005288436414e-03,5.399207422164676098e-03
1.774073457717895508e+01,2.200000000000000000e+01,4.920206605215018611e-03,4.549948209038472136e-03,4.933640900749714821e-03,5.461724010173038026e-03
1.834851789474487305e+01,2.300000000000000000e+01,4.921856188348773704e-03,4.557146017085474295e-03,4.921344927781685918e-03,5.452190146256814807e-03
1.894069528579711914e+01,2.400000000000000000e+01,4.921533986355154308e-03,4.563727976800385430e-03,4.911340144155860142e-03,5.434422958985623935e-03
1.954155540466308594e+01,2.500000000000000000e+01,4.931372065272299557e-03,4.566294010345233606e-03,4.904672992226279116e-03,5.435667973409235958e-03
2.014159107208251953e+01,2.600000000000000000e+01,4.929436984200518540e-03,4.547529245336751590e-03,4.890319692853082809e-03,5.428177084806179616e-03
