round,mean,p10,p50,p90
1.000000000000000000e+00,1.964273905453398084e-01,1.639537346099325665e-01,1.992551620842045179e-01,2.160789942515732032e-01
2.000000000000000000e+00,1.975964488982141776e-01,1.635058544531713676e-01,1.994268817126367832e-01,2.221090345656271670e-01
3.000000000000000000e+00,1.972986083685237535e-01,1.640839530096322996e-01,1.973890636891577066e-01,2.221090345656271670e-01
4.000000000000000000e+00,1.977210555426225369e-01,1.640839530096322996e-01,1.983073840784965181e-01,2.207228470589358560e-01
5.000000000000000000e+00,1.975471282697341402e-01,1.647075947382005412e-01,1.986949635045467955e-01,2.192852816763533053e-01
6.000000000000000000e+00,1.971958784054572145e-01,1.649739159543440470e-01,1.965509143942211212e-01,2.190566281134758708e-01
7.000000000000000000e+00,1.972898826689531426e-01,1.656675631243380020e-01,1.965581680341983439e-01,2.200028879695756223e-01
8.000000000000000000e+00,1.972652855777439207e-01,1.677574743227793763e-01,1.965440281992595906e-01,2.188810705381208643e-01
9.000000000000000000e+00,1.964188034956285689e-01,1.673823017050890816e-01,1.965440281992595906e-01,2.187832280335432755e-01
1.000000000000000000e+01,1.965777241376819029e-01,1.702295942171261067e-01,1.965634966642473280e-01,2.188738491728200730e-01
1.100000000000000000e+01,1.964452479374757254e-01,1.702295942171261067e-01,1.965753886038206222e-01,2.187914405772180826e-01
1.200000000000000000e+01,1.966471219491248701e-01,1.719913734125354254e-01,1.966184410201197441e-01,2.188841548208125543e-01
1.300000000000000000e+01,1.953746178976246139e-01,1.719994848553706990e-01,1.949448677401878216e-01,2.188189447597484738e-01
1.400000000000000000e+01,1.930359370506856409e-01,1.607830221571463492e-01,1.938786396792244460e-01,2.188632857674052135e-01
1.500000000000000000e+01,1.951161462717846129e-01,1.714143972023315088e-01,1.945626049680390934e-01,2.239857425988004136e-01
1.600000000000000000e+01,1.949495406217403581e-01,1.717075099010085815e-01,1.956042327637499412e-01,2.224263712370642965e-01
1.700000000000000000e+01,1.950305240760338288e-01,1.717700595519019158e-01,1.964194987466092446e-01,2.209965900200233091e-01
1.800000000000000000e+01,1.946051079064469724e-01,1.719892127865407516e-01,1.965275917807113026e-01,2.211635708631770891e-01
1.900000000000000000e+01,1.943474357142814524e-01,1.723098868002766737e-01,1.966843148249668438e-01,2.212612990546808378e-01
2.000000000000000000e+01,1.945445707576620165e-01,1.726008045880484676e-01,1.965759028865506908e-01,2.272093075526152861e-01
2.100000000000000000e+01,1.947872476333688818e-01,1.729968925423083503e-01,1.959554603173062071e-01,2.239524453298805673e-01
2.200000000000000000e+01,1.952123963129011874e-01,1.729968925423083503e-01,1.960184540449828872e-01,2.277034406103822239e-01
2.300000000000000000e+01,1.953113713009264063e-01,1.734287610251284417e-01,1.952806956669011496e-01,2.271314087754089384e-01
2.400000000000000000e+01,1.952920391813092182e-01,1.738236786080230856e-01,1.946804086493515995e-01,2.260653775391373854e-01
2.500000000000000000e+01,1.958823239163379470e-01,1.739776406207140247e-01,1.942803795335767414e-01,2.261400784045541068e-01
2.600000000000000000e+01,1.957662190520311207e-01,1.728517547202050864e-01,1.934191815711849838e-01,2.256906250883707887e-01
2.700000000000000000e+01,1.954196223055386650e-01,1.728517547202050864e-01,1.925454727671912503e-01,2.257673924039916014e-01
2.800000000000000000e+01,1.943636628454576409e-01,1.678988637941361273e-01,1.925454727671912503e-01,2.264449082849402106e-01
2.900000000000000000e+01,1.928045237568666859e-01,1.678988637941361273e-01,1.896818359298052259e-01,2.265234880346051194e-01
3.000000000000000000e+01,1.937188961241622376e-01,1.708751827267788737e-01,1.890323520727755224e-01,2.272384820911986791e-01
3.100000000000000000e+01,1.918289785675376391e-01,1.708751827267788737e-01,1.880971169941552112e-01,2.272384820911986791e-01
3.200000000000000000e+01,1.894945316487042231e-01,1.666889363600672358e-01,1.876158196214791352e-01,2.279665974652558269e-01
3.300000000000000000e+01,1.883079953953833707e-01,1.631842923178302984e-01,1.852904251368135136e-01,2.279665974652558269e-01
3.400000000000000000e+01,1.885360541074540541e-01,1.631842923178302984e-01,1.861848585195810257e-01,2.278262705946888789e-01
3.500000000000000000e+01,1.886584217985826650e-01,1.642825569030292032e-01,1.857165575101537847e-01,2.282471818427197208e-01
3.600000000000000000e+01,1.892028024908036787e-01,1.645409213827398742e-01,1.861706020483053226e-01,2.285188864177121748e-01
3.700000000000000000e+01,1.893543665859373781e-01,1.658498193339537352e-01,1.857087590817959044e-01,2.289964255229105516e-01
3.800000000000000000e+01,1.883492446175336343e-01,1.658498193339537352e-01,1.843911001300835573e-01,2.254443747588281144e-01
3.900000000000000000e+01,1.871464467867822168e-01,1.659675740796802135e-01,1.843911001300835573e-01,2.221805666740351570e-01
4.000000000000000000e+01,1.876559997306231076e-01,1.658458720112016560e-01,1.850644806644110574e-01,2.220740340142691449e-01
4.100000000000000000e+01,1.879040136775141923e-01,1.658458720112016560e-01,1.856250385623959831e-01,2.219056664002669044e-01
4.200000000000000000e+01,1.886537456459692064e-01,1.651222168498670262e-01,1.854132248335561006e-01,2.209951969758687240e-01
4.300000000000000000e+01,1.888778503720816571e-01,1.659896314855311694e-01,1.847541391321178283e-01,2.210528955781198290e-01
4.400000000000000000e+01,1.910214927568644749e-01,1.713500271528053953e-01,1.874544903109107707e-01,2.201625525625308943e-01
4.500000000000000000e+01,1.911250105656532583e-01,1.713500271528053953e-01,1.880708943820470214e-01,2.193545794555817330e-01
4.600000000000000000e+01,1.910162987384157185e-01,1.718714025444914029e-01,1.884300480547319023e-01,2.185114884633059806e-01
4.700000000000000000e+01,1.906862095379427413e-01,1.740290476440023437e-01,1.890866894295035738e-01,2.148172434807402720e-01
4.800000000000000000e+01,1.920636194262917429e-01,1.769528069782694557e-01,1.888325714439195724e-01,2.147281420581259592e-01
4.900000000000000000e+01,1.913366291983852052e-01,1.769207976649409264e-01,1.834319455300808532e-01,2.150187667482372778e-01
5.000000000000000000e+01,1.914943351274644434e-01,1.765074867456679630e-01,1.837658217815245076e-01,2.149319118894444935e-01
5.100000000000000000e+01,1.914780629138139179e-01,1.761686714494401507e-01,1.843467118717348197e-01,2.145030348529506914e-01
5.200000000000000000e+01,1.915011210698733257e-01,1.761686714494401507e-01,1.859983948818514921e-01,2.137720273293909345e-01
5.300000000000000000e+01,1.916097149855865434e-01,1.759528549587452972e-01,1.859983948818514921e-01,2.130633307939529264e-01
5.400000000000000000e+01,1.921340026372242993e-01,1.759042363890464533e-01,1.880227433038647034e-01,2.131005728902047314e-01
5.500000000000000000e+01,1.878102416388345852e-01,1.753497676566856400e-01,1.875820065901771527e-01,2.124170047056538058e-01
5.600000000000000000e+01,1.880041629742088272e-01,1.754126869908735342e-01,1.873291825328696203e-01,2.117977509511381196e-01
5.700000000000000000e+01,1.888703085215209243e-01,1.751824899365330146e-01,1.913408000491461647e-01,2.111657677122563415e-01
5.800000000000000000e+01,1.894096895791575752e-01,1.752525397971194110e-01,1.913408000491461647e-01,2.105990637812293620e-01
5.900000000000000000e+01,1.890383801985298651e-01,1.750371230372295417e-01,1.916051157334066335e-01,2.100127769234410025e-01
6.000000000000000000e+01,1.892308798282060778e-01,1.749910808765349213e-01,1.930357143591123481e-01,2.100584807076542049e-01
6.100000000000000000e+01,1.889347390950036065e-01,1.747920093266205621e-01,1.929797446596713817e-01,2.094929621942565323e-01
6.200000000000000000e+01,1.884186843328427285e-01,1.747245854785051955e-01,1.941532484809821990e-01,2.060346677206409960e-01
6.300000000000000000e+01,1.892830717220536918e-01,1.745421469911995760e-01,1.940466630302515039e-01,2.071313832497727880e-01
6.400000000000000000e+01,1.894119880297297498e-01,1.737470734005908402e-01,1.940466630302515039e-01,2.071241454296459117e-01
6.500000000000000000e+01,1.893382021337544630e-01,1.731123032109442850e-01,1.937513618853570763e-01,2.071241454296459117e-01
6.600000000000000000e+01,1.905669715508809814e-01,1.726193263003013845e-01,1.935037808198183940e-01,2.087501105022000480e-01
