time_s,round,mean,p10,p50,p90
5.224977731704711914e+00,1.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
5.914949417114257812e+00,2.000000000000000000e+00,7.849999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.110000000000000142e+01
6.521342515945434570e+00,3.000000000000000000e+00,7.849999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.200000000000000000e+01
7.109721660614013672e+00,4.000000000000000000e+00,7.849999999999999645e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
7.700785160064697266e+00,5.000000000000000000e+00,7.849999999999999645e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
8.250090837478637695e+00,6.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
8.830294609069824219e+00,7.000000000000000000e+00,7.799999999999999822e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.110000000000000142e+01
9.435752630233764648e+00,8.000000000000000000e+00,7.750000000000000000e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.002685022354125977e+01,9.000000000000000000e+00,7.700000000000000178e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.062186288833618164e+01,1.000000000000000000e+01,7.700000000000000178e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.121708440780639648e+01,1.100000000000000000e+01,7.650000000000000355e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.179880857467651367e+01,1.200000000000000000e+01,7.650000000000000355e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.238589954376220703e+01,1.300000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,8.000000000000000000e+00,1.100000000000000000e+01
1.297600936889648438e+01,1.400000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.355622243881225586e+01,1.500000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.415909743309020996e+01,1.600000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.474290490150451660e+01,1.700000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.533731770515441895e+01,1.800000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.591308546066284180e+01,1.900000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.652402281761169434e+01,2.000000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.714015531539916992e+01,2.100000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.774073457717895508e+01,2.200000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.834851789474487305e+01,2.300000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.894069528579711914e+01,2.400000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.954155540466308594e+01,2.500000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
