round,mean,p10,p50,p90
1.000000000000000000e+00,1.938030855232193150e-01,1.706600529961864732e-01,1.938786396792244460e-01,2.197222809795554843e-01
2.000000000000000000e+00,1.939842791455216597e-01,1.710830898823563206e-01,1.950907195145039075e-01,2.235902764142967680e-01
3.000000000000000000e+00,1.941002572587616215e-01,1.711525100100244334e-01,1.957960047517574298e-01,2.236740062152660080e-01
4.000000000000000000e+00,1.943179058370435586e-01,1.716124193201868930e-01,1.959293877204917877e-01,2.247060135386038382e-01
5.000000000000000000e+00,1.943761897917430648e-01,1.719783036820702327e-01,1.966609747494456606e-01,2.247060135386038382e-01
6.000000000000000000e+00,1.944187089053956430e-01,1.721974569167090408e-01,1.968809028724124166e-01,2.255447846978444748e-01
7.000000000000000000e+00,1.943051478496958251e-01,1.721974569167090408e-01,1.966388966142273986e-01,2.255447846978444748e-01
8.000000000000000000e+00,1.938003428008736040e-01,1.724968682466335723e-01,1.912897549197882796e-01,2.256159242229540396e-01
9.000000000000000000e+00,1.943694461883182512e-01,1.727877860344053662e-01,1.944272134028895982e-01,2.262934401039026766e-01
1.000000000000000000e+01,1.944655165425416277e-01,1.716220224384045756e-01,1.944272134028895982e-01,2.263681409693193980e-01
1.100000000000000000e+01,1.954328016996516038e-01,1.716540746184143373e-01,1.937572601422294927e-01,2.283068274213625182e-01
1.200000000000000000e+01,1.954193408997242642e-01,1.704490846274859250e-01,1.931569731246799426e-01,2.272828769564464724e-01
1.300000000000000000e+01,1.964945163629730762e-01,1.724449238871181567e-01,1.931569731246799426e-01,2.270792749613946004e-01
1.400000000000000000e+01,1.955342447740240630e-01,1.709345642634751694e-01,1.928204273181451933e-01,2.278034058519831373e-01
1.500000000000000000e+01,1.950637499948793263e-01,1.709345642634751694e-01,1.917665004261465966e-01,2.278034058519831373e-01
1.600000000000000000e+01,1.950816111825203758e-01,1.708392645538649168e-01,1.909929690595051355e-01,2.278840332321223350e-01
1.700000000000000000e+01,1.936865948813916716e-01,1.699322902265767987e-01,1.891935268025750350e-01,2.285468180401005189e-01
1.800000000000000000e+01,1.930356237762479721e-01,1.699322902265767987e-01,1.891935268025750350e-01,2.286293822732340109e-01
1.900000000000000000e+01,1.923085638678234954e-01,1.698772294737352362e-01,1.889173607931135535e-01,2.286293822732340109e-01
2.000000000000000000e+01,1.921479446192392304e-01,1.687613106120127993e-01,1.890401045498273924e-01,2.279016624134058699e-01
2.100000000000000000e+01,1.908617153185157012e-01,1.677736165710118077e-01,1.882297369019266808e-01,2.279016624134058699e-01
2.200000000000000000e+01,1.884232316070791335e-01,1.631950553702780360e-01,1.866127114075792903e-01,2.285188864177121748e-01
2.300000000000000000e+01,1.877098251655076599e-01,1.642183482668677086e-01,1.861391472377314227e-01,2.226337302123175821e-01
2.400000000000000000e+01,1.871119683375093989e-01,1.642183482668677086e-01,1.847628788483660078e-01,2.227044475240555488e-01
2.500000000000000000e+01,1.872917511254204581e-01,1.647947585459873243e-01,1.847628788483660078e-01,2.232054192625209377e-01
2.600000000000000000e+01,1.883444799198563113e-01,1.650531230256979953e-01,1.846699287875930295e-01,2.232780160603112518e-01
2.700000000000000000e+01,1.882705456307623149e-01,1.640610961257588374e-01,1.842142549400593021e-01,2.232780160603112518e-01
2.800000000000000000e+01,1.874590298478002182e-01,1.643230621683930970e-01,1.834907911235389988e-01,2.233101697881050562e-01
2.900000000000000000e+01,1.897510297307178906e-01,1.663973355824326372e-01,1.846516765723397457e-01,2.233101697881050562e-01
3.000000000000000000e+01,1.895237335424536651e-01,1.662930499605369539e-01,1.846516765723397457e-01,2.232008258327603523e-01
3.100000000000000000e+01,1.903936123963085314e-01,1.701832342794291075e-01,1.848983695994141918e-01,2.229552747152528935e-01
3.200000000000000000e+01,1.904354936738033022e-01,1.700924481421934309e-01,1.854413455719411963e-01,2.229552747152528935e-01
3.300000000000000000e+01,1.904247290617501476e-01,1.708087145357590209e-01,1.855764849875833344e-01,2.220227656202867217e-01
3.400000000000000000e+01,1.898809443033275535e-01,1.713262139579012910e-01,1.853223670019993607e-01,2.151976094335893985e-01
3.500000000000000000e+01,1.914186187120131832e-01,1.736222902245371236e-01,1.863259981254602737e-01,2.150986824318572854e-01
3.600000000000000000e+01,1.913371533910414868e-01,1.736222902245371236e-01,1.869229340526699090e-01,2.150986824318572854e-01
3.700000000000000000e+01,1.914661714798891468e-01,1.751475433273813054e-01,1.866998385030749219e-01,2.152929322636666365e-01
3.800000000000000000e+01,1.917804001265392411e-01,1.753489577273482647e-01,1.873162425742111725e-01,2.151992554867471208e-01
3.900000000000000000e+01,1.919104602336370868e-01,1.761886203265240480e-01,1.879528345195529138e-01,2.151078681708516183e-01
4.000000000000000000e+01,1.917825074645115591e-01,1.769587095494855045e-01,1.877653409264073425e-01,2.154179814450108421e-01
4.100000000000000000e+01,1.919037603179032936e-01,1.768903387392190274e-01,1.882329240789675784e-01,2.153288800223965294e-01
4.200000000000000000e+01,1.913300782379309672e-01,1.764770278199460640e-01,1.828782643787082718e-01,2.152953297456106641e-01
