round,mean,p10,p50,p90
1.000000000000000000e+00,8.098249999999998749e+01,7.234199999999999875e+01,8.108000000000001251e+01,8.934000000000000341e+01
2.000000000000000000e+00,8.548050000000000637e+01,7.845599999999998886e+01,8.566500000000000625e+01,9.217400000000000659e+01
3.000000000000000000e+00,8.640600000000000591e+01,7.989999999999999147e+01,8.654500000000000171e+01,9.198600000000000421e+01
4.000000000000000000e+00,8.756900000000000261e+01,8.314300000000000068e+01,8.817500000000001137e+01,9.244599999999999795e+01
5.000000000000000000e+00,8.852699999999998681e+01,8.234899999999998954e+01,8.896999999999999886e+01,9.286599999999999966e+01
6.000000000000000000e+00,8.878450000000000841e+01,8.325600000000000023e+01,8.950000000000000000e+01,9.305599999999999739e+01
7.000000000000000000e+00,8.923700000000002319e+01,8.384000000000000341e+01,8.957999999999999829e+01,9.299900000000000944e+01
8.000000000000000000e+00,8.931649999999999068e+01,8.411500000000000909e+01,8.993500000000000227e+01,9.285699999999999932e+01
9.000000000000000000e+00,8.969950000000000045e+01,8.249200000000000443e+01,9.059499999999999886e+01,9.344100000000000250e+01
1.000000000000000000e+01,8.957750000000001478e+01,8.433700000000000330e+01,9.031999999999999318e+01,9.310499999999998977e+01
1.100000000000000000e+01,8.943900000000000716e+01,8.375400000000000489e+01,9.034499999999999886e+01,9.325400000000000489e+01
1.200000000000000000e+01,8.983949999999998681e+01,8.566899999999999693e+01,9.031000000000000227e+01,9.289999999999999147e+01
1.300000000000000000e+01,8.979150000000001342e+01,8.467099999999999227e+01,8.975499999999999545e+01,9.322599999999999909e+01
1.400000000000000000e+01,8.983349999999998658e+01,8.348300000000000409e+01,9.067000000000000171e+01,9.388500000000000512e+01
1.500000000000000000e+01,9.010400000000001342e+01,8.411899999999999977e+01,9.068999999999999773e+01,9.399100000000001387e+01
1.600000000000000000e+01,9.012149999999999750e+01,8.384799999999999898e+01,9.098499999999999943e+01,9.417499999999999716e+01
1.700000000000000000e+01,9.012800000000000011e+01,8.487899999999999068e+01,9.065999999999999659e+01,9.338800000000000523e+01
1.800000000000000000e+01,9.032349999999999568e+01,8.494400000000000261e+01,9.050000000000000000e+01,9.430599999999999739e+01
1.900000000000000000e+01,9.045799999999999841e+01,8.477299999999999613e+01,9.138499999999999091e+01,9.402399999999998670e+01
2.000000000000000000e+01,9.015450000000001296e+01,8.335000000000000853e+01,9.086500000000000909e+01,9.348099999999999454e+01
2.100000000000000000e+01,9.055299999999999727e+01,8.679999999999999716e+01,9.106000000000000227e+01,9.381399999999999295e+01
2.200000000000000000e+01,8.998950000000000671e+01,8.493399999999999750e+01,9.092000000000000171e+01,9.338400000000000034e+01
2.300000000000000000e+01,9.084650000000000603e+01,8.599800000000000466e+01,9.181499999999999773e+01,9.430499999999999261e+01
2.400000000000000000e+01,9.017499999999999716e+01,8.579500000000000171e+01,9.008500000000000796e+01,9.389400000000000546e+01
2.500000000000000000e+01,9.066400000000000148e+01,8.710699999999999932e+01,9.070499999999999829e+01,9.396600000000000819e+01
