round,mean,p10,p50,p90
1.000000000000000000e+00,8.057393421795595589e-01,7.783212560386473244e-01,8.080012077294685957e-01,8.280434782608696587e-01
2.000000000000000000e+00,8.089547023025284167e-01,7.801537110232762418e-01,8.072463768115942795e-01,8.362318840579711088e-01
3.000000000000000000e+00,8.026728621619925175e-01,7.636135265700483288e-01,8.056521739130435567e-01,8.312608695652173862e-01
4.000000000000000000e+00,8.131894645209861716e-01,7.767173913043478040e-01,8.117094861660079097e-01,8.398550724637682263e-01
5.000000000000000000e+00,8.055305853566722130e-01,7.720869565217391983e-01,8.045652173913043770e-01,8.384057971014493571e-01
6.000000000000000000e+00,8.115779848171152944e-01,7.719782608695652248e-01,8.141908212560386993e-01,8.434472049689440976e-01
7.000000000000000000e+00,8.086869078988645487e-01,7.787318840579710022e-01,8.083152173913044081e-01,8.435507246376811041e-01
8.000000000000000000e+00,8.138961666352970692e-01,7.793357487922705218e-01,8.158695652173912904e-01,8.505072463768116320e-01
9.000000000000000000e+00,8.056677646025471873e-01,7.769565217391304346e-01,8.071936758893281105e-01,8.315362318840580080e-01
1.000000000000000000e+01,8.086064135140222930e-01,7.760144927536232196e-01,8.078260869565216939e-01,8.384782608695652284e-01
1.100000000000000000e+01,8.135751850806197671e-01,7.789347826086956417e-01,8.125000000000000000e-01,8.529399585921325633e-01
1.200000000000000000e+01,8.074631877784052003e-01,7.636231884057971264e-01,8.153209109730849002e-01,8.379999999999999671e-01
1.300000000000000000e+01,8.124606938954765933e-01,7.719130434782609518e-01,8.104347826086956141e-01,8.421325051759833702e-01
1.400000000000000000e+01,8.086215807139719436e-01,7.768840579710144523e-01,8.126976284584980226e-01,8.360248447204969846e-01
1.500000000000000000e+01,8.049484754376059481e-01,7.739855072463768249e-01,8.080434782608696409e-01,8.325776397515528560e-01
1.600000000000000000e+01,8.158755881799357734e-01,7.682367149758454472e-01,8.180434782608695388e-01,8.538260869565217348e-01
1.700000000000000000e+01,8.078979860718991102e-01,7.715217391304347583e-01,8.079446640316205741e-01,8.413664596273291441e-01
1.800000000000000000e+01,8.124668423364074243e-01,7.744927536231883680e-01,8.100395256916995690e-01,8.416563146997929623e-01
1.900000000000000000e+01,8.126570989397077227e-01,7.727536231884057916e-01,8.130434782608695343e-01,8.419461697722566695e-01
2.000000000000000000e+01,8.146878097747662917e-01,7.763241106719367401e-01,8.183333333333333570e-01,8.477018633540372994e-01
2.100000000000000000e+01,8.131618043791958295e-01,7.689130434782608381e-01,8.143610013175230922e-01,8.389751552795031708e-01
2.200000000000000000e+01,8.168065436978478866e-01,7.792193675889328430e-01,8.183794466403162549e-01,8.462732919254658537e-01
2.300000000000000000e+01,8.262327388794780125e-01,7.882262845849802302e-01,8.251207729468599261e-01,8.660869565217391708e-01
2.400000000000000000e+01,8.224435033565468123e-01,7.759749670619235928e-01,8.217701863354036629e-01,8.606521739130434945e-01
2.500000000000000000e+01,8.187012594893030570e-01,7.839239130434783043e-01,8.232608695652173791e-01,8.455434782608696187e-01
2.600000000000000000e+01,8.167398754627015478e-01,7.709288537549406906e-01,8.238509316770186164e-01,8.536956521739130777e-01
2.700000000000000000e+01,8.169816409435973759e-01,7.636413043478260665e-01,8.265217391304348071e-01,8.524999999999999245e-01
2.800000000000000000e+01,8.208872341426689534e-01,7.823913043478261109e-01,8.280434782608695476e-01,8.510869565217391575e-01
2.900000000000000000e+01,8.222165364828409873e-01,7.773990683229813348e-01,8.272463768115942973e-01,8.498695652173913206e-01
3.000000000000000000e+01,8.167943252399773035e-01,7.854545454545455163e-01,8.178881987577639734e-01,8.451552795031056498e-01
3.100000000000000000e+01,8.165657977288411917e-01,7.777096273291925765e-01,8.214673913043478715e-01,8.425621118012421862e-01
3.200000000000000000e+01,8.190399256540560335e-01,7.870158102766798836e-01,8.226086956521738713e-01,8.425362318840580178e-01
3.300000000000000000e+01,8.188235617039965053e-01,7.846245059288537993e-01,8.240217391304347494e-01,8.440217391304347672e-01
3.400000000000000000e+01,8.170586062488236490e-01,7.769254658385092993e-01,8.268115942028985144e-01,8.485869565217390997e-01
3.500000000000000000e+01,8.165667309743398494e-01,7.924604743083004665e-01,8.198671497584540946e-01,8.404347826086956408e-01
3.600000000000000000e+01,8.188512375305853075e-01,7.840993788819875521e-01,8.252173913043479025e-01,8.430869565217391504e-01
3.700000000000000000e+01,8.152018241420414535e-01,7.800931677018634325e-01,8.204037267080745988e-01,8.391925465838510068e-01
3.800000000000000000e+01,8.136092132505176044e-01,7.845962732919254945e-01,8.212111801242236719e-01,8.378260869565217206e-01
3.900000000000000000e+01,8.181233766233766413e-01,7.872857142857143664e-01,8.236024844720497562e-01,8.378726708074534235e-01
4.000000000000000000e+01,8.159801430453603732e-01,7.837210615471484898e-01,8.140579710144928427e-01,8.451180124223602874e-01
4.100000000000000000e+01,8.138346508563900628e-01,7.876623376623376194e-01,8.197826086956521152e-01,8.319720496894410511e-01
4.200000000000000000e+01,8.136087191793714979e-01,7.847826086956521952e-01,8.162732919254658270e-01,8.462137681159419555e-01
4.300000000000000000e+01,8.132841144362883412e-01,7.925409373235460242e-01,8.206521739130434590e-01,8.357763975155279024e-01
4.400000000000000000e+01,8.127100508187465877e-01,7.998369565217391397e-01,8.114624505928853537e-01,8.332173913043477986e-01
4.500000000000000000e+01,8.128156644080556381e-01,7.832072275550536755e-01,8.139363354037267850e-01,8.430279503105589933e-01
4.600000000000000000e+01,8.127881611142478979e-01,7.910869565217391042e-01,8.121739130434781906e-01,8.338819875776397605e-01
4.700000000000000000e+01,8.204078910220214960e-01,7.911914172783738319e-01,8.120082815734990245e-01,8.479999999999999760e-01
4.800000000000000000e+01,8.164379274107534945e-01,7.837944664031620823e-01,8.166007905138339407e-01,8.471583850931677651e-01
4.900000000000000000e+01,8.170633822699038262e-01,7.729813664596273393e-01,8.145680406549971053e-01,8.378043478260870369e-01
5.000000000000000000e+01,8.167644082970170194e-01,7.856013551665725902e-01,8.135507246376811885e-01,8.429192546583851309e-01
