round,mean,p10,p50,p90
1.000000000000000000e+00,4.897813371518970962e-03,4.511000883269775281e-03,4.897977327987073672e-03,5.328704682992592249e-03
2.000000000000000000e+00,4.884940125924450496e-03,4.518051498039271641e-03,4.916377108006697756e-03,5.328704682992592249e-03
3.000000000000000000e+00,4.902963903849932165e-03,4.526873655336448136e-03,4.929933412529291167e-03,5.394566770254433964e-03
4.000000000000000000e+00,4.906751310237849294e-03,4.526873655336448136e-03,4.929933412529291167e-03,5.411766892310063658e-03
5.000000000000000000e+00,4.907238950338184413e-03,4.532971728034504433e-03,4.944349579157427538e-03,5.424592333572855751e-03
6.000000000000000000e+00,4.907615037558368462e-03,4.536624281945150772e-03,4.945390656433866494e-03,5.425746411630741166e-03
7.000000000000000000e+00,4.904317215342098371e-03,4.536624281945150772e-03,4.943981610237123056e-03,5.425746411630741166e-03
8.000000000000000000e+00,4.906524893521063344e-03,4.541614470777226471e-03,4.933162694621903016e-03,5.438224001731711311e-03
9.000000000000000000e+00,4.906828324334496123e-03,4.546463100573423441e-03,4.907120223381493916e-03,5.438224001731711311e-03
1.000000000000000000e+01,4.912599555500559746e-03,4.527567910306905946e-03,4.896951470596581750e-03,5.439469016155324202e-03
1.100000000000000000e+01,4.913638138496237602e-03,4.527567910306905946e-03,4.896951470596581750e-03,5.450041794096228964e-03
1.200000000000000000e+01,4.942566998366964420e-03,4.540748731451969139e-03,4.885949552077998442e-03,5.473059912283055259e-03
1.300000000000000000e+01,4.939083466016596334e-03,4.540748731451969139e-03,4.878047517508806580e-03,5.454714615940774343e-03
1.400000000000000000e+01,4.937553930485448148e-03,4.521132596982890828e-03,4.880340455302419403e-03,5.463390097533052207e-03
1.500000000000000000e+01,4.915515466675063685e-03,4.514977434842686911e-03,4.849882817658419075e-03,5.463390097533052207e-03
1.600000000000000000e+01,4.918539724452049115e-03,4.513987742564415026e-03,4.845717399008656230e-03,5.475780300668342190e-03
1.700000000000000000e+01,4.896134167230806362e-03,4.498871503776280881e-03,4.819892113376252063e-03,5.475780300668342190e-03
1.800000000000000000e+01,4.892430868984982625e-03,4.498871503776280881e-03,4.819251597158158082e-03,5.477156371220567692e-03
1.900000000000000000e+01,4.852380373892486304e-03,4.470510706757213973e-03,4.810818021482636542e-03,5.488465144028114619e-03
2.000000000000000000e+01,4.848983664631148147e-03,4.470510706757213973e-03,4.811229974280221804e-03,5.465027706890098445e-03
2.100000000000000000e+01,4.848482084524765104e-03,4.464771411673003169e-03,4.802835527135005875e-03,5.465027706890098445e-03
2.200000000000000000e+01,4.801709508102187419e-03,4.403484475576549539e-03,4.776878523459654122e-03,5.377228836871960141e-03
2.300000000000000000e+01,4.787068798683253440e-03,4.420933340719542144e-03,4.746047980806100165e-03,5.377228836871960141e-03
