time_s,round,mean,p10,p50,p90
1.482385969161987305e+01,1.000000000000000000e+00,1.938688022911382314e-01,1.706600529961864732e-01,1.938786396792244460e-01,2.197222809795554843e-01
1.536332702636718750e+01,2.000000000000000000e+00,1.930964075554669757e-01,1.710830898823563206e-01,1.949826264804018494e-01,2.197222809795554843e-01
1.584551548957824707e+01,3.000000000000000000e+00,1.941778342309958272e-01,1.716124193201868930e-01,1.957960047517574298e-01,2.236740062152660080e-01
1.638245010375976562e+01,4.000000000000000000e+00,1.944050786142709208e-01,1.716124193201868930e-01,1.957960047517574298e-01,2.247060135386038382e-01
1.692709875106811523e+01,5.000000000000000000e+00,1.944343370202911703e-01,1.719783036820702327e-01,1.966609747494456606e-01,2.254755400143713395e-01
1.738508367538452148e+01,6.000000000000000000e+00,1.944569022535021785e-01,1.721974569167090408e-01,1.967234393860319841e-01,2.255447846978444748e-01
1.784351754188537598e+01,7.000000000000000000e+00,1.942590329205259592e-01,1.721974569167090408e-01,1.966388966142273986e-01,2.255447846978444748e-01
1.833674502372741699e+01,8.000000000000000000e+00,1.943914936112638159e-01,1.724968682466335723e-01,1.959897616773141893e-01,2.262934401039026766e-01
1.882230567932128906e+01,9.000000000000000000e+00,1.944096994600697792e-01,1.727877860344053662e-01,1.944272134028895982e-01,2.262934401039026766e-01
1.936905336380004883e+01,1.000000000000000000e+01,1.947559733300336382e-01,1.716540746184143373e-01,1.938170882357948543e-01,2.263681409693193980e-01
1.987269687652587891e+01,1.100000000000000000e+01,1.948182883097741569e-01,1.716540746184143373e-01,1.938170882357948543e-01,2.270025076457737878e-01
2.039628458023071289e+01,1.200000000000000000e+01,1.965540199020179291e-01,1.724449238871181567e-01,1.931569731246799426e-01,2.283835947369833308e-01
2.090392494201660156e+01,1.300000000000000000e+01,1.963450079609957710e-01,1.724449238871181567e-01,1.926828510505284031e-01,2.272828769564464724e-01
2.145830297470092773e+01,1.400000000000000000e+01,1.962532358291268764e-01,1.712679558189733886e-01,1.928204273181451933e-01,2.278034058519831373e-01
2.199444341659545898e+01,1.500000000000000000e+01,1.949309280005037670e-01,1.708986460905612126e-01,1.909929690595051355e-01,2.278034058519831373e-01
2.257311820983886719e+01,1.600000000000000000e+01,1.951123834671229518e-01,1.708392645538649168e-01,1.907430439405193301e-01,2.285468180401005189e-01
2.308830213546752930e+01,1.700000000000000000e+01,1.937680500338483380e-01,1.699322902265767987e-01,1.891935268025750350e-01,2.285468180401005189e-01
2.360176992416381836e+01,1.800000000000000000e+01,1.935458521390990005e-01,1.699322902265767987e-01,1.891550958294893892e-01,2.286293822732340109e-01
2.408899950981140137e+01,1.900000000000000000e+01,1.911428224335492143e-01,1.682306424054328398e-01,1.886490812889581314e-01,2.293079086416868750e-01
2.457889056205749512e+01,2.000000000000000000e+01,1.909390198778689318e-01,1.682306424054328398e-01,1.886737984568133131e-01,2.279016624134058699e-01
2.506959056854248047e+01,2.100000000000000000e+01,1.909089250714858799e-01,1.678862847003801395e-01,1.881701316281003122e-01,2.279016624134058699e-01
2.556221604347229004e+01,2.200000000000000000e+01,1.881025704861312431e-01,1.642090685345929113e-01,1.866127114075792903e-01,2.226337302123175821e-01
2.604456472396850586e+01,2.300000000000000000e+01,1.872241279209951870e-01,1.652560004431724849e-01,1.847628788483660078e-01,2.226337302123175821e-01
2.653953361511230469e+01,2.400000000000000000e+01,1.872570032290294118e-01,1.652652801754473100e-01,1.847628788483660078e-01,2.227044475240555488e-01
2.702736139297485352e+01,2.500000000000000000e+01,1.876268210739625852e-01,1.647947585459873243e-01,1.842645234895032291e-01,2.232054192625209377e-01
2.750128459930419922e+01,2.600000000000000000e+01,1.883605141581223552e-01,1.650531230256979953e-01,1.846699287875930295e-01,2.232780160603112518e-01
2.798956203460693359e+01,2.700000000000000000e+01,1.883142775478207631e-01,1.640610961257588374e-01,1.839394986679998567e-01,2.237973034805710304e-01
2.848301815986633301e+01,2.800000000000000000e+01,1.873862645184882214e-01,1.643230621683930970e-01,1.839394986679998567e-01,2.162050723951461639e-01
2.900679969787597656e+01,2.900000000000000000e+01,1.879959464562949711e-01,1.645873278604985390e-01,1.839973733921527466e-01,2.233101697881050562e-01
2.948410797119140625e+01,3.000000000000000000e+01,1.895882567635774341e-01,1.662930499605369539e-01,1.851758078720710521e-01,2.237354313926789295e-01
2.998378896713256836e+01,3.100000000000000000e+01,1.904729025448998192e-01,1.701832342794291075e-01,1.851758078720710521e-01,2.237354313926789295e-01
3.048902750015258789e+01,3.200000000000000000e+01,1.904328060750254681e-01,1.708087145357590209e-01,1.854413455719411963e-01,2.229552747152528935e-01
3.099451112747192383e+01,3.300000000000000000e+01,1.899134214180646096e-01,1.710564374347107175e-01,1.855764849875833344e-01,2.152987727029669618e-01
3.151708459854125977e+01,3.400000000000000000e+01,1.904755738601460191e-01,1.713262139579012910e-01,1.865801161110442474e-01,2.151976094335893985e-01
3.199789762496948242e+01,3.500000000000000000e+01,1.914158575080038560e-01,1.736222902245371236e-01,1.863259981254602737e-01,2.151976094335893985e-01
3.251896309852600098e+01,3.600000000000000000e+01,1.913665883311807814e-01,1.751475433273813054e-01,1.869229340526699090e-01,2.153893071219686317e-01
3.303279733657836914e+01,3.700000000000000000e+01,1.914355309749133927e-01,1.751475433273813054e-01,1.875393381238061596e-01,2.152929322636666365e-01
