time_s,round,mean,p10,p50,p90
1.482385969161987305e+01,1.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.536332702636718750e+01,2.000000000000000000e+00,7.299999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.584551548957824707e+01,3.000000000000000000e+00,7.349999999999999645e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.638245010375976562e+01,4.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.692709875106811523e+01,5.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.738508367538452148e+01,6.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.784351754188537598e+01,7.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.833674502372741699e+01,8.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.882230567932128906e+01,9.000000000000000000e+00,7.400000000000000355e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.936905336380004883e+01,1.000000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
1.987269687652587891e+01,1.100000000000000000e+01,7.450000000000000178e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.039628458023071289e+01,1.200000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.090392494201660156e+01,1.300000000000000000e+01,7.549999999999999822e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.145830297470092773e+01,1.400000000000000000e+01,7.500000000000000000e+00,4.000000000000000000e+00,7.500000000000000000e+00,1.100000000000000000e+01
2.199444341659545898e+01,1.500000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.257311820983886719e+01,1.600000000000000000e+01,7.400000000000000355e+00,4.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.308830213546752930e+01,1.700000000000000000e+01,7.349999999999999645e+00,3.900000000000000355e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.360176992416381836e+01,1.800000000000000000e+01,7.349999999999999645e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.408899950981140137e+01,1.900000000000000000e+01,7.250000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.457889056205749512e+01,2.000000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.506959056854248047e+01,2.100000000000000000e+01,7.200000000000000178e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.556221604347229004e+01,2.200000000000000000e+01,7.099999999999999645e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.604456472396850586e+01,2.300000000000000000e+01,7.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.653953361511230469e+01,2.400000000000000000e+01,7.000000000000000000e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.702736139297485352e+01,2.500000000000000000e+01,7.049999999999999822e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.750128459930419922e+01,2.600000000000000000e+01,7.099999999999999645e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.798956203460693359e+01,2.700000000000000000e+01,7.099999999999999645e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.010000000000000142e+01
2.848301815986633301e+01,2.800000000000000000e+01,7.099999999999999645e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.900679969787597656e+01,2.900000000000000000e+01,7.150000000000000355e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.948410797119140625e+01,3.000000000000000000e+01,7.200000000000000178e+00,2.900000000000000355e+00,7.000000000000000000e+00,1.100000000000000000e+01
2.998378896713256836e+01,3.100000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
3.048902750015258789e+01,3.200000000000000000e+01,7.250000000000000000e+00,2.900000000000000355e+00,7.500000000000000000e+00,1.100000000000000000e+01
